date,open,high,low,close,volume
2006-10-18,24.78541,25.1216,24.70672,25.042917,5366642
2006-10-19,24.92847,25.1073,24.78541,24.97854,3005560
2006-10-20,25.014305,25.064379,24.78541,24.97854,2711281
2006-10-23,25.10014,25.33619,24.72818,24.88555,2680805
2006-10-24,24.85694,25.0,24.73534,24.98569,2522971
2006-10-25,24.96424,25.071531,24.81402,25.057224,2243790
2006-10-26,25.1216,25.37911,24.96424,25.33619,1299441
2006-10-27,25.33619,25.35765,24.8927,24.94993,3304872
2006-10-30,24.8927,25.092991,24.78541,24.96424,1594978
2006-10-31,25.035765,25.61517,25.014305,25.46495,3892591
2006-11-01,24.24893,24.71388,23.99857,24.38483,4555942
2006-11-02,24.299,24.30615,23.74821,23.89843,2871632
2006-11-03,23.98426,24.11302,23.53362,23.55508,3918454
2006-11-06,23.55508,24.39914,23.53362,24.34192,5054189
2006-11-07,24.32761,24.50644,24.055794,24.055794,2615798
2006-11-08,23.87697,24.23462,23.81974,24.084406,2743016
2006-11-09,24.19886,24.49213,24.18455,24.37768,4703152
2006-11-10,24.37768,24.61373,24.34192,24.56366,2835004
2006-11-13,24.53505,25.14306,24.49928,25.035765,5801281
2006-11-14,23.53362,23.91273,23.06867,23.60515,16887980
2006-11-15,23.60515,23.91273,23.53362,23.70529,4859029
2006-11-16,23.74106,24.28469,23.60515,24.070101,4576493
2006-11-17,23.93419,24.20601,23.81974,24.14163,3484934
2006-11-20,23.99857,24.30615,23.93419,24.13448,3130262
2006-11-21,24.13448,24.13448,23.92704,24.055794,4763126
2006-11-22,23.99857,24.034334,23.81974,23.90558,5975332
2006-11-24,23.76252,24.10587,23.74821,24.005722,1347532
2006-11-27,23.92704,23.93419,23.21173,23.32618,3723573
2006-11-28,23.31903,23.52647,23.10443,23.31903,5114863
2006-11-29,23.31903,23.35479,22.6824,22.91846,8453706
2006-11-30,22.92561,22.99714,22.74678,22.77539,6192860
2006-12-01,22.86838,22.93991,22.66094,22.86838,3398957
2006-12-04,22.88984,23.42632,22.88984,23.33333,4452770
2006-12-05,23.60515,24.19886,23.42632,23.7196,5722993
2006-12-06,23.74106,23.83405,23.52647,23.65522,2662771
2006-12-07,23.81974,24.070101,23.71245,23.76252,3289774
2006-12-08,23.74821,24.098713,23.63376,23.91273,1995645
2006-12-11,23.85551,24.10587,23.79113,24.012877,1937628
2006-12-12,23.9628,24.62089,23.76967,24.22032,5897463
2006-12-13,24.22032,24.32046,24.048641,24.20601,3256781
2006-12-14,24.14163,24.51359,24.14163,24.36338,4210776
