date,open,high,low,close,volume
2006-10-18,22.86247,23.15035,22.68015,22.95843,14436432
2006-10-19,23.044794,23.21752,22.88166,22.99202,11896207
2006-10-20,23.10237,23.45262,22.89606,23.40464,14867236
2006-10-23,23.2703,23.48141,23.14555,23.42863,8812839
2006-10-24,23.2799,23.30868,22.89606,23.087976,11007503
2006-10-25,23.016006,23.19833,22.88166,23.16474,8839100
2006-10-26,23.16474,23.16474,22.7905,22.97762,9140684
2006-10-27,22.76651,22.90085,22.67055,22.87207,10186119
2006-10-30,22.81449,22.87207,22.52661,22.59378,8939767
2006-10-31,22.7905,22.83848,22.58898,22.7953,11385160
2006-11-01,22.64656,22.81449,22.62257,22.75212,8368070
2006-11-02,22.76651,22.87686,22.71853,22.77131,9768445
2006-11-03,22.74732,22.93444,22.69934,22.85767,8309087
2006-11-06,22.5602,22.85767,22.5506,22.77611,12892664
2006-11-07,22.71853,23.18394,22.69934,22.96323,11477074
2006-11-08,22.7905,22.82409,22.57459,22.68494,15578574
2006-11-09,22.68974,22.77131,21.91726,21.99403,22208003
2006-11-10,21.95085,22.25312,21.78772,22.056406,13233431
2006-11-13,21.99883,22.20994,21.86449,21.90287,8519175
2006-11-14,21.8357,22.25312,21.8309,22.15716,14630263
2006-11-15,22.35868,22.67055,22.34429,22.5458,14662985
2006-11-16,22.74252,22.85287,22.63696,22.7857,8438724
2006-11-17,22.69454,22.89126,22.64656,22.87207,9521467
2006-11-20,22.76651,22.99202,22.75212,22.91525,8359316
2006-11-21,22.88646,22.93444,22.74252,22.7857,7733847
2006-11-22,22.73292,22.84328,22.68494,22.81449,4512297
2006-11-24,22.58898,22.64656,22.47383,22.52661,4045019
2006-11-27,22.40186,22.49302,22.17636,22.25792,10822009
2006-11-28,22.25312,22.45464,22.18595,22.26272,10289287
2006-11-29,22.35868,22.50742,22.33469,22.44025,7247395
2006-11-30,22.51222,22.5506,22.28671,22.38747,9590246
2006-12-01,22.50262,22.52661,22.19075,22.34429,10331388
2006-12-04,23.030399,23.23671,22.64176,23.078381,20336599
2006-12-05,23.12636,23.36626,23.10717,23.16954,9998749
2006-12-06,23.30389,23.33267,22.96803,23.035198,10342851
2006-12-07,23.18394,23.2751,23.016006,23.049591,7458524
2006-12-08,23.12156,23.16954,22.93924,23.011208,6290329
2006-12-11,22.98242,23.083178,22.82409,22.94404,7071697
2006-12-12,23.0064106,23.044794,22.87686,23.025602,7268654
2006-12-13,23.030399,23.13596,22.96803,23.011208,5461651
2006-12-14,23.087976,23.21752,23.030399,23.078381,8133180
2006-12-15,23.078381,23.34227,22.98242,23.25591,13918716
2006-12-18,23.17434,23.19353,22.95843,23.092773,6944560
2006-12-19,23.12156,23.18394,22.96803,23.15515,7355982
2006-12-20,23.087976,23.20793,22.75691,23.0064106,8064402
2006-12-21,22.96323,23.030399,22.77131,23.030399,7997916
2006-12-22,23.044794,23.05439,22.87686,22.90085,6574823
2006-12-26,22.89126,23.16474,22.87207,23.14075,5300750
2006-12-27,23.2703,23.5102,23.21752,23.5102,13415590
2006-12-28,23.39025,23.55818,23.34227,23.47661,6916007
2006-12-29,23.41424,23.5054,23.2703,23.37106,8392247
2007-01-03,23.42863,23.7453,23.39025,23.49581,11214881
2007-01-04,23.53899,24.10515,23.49581,23.94202,21185494
2007-01-05,23.94202,23.99,23.63975,23.94202,14649854
2007-01-08,23.90364,24.052374,23.81727,24.028383,12734681
2007-01-09,24.06197,24.30667,23.99,24.2395,16969154
2007-01-10,24.095556,24.20111,23.99,24.17712,13823885
2007-01-11,24.20111,24.4602,24.071566,24.15793,12554189
2007-01-12,24.023586,24.2251,23.9948,24.20591,11189454
2007-01-16,24.2347,24.41222,24.17232,24.28268,12213214
2007-01-17,24.29707,24.75768,24.25389,24.73369,16784494
2007-01-18,24.9496,25.39102,24.9496,25.32864,27157774
2007-01-19,25.59253,25.78925,25.50137,25.6789,25347228
2007-01-22,25.52536,25.65011,25.4198,25.58294,14853689
2007-01-23,25.47738,25.69329,25.4294,25.61172,16214673
2007-01-24,25.61172,25.83723,25.37182,25.69329,15993539
2007-01-25,25.47738,25.6693,25.15112,25.23268,18078783
2007-01-26,25.28546,25.31425,24.92561,25.21349,14243852
2007-01-29,24.90642,25.30945,24.7145,25.26627,17678408
2007-01-30,25.30945,25.53496,25.29506,25.52056,13542726
2007-01-31,25.30945,25.54455,25.22309,25.4294,12249896
2007-02-01,25.1895,25.4198,25.059954,25.36703,11863902
2007-02-02,25.21349,25.4294,25.16071,25.27107,9661942
2007-02-05,25.14152,25.26147,25.035963,25.1895,6987078
2007-02-06,25.28546,25.30945,25.050358,25.17031,7121926
2007-02-07,25.1895,25.25187,25.031166,25.16551,7338891
2007-02-08,25.14152,25.21349,24.97839,25.016771,10063568
2007-02-09,25.11753,25.25187,25.016771,25.079145,7892038
2007-02-12,25.11273,25.32384,25.064753,25.29506,9011672
2007-02-13,25.25667,25.32864,25.1991,25.29026,8092539
2007-02-14,25.28546,25.51576,25.27107,25.28546,10593997
2007-02-15,25.22788,25.37662,24.98798,25.33344,8645894
2007-02-16,25.20389,25.33344,25.083944,25.1847,8422259
2007-02-20,25.1847,25.27107,25.083944,25.22788,9511463
2007-02-21,25.1895,25.32384,25.13672,25.29026,9009796
2007-02-22,25.29026,25.76046,25.26147,25.72688,14388704
2007-02-23,25.58294,25.79885,25.52536,25.71248,10441851
2007-02-26,25.74127,26.22587,25.6645,26.13471,16012922
2007-02-27,25.94758,26.34102,25.14152,25.83243,24714673
2007-02-28,25.70289,26.41779,25.54455,26.20668,24763235
2007-03-01,25.78925,26.24506,25.63571,25.80364,20889746
2007-03-02,25.68369,25.74127,25.22788,25.4342,16151313
2007-03-05,25.33344,25.71248,25.29506,25.30945,15315965
2007-03-06,25.4294,25.46778,25.12713,25.36703,20521259
2007-03-07,25.26147,25.4246,25.21349,25.28066,16849104
2007-03-08,25.28066,25.70289,25.13192,25.62132,16553564
2007-03-09,25.88521,26.12991,25.78925,26.096321,21899541
2007-03-12,26.12031,26.1491,26.024351,26.091524,13325761
2007-03-13,25.9092,26.24986,25.89481,25.96198,17118591
2007-03-14,26.0051594,26.038746,25.65491,25.79885,16017924
2007-03-15,25.75087,25.9092,25.58773,25.73167,10464152
2007-03-16,25.64051,25.6693,25.33344,25.37182,20299291
2007-03-19,25.439,25.56374,25.37182,25.51576,12307628
2007-03-20,25.54455,26.1395,25.44379,26.1395,17536890
2007-03-21,26.053141,26.29304,26.0051594,26.23546,16533556
2007-03-22,25.94758,26.35062,25.914,26.1491,13735723
2007-03-23,26.21147,26.22587,25.78925,25.84203,13322009
2007-03-26,26.42738,27.47335,26.41299,27.46375,47897249
2007-03-27,27.25264,27.45895,27.070316,27.15668,29693414
2007-03-28,26.98395,27.1135,26.6337,26.75365,16386828
2007-03-29,26.3986,26.94077,26.3938,26.77764,17924343
2007-03-30,26.6289,26.90239,26.58572,26.77284,11992080
2007-04-02,26.77284,26.98875,26.46577,26.77764,13061067
2007-04-03,26.8736,27.22385,26.8592,27.19027,15136932
2007-04-04,27.16148,27.32941,26.92638,27.0079422,10351188
2007-04-05,27.046326,27.40138,27.012739,27.3582,10560233
2007-04-09,27.37259,27.57411,27.25264,27.44936,13350146
2007-04-10,27.44936,27.50693,27.30062,27.37739,11568570
2007-04-11,27.22865,27.5933,26.95037,27.3486,13570446
2007-04-12,27.25264,27.60769,27.23825,27.54532,10219050
2007-04-13,27.55971,28.14507,27.55491,28.063501,14888704
2007-04-16,28.20744,28.33219,28.13547,28.25062,10061276
2007-04-17,28.14027,28.50012,28.14027,28.3082,12598166
2007-04-18,27.49254,28.11628,27.3486,27.84279,25099416
2007-04-19,27.72764,27.93396,27.31022,27.46375,16780742
2007-04-20,27.79481,27.8236,27.44936,27.75643,15603168
2007-04-23,27.5885,27.73244,27.39658,27.44936,10998541
2007-04-24,27.38698,27.47815,27.13269,27.43017,11378491
2007-04-25,27.46855,27.70845,27.43017,27.61729,8261150
2007-04-26,26.8688,27.65567,26.71047,27.30542,11577949
2007-04-27,27.15668,27.42057,26.92638,27.23345,11226344
2007-04-30,27.31501,27.31501,27.046326,27.16628,10921009
2007-05-01,27.13749,27.43976,27.075113,27.3534,9612755
2007-05-02,27.38219,27.50693,27.20466,27.43976,8968945
2007-05-03,27.52133,27.5885,27.39658,27.54532,7475198
2007-05-04,27.60769,28.010723,27.52613,27.97234,10452897
2007-05-07,28.21704,28.37537,28.097088,28.28421,11937057
2007-05-08,28.25542,28.26502,27.95315,28.23143,7418091
2007-05-09,28.11628,28.32739,27.93875,28.15466,8826178
2007-05-10,28.15466,28.15466,27.50693,27.50693,10251980
2007-05-11,27.51653,27.76123,27.38698,27.75163,8658191
2007-05-14,27.75643,27.87638,27.56451,27.80441,9076699
2007-05-15,28.0011272,28.42815,27.90037,28.15466,12775531
2007-05-16,28.3082,28.46653,28.10668,28.35138,9468529
2007-05-17,28.3082,28.33699,28.087492,28.26022,6402043
2007-05-18,28.2986,28.5481,28.10668,28.51451,9648604
2007-05-21,28.42815,28.47613,28.0683,28.13067,9604210
2007-05-22,28.015522,28.0683,27.63168,27.67966,12513756
2007-05-23,27.68446,27.85719,27.41097,27.44936,10562943
2007-05-24,27.41577,27.5885,26.8736,27.089508,15207170
2007-05-25,26.42259,27.21905,26.42259,27.046326,11956023
2007-05-29,26.95037,27.29582,26.90718,27.18067,11822426
2007-05-30,27.15668,27.18067,26.6385,26.79203,14392455
2007-05-31,26.80163,27.13269,26.77284,27.03673,14242601
2007-06-01,27.03673,27.20466,26.83042,27.012739,10357024
2007-06-04,26.6385,26.94557,26.47536,26.68648,14597749
2007-06-05,26.76804,26.76804,26.35541,26.6241,13826178
2007-06-06,26.45137,26.48016,26.1395,26.26425,15430596
2007-06-07,26.17309,26.34102,25.83243,25.8996,13723426
2007-06-08,25.9092,26.077129,25.73167,26.048342,12291997
2007-06-11,25.96198,26.1539,25.88041,25.93799,7607545
2007-06-12,25.75566,25.87082,25.55895,25.59253,13334931
2007-06-13,25.78925,26.043545,25.52536,26.0003624,11190704
2007-06-14,26.0051594,26.17309,25.9188,26.0003624,8666945
2007-06-15,26.13471,26.41299,26.02915,26.25466,13195915
2007-06-18,26.25466,26.30264,26.0003624,26.16829,9923510
2007-06-19,26.081928,26.29304,26.019554,26.23546,10111922
2007-06-20,26.35541,26.49456,26.02915,26.043545,16294289
2007-06-21,25.99556,26.038746,25.61172,25.81324,9994373
2007-06-22,25.76046,25.914,25.33344,25.36223,17315548
2007-06-25,25.53975,26.33622,25.4246,25.93319,19822426
2007-06-26,26.6289,26.6289,25.82763,25.89481,16454564
2007-06-27,25.75566,25.92839,25.62132,25.89481,11567945
2007-06-28,25.89481,25.9092,25.68369,25.77486,9635473
2007-06-29,25.76046,26.44658,25.54935,25.69329,11347645
2007-07-02,25.9044,26.086725,25.82763,26.062737,11009379
2007-07-03,26.077129,26.1443,25.96678,26.062737,4027511
2007-07-05,26.12031,26.23546,25.78925,26.019554,6923301
2007-07-06,26.067533,26.11551,25.85162,25.9092,7504377
2007-07-09,25.9092,25.99077,25.74607,25.77006,6106503
2007-07-10,25.61172,25.9044,25.32864,25.39102,13456440
2007-07-11,25.36703,25.57814,25.20389,25.53016,16503126
2007-07-12,24.90162,25.85162,24.90162,25.79405,28102334
2007-07-13,25.69329,25.78925,25.53496,25.54455,10062526
2007-07-16,25.54935,25.77006,25.50137,25.69809,11256774
2007-07-17,25.6693,25.75087,25.50137,25.61652,12257399
2007-07-18,25.9092,26.37461,25.69809,25.76526,21692997
2007-07-19,26.21147,26.23546,25.70768,26.062737,13099833
