date,open,high,low,close,volume
2006-10-18,38.47,38.88,37.98,38.53,3682000
2006-10-19,38.45,39.029999,37.83,38.49,3913400
2006-10-20,38.52,38.79,37.75,38.2,3021000
2006-10-23,38.07,38.65,38.0,38.58,3502700
2006-10-24,38.5,38.59,37.7,38.09,5458300
2006-10-25,39.33,39.6,38.63,38.94,6393800
2006-10-26,39.2,39.61,38.65,39.36,5027100
2006-10-27,39.35,39.35,38.23,38.57,4635000
2006-10-30,38.54,38.74,37.91,38.029999,3764200
2006-10-31,38.11,38.47,37.49,38.25,4244000
2006-11-01,38.4,38.59,37.28,37.76,4062800
2006-11-02,37.55,37.98,37.25,37.66,2879700
2006-11-03,37.64,37.95,37.27,37.75,2836900
2006-11-06,37.89,38.74,37.77,38.54,3555600
2006-11-07,38.96,39.97,38.45,39.61,6360400
2006-11-08,39.43,40.0,39.25,39.81,4519300
2006-11-09,39.81,39.98,39.51,39.69,2829800
2006-11-10,39.43,39.71,39.15,39.41,2407100
2006-11-13,39.2,40.23,38.89,40.09,4013800
2006-11-14,40.14,40.54,39.71,40.51,4286300
2006-11-15,40.67,41.59,40.55,41.39,5877700
2006-11-16,41.34,41.97,41.29,41.85,5229500
2006-11-17,41.49,41.54,40.95,41.45,6077600
2006-11-20,41.18,41.36,40.52,41.31,5105100
2006-11-21,41.96,42.75,41.92,42.55,8569400
2006-11-22,42.5,42.55,41.35,41.81,4403600
2006-11-24,41.47,41.85,41.33,41.54,1125700
2006-11-27,41.32,41.37,40.060001,40.22,4048400
2006-11-28,39.93,40.09,39.47,39.91,3888400
2006-11-29,40.080002,40.38,39.64,40.0,3909900
2006-11-30,39.7,40.69,39.5,40.16,5205700
2006-12-01,40.16,40.18,38.64,39.35,5062400
2006-12-04,39.54,40.0,39.07,39.29,3988500
2006-12-05,39.62,39.62,38.72,39.15,3600000
2006-12-06,39.15,39.43,38.33,38.54,4298000
2006-12-07,38.76,38.85,37.61,37.75,5653500
2006-12-08,38.15,39.39,37.99,38.88,5687500
2006-12-11,39.69,40.36,39.18,39.98,7320600
2006-12-12,39.95,40.09,39.34,39.97,4872200
2006-12-13,40.6,40.75,39.53,40.3,4541800
2006-12-14,40.46,41.59,40.049999,40.81,12668000
2006-12-15,43.15,43.22,42.22,42.81,19193400
2006-12-18,42.45,42.55,41.049999,41.29,7575000
2006-12-19,40.77,41.55,40.45,41.45,5763400
2006-12-20,42.29,42.44,41.6,41.87,5123500
2006-12-21,42.0099983,42.040001,40.99,41.38,3064000
2006-12-22,41.32,41.62,40.58,40.75,2459400
2006-12-26,40.75,41.55,40.75,41.44,2332300
2006-12-27,41.76,41.89,41.35,41.79,2921000
2006-12-28,41.78,41.84,41.25,41.53,3036700
2006-12-29,41.36,41.8,41.0,41.12,2687200
2007-01-03,40.72,41.32,38.89,39.92,7126000
2007-01-04,39.88,41.0,39.43,40.82,4503700
2007-01-05,40.78,40.9,40.12,40.62,2730200
2007-01-08,40.41,40.97,40.13,40.45,5234800
2007-01-09,40.5,40.51,39.38,39.63,5672900
2007-01-10,39.15,39.59,38.73,39.22,5652600
2007-01-11,39.4,40.38,39.24,39.88,4358600
2007-01-12,39.65,40.2,39.5,39.96,3682900
2007-01-16,40.25,40.75,39.81,40.049999,5154000
2007-01-17,40.029999,40.55,39.8,40.2,3588200
2007-01-18,40.099998,40.4,38.42,38.57,5253800
2007-01-19,38.32,38.57,37.5,38.4,8014400
2007-01-22,38.44,38.63,37.2,37.83,6619400
2007-01-23,37.65,37.96,37.37,37.52,4659000
2007-01-24,38.0,39.74,37.93,39.69,7193900
2007-01-25,39.72,39.97,38.84,39.13,5774000
2007-01-26,39.17,39.66,38.66,39.26,4162300
2007-01-29,39.4,39.75,38.91,39.35,3994000
