date,open,high,low,close,volume
2006-10-18,53.49,54.11,53.4,54.029999,830900
2006-10-19,53.88,54.18,53.77,54.13,623800
2006-10-20,54.18,54.4,53.8,54.4,758400
2006-10-23,54.24,54.64,53.96,54.63,671700
2006-10-24,54.48,54.76,54.25,54.75,854200
2006-10-25,54.64,55.24,54.64,55.12,663100
2006-10-26,54.49,54.8,54.36,54.78,1073000
2006-10-27,54.81,54.99,54.65,54.77,1232500
2006-10-30,54.98,54.99,54.69,54.83,546900
2006-10-31,54.89,54.95,53.97,54.099998,1289000
2006-11-01,54.0099983,54.48,53.55,54.29,820900
2006-11-02,54.049999,54.28,53.65,53.82,1076200
2006-11-03,54.15,54.15,53.32,53.81,1216700
2006-11-06,53.77,54.15,53.57,53.71,889600
2006-11-07,53.91,53.97,53.6,53.91,759400
2006-11-08,53.72,54.15,53.7,53.96,864300
2006-11-09,53.9,53.99,53.71,53.74,552500
2006-11-10,53.69,53.95,53.62,53.8,683600
2006-11-13,53.8,53.93,53.44,53.45,778000
2006-11-14,53.46,54.0,53.42,53.9,864600
2006-11-15,53.9,53.9,53.47,53.49,1315200
2006-11-16,53.49,53.76,53.26,53.41,1347100
2006-11-17,53.39,53.8,53.34,53.8,824500
2006-11-20,53.75,53.85,53.64,53.79,1089400
2006-11-21,53.85,53.92,53.57,53.69,1134200
2006-11-22,53.66,53.93,53.5,53.76,2186200
2006-11-24,53.71,53.91,53.69,53.83,342000
2006-11-27,53.76,53.87,53.45,53.66,1801100
2006-11-28,53.6,54.25,53.49,54.080002,1283300
2006-11-29,54.25,54.7,54.13,54.6,1026700
2006-11-30,54.46,54.8,54.35,54.71,873400
2006-12-01,54.85,55.080002,54.43,54.79,922500
2006-12-04,54.55,54.73,54.24,54.36,690700
2006-12-05,54.5,54.5,54.080002,54.39,773900
2006-12-06,54.45,54.45,54.07,54.25,692700
2006-12-07,54.18,54.25,53.6,53.73,829600
2006-12-08,53.73,53.92,53.43,53.51,474000
2006-12-11,53.45,53.74,53.45,53.65,531100
2006-12-12,53.75,53.99,53.58,53.88,621800
2006-12-13,53.9,54.16,53.78,54.0,685600
2006-12-14,54.0,54.38,53.93,54.16,642600
2006-12-15,54.16,54.34,53.79,54.0099983,805200
2006-12-18,53.93,54.12,53.31,53.48,764600
2006-12-19,53.31,53.95,53.25,53.84,837000
2006-12-20,53.75,54.14,53.62,53.8,1030200
2006-12-21,53.75,54.060001,53.61,53.85,1059500
