date,open,high,low,close,volume
2006-10-18,54.0,54.46,53.7,53.9,402200
2006-10-19,53.77,53.9,53.5,53.58,302000
2006-10-20,53.45,53.9,53.43,53.59,416700
2006-10-23,53.65,54.02,53.6,53.74,500900
2006-10-24,53.6,53.86,53.22,53.39,556500
2006-10-25,53.3,53.81,53.25,53.34,524400
2006-10-26,53.31,53.7,53.31,53.49,634100
2006-10-27,53.42,53.6,52.8,53.0099983,547100
2006-10-30,52.91,53.5,52.9,53.12,735500
2006-10-31,53.02,53.33,52.42,52.66,654900
2006-11-01,52.6,53.4,52.2,52.33,869300
2006-11-02,56.5,56.5,53.35,54.87,2038500
2006-11-03,55.17,55.38,54.66,54.85,676900
2006-11-06,54.85,55.15,54.5,54.72,631900
2006-11-07,54.79,55.16,54.65,54.73,497800
2006-11-08,54.68,56.09,54.61,55.82,670900
2006-11-09,55.87,55.87,55.4,55.42,224600
2006-11-10,55.35,55.75,55.19,55.5,382300
2006-11-13,55.66,55.8,55.35,55.44,475100
2006-11-14,55.48,55.57,54.96,55.35,213700
2006-11-15,55.35,55.4,54.92,54.98,425400
2006-11-16,55.060001,55.6,55.060001,55.32,440700
2006-11-17,55.24,55.43,55.099998,55.19,259700
2006-11-20,55.27,55.77,54.99,55.07,370700
2006-11-21,55.07,55.78,54.81,55.48,612800
2006-11-22,55.48,55.61,55.0,55.080002,273200
2006-11-24,55.040001,55.24,54.8,54.94,147500
2006-11-27,54.98,54.98,54.5,54.6,630200
2006-11-28,54.75,54.99,54.3,54.79,494400
2006-11-29,54.98,55.5,54.98,55.39,521600
2006-11-30,55.53,55.81,54.83,54.96,777100
2006-12-01,55.15,55.18,54.31,54.81,701300
2006-12-04,54.94,55.32,54.76,55.060001,376100
2006-12-05,54.8,55.45,54.8,55.029999,593000
2006-12-06,55.040001,55.44,54.9,55.43,411800
2006-12-07,55.48,55.75,54.97,55.12,334000
2006-12-08,54.99,55.07,54.42,54.59,733900
2006-12-11,54.67,55.81,54.65,55.65,605300
2006-12-12,55.7,56.51,55.5,56.060001,592700
2006-12-13,56.2,56.38,55.95,56.09,408400
2006-12-14,56.24,56.78,56.060001,56.47,693500
2006-12-15,55.7,56.46,55.47,56.049999,794400
2006-12-18,56.25,56.6,56.099998,56.27,403300
2006-12-19,56.11,56.16,55.7,55.77,331600
2006-12-20,55.85,56.26,55.71,55.94,471000
2006-12-21,55.75,56.13,55.56,55.6,383100
2006-12-22,55.85,55.99,55.39,55.61,170900
2006-12-26,55.51,56.0,55.48,55.93,158600
2006-12-27,55.94,56.07,55.79,55.82,321800
2006-12-28,55.87,55.92,55.5,55.57,320600
2006-12-29,55.57,55.63,55.14,55.25,222700
2007-01-03,55.45,56.029999,55.45,55.84,869700
2007-01-04,55.84,56.43,55.7,56.39,982200
