date,open,high,low,close,volume
2006-10-18,27.8,28.030001,27.43,27.96,1052200
2006-10-19,30.53,32.75,29.85,30.635,4569600
2006-10-20,30.675,31.049999,30.2,30.875,879000
2006-10-23,31.0,31.705,30.955,31.035,1485600
2006-10-24,30.925,31.13,30.78,30.955,946400
2006-10-25,30.975,31.025,30.63,30.8,596000
2006-10-26,30.975,31.275,30.93,31.15,1032800
2006-10-27,31.145,32.39,30.975,31.53,1151600
2006-10-30,31.75,32.98,31.75,32.5,1832400
2006-10-31,32.625,33.225,32.215,32.515,1271400
2006-11-01,32.95,33.075001,31.82,31.85,801400
2006-11-02,31.8,32.3,31.8,31.965,694000
2006-11-03,32.225,32.4,31.91,32.049999,593400
2006-11-06,32.125,32.7,31.975,32.62,538000
2006-11-07,32.75,33.16,32.455,32.5,580000
2006-11-08,32.5,32.8,32.2,32.405,786000
2006-11-09,32.5,33.080002,32.475,32.75,718000
2006-11-10,32.875,33.3,32.875,33.029999,739400
2006-11-13,33.265,33.81,33.265,33.755,1079600
2006-11-14,33.76,33.8,33.445,33.66,572400
2006-11-15,33.775,34.2,33.74,34.0,423200
2006-11-16,33.875,33.88,33.26,33.57,618400
2006-11-17,33.61,34.17,33.61,34.17,575800
2006-11-20,34.445,35.064999,34.285,34.76,1177800
2006-11-21,34.765,34.855,34.225,34.825,490800
2006-11-22,34.9,35.040001,34.625,34.88,423000
2006-11-24,34.755,34.945,34.695,34.915,104000
2006-11-27,34.95,34.95,34.205,34.29,986400
2006-11-28,34.27,34.32,33.86,34.15,654600
2006-11-29,34.275,34.805,34.245,34.71,534200
2006-11-30,34.75,34.95,34.495,34.87,528800
2006-12-01,35.0,36.049999,34.99,35.485,1437000
2006-12-04,35.875,35.95,35.545,35.645,919800
2006-12-05,35.75,36.18,35.655,35.945,460600
2006-12-06,35.75,36.14,35.75,35.875,427400
2006-12-07,35.885,36.17,35.885,36.014999,427200
2006-12-08,36.0,36.59,35.78,36.555,794000
2006-12-11,37.125,37.345,36.485,36.65,934800
2006-12-12,36.65,36.65,36.055,36.31,537200
2006-12-13,36.345,36.59,36.345,36.47,703600
2006-12-14,36.555,36.78,36.55,36.65,702800
2006-12-15,36.625,36.625,36.135,36.155,729000
2006-12-18,36.155,36.29,35.685,35.775,551800
2006-12-19,35.6,36.18,35.435,35.99,961600
2006-12-20,36.025002,36.31,36.0,36.044998,514400
2006-12-21,36.15,36.225,35.79,35.79,357800
2006-12-22,35.8,35.85,35.345,35.65,288000
2006-12-26,35.9,36.47,35.715,36.335,307200
2006-12-27,36.18,36.735,36.07,36.64,272000
2006-12-28,36.7,36.7,36.075001,36.17,373400
2006-12-29,36.049999,36.49,35.865,35.9,321800
2007-01-03,36.5,37.0050011,35.8,35.99,1000600
2007-01-04,36.0,36.0,35.635,35.825,666400
2007-01-05,35.385,35.9,35.19,35.2,980000
2007-01-08,35.025002,35.049999,34.02,35.02,1388200
2007-01-09,35.15,35.255,34.845,35.225,520000
2007-01-10,35.125,35.525,34.955,35.4,409600
2007-01-11,35.5,36.31,35.475,36.14,520400
2007-01-12,36.14,36.66,36.064999,36.63,354200
2007-01-16,36.925,37.135,36.43,36.62,434800
2007-01-17,36.565,36.745,36.515,36.68,393200
2007-01-18,36.7,36.72,36.28,36.405,871200
2007-01-19,36.31,36.495,36.099998,36.35,403400
2007-01-22,36.625,36.625,35.85,36.12,716400
2007-01-23,35.95,36.45,35.89,36.12,898400
2007-01-24,37.15,39.029999,37.15,38.505,2271600
2007-01-25,38.62,39.215,38.535,38.735,1392600
2007-01-26,38.95,39.0,38.52,38.73,615200
2007-01-29,38.73,39.165,38.64,39.09,799400
2007-01-30,39.19,39.46,38.945,39.26,600400
2007-01-31,39.325,39.325,38.645,38.99,580600
2007-02-01,39.25,39.64,39.0050011,39.625,654800
2007-02-02,39.45,39.565,38.955,39.475,502000
2007-02-05,39.575,39.885,39.365,39.885,627000
2007-02-06,39.92,40.65,39.92,40.535,1139200
2007-02-07,40.745,41.2,40.695,41.2,1169200
2007-02-08,41.5,41.895,41.25,41.745,1339400
2007-02-09,41.745,41.745,40.84,40.89,839600
2007-02-12,41.0,41.23,40.955,41.064999,654400
2007-02-13,40.975,41.68,40.705,41.675,857000
2007-02-14,41.845,42.385,41.62,41.745,678800
2007-02-15,41.675,41.88,41.39,41.49,720000
2007-02-16,41.505,41.765,41.445,41.69,705800
2007-02-20,41.575,42.125,41.425,42.080002,693400
2007-02-21,42.175,43.049999,42.175,43.049999,994200
2007-02-22,43.15,43.245,42.27,42.6,547000
2007-02-23,42.5,42.885,42.049999,42.71,770800
2007-02-26,42.995,43.26,42.585,42.715,702400
2007-02-27,41.925,41.925,39.875,40.87,1251600
2007-02-28,40.87,41.41,40.44,40.98,854000
2007-03-01,40.925,41.325,39.38,40.975,1348200
2007-03-02,40.96,41.57,40.61,40.91,932400
2007-03-05,40.25,41.28,39.77,39.77,1276200
2007-03-06,39.78,40.91,39.39,40.58,1227500
2007-03-07,40.6,41.35,40.49,40.66,1084500
2007-03-08,41.099998,41.64,40.88,41.040001,662900
2007-03-09,41.2,41.25,40.46,41.23,588600
2007-03-12,41.45,42.94,41.45,42.62,1039900
2007-03-13,42.51,42.71,41.049999,41.060001,937700
2007-03-14,41.25,41.8,40.26,40.98,972300
2007-03-15,41.0,41.97,40.99,41.73,453200
2007-03-16,41.83,42.029999,41.2,41.31,409700
2007-03-19,41.67,42.029999,41.57,41.81,417300
2007-03-20,41.8,41.8,41.29,41.43,1009900
2007-03-21,41.31,41.58,40.88,41.41,1273200
2007-03-22,41.4,41.5,40.82,40.97,997100
2007-03-23,40.81,41.049999,40.64,40.71,632400
2007-03-26,40.91,41.18,40.33,40.93,917100
2007-03-27,40.89,41.87,40.65,41.75,1163100
2007-03-28,41.75,41.82,41.3,41.38,694000
2007-03-29,41.61,41.95,41.33,41.73,805900
2007-03-30,41.9,42.040001,40.92,41.34,754000
2007-04-02,41.52,42.18,41.52,42.02,702100
2007-04-03,42.2,42.69,42.2,42.46,474800
2007-04-04,42.6,42.87,42.47,42.67,674000
2007-04-05,42.7,42.97,42.68,42.81,303100
2007-04-09,43.0,43.32,42.85,43.060001,332000
2007-04-10,43.14,43.41,42.79,42.95,501700
2007-04-11,43.040001,43.14,42.3,42.68,387200
2007-04-12,42.55,43.23,42.55,43.22,424300
2007-04-13,43.39,43.75,42.62,43.040001,370100
2007-04-16,43.19,43.68,43.040001,43.57,310700
2007-04-17,43.75,43.96,43.55,43.96,453400
2007-04-18,44.81,44.81,43.26,43.46,562800
2007-04-19,43.29,43.48,42.8,43.16,659800
2007-04-20,43.45,43.74,43.17,43.7,345800
2007-04-23,43.7,44.16,43.4,44.080002,476000
2007-04-24,44.080002,44.080002,39.3,40.42,3501700
2007-04-25,42.5,42.89,41.099998,42.8,1777400
2007-04-26,42.43,42.69,42.080002,42.33,688200
2007-04-27,42.029999,42.5,42.0,42.39,712200
2007-04-30,42.27,42.71,42.11,42.45,842100
2007-05-01,42.4,42.7,42.049999,42.49,633700
2007-05-02,42.35,42.89,42.09,42.15,747400
2007-05-03,42.3,43.080002,42.25,42.58,833100
2007-05-04,42.75,42.75,42.15,42.33,537800
2007-05-07,42.33,42.55,41.77,42.0,891800
2007-05-08,41.9,42.0,41.12,42.0,643700
2007-05-09,41.94,42.64,41.74,42.59,498500
2007-05-10,42.32,42.32,41.22,41.25,660300
2007-05-11,41.32,41.67,41.2,41.67,458400
2007-05-14,41.5,42.099998,41.22,41.46,389400
2007-05-15,41.42,42.19,41.36,41.38,508900
2007-05-16,41.39,41.79,41.099998,41.79,509300
2007-05-17,41.76,42.25,41.57,42.02,617500
2007-05-18,42.2,42.68,42.15,42.68,778700
2007-05-21,42.88,43.28,42.62,42.69,855700
2007-05-22,42.75,43.14,42.65,42.81,590700
2007-05-23,43.0,43.15,42.09,42.23,511300
2007-05-24,42.15,42.31,40.47,40.5,925700
2007-05-25,39.75,40.88,39.3,40.77,810000
2007-05-29,40.72,41.26,40.69,41.12,735100
2007-05-30,41.0,41.8,40.62,41.8,836800
2007-05-31,42.0,42.0,40.64,40.64,1920400
2007-06-01,40.85,41.52,40.85,41.43,955300
2007-06-04,41.25,41.75,41.24,41.71,596200
2007-06-05,41.36,41.96,41.36,41.7,374000
2007-06-06,41.5,41.68,40.81,41.14,546700
2007-06-07,40.87,41.18,40.02,40.27,866600
2007-06-08,40.080002,40.41,39.79,40.2,702200
2007-06-11,40.049999,40.32,39.84,40.17,519100
2007-06-12,39.87,40.060001,39.17,39.35,732300
2007-06-13,39.54,39.96,39.43,39.76,968900
2007-06-14,39.75,40.099998,39.33,39.7,916100
2007-06-15,39.95,40.17,39.77,39.87,835800
2007-06-18,39.8,39.8,38.26,38.58,1639000
2007-06-19,37.6,38.080002,36.5,37.42,2921400
2007-06-20,37.2,38.099998,37.15,37.24,2211900
2007-06-21,37.7,38.0,37.0,37.69,1567500
2007-06-22,38.5,39.53,38.13,38.34,1931900
2007-06-25,38.0099983,38.36,37.62,37.72,1086800
2007-06-26,37.81,38.2,37.47,37.8,1073600
2007-06-27,37.45,38.42,37.42,38.32,971100
2007-06-28,38.91,38.93,38.31,38.51,995400
2007-06-29,38.57,39.099998,38.31,38.53,853800
2007-07-02,38.87,39.41,38.42,38.84,647800
2007-07-03,38.86,39.33,38.68,39.23,456000
2007-07-05,41.16,41.16,40.11,40.37,1262200
2007-07-06,40.13,40.4,39.88,40.33,793400
2007-07-09,40.39,40.9,40.3,40.8,878700
2007-07-10,40.8,40.86,40.34,40.62,1244800
2007-07-11,40.5,40.91,40.5,40.86,1218800
2007-07-12,40.92,41.73,40.81,41.73,895700
2007-07-13,41.53,42.64,41.25,42.56,1155500
2007-07-16,42.37,42.43,41.55,41.7,760300
2007-07-17,41.8,42.44,41.58,42.22,969700
2007-07-18,42.11,42.53,41.67,42.36,828300
2007-07-19,42.43,42.61,41.94,42.029999,575600
2007-07-20,41.9,42.41,41.31,42.11,638100
2007-07-23,42.21,42.25,41.33,41.4,888800
2007-07-24,40.95,41.27,40.36,40.67,769100
2007-07-25,40.75,42.12,40.61,41.62,1772900
2007-07-26,41.7,41.7,40.24,40.8,1449200
2007-07-27,40.71,40.75,39.72,39.88,1159500
2007-07-30,39.75,40.12,39.0,39.96,1465300
2007-07-31,40.2,41.21,39.97,40.23,966800
2007-08-01,40.02,40.66,39.57,40.34,935500
2007-08-02,40.45,40.47,39.57,39.81,821500
2007-08-03,39.89,39.9,38.07,38.07,828300
2007-08-06,38.35,38.47,37.29,38.35,701300
2007-08-07,38.07,38.24,37.4,37.83,1404900
2007-08-08,37.6,39.29,34.24,37.15,2644900
2007-08-09,36.2,36.3,34.54,35.11,2257200
2007-08-10,34.6,38.77,32.92,37.71,2068500
2007-08-13,38.0,39.78,38.0,38.27,1253300
2007-08-14,38.29,38.84,36.84,36.91,896800
2007-08-15,36.75,37.36,35.86,35.9,817300
2007-08-16,35.6,35.88,34.13,35.15,1118300
2007-08-17,37.0,37.5,35.17,35.83,1076500
2007-08-20,35.75,37.43,35.48,37.09,684500
2007-08-21,36.76,37.33,36.47,37.040001,489300
2007-08-22,37.42,38.23,37.099998,37.98,647500
2007-08-23,37.98,38.22,37.6,38.0,535200
2007-08-24,37.89,38.78,37.6,38.78,335400
2007-08-27,38.51,38.84,37.97,38.63,547800
2007-08-28,38.45,38.62,38.18,38.2,540400
2007-08-29,38.51,40.049999,38.51,39.88,845500
2007-08-30,39.58,40.02,39.41,39.8,1001600
2007-08-31,40.22,41.0,39.92,40.47,760500
2007-09-04,40.25,41.040001,39.94,40.52,503200
2007-09-05,39.88,40.85,39.88,40.61,706200
2007-09-06,40.65,41.57,40.5,41.56,685600
2007-09-07,40.9,41.0099983,40.080002,40.5,826300
2007-09-10,40.5,40.6,38.040001,38.040001,1274900
2007-09-11,38.27,39.71,38.16,39.51,896100
2007-09-12,39.36,39.61,38.49,38.61,658500
2007-09-13,38.7,38.95,37.41,37.94,1044500
2007-09-14,37.65,39.31,37.56,39.060001,864100
2007-09-17,38.73,39.78,38.46,39.31,1180900
2007-09-18,39.5,41.68,39.099998,41.25,1118600
2007-09-19,41.65,42.93,41.37,41.95,1198800
2007-09-20,41.8,42.9,41.52,42.6,1252100
