date,open,high,low,close,volume
2006-10-18,14.83,14.94,13.83,14.04,1612600
2006-10-19,13.97,14.15,13.8,14.13,1452400
2006-10-20,14.18,14.22,13.91,14.12,707900
2006-10-23,14.02,14.28,13.83,14.12,766600
2006-10-24,14.19,14.19,13.76,14.13,874100
2006-10-25,13.75,14.42,13.22,14.22,1474600
2006-10-26,14.2,14.5,14.1,14.38,1568000
2006-10-27,14.35,14.58,14.27,14.5,954800
2006-10-30,14.21,14.66,13.96,14.53,1077600
2006-10-31,13.9,14.16,13.74,13.86,2549900
2006-11-01,13.78,13.85,12.85,12.92,2104600
2006-11-02,12.92,13.36,12.92,12.99,1051000
2006-11-03,13.06,13.21,12.83,13.0,785200
2006-11-06,12.91,13.06,12.81,12.99,694400
2006-11-07,12.95,13.44,12.92,13.22,651700
2006-11-08,13.1,13.2,12.8,13.17,731300
2006-11-09,13.16,13.17,12.6,12.76,593000
2006-11-10,12.71,12.83,12.6,12.83,324100
2006-11-13,12.74,12.97,12.55,12.67,307900
2006-11-14,12.65,12.9,12.57,12.85,572200
2006-11-15,12.82,13.22,12.78,12.96,679500
2006-11-16,12.91,13.04,12.83,12.95,391600
2006-11-17,12.95,12.99,12.7,12.95,420400
2006-11-20,12.94,13.06,12.82,13.01,443000
2006-11-21,13.0,13.25,12.94,13.15,599600
2006-11-22,13.15,13.64,13.15,13.35,837300
2006-11-24,13.25,13.34,13.07,13.22,138700
2006-11-27,13.15,13.24,12.9,13.0,734000
2006-11-28,13.0,13.13,12.81,13.08,652300
2006-11-29,13.1,13.34,13.07,13.25,500300
2006-11-30,13.15,13.25,12.99,13.12,680300
2006-12-01,13.05,13.3,13.0,13.08,451200
2006-12-04,13.09,13.6,13.0,13.51,1046300
2006-12-05,13.59,14.25,13.45,14.22,890400
2006-12-06,14.14,14.28,13.98,14.07,561100
2006-12-07,14.11,14.2,14.0,14.05,251200
2006-12-08,14.0,14.34,13.91,14.16,369000
2006-12-11,14.09,14.25,13.99,14.02,268500
2006-12-12,14.0,14.21,13.69,13.71,1792800
2006-12-13,13.73,13.96,13.47,13.5,641200
2006-12-14,13.46,13.84,13.34,13.61,643400
2006-12-15,13.8,13.9,13.36,13.52,828000
2006-12-18,13.57,13.59,13.01,13.13,693200
2006-12-19,13.01,13.1,12.78,12.96,816900
2006-12-20,12.99,13.54,12.99,13.51,389200
2006-12-21,14.0,14.23,13.76,13.96,843000
2006-12-22,13.9,14.07,13.8,13.97,599100
2006-12-26,13.92,14.14,13.88,14.09,523100
2006-12-27,14.15,14.25,14.01,14.11,495000
2006-12-28,14.12,14.12,13.89,13.99,603300
2006-12-29,14.01,14.01,13.72,13.97,784000
2007-01-03,13.97,14.08,13.07,13.35,1201200
2007-01-04,13.44,13.66,13.31,13.6,504600
2007-01-05,13.55,13.71,13.46,13.64,435800
2007-01-08,13.62,13.76,13.2,13.68,635300
2007-01-09,13.66,13.87,13.57,13.7,982400
2007-01-10,13.58,13.94,13.51,13.89,541400
2007-01-11,13.94,14.22,13.91,14.1,417600
2007-01-12,14.19,14.73,14.19,14.51,611800
2007-01-16,14.51,14.72,14.22,14.35,454700
2007-01-17,14.32,14.54,14.23,14.27,554600
2007-01-18,14.23,14.47,14.23,14.35,407700
2007-01-19,14.31,14.49,14.22,14.44,314100
2007-01-22,14.4,14.42,13.97,14.0,346800
2007-01-23,14.02,14.23,13.97,14.11,546300
2007-01-24,14.16,14.25,14.07,14.17,266700
2007-01-25,14.22,14.25,13.84,14.0,401500
2007-01-26,14.03,14.17,13.75,13.99,487900
2007-01-29,14.08,14.08,13.53,13.77,602500
2007-01-30,15.76,17.01,15.76,16.69,8792900
2007-01-31,16.52,16.91,15.87,16.56,2088600
2007-02-01,16.030001,16.65,15.98,16.61,1826000
2007-02-02,16.19,16.55,16.16,16.47,783200
2007-02-05,16.11,16.4,16.1,16.22,523700
2007-02-06,16.21,16.7,16.15,16.33,1095100
2007-02-07,16.39,16.59,16.25,16.42,554000
2007-02-08,16.4,16.66,16.22,16.52,716500
2007-02-09,16.56,16.62,16.01,16.22,499800
2007-02-12,16.99,17.0,16.3,16.75,1088400
2007-02-13,16.87,17.16,16.6,16.99,1198300
2007-02-14,16.96,17.42,16.75,16.96,1143900
2007-02-15,16.97,17.55,16.9,17.46,1073800
2007-02-16,17.45,17.63,17.25,17.56,718100
2007-02-20,17.48,17.95,17.46,17.88,731600
2007-02-21,17.73,17.89,17.51,17.58,730000
2007-02-22,17.66,17.77,17.3,17.51,676100
2007-02-23,17.43,17.43,17.09,17.26,362500
2007-02-26,17.19,17.34,16.92,16.98,587800
2007-02-27,16.71,16.87,16.3,16.33,834100
2007-02-28,16.31,16.52,15.9,16.42,654400
2007-03-01,16.08,16.71,16.01,16.31,991200
2007-03-02,16.29,16.52,16.28,16.46,879900
2007-03-05,16.39,16.66,16.2,16.23,971900
2007-03-06,16.44,16.8,16.29,16.4,1026400
