date,open,high,low,close,volume
2006-10-18,63.75,64.07,63.09,63.3,3343600
2006-10-19,62.75,62.77,61.13,61.64,6036200
2006-10-20,61.77,61.78,61.099998,61.23,3789400
2006-10-23,61.2,61.4,61.09,61.35,3052900
2006-10-24,61.16,61.88,61.099998,61.74,2536500
2006-10-25,61.8,62.080002,61.43,61.71,2471100
2006-10-26,61.81,62.02,61.52,61.96,1916700
2006-10-27,61.97,62.07,61.51,61.74,3538700
2006-10-30,61.55,61.89,61.46,61.6,1410600
2006-10-31,61.82,61.87,61.11,61.36,2467800
2006-11-01,61.7,61.83,60.95,61.040001,2398000
2006-11-02,60.8,61.4,60.66,61.15,2700300
2006-11-03,61.46,61.6,60.89,61.48,1978200
2006-11-06,61.66,62.42,61.62,62.26,2470200
2006-11-07,62.19,62.84,62.09,62.61,1956600
2006-11-08,62.51,62.88,62.23,62.59,1577800
2006-11-09,62.56,62.75,62.4,62.49,1719300
2006-11-10,62.86,63.21,62.6,63.060001,2091800
2006-11-13,62.93,63.53,62.89,63.02,1961100
2006-11-14,62.94,63.63,62.61,63.41,2095900
2006-11-15,63.24,64.0,63.24,63.89,2800600
2006-11-16,63.99,64.47,63.21,64.28,1626400
2006-11-17,63.98,64.48,63.9,64.48,1883400
2006-11-20,64.080002,64.85,64.080002,64.71,2254700
2006-11-21,64.6,64.85,64.33,64.75,2133400
2006-11-22,64.74,65.0,64.5,64.77,1951700
2006-11-24,64.54,65.0,64.5,64.91,637400
2006-11-27,64.69,64.71,64.35,64.54,3244400
2006-11-28,64.3,64.35,63.53,63.67,3654100
2006-11-29,63.48,63.85,62.9,63.27,3689700
2006-11-30,63.27,63.71,63.02,63.48,2451300
2006-12-01,63.8,63.92,62.67,63.29,2086400
2006-12-04,63.5,63.74,63.37,63.63,1800700
2006-12-05,63.6,64.14,63.5,64.0,1664600
2006-12-06,64.15,64.5,63.99,64.21,1426600
2006-12-07,64.21,64.4,63.5,63.66,2433800
2006-12-08,63.79,64.17,63.48,63.82,1293800
2006-12-11,63.77,64.31,63.77,64.2,1944500
2006-12-12,64.41,64.99,64.38,64.95,2541700
2006-12-13,64.98,64.99,64.45,64.53,1406600
2006-12-14,64.67,65.0,64.38,64.88,1328500
2006-12-15,64.83,65.46,64.77,65.21,3187700
2006-12-18,65.12,65.72,65.12,65.52,1665100
2006-12-19,65.28,65.87,65.22,65.76,1472300
2006-12-20,65.76,66.059998,65.71,65.86,1554000
2006-12-21,65.89,66.0,65.050003,65.3,2045400
2006-12-22,65.3,65.45,64.9,65.37,1112500
2006-12-26,65.25,65.76,65.099998,65.69,835000
2006-12-27,65.88,66.050003,65.83,65.92,1292600
2006-12-28,65.78,66.14,65.61,65.92,961200
2006-12-29,65.75,65.85,64.9,65.11,1554400
2007-01-03,65.14,65.85,65.0,65.28,2694800
2007-01-04,65.35,65.44,64.91,65.36,2285100
2007-01-05,65.29,65.4,64.92,65.18,2217800
2007-01-08,64.4,65.37,64.22,65.27,2781500
2007-01-09,65.31,65.64,64.69,64.93,2416300
2007-01-10,64.7,64.9,64.52,64.76,1627400
2007-01-11,64.95,65.0,63.74,64.11,4773000
2007-01-12,63.8,64.98,63.72,64.6,3511600
2007-01-16,64.91,64.99,64.4,64.45,2153800
2007-01-17,64.54,64.81,64.34,64.5,2131600
2007-01-18,64.65,64.8,64.17,64.27,2809600
2007-01-19,64.019997,64.16,63.35,63.73,3909500
2007-01-22,63.53,63.78,62.71,63.060001,4859500
2007-01-23,63.0,63.75,62.84,63.36,2890400
2007-01-24,63.29,63.95,63.26,63.71,2388200
2007-01-25,63.58,63.92,62.94,63.12,2618600
2007-01-26,63.35,63.63,62.89,63.47,2476800
2007-01-29,63.66,64.080002,63.27,63.53,2308000
2007-01-30,63.6,64.12,63.6,64.0,3046600
2007-01-31,61.56,61.94,60.049999,60.16,12317000
2007-02-01,60.25,61.26,59.52,61.0,5705700
2007-02-02,60.95,61.21,60.55,61.19,3244900
2007-02-05,60.97,61.21,60.7,61.18,3313300
2007-02-06,61.4,61.9,61.28,61.67,2867500
2007-02-07,61.66,61.9,61.54,61.54,2226600
2007-02-08,61.5,61.76,61.33,61.53,2762200
2007-02-09,61.7,61.72,60.72,61.080002,2535500
2007-02-12,61.25,61.4,60.89,60.9,2353400
2007-02-13,60.91,61.4,60.9,61.2,3545600
2007-02-14,61.4,62.15,61.27,61.88,3546400
2007-02-15,61.71,62.4,61.71,62.27,3394500
2007-02-16,61.94,62.44,61.87,62.18,2651200
2007-02-20,62.15,62.24,61.78,62.24,1842600
2007-02-21,61.9,62.14,61.75,61.83,2989400
2007-02-22,61.77,62.4,61.7,62.0099983,1856800
2007-02-23,61.62,61.9,61.040001,61.28,3058500
2007-02-26,61.58,61.77,61.33,61.44,1829700
2007-02-27,60.97,61.27,59.78,60.19,3252600
2007-02-28,60.12,60.53,59.7,60.11,4356800
2007-03-01,59.049999,60.099998,59.040001,59.93,5046100
2007-03-02,59.51,59.89,59.35,59.6,2987700
2007-03-05,59.25,59.54,59.02,59.099998,2998200
2007-03-06,59.25,59.77,58.75,59.63,3096900
2007-03-07,59.15,59.24,58.85,58.93,3440400
2007-03-08,59.099998,59.72,59.0,59.59,4098300
2007-03-09,59.99,60.19,59.88,60.099998,2701200
2007-03-12,60.029999,60.34,59.93,60.13,1985800
2007-03-13,59.87,60.16,59.07,59.13,3050500
2007-03-14,59.18,59.44,58.28,59.3,3217300
2007-03-15,59.3,60.33,59.3,59.64,3234400
2007-03-16,59.88,60.16,59.61,59.7,4117900
2007-03-19,59.81,60.47,59.81,60.19,1956600
2007-03-20,60.2,60.78,60.17,60.6,2710300
2007-03-21,60.49,61.07,60.099998,60.84,3613700
2007-03-22,60.77,61.22,60.71,60.84,2137200
2007-03-23,60.9,61.31,60.75,60.78,2469800
2007-03-26,60.79,61.0,60.2,60.77,1985300
2007-03-27,60.67,60.89,60.35,60.42,2120000
2007-03-28,60.42,60.47,59.74,59.86,2699000
2007-03-29,60.12,60.4,59.77,60.16,1762200
2007-03-30,60.35,60.61,59.62,60.060001,1998500
2007-04-02,60.2,60.21,59.5,59.58,2543200
2007-04-03,59.62,59.8,59.46,59.61,2545500
2007-04-04,59.8,60.0099983,59.5,60.0,2705700
2007-04-05,59.8,60.42,59.75,60.32,1964800
2007-04-09,60.45,60.45,60.099998,60.36,1533200
2007-04-10,60.13,60.68,60.040001,60.67,1708600
2007-04-11,60.68,61.36,60.67,60.89,3079500
2007-04-12,60.97,61.0099983,60.44,60.99,1930700
2007-04-13,61.2,61.95,61.0,61.33,3166200
2007-04-16,61.38,62.15,61.33,61.57,3018000
2007-04-17,61.54,61.59,60.97,61.3,2950400
2007-04-18,61.22,61.8,61.22,61.27,4130600
2007-04-19,60.5,61.56,60.5,61.13,4926000
2007-04-20,61.68,62.61,61.5,62.49,6282600
