date,open,high,low,close,volume
2006-10-18,49.080002,49.77,48.8,49.57,1111800
2006-10-19,49.6,49.84,49.21,49.3,972000
2006-10-20,49.5,49.98,49.45,49.95,1047100
2006-10-23,49.6,49.91,49.3,49.54,674700
2006-10-24,49.5,49.64,48.77,49.6,860100
2006-10-25,49.99,51.09,49.93,50.89,2753400
2006-10-26,51.049999,51.29,50.89,50.95,1520200
2006-10-27,50.8,51.15,50.78,51.0,1062000
2006-10-30,51.3,52.4,51.0,51.95,2061000
2006-10-31,52.0,52.64,51.43,51.5,1328000
2006-11-01,51.75,51.75,50.42,50.56,1433700
2006-11-02,50.4,50.48,50.029999,50.2,1633200
2006-11-03,50.18,50.5,50.13,50.24,1359500
2006-11-06,50.6,52.23,50.6,52.15,2223000
2006-11-07,51.96,52.57,51.87,52.32,1695500
2006-11-08,52.32,52.7,52.14,52.25,1672200
2006-11-09,52.029999,52.09,51.080002,51.17,1335600
2006-11-10,51.35,51.35,50.93,51.2,952700
2006-11-13,51.28,51.84,51.15,51.65,1570400
2006-11-14,51.9,53.21,51.66,52.88,1267800
2006-11-15,53.13,53.34,52.73,52.94,1205700
2006-11-16,53.19,54.18,53.0,53.62,1737100
2006-11-17,53.3,54.09,53.24,53.41,1408800
2006-11-20,54.29,54.29,53.26,54.17,1666100
2006-11-21,54.22,54.56,53.73,53.92,1209000
2006-11-22,54.0,54.25,53.71,53.94,588400
2006-11-24,53.95,54.13,53.31,53.37,444500
2006-11-27,53.12,53.2,52.0,52.060001,1116700
2006-11-28,51.93,53.0099983,51.77,52.67,859300
2006-11-29,52.85,53.33,52.58,53.0099983,561600
2006-11-30,53.24,54.22,52.94,54.099998,1714000
2006-12-01,54.2,54.23,53.2,53.67,782900
2006-12-04,54.049999,54.75,53.76,54.59,1032200
2006-12-05,54.55,55.58,54.55,55.0,1435800
2006-12-06,55.0,55.099998,54.52,54.6,1076500
2006-12-07,54.8,55.09,54.65,54.85,740300
2006-12-08,54.92,55.53,54.8,55.3,810100
2006-12-11,55.7,55.79,54.8,54.94,822800
2006-12-12,54.94,55.0,54.31,54.97,774000
2006-12-13,55.2,55.3,54.58,54.77,605400
2006-12-14,54.7,55.0,54.45,54.77,1174500
2006-12-15,54.94,55.24,54.75,54.75,1755600
2006-12-18,54.8,55.31,54.8,55.099998,897000
2006-12-19,54.7,55.25,54.5,55.0099983,961700
2006-12-20,55.0099983,55.34,54.64,54.91,690700
2006-12-21,55.0,55.21,54.6,54.71,879000
2006-12-22,54.67,54.88,54.3,54.65,469200
2006-12-26,54.69,54.93,54.59,54.83,603700
2006-12-27,54.83,55.27,54.61,54.82,724200
2006-12-28,55.049999,55.049999,54.5,54.75,715200
2006-12-29,54.6,54.89,54.31,54.5,774500
2007-01-03,54.68,55.57,54.68,55.22,1858900
2007-01-04,55.34,55.75,55.07,55.58,1586600
2007-01-05,55.45,55.66,55.02,55.5,1045100
2007-01-08,55.51,56.3,55.27,56.19,1227600
2007-01-09,56.36,56.71,56.09,56.53,1161200
2007-01-10,56.54,56.87,56.13,56.76,1047800
2007-01-11,56.72,57.93,56.5,57.81,1149200
2007-01-12,57.56,58.18,57.54,57.98,1236100
2007-01-16,58.2,58.5,57.5,58.07,1371900
2007-01-17,58.060001,58.29,57.79,58.040001,1117000
