date,open,high,low,close,volume
2006-10-18,37.6,37.66,36.85,37.18,1625400
2006-10-19,37.0,37.35,36.85,37.19,1557800
2006-10-20,37.17,37.55,37.15,37.45,1175100
2006-10-23,37.4,37.56,36.57,36.64,1581900
2006-10-24,36.4,36.64,35.75,35.95,2441600
2006-10-25,36.0,36.34,35.69,35.7,2548200
2006-10-26,35.7,37.69,35.66,37.15,3885500
2006-10-27,37.0,37.11,36.57,36.86,1517900
2006-10-30,37.4,37.42,35.82,35.93,3445400
2006-10-31,36.049999,36.31,35.53,36.02,2108800
2006-11-01,36.36,36.48,35.66,36.0,1729100
2006-11-02,36.0,37.099998,35.91,37.049999,3069400
2006-11-03,37.3,37.3,36.45,37.02,1611000
2006-11-06,37.049999,37.62,37.049999,37.39,1166600
2006-11-07,36.95,37.84,36.76,37.62,2012900
2006-11-08,37.52,37.64,37.15,37.29,2547700
2006-11-09,37.65,38.060001,36.72,36.96,3043200
2006-11-10,36.96,37.0,35.85,36.060001,5072800
2006-11-13,36.09,36.39,36.040001,36.24,3253900
2006-11-14,36.3,36.6,36.040001,36.54,3044200
2006-11-15,36.74,37.88,36.5,37.78,3247100
2006-11-16,38.2,38.26,37.62,37.7,3255300
2006-11-17,37.7,37.86,37.19,37.62,2604000
2006-11-20,37.62,37.93,37.41,37.6,2336400
2006-11-21,37.82,38.28,37.75,38.27,1750200
2006-11-22,38.17,38.5,37.99,38.0099983,1137300
2006-11-24,37.76,38.24,37.57,38.040001,428000
2006-11-27,37.65,37.85,36.74,37.4,2672900
2006-11-28,37.15,37.16,36.79,36.96,1809000
2006-11-29,38.0,38.74,37.9,38.23,4901000
2006-11-30,38.3,38.54,37.45,37.87,6020100
2006-12-01,38.099998,38.33,37.25,37.65,2086200
2006-12-04,37.65,37.81,37.45,37.7,2723300
2006-12-05,37.62,37.75,37.22,37.35,2695200
2006-12-06,37.6,37.99,37.38,37.74,2426700
2006-12-07,37.84,38.2,37.25,37.37,1565900
2006-12-08,37.39,37.4,36.95,37.11,1807800
2006-12-11,37.33,37.98,37.0099983,37.71,2482100
2006-12-12,37.57,37.68,36.73,36.79,2576700
2006-12-13,37.049999,37.14,36.15,36.35,3958900
2006-12-14,36.22,36.62,36.049999,36.22,2277300
2006-12-15,36.29,36.93,36.22,36.85,4067200
2006-12-18,36.9,37.3,36.64,36.85,2370900
2006-12-19,37.0,37.58,36.65,37.25,3404200
2006-12-20,37.4,38.31,36.89,36.98,2899400
2006-12-21,36.96,37.22,36.41,36.57,2070000
2006-12-22,36.65,36.77,36.14,36.16,1952100
2006-12-26,36.16,36.35,35.99,36.18,1668200
2006-12-27,36.18,36.46,35.99,36.37,1885500
2006-12-28,36.25,37.0,36.15,36.97,2631200
2006-12-29,36.9,37.44,36.86,37.28,2284400
2007-01-03,37.34,38.080002,37.21,38.0,5518800
2007-01-04,38.080002,38.2,37.68,37.85,4271800
2007-01-05,37.86,38.16,37.09,37.52,3116100
2007-01-08,37.53,38.75,36.63,38.59,2604200
2007-01-09,39.0,39.5,38.59,39.15,5293500
2007-01-10,39.15,39.4,38.94,39.31,3169000
2007-01-11,39.31,39.6,39.0,39.45,2712700
2007-01-12,39.3,40.0,39.3,39.79,3717200
2007-01-16,39.8,39.97,39.45,39.75,2726000
2007-01-17,39.75,40.0,39.57,39.64,2848100
2007-01-18,39.64,40.25,39.54,39.71,3822200
2007-01-19,39.64,40.32,39.62,40.0,2497200
2007-01-22,40.2,40.24,39.48,39.66,2021300
2007-01-23,39.46,40.15,39.41,40.07,2311500
2007-01-24,40.0,40.37,39.85,40.14,2189500
2007-01-25,40.24,40.46,39.8,40.0,2249800
2007-01-26,40.0,40.19,39.71,40.02,1519400
2007-01-29,39.9,40.22,39.3,39.54,1907500
2007-01-30,39.68,39.97,39.6,39.78,1569500
2007-01-31,39.68,39.99,39.48,39.83,1587700
2007-02-01,39.99,40.24,39.8,40.02,2217500
2007-02-02,40.02,40.15,39.62,39.94,1105500
2007-02-05,39.85,40.16,39.73,40.040001,1546200
2007-02-06,40.0,40.16,39.88,40.099998,5284200
2007-02-07,40.3,40.5,39.98,40.15,1980100
2007-02-08,40.38,40.45,40.13,40.15,3726300
2007-02-09,40.35,40.5,39.62,39.92,2227300
2007-02-12,39.92,39.99,39.35,39.5,1532600
2007-02-13,39.5,39.98,39.47,39.55,3985300
2007-02-14,39.54,40.029999,39.5,39.6,3199400
2007-02-15,39.85,40.53,39.67,40.17,3589400
2007-02-16,40.29,40.45,40.0099983,40.32,2863000
2007-02-20,40.97,41.31,40.69,40.84,3957700
2007-02-21,40.65,40.93,40.29,40.6,2770400
2007-02-22,40.6,41.15,40.17,40.38,2722200
2007-02-23,40.47,40.64,40.18,40.25,1670500
2007-02-26,40.25,40.63,40.0,40.44,1590700
2007-02-27,39.65,40.02,38.22,38.85,4531000
2007-02-28,39.31,39.31,38.12,38.72,3196800
2007-03-01,38.16,38.59,37.63,38.36,3289700
2007-03-02,38.0,38.22,37.63,37.77,2290100
2007-03-05,37.25,37.81,37.099998,37.18,3760500
2007-03-06,36.8,38.12,36.8,38.0,2506700
2007-03-07,37.98,38.22,37.75,37.81,1996200
2007-03-08,37.95,38.33,37.87,37.98,3115200
2007-03-09,38.49,38.59,37.62,37.83,2730700
2007-03-12,37.8,38.78,37.63,38.61,3319800
2007-03-13,38.33,38.73,37.55,37.67,2023600
2007-03-14,37.58,37.89,37.17,37.62,2658300
2007-03-15,37.63,37.88,37.26,37.52,1642500
2007-03-16,37.4,37.77,37.34,37.55,2075900
2007-03-19,37.65,38.0,37.65,37.83,2460300
2007-03-20,37.72,38.27,36.94,38.049999,1932100
2007-03-21,38.24,39.33,38.23,39.21,3891200
2007-03-22,39.21,39.49,39.0,39.31,2207200
2007-03-23,39.37,39.86,39.22,39.66,2699700
2007-03-26,39.66,39.81,39.11,39.6,3082300
2007-03-27,39.45,39.5,38.84,39.0,1944300
2007-03-28,39.89,40.07,38.3,38.37,2841500
2007-03-29,38.73,39.0,38.11,38.57,1580700
2007-03-30,38.83,39.0,38.26,38.95,1624800
2007-04-02,38.060001,39.02,37.83,38.99,1724700
2007-04-03,39.029999,39.5,39.02,39.23,1441600
2007-04-04,39.23,39.46,38.88,39.099998,1385800
2007-04-05,39.11,39.45,39.060001,39.3,1726900
2007-04-09,39.32,39.75,39.24,39.33,1367500
2007-04-10,39.33,39.65,39.25,39.45,2400100
2007-04-11,39.5,39.79,39.18,39.48,1578500
2007-04-12,39.5,39.63,39.28,39.46,1684900
2007-04-13,39.45,39.75,39.41,39.54,1238300
2007-04-16,39.64,39.9,39.47,39.5,2087900
2007-04-17,39.52,39.88,39.41,39.76,1652300
2007-04-18,39.57,39.95,39.5,39.83,1714800
2007-04-19,39.73,39.81,39.36,39.5,1429400
2007-04-20,39.62,39.8,39.099998,39.21,2429900
2007-04-23,39.15,39.48,38.52,38.8,2707400
2007-04-24,38.73,39.19,38.72,39.099998,2686600
2007-04-25,39.15,39.45,38.95,39.07,2286400
2007-04-26,39.02,39.19,38.48,38.58,2061400
2007-04-27,38.32,38.77,38.21,38.64,1486000
2007-04-30,38.64,38.64,37.96,38.0,2148800
2007-05-01,38.02,38.41,37.64,38.0,2863300
2007-05-02,38.41,38.8,37.92,38.65,2718000
2007-05-03,38.55,38.72,38.060001,38.14,2746100
2007-05-04,38.25,38.51,38.16,38.41,1746400
2007-05-07,39.68,39.79,38.86,39.0,3943200
2007-05-08,39.4,40.07,39.060001,39.64,4747800
2007-05-09,39.65,39.94,39.21,39.4,4032900
2007-05-10,39.25,39.6,38.6,38.74,5655300
2007-05-11,38.73,39.89,38.65,39.83,3035600
2007-05-14,39.82,40.87,39.81,40.66,6322400
2007-05-15,40.68,41.080002,40.34,40.34,2969500
2007-05-16,41.23,41.54,40.3,40.74,2247800
2007-05-17,40.73,40.88,40.54,40.65,2643300
2007-05-18,40.66,41.35,40.36,41.31,2506600
2007-05-21,41.31,41.65,41.18,41.34,3277700
2007-05-22,41.25,41.57,41.0,41.38,3012000
2007-05-23,41.63,42.26,41.41,41.72,2511100
2007-05-24,41.75,42.44,41.33,41.37,2949600
2007-05-25,41.55,42.09,41.46,41.87,1611200
2007-05-29,41.96,42.38,41.82,42.29,3808500
2007-05-30,42.060001,43.0,41.92,42.86,3254500
2007-05-31,42.99,43.6,42.91,43.18,2103800
2007-06-01,43.28,43.36,42.86,42.95,2211300
2007-06-04,43.84,43.84,42.66,42.83,1916100
2007-06-05,43.59,43.71,42.54,42.87,2155700
2007-06-06,42.58,42.6,41.87,42.15,2352600
2007-06-07,41.88,41.88,41.049999,41.25,2372700
2007-06-08,40.4,41.78,40.32,41.62,2110500
2007-06-11,41.46,42.15,41.46,41.92,1731900
2007-06-12,41.67,42.65,41.6,42.23,3240700
2007-06-13,42.4,42.9,42.0099983,42.44,2186000
2007-06-14,41.55,42.88,41.55,42.5,2375800
2007-06-15,42.68,43.22,42.68,42.93,2363900
2007-06-18,42.51,43.02,42.38,42.83,2858400
2007-06-19,42.9,43.5,42.85,43.13,2508200
2007-06-20,43.09,43.15,41.81,41.82,1600000
2007-06-21,41.5,41.79,41.28,41.71,2252500
2007-06-22,41.54,41.95,41.35,41.45,1794400
2007-06-25,41.48,41.84,40.95,41.0,1911200
2007-06-26,41.25,41.44,40.48,40.63,2973800
2007-06-27,40.4,41.9,40.25,41.7,3246200
2007-06-28,42.18,42.27,41.72,41.79,2479100
2007-06-29,41.72,42.09,41.59,42.0,2995500
2007-07-02,42.39,43.18,42.22,43.13,2754400
2007-07-03,43.13,43.26,42.76,42.82,923000
2007-07-05,42.84,43.0099983,42.55,42.75,1287000
2007-07-06,42.63,43.57,42.37,43.49,1919400
2007-07-09,43.38,43.57,43.029999,43.27,1316300
2007-07-10,42.95,43.15,42.29,42.39,2089200
2007-07-11,42.25,42.65,41.99,42.6,3427900
2007-07-12,42.81,44.3,42.74,44.28,2964500
2007-07-13,44.55,44.57,43.96,44.42,1260600
2007-07-16,44.21,44.5,43.8,44.029999,2428900
2007-07-17,44.2,44.46,43.66,43.76,2318100
2007-07-18,43.55,43.65,43.11,43.5,4229700
2007-07-19,43.91,45.29,43.75,45.15,4400500
2007-07-20,45.15,45.45,44.6,45.02,3399500
2007-07-23,45.15,45.25,44.67,44.72,2839400
2007-07-24,44.15,44.47,43.39,43.42,2648400
