date,open,high,low,close,volume
2014-06-06,3.45312,3.75,3.4375,3.4375,116081600
2014-06-09,3.51562,3.5625,3.4375,3.45,11470400
2014-06-10,3.45312,3.75,3.45312,3.75,15788800
2014-06-11,3.75,3.96875,3.66625,3.96875,10568000
2014-06-12,3.97813,4.23938,3.94187,4.125,11668800
2014-06-13,4.27938,4.5,4.1875,4.34875,17051200
2014-06-16,4.45125,4.46875,4.22719,4.46875,6672000
2014-06-17,4.49312,4.53937,4.3125,4.35687,4457600
2014-06-18,4.37937,4.4375,4.2425,4.31,3340800
2014-06-19,4.25187,4.30062,4.031875,4.10437,10425600
2014-06-20,4.065625,4.28125,4.03125,4.071875,4704000
2014-06-23,4.06375,4.21812,4.06375,4.10687,1864000
2014-06-24,4.14687,4.17188,3.99187,4.0175,3084800
2014-06-25,3.98813,4.084875,3.875,4.030625,2979200
2014-06-26,4.050625,4.050625,3.90625,3.98813,1553600
2014-06-27,3.99437,3.99437,3.89062,3.90937,3915200
2014-06-30,3.87937,4.075,3.87937,3.89937,3712000
2014-07-01,4.18563,4.80188,4.13125,4.75,26531200
2014-07-02,4.92125,5.033125,4.575,4.70937,18024000
2014-07-03,4.7775,4.85169,4.63125,4.77563,3902400
2014-07-07,4.6975,4.83063,4.50187,4.51062,5065600
2014-07-08,4.49563,4.50313,3.94625,4.33938,18859200
2014-07-09,4.33125,4.55625,4.12563,4.49375,5952000
2014-07-10,4.22,4.38375,4.19525,4.23375,4748800
2014-07-11,4.3,4.40625,4.27187,4.35187,3067200
2014-07-14,4.4625,4.5,4.28312,4.30937,2096000
2014-07-15,4.34062,4.41,4.125,4.16813,3617600
2014-07-16,4.19187,4.25,3.97563,4.033125,3963200
2014-07-17,3.99312,4.10125,3.94438,3.985,2083200
2014-07-18,4.0018749,4.05625,3.95937,4.0,1979200
2014-07-21,4.0081248,4.045625,3.93812,3.95187,2299200
2014-07-22,3.985,4.185,3.96625,4.094375,3774400
2014-07-23,4.11812,4.1675,4.025,4.05125,2366400
2014-07-24,4.069375,4.135,3.98563,4.015625,2921600
2014-07-25,4.0093751,4.04875,3.90687,3.9775,1849600
2014-07-28,4.0325,4.034,3.93937,3.96312,1078400
2014-07-29,3.97438,4.0031252,3.94688,3.99062,1702400
2014-07-30,4.03,4.24375,3.99813,4.23688,9729600
2014-07-31,4.14625,4.1875,4.069375,4.1325,4123200
2014-08-01,4.11375,4.21875,4.078125,4.10063,3099200
2014-08-04,4.12437,4.34375,4.105,4.32688,4089600
2014-08-05,4.30188,4.5625,4.25125,4.50562,6438400
2014-08-06,4.46125,4.53125,4.34562,4.42625,3609600
2014-08-07,4.48562,4.54125,4.449,4.51375,6601600
2014-08-08,4.95312,4.9925,4.46875,4.50187,22822400
2014-08-11,4.54313,4.5875,4.20687,4.36625,11841600
2014-08-12,4.3425,4.48037,4.3425,4.44438,3568000
2014-08-13,4.44625,4.49813,4.33362,4.365,4376000
2014-08-14,4.35813,4.48125,4.3,4.42562,4265600
2014-08-15,4.46375,4.46375,4.33625,4.36375,2265600
2014-08-18,4.42812,4.46063,4.32812,4.40688,2814400
2014-08-19,4.42125,4.69875,4.38531,4.6875,7649600
2014-08-20,4.64563,4.82931,4.55631,4.775,6334400
2014-08-21,4.7425,4.89937,4.70813,4.83437,6964800
2014-08-22,4.78062,4.81,4.70312,4.72625,2841600
2014-08-25,4.75313,4.84,4.67562,4.72375,2838400
2014-08-26,4.715,4.79812,4.66656,4.76062,2603200
2014-08-27,4.74937,5.21688,4.74813,5.1975,11587200
2014-08-28,5.185,5.24312,5.098125,5.21562,5492800
2014-08-29,5.30562,5.36181,5.17125,5.24062,5288000
2014-09-02,5.32125,5.4175,5.26438,5.38125,5273600
2014-09-03,5.4475,5.4725,5.30688,5.35063,5364800
2014-09-04,5.33813,5.58125,5.32438,5.46812,5163200
2014-09-05,5.46375,5.70813,5.38312,5.695,3756800
2014-09-08,5.69688,5.87125,5.35563,5.47875,11846400
2014-09-09,5.5,5.55513,5.23625,5.2675,5438400
