date,open,high,low,close,volume
2006-10-18,35.34,35.75,35.11,35.38,2005800
2006-10-19,35.37,35.48,35.12,35.43,1557100
2006-10-20,35.62,35.83,35.099998,35.21,1482700
2006-10-23,35.21,35.93,35.13,35.84,1622000
2006-10-24,35.71,35.75,35.22,35.48,1165200
2006-10-25,35.33,35.46,35.049999,35.45,1243600
2006-10-26,35.3,35.57,35.22,35.55,1015200
2006-10-27,35.4,35.4,34.73,34.86,802800
2006-10-30,34.9,35.31,34.83,35.049999,1002100
2006-10-31,34.93,35.080002,34.46,34.79,1661600
2006-11-01,34.76,35.12,34.56,34.7,1464700
2006-11-02,33.75,34.8,33.049999,34.48,3517600
2006-11-03,34.36,34.64,33.89,33.95,1417100
2006-11-06,34.0,34.33,33.9,34.16,896400
2006-11-07,34.080002,34.32,34.049999,34.29,924000
2006-11-08,34.29,34.48,34.19,34.41,1823600
2006-11-09,34.45,34.48,34.21,34.25,1447700
2006-11-10,34.37,34.96,34.37,34.8,1914300
2006-11-13,34.79,35.26,34.73,35.02,1394300
2006-11-14,35.0,35.099998,34.75,34.86,1289000
2006-11-15,34.91,35.42,34.9,35.3,1991100
2006-11-16,35.3,35.61,35.24,35.34,1285900
2006-11-17,35.34,35.45,35.15,35.31,1550600
2006-11-20,35.5,35.99,35.34,35.66,2426000
2006-11-21,35.64,35.65,35.26,35.29,1347300
2006-11-22,35.19,35.85,35.19,35.76,1454200
2006-11-24,35.51,35.85,35.51,35.74,778300
2006-11-27,35.65,35.69,34.94,34.98,1475200
2006-11-28,34.8,35.029999,34.54,34.61,1935600
2006-11-29,34.8,35.38,34.76,35.3,832400
2006-11-30,35.4,35.96,35.35,35.68,1928500
2006-12-01,35.68,35.68,35.049999,35.64,1915200
2006-12-04,35.64,36.43,35.63,36.15,3429200
2006-12-05,36.11,36.85,36.099998,36.69,2256900
2006-12-06,36.74,37.080002,36.64,37.040001,1393200
2006-12-07,36.86,36.86,36.0,36.8,5440600
2006-12-08,36.91,37.09,36.43,36.5,2890500
2006-12-11,36.5,36.7,36.33,36.6,2072900
2006-12-12,36.6,36.87,36.46,36.87,1964000
2006-12-13,37.0,37.11,36.43,36.46,2371400
2006-12-14,36.49,36.68,36.35,36.4,1432200
2006-12-15,36.31,36.41,36.099998,36.21,2790800
2006-12-18,36.15,36.58,35.99,36.0,1508500
2006-12-19,35.95,36.040001,35.71,35.86,1601500
2006-12-20,35.89,36.13,35.82,35.96,1930300
2006-12-21,35.89,36.15,35.89,35.96,1331500
2006-12-22,35.93,36.02,35.45,35.57,978200
2006-12-26,35.3,35.53,34.87,35.5,860400
2006-12-27,35.53,35.68,35.32,35.55,1551600
2006-12-28,35.38,35.62,35.3,35.35,784900
2006-12-29,35.35,35.42,35.14,35.34,1072900
2007-01-03,35.3,35.78,35.27,35.39,1792500
2007-01-04,35.38,35.86,35.23,35.79,2086300
2007-01-05,35.76,35.87,35.58,35.58,2594800
2007-01-08,35.51,35.51,35.25,35.4,1800000
2007-01-09,35.4,35.65,35.07,35.2,1660100
2007-01-10,35.14,35.3,34.97,35.18,1215600
2007-01-11,35.12,35.44,35.080002,35.2,1330200
2007-01-12,35.2,35.73,35.12,35.64,1515700
2007-01-16,35.61,35.74,35.38,35.45,2608600
2007-01-17,35.45,35.51,34.68,34.7,2736000
2007-01-18,34.65,34.84,34.3,34.67,1821900
2007-01-19,34.8,35.78,34.7,35.58,2706600
2007-01-22,35.38,35.74,35.25,35.43,2480900
2007-01-23,35.33,35.86,35.13,35.6,3418500
2007-01-24,35.6,35.92,35.0,35.66,2421700
2007-01-25,35.69,36.2,35.47,35.69,2136800
2007-01-26,35.63,35.87,35.53,35.73,1424500
2007-01-29,35.79,36.0,35.43,35.62,1691600
2007-01-30,35.48,35.66,35.32,35.45,1864700
2007-01-31,35.46,35.93,35.36,35.86,1185500
2007-02-01,35.87,36.18,35.69,36.12,1189600
2007-02-02,36.24,36.55,36.099998,36.45,1536900
2007-02-05,36.31,36.57,36.29,36.48,1370400
2007-02-06,36.5,36.73,36.47,36.66,1562400
2007-02-07,36.7,37.060001,36.38,36.78,1671200
2007-02-08,36.78,36.79,36.099998,36.43,1790400
2007-02-09,37.42,38.95,36.91,37.73,4448900
2007-02-12,37.67,38.26,37.47,38.18,2159600
2007-02-13,37.99,38.71,37.99,38.58,1589300
2007-02-14,38.58,38.88,38.55,38.8,1648700
2007-02-15,38.8,38.95,38.5,38.81,2676300
2007-02-16,38.72,39.2,38.72,39.0099983,1414700
2007-02-20,38.7,39.21,38.43,39.080002,1644200
2007-02-21,39.029999,39.2,38.54,38.65,1533900
2007-02-22,38.8,39.099998,38.55,38.66,1421100
2007-02-23,38.66,39.040001,38.5,38.7,1603300
2007-02-26,38.7,39.18,38.57,38.69,1014500
2007-02-27,38.5,38.63,37.049999,37.36,2137000
2007-02-28,37.45,38.040001,37.42,37.64,1409800
2007-03-01,37.4,37.62,36.75,37.4,1410500
2007-03-02,37.41,37.99,37.02,37.56,1797600
2007-03-05,37.3,37.84,37.099998,37.49,1821600
2007-03-06,37.65,37.92,37.29,37.85,1432200
2007-03-07,37.68,38.099998,37.33,37.92,1746800
2007-03-08,38.0,38.3,37.72,37.88,1235800
2007-03-09,38.0,38.31,37.91,38.09,1306700
2007-03-12,37.9,38.0,37.37,37.55,1816800
2007-03-13,37.46,37.5,36.83,36.83,1871900
2007-03-14,36.75,37.09,36.19,36.74,1650600
2007-03-15,36.75,37.51,36.69,37.43,1397100
2007-03-16,37.41,38.25,37.39,37.94,2624300
2007-03-19,37.82,38.26,37.67,38.25,1339600
