date,open,high,low,close,volume
2006-10-18,6.5,6.52167,6.16,6.23,3179400
2006-10-19,6.22667,6.32,6.175,6.23167,1740600
2006-10-20,6.24833,6.24833,6.07,6.10833,1126800
2006-10-23,6.066667,6.085,5.975,6.0,2075400
2006-10-24,5.98333,6.016667,5.85167,5.90667,3285000
2006-10-25,5.925,6.076667,5.92333,6.035,2149800
2006-10-26,6.075,6.075,5.89167,5.94,1893600
2006-10-27,5.92333,6.0066671,5.83,5.89833,1524600
2006-10-30,5.89167,5.975,5.84333,5.9,1609200
2006-10-31,5.88667,5.91667,5.825,5.86,3181200
2006-11-01,5.88667,5.91333,5.75667,5.76333,2510400
2006-11-02,5.73833,5.815,5.67333,5.75833,2136600
2006-11-03,5.76333,5.8,5.655,5.70667,1362000
2006-11-06,5.76,5.81667,5.67333,5.79333,1038000
2006-11-07,5.79333,5.86,5.75167,5.785,1260600
2006-11-08,5.75167,5.84667,5.70333,5.80167,928800
2006-11-09,5.81,5.88333,5.75833,5.84167,2673000
2006-11-10,5.84167,5.91167,5.83333,5.89333,982200
2006-11-13,5.86333,5.95333,5.85833,5.92333,1199400
2006-11-14,5.92667,6.14833,5.88333,6.13167,2682600
2006-11-15,6.17333,6.33333,6.14167,6.25,4235400
2006-11-16,6.29167,6.3,6.22667,6.25333,1544400
2006-11-17,6.25,6.25,6.12167,6.14833,818400
2006-11-20,6.21333,6.21833,6.15,6.19333,681600
2006-11-21,6.19167,6.19167,6.078333,6.18167,2220000
2006-11-22,6.17833,6.22833,6.10333,6.10833,1378800
2006-11-24,6.066667,6.16,6.046667,6.105,359400
2006-11-27,6.041667,6.13333,5.91333,5.93833,1506000
2006-11-28,5.92833,5.95,5.82667,5.84833,1911000
2006-11-29,5.89,5.97,5.89,5.96667,1384800
2006-11-30,5.97,6.013333,5.89667,5.965,1016400
2006-12-01,6.025,6.056667,5.89167,6.001667,1672800
2006-12-04,6.025,6.12667,6.016667,6.066667,873600
2006-12-05,6.1,6.10833,5.98333,6.066667,1588200
2006-12-06,6.066667,6.098333,6.013333,6.066667,903000
2006-12-07,6.081667,6.093333,5.94667,5.98667,1254600
2006-12-08,5.96667,5.99167,5.88833,5.90833,1933800
2006-12-11,5.91,5.96667,5.88667,5.91333,1620000
2006-12-12,5.89333,5.91167,5.75,5.79667,1786800
2006-12-13,5.83667,5.855,5.73333,5.745,886800
2006-12-14,5.75833,5.79,5.685,5.73167,2649600
2006-12-15,5.74,5.795,5.675,5.675,1507200
2006-12-18,5.675,5.89333,5.675,5.89,2713800
2006-12-19,5.86333,5.98,5.78333,5.93333,3146400
2006-12-20,5.98333,6.125,5.95333,6.075,3764400
2006-12-21,6.15,6.22833,6.13333,6.18167,2670600
2006-12-22,6.18167,6.31,6.18167,6.19167,1722600
2006-12-26,6.20833,6.305,6.19667,6.3,1090200
2006-12-27,6.31333,6.34833,6.26167,6.33333,1497000
2006-12-28,6.33333,6.36833,6.31833,6.33667,1108800
2006-12-29,6.35,6.38,6.26,6.26,1148400
2007-01-03,6.29167,6.29167,6.13,6.18167,3225000
2007-01-04,6.18167,6.18333,6.056667,6.145,1650000
2007-01-05,6.0050001,6.14333,6.0050001,6.043333,1492800
2007-01-08,6.031667,6.071667,5.97833,6.046667,1254000
2007-01-09,6.03,6.066667,5.96333,6.058333,1551600
2007-01-10,6.0083332,6.023333,5.94333,6.015,1596000
2007-01-11,6.033333,6.071667,5.99667,6.071667,1560600
2007-01-12,6.05,6.07,5.98667,6.07,797400
2007-01-16,6.07,6.083333,5.98,6.013333,1653000
2007-01-17,5.99,6.065,5.99,6.04,747600
2007-01-18,6.033333,6.091667,5.98667,6.0,1558800
2007-01-19,6.015,6.015,5.91667,6.0,1308600
2007-01-22,6.28333,6.79,6.28333,6.375,8574600
2007-01-23,6.375,6.44167,6.30333,6.38833,3181800
2007-01-24,6.40667,6.51667,6.38167,6.48333,2107800
2007-01-25,6.49667,6.49667,6.27667,6.305,2225400
2007-01-26,6.31167,6.42833,6.30667,6.41333,1036800
2007-01-29,6.39167,6.425,6.33667,6.37167,990000
2007-01-30,6.4,6.42833,6.33167,6.41333,1024800
2007-01-31,6.39667,6.44167,6.32333,6.39167,856800
