date,open,high,low,close,volume
2006-10-18,65.43,66.089996,64.82,65.099998,3292800
2006-10-19,65.6,67.26,65.34,67.13,3791200
2006-10-20,67.25,67.28,65.29,65.94,2576200
2006-10-23,65.15,66.0,65.019997,65.89,2408600
2006-10-24,65.65,68.080002,65.44,67.71,4013600
2006-10-25,66.029999,69.32,66.029999,68.91,5413400
2006-10-26,69.88,70.0,67.52,68.21,4203400
2006-10-27,67.4,68.019997,66.4,66.52,3346400
2006-10-30,65.52,65.96,65.15,65.32,2920900
2006-10-31,65.2,65.66,64.019997,65.32,5162200
2006-11-01,65.37,65.4,63.029999,63.98,5085100
2006-11-02,63.52,64.75,63.19,64.15,3964000
2006-11-03,65.15,66.37,64.95,65.65,3216600
2006-11-06,65.5,66.059998,64.64,65.91,4370700
2006-11-07,65.75,66.010002,64.49,64.9,3380800
2006-11-08,64.57,66.010002,64.56,65.24,3156700
2006-11-09,66.35,67.3,65.85,66.51,3937700
2006-11-10,65.86,66.050003,64.76,65.19,2677200
2006-11-13,64.27,65.38,63.88,64.56,3338200
2006-11-14,64.81,65.15,64.35,64.75,2702400
2006-11-15,65.49,66.34,65.18,65.65,4733100
2006-11-16,66.010002,66.34,63.93,64.050003,4790300
2006-11-17,63.8,65.94,63.6,65.49,3686800
2006-11-20,64.88,65.75,64.57,64.78,3106800
2006-11-21,65.34,66.07,64.94,65.7,2861200
2006-11-22,65.7,65.74,64.26,65.059998,2504800
2006-11-24,65.11,66.37,64.99,65.17,1115100
2006-11-27,66.25,66.58,65.44,65.46,3376500
2006-11-28,65.71,66.5,65.64,66.040001,3533000
2006-11-29,66.5,69.48,66.36,69.28,6614300
2006-11-30,69.0,70.059998,68.86,69.93,5110800
2006-12-01,69.0,69.68,68.13,69.55,2677900
2006-12-04,69.49,69.5,68.32,68.86,2250100
2006-12-05,69.23,69.74,68.44,69.14,2476900
2006-12-06,68.9,70.29,68.83,69.12,2594500
2006-12-07,69.51,69.56,68.47,68.84,2077100
2006-12-08,69.5,69.99,68.84,69.080002,2271400
2006-12-11,68.51,69.25,68.17,68.55,2376300
2006-12-12,69.92,69.92,68.050003,68.61,2419400
2006-12-13,68.57,69.53,68.4,69.010002,2759700
