date,open,high,low,close,volume
2006-10-18,64.15356,64.34782,63.33025,63.60777,877880
2006-10-19,63.043476,63.62627,62.72895,63.321,568066
2006-10-20,63.44126,63.87604,62.6827,63.63552,923390
2006-10-23,63.70953,64.061058,63.51526,63.90379,410348
2006-10-24,63.90379,64.40333,63.3765,63.89454,890852
2006-10-25,64.47733,64.56984,63.034229,63.49676,1160237
2006-10-26,63.49676,63.9593,63.12674,63.59852,887501
2006-10-27,63.59852,64.051804,62.95097,63.52451,774753
2006-10-30,63.27475,64.7271,63.089733,64.57909,885123
2006-10-31,64.28307,64.82887,64.17207,64.44958,1108457
2006-11-01,64.6346,65.58742,64.49583,64.5976,853666
2006-11-02,64.19981,65.18964,64.16281,64.50509,851288
2006-11-03,64.69935,64.84737,64.042557,64.18131,645681
2006-11-06,64.66235,65.28214,64.38483,65.10638,817885
2006-11-07,64.89362,65.20814,64.73636,64.98612,828695
2006-11-08,64.99538,65.67068,64.98612,65.41166,703082
2006-11-09,65.21739,65.35616,63.82979,63.95005,1642580
2006-11-10,64.18131,64.30157,63.73728,64.079559,1019924
2006-11-13,64.079559,64.50509,63.93155,64.39408,505584
2006-11-14,64.56984,64.74561,63.59852,64.49583,555958
2006-11-15,64.53284,64.64384,64.24607,64.26457,702110
2006-11-16,64.74561,65.17113,64.44958,65.0046234,667409
2006-11-17,64.74561,64.75486,64.15356,64.73636,873556
2006-11-20,64.56984,64.95837,64.45883,64.58834,529366
2006-11-21,64.5976,64.7086,64.15356,64.36633,699407
2006-11-22,65.17113,66.54024,65.087883,66.16096,1580422
2006-11-24,66.0037003,66.18871,65.68918,66.0037003,372945
2006-11-27,65.49491,65.66142,64.079559,64.14431,1168453
2006-11-28,64.10731,64.62534,63.83904,64.12581,1021761
2006-11-29,64.17207,64.57909,63.95005,64.56059,647843
2006-11-30,64.43108,64.66235,63.74653,63.9593,762754
2006-12-01,64.19981,64.33858,63.60777,64.10731,775942
2006-12-04,64.47733,65.2729,64.38483,65.12489,1366168
2006-12-05,65.032379,65.74468,64.94912,65.63367,1126943
2006-12-06,65.63367,65.84644,65.21739,65.3839,661032
2006-12-07,65.84644,65.99445,65.3654,65.3654,666437
2006-12-08,65.37466,66.077705,65.25439,66.031448,1161967
2006-12-11,65.88344,65.9482,65.43016,65.86494,706542
2006-12-12,66.14246,66.14246,65.18039,65.81869,985656
2006-12-13,66.32748,66.48473,66.031448,66.41073,1189316
2006-12-14,66.18871,66.82701,66.15171,66.72525,801562
2006-12-15,66.74376,67.021278,66.42923,67.021278,1182722
2006-12-18,66.92877,66.92877,66.55874,66.72525,667085
2006-12-19,66.72525,66.94727,66.32748,66.77151,727729
2006-12-20,66.77151,67.021278,66.54949,66.74376,573471
2006-12-21,66.74376,66.86401,65.83719,65.93894,1146401
2006-12-22,65.93894,66.049957,65.15263,65.15263,798967
2006-12-26,65.15263,65.77243,65.05088,65.68918,469911
2006-12-27,65.81869,66.54024,65.79093,66.54024,632601
2006-12-28,66.18871,66.27197,65.73543,65.9667,433913
2006-12-29,65.82793,65.82793,64.93062,65.013878,504935
2007-01-03,65.069382,66.642,64.91212,66.52174,2067088
2007-01-04,66.52174,66.55874,64.89362,65.060127,1254825
2007-01-05,64.97688,65.0046234,63.88529,64.15356,2662503
2007-01-08,64.33858,64.33858,63.69103,64.070305,1236556
2007-01-09,63.9963,64.36633,63.71878,63.93155,1529939
2007-01-10,63.80204,64.6161,63.44126,64.44958,871502
2007-01-11,64.7271,65.75393,64.47733,65.59667,1178831
2007-01-12,65.72618,66.30898,65.58742,66.0037003,1076027
2007-01-16,65.70768,65.97594,65.25439,65.73543,1234394
2007-01-17,65.79093,66.0037003,65.3469,65.76318,891393
2007-01-18,65.0046234,66.14246,65.0046234,65.37466,901122
2007-01-19,65.60592,66.14246,65.28214,65.92044,728270
2007-01-22,65.92044,66.17021,65.2914,65.54117,1033760
2007-01-23,65.31915,66.19797,64.75486,65.9297,757241
2007-01-24,67.81683,68.91767,67.36355,68.40888,2501110
2007-01-25,69.15819,69.15819,67.46531,67.90934,1540857
2007-01-26,67.90934,68.085106,67.21554,67.80759,1504860
