date,open,high,low,close,volume
2011-03-30,18.7,19.0,18.15,18.2,30086900
2011-03-31,18.049999,18.59,17.91,18.0,9582800
2011-04-01,18.01,18.23,17.89,18.0,3199400
2011-04-04,18.07,18.16,17.8,17.88,1846600
2011-04-05,17.88,18.030001,17.65,17.98,2353300
2011-04-06,18.01,18.15,17.88,18.1,474900
2011-04-07,18.34,18.35,18.0,18.01,702100
2011-04-08,18.01,18.15,17.88,18.0,304500
2011-04-11,17.94,18.1,17.9,18.059999,486000
2011-04-12,18.1,18.34,17.87,18.19,624600
2011-04-13,18.37,18.37,18.01,18.1,199600
2011-04-14,18.01,18.27,18.0,18.25,408000
2011-04-15,18.28,18.69,18.21,18.5,963000
2011-04-18,18.5,18.59,17.96,18.18,720700
2011-04-19,18.25,18.32,18.08,18.2,405000
2011-04-20,18.39,18.39,18.1,18.23,498200
2011-04-21,18.3,18.35,17.83,18.11,1196100
2011-04-25,18.040001,18.25,18.040001,18.059999,280800
2011-04-26,18.21,18.24,17.9,18.18,622700
2011-04-27,18.1,18.2,18.040001,18.18,275400
2011-04-28,18.11,18.27,17.86,18.11,539400
2011-04-29,18.18,18.19,17.93,18.08,196000
2011-05-02,18.07,18.3,17.93,18.19,555700
2011-05-03,18.030001,18.35,18.02,18.27,377400
2011-05-04,18.23,18.34,17.75,17.98,614000
2011-05-05,17.88,18.09,17.7,17.94,412200
2011-05-06,18.17,18.17,17.91,17.97,405600
2011-05-09,18.34,18.56,18.3,18.5,965400
2011-05-10,18.6,18.76,18.48,18.71,666400
2011-05-11,18.76,18.76,18.38,18.48,371000
2011-05-12,18.8,18.91,18.040001,18.42,722000
2011-05-13,18.65,18.65,18.059999,18.27,810300
2011-05-16,18.42,18.5,17.59,17.83,988800
2011-05-17,17.86,17.9,16.8,17.18,980900
2011-05-18,17.37,18.18,17.18,17.85,823900
2011-05-19,17.73,18.0,17.39,17.77,369400
2011-05-20,17.76,18.08,17.76,17.85,508200
2011-05-23,17.41,17.99,17.38,17.6,309200
2011-05-24,17.68,17.97,17.53,17.57,205900
2011-05-25,17.6,17.71,17.26,17.37,285000
2011-05-26,17.32,17.97,17.32,17.75,430700
2011-05-27,17.84,18.49,17.8,18.19,622800
2011-05-31,18.049999,18.18,17.9,18.02,329100
2011-06-01,17.87,18.1,17.69,17.93,770100
2011-06-02,17.95,17.95,17.71,17.86,70100
2011-06-03,17.56,17.97,17.56,17.85,75800
2011-06-06,17.85,17.89,17.33,17.4,183600
2011-06-07,17.45,17.47,16.85,16.92,219700
2011-06-08,16.94,17.049999,16.74,16.75,180600
2011-06-09,16.65,16.95,16.21,16.29,250900
2011-06-10,16.43,16.47,15.48,15.64,335300
2011-06-13,15.59,15.79,15.27,15.51,560500
2011-06-14,15.62,16.030001,15.62,16.0,114700
2011-06-15,15.85,16.25,15.8,15.97,210800
2011-06-16,15.79,16.049999,15.63,15.87,187600
2011-06-17,15.97,16.01,15.81,15.95,200300
2011-06-20,15.93,15.99,15.62,15.7,45000
2011-06-21,15.82,16.3,15.76,16.0,244900
2011-06-22,15.97,16.46,15.97,16.32,295200
2011-06-23,16.22,16.29,16.0,16.1,146800
2011-06-24,16.01,16.19,15.99,16.0,174100
2011-06-27,16.02,16.25,15.99,16.12,24600
2011-06-28,16.42,17.059999,16.25,16.59,378500
2011-06-29,16.42,17.68,16.28,17.13,515200
2011-06-30,17.2,17.27,17.049999,17.2,227800
2011-07-01,17.12,17.23,16.88,17.14,150400
2011-07-05,17.08,17.25,16.91,16.99,158700
2011-07-06,16.91,17.0,16.7,16.88,141800
2011-07-07,17.17,17.17,16.76,16.87,164900
2011-07-08,17.28,17.28,16.7,17.0,139400
2011-07-11,16.85,16.99,16.36,16.54,50700
2011-07-12,16.75,16.9,16.26,16.65,75900
2011-07-13,16.79,16.79,16.049999,16.39,102100
2011-07-14,16.25,16.75,16.02,16.26,131500
2011-07-15,16.38,16.8,16.22,16.5,162800
2011-07-18,16.31,16.53,15.77,15.9,160100
2011-07-19,16.13,16.24,15.83,16.0,320300
2011-07-20,16.030001,16.37,15.96,16.34,146500
2011-07-21,16.63,16.94,16.42,16.75,310100
2011-07-22,16.79,17.0,16.55,16.94,194000
2011-07-25,17.25,17.43,16.9,17.2,287600
2011-07-26,17.21,17.45,17.1,17.28,280300
2011-07-27,17.35,17.38,16.67,16.81,98300
2011-07-28,16.76,16.99,16.57,16.87,101000
2011-07-29,16.74,17.38,16.33,17.31,153600
2011-08-01,17.45,17.94,16.97,17.5,250600
2011-08-02,17.63,17.63,16.37,16.82,226500
2011-08-03,16.75,17.38,16.23,16.73,349600
2011-08-04,16.63,16.97,14.8,14.93,347400
2011-08-05,15.01,15.38,12.95,14.05,326300
2011-08-08,13.55,14.14,12.81,13.24,817600
2011-08-09,12.95,15.24,12.75,14.14,837400
2011-08-10,14.0,14.2,13.02,13.61,397700
2011-08-11,13.31,13.64,13.0,13.61,393200
2011-08-12,13.97,13.97,13.1,13.28,675200
2011-08-15,13.16,13.8,13.14,13.33,292400
2011-08-16,13.33,14.21,13.32,14.17,419200
2011-08-17,14.02,14.67,14.02,14.44,154800
2011-08-18,13.62,14.09,13.4,13.98,166000
2011-08-19,13.82,14.08,13.65,13.85,298800
2011-08-22,13.95,14.0,12.8,13.22,191600
2011-08-23,13.37,13.44,13.03,13.35,397400
2011-08-24,13.4,13.4,13.06,13.18,459000
2011-08-25,13.35,13.36,12.85,13.0,117300
2011-08-26,13.0,13.0,12.22,12.51,375600
2011-08-29,12.69,12.93,12.38,12.61,453300
2011-08-30,12.56,12.9,12.48,12.8,305800
2011-08-31,12.97,13.25,12.89,12.97,405700
2011-09-01,13.0,13.0,12.81,12.91,374900
2011-09-02,12.66,12.72,12.02,12.12,176700
2011-09-06,12.02,12.26,12.01,12.19,110600
2011-09-07,12.37,12.61,11.67,11.92,241800
2011-09-08,11.86,11.86,11.16,11.22,118600
2011-09-09,11.13,11.75,11.09,11.5,288800
2011-09-12,11.36,11.36,10.68,10.85,296700
2011-09-13,11.22,11.53,11.0,11.33,642800
2011-09-14,11.43,11.99,11.31,11.83,751200
2011-09-15,11.89,11.93,11.72,11.84,207900
2011-09-16,11.9,12.0,11.8,12.0,164600
2011-09-19,11.73,11.9,11.5,11.86,76300
2011-09-20,11.91,11.99,11.52,11.61,110900
2011-09-21,11.59,11.79,11.06,11.11,94700
2011-09-22,11.0,11.17,10.29,10.35,384800
2011-09-23,10.36,10.36,9.83,10.05,374900
2011-09-26,10.63,10.83,9.92,10.0,318200
2011-09-27,10.16,10.8,10.07,10.15,412200
2011-09-28,10.18,10.22,9.86,9.97,199200
2011-09-29,10.08,10.26,9.9,10.25,192200
2011-09-30,10.25,10.47,10.11,10.24,169500
2011-10-03,10.26,10.51,9.5,9.61,539200
2011-10-04,9.5,10.02,8.85,9.9,464400
2011-10-05,9.85,10.49,9.66,10.3,932700
2011-10-06,10.15,10.41,9.95,10.34,433500
2011-10-07,10.4,10.4,10.21,10.25,78800
2011-10-10,10.45,10.78,10.26,10.45,120300
2011-10-11,10.36,10.74,10.35,10.52,222700
2011-10-12,10.65,10.95,10.47,10.84,238200
2011-10-13,10.77,10.81,10.5,10.73,241300
2011-10-14,10.83,10.99,10.61,10.77,218200
2011-10-17,10.9,10.92,10.71,10.77,275000
2011-10-18,10.83,10.93,10.6,10.73,345800
2011-10-19,10.77,11.07,10.45,10.54,524800
2011-10-20,10.61,11.05,10.51,10.9,267800
2011-10-21,11.03,11.37,10.94,11.27,227700
2011-10-24,11.35,11.81,11.18,11.77,412000
2011-10-25,11.72,11.76,11.54,11.69,88000
2011-10-26,11.87,12.36,11.78,12.14,191800
2011-10-27,12.63,13.3,12.63,13.29,317600
2011-10-28,13.19,13.33,13.06,13.28,133200
2011-10-31,13.05,13.39,13.05,13.25,140000
2011-11-01,12.7,12.97,12.61,12.82,176100
2011-11-02,13.07,13.18,12.75,13.09,220700
2011-11-03,12.25,13.38,12.18,13.04,191700
2011-11-04,12.97,13.25,12.91,13.22,128000
2011-11-07,13.19,13.95,13.19,13.91,354900
2011-11-08,13.97,14.04,13.66,13.81,188300
2011-11-09,13.56,13.89,13.39,13.81,309000
2011-11-10,13.96,14.01,12.88,13.22,329800
2011-11-11,13.39,13.59,12.93,13.14,316500
2011-11-14,13.16,13.16,12.89,12.97,132500
2011-11-15,12.65,12.89,12.27,12.74,272700
2011-11-16,12.64,13.07,12.64,12.97,98500
2011-11-17,12.87,12.99,12.05,12.1,161000
2011-11-18,12.2,12.59,12.16,12.3,59000
2011-11-21,12.1,12.1,11.25,11.72,226600
2011-11-22,11.48,11.67,11.13,11.58,17000
2011-11-23,11.51,11.56,11.17,11.33,193800
2011-11-25,11.26,11.31,11.1,11.12,31900
2011-11-28,11.51,11.87,11.45,11.6,230000
2011-11-29,11.75,12.36,11.74,12.08,136000
2011-11-30,12.23,12.69,12.11,12.52,171700
2011-12-01,12.52,12.67,12.42,12.65,191700
2011-12-02,12.77,13.16,12.77,13.0,105400
2011-12-05,13.22,14.21,13.22,13.82,381000
2011-12-06,13.8,14.04,13.67,13.97,90800
2011-12-07,13.98,13.98,13.39,13.59,283900
2011-12-08,13.43,13.58,12.87,13.17,380200
2011-12-09,13.25,13.74,13.14,13.56,305200
2011-12-12,13.39,13.41,13.03,13.19,195000
2011-12-13,13.06,13.4,13.06,13.25,211800
2011-12-14,13.13,13.13,12.34,12.7,78800
2011-12-15,12.78,12.89,12.22,12.57,145300
2011-12-16,12.64,12.75,11.6,11.76,353600
2011-12-19,11.95,12.2,11.16,11.84,551900
2011-12-20,11.98,12.19,11.79,12.11,253100
2011-12-21,12.09,12.25,11.95,12.24,56000
2011-12-22,12.32,12.32,12.03,12.27,181400
2011-12-23,12.29,12.32,12.07,12.3,68400
2011-12-27,12.25,12.36,12.07,12.3,132900
2011-12-28,12.26,12.51,12.24,12.48,137400
2011-12-29,12.47,12.54,12.25,12.29,174700
2011-12-30,12.23,12.42,12.2,12.41,144100
2012-01-03,12.5,13.31,12.5,13.05,465400
2012-01-04,12.96,13.2,12.8,13.11,97200
2012-01-05,13.01,13.61,12.94,13.4,248400
2012-01-06,13.29,13.99,13.27,13.93,214500
2012-01-09,13.98,13.98,13.51,13.52,80100
2012-01-10,13.67,13.9,13.67,13.86,69900
2012-01-11,13.8,13.94,13.48,13.58,57400
2012-01-12,13.56,13.85,13.48,13.7,85000
2012-01-13,13.59,13.85,13.5,13.65,84500
2012-01-17,13.5,14.37,13.5,14.12,550400
2012-01-18,14.23,14.49,14.03,14.47,204700
2012-01-19,14.49,14.83,14.27,14.75,104400
2012-01-20,14.93,15.23,14.81,14.96,2252600
2012-01-23,14.98,15.32,14.04,15.15,149700
2012-01-24,15.03,15.03,14.52,14.9,1515800
2012-01-25,14.91,15.1,14.46,14.47,145600
2012-01-26,14.6,14.88,14.54,14.65,303800
2012-01-27,14.58,15.17,14.45,15.11,221200
2012-01-30,14.97,15.07,14.12,14.42,174000
2012-01-31,14.41,15.06,14.34,14.88,164200
