date,open,high,low,close,volume
2011-11-17,17.81224,18.37385,17.81224,17.8793,20946098
2011-11-18,17.89606,18.04694,17.39313,17.60268,3243171
2011-11-21,17.60268,17.79547,16.78122,17.015926,2823115
2011-11-22,17.015926,17.3596,16.47108,16.68064,3565519
2011-11-23,16.51299,16.5549,16.11065,16.45432,1266250
2011-11-25,16.38726,16.61358,16.34535,16.47108,333563
2011-11-28,16.64711,17.03269,16.48785,16.79799,835458
2011-11-29,16.76446,16.76446,16.51299,16.75608,637062
2011-11-30,16.89019,17.98826,16.86505,17.46857,679652
2011-12-01,17.56077,17.64459,17.057837,17.44342,572521
2011-12-02,17.56077,17.97988,17.51886,17.91282,697309
2011-12-05,17.97988,18.36547,17.93797,18.24811,2466885
2011-12-06,18.13914,18.65046,18.114,18.54987,625251
2011-12-07,18.38223,18.52473,18.29003,18.4409,188017
2011-12-08,18.2062,18.39061,18.12238,18.18106,450835
2011-12-09,18.12238,18.42414,17.81224,18.23135,587791
2011-12-12,17.93797,18.097235,17.81224,18.030176,514780
2011-12-13,18.14753,18.29003,17.77871,17.86253,666529
2011-12-14,17.66974,17.76195,17.22548,17.30092,1255752
2011-12-15,17.58592,18.34032,17.42665,17.56915,850490
2011-12-16,17.56915,18.021793,17.38474,17.57754,250888
2011-12-19,17.66136,17.74518,17.40151,17.5943,177757
2011-12-20,17.96312,18.18106,17.74518,18.021793,381999
2011-12-21,17.91282,18.17267,17.84577,17.93797,320440
2011-12-22,17.96312,18.31517,17.96312,18.26488,446779
2011-12-23,18.29003,18.81811,18.13076,18.39061,647203
2011-12-27,19.18692,19.18692,17.92121,18.14753,528618
2011-12-28,18.24811,18.29003,17.67812,17.76195,172746
2011-12-29,17.78709,17.96312,17.61945,17.95474,344896
2011-12-30,17.98826,18.13914,17.67812,18.055323,152704
2012-01-03,18.53311,19.22045,18.23973,18.64208,1169498
2012-01-04,19.47192,19.47192,18.31517,18.89355,469684
2012-01-05,18.80972,18.80972,18.23973,18.55826,802293
2012-01-06,18.55826,19.13663,18.4409,18.90193,690628
2012-01-09,18.95222,19.036043,18.84325,19.036043,499628
2012-01-10,19.21207,20.11735,19.21207,19.97485,1131918
2012-01-11,19.94971,20.13412,19.77368,20.075439,271288
2012-01-12,20.20117,20.95557,19.99162,20.69572,1208986
2012-01-13,20.56161,21.22381,20.35205,20.78793,645294
2012-01-17,20.91366,21.064543,20.34367,20.41911,1059145
2012-01-18,20.29338,20.95557,20.29338,20.53646,679652
2012-01-19,20.68734,21.098072,20.6119,21.01425,1141105
2012-01-20,20.97234,21.12322,20.90528,21.039396,634676
2012-01-23,21.10645,21.6513,21.022633,21.35792,584093
2012-01-24,21.20704,21.68483,21.10645,21.63453,486863
2012-01-25,21.63453,21.70159,21.34954,21.59262,720214
2012-01-26,21.66806,22.33026,21.098072,21.75189,956309
2012-01-27,22.59849,22.96731,21.93629,22.76614,3047876
2012-01-30,22.75775,23.093042,22.27158,22.69908,805514
2012-01-31,22.85834,23.042749,22.27158,22.48952,660445
2012-02-01,22.74099,24.048616,22.62364,23.96479,850609
2012-02-02,23.57921,24.342,23.36127,24.28332,682038
2012-02-03,24.50964,26.010059,24.49287,25.77536,3254862
2012-02-06,25.66639,25.8005,25.062866,25.58257,1968927
2012-02-07,25.5658,25.5658,24.87846,25.21375,944737
2012-02-08,25.29757,25.35625,24.38391,25.062866,1802742
2012-02-09,25.13831,25.16345,24.66052,24.97904,1801191
2012-02-10,24.71919,25.28919,24.61023,25.18022,1777331
2012-02-13,25.15507,25.35625,25.088013,25.15507,1762777
2012-02-14,24.46773,24.71919,24.098909,24.35876,10285688
2012-02-15,24.50964,24.98743,24.41743,24.62699,5713635
2012-02-16,24.72758,25.80889,24.61023,25.41492,5809314
2012-02-17,25.61609,26.40402,25.28919,26.228,5353588
2012-02-21,27.58592,27.64459,25.43168,25.92624,4582790
2012-02-22,26.026823,26.27829,25.40654,26.0016766,1731878
2012-02-23,26.12741,26.3202,25.61609,25.98491,1398196
2012-02-24,25.943,26.61358,25.81727,26.31182,1332581
2012-02-27,26.31182,26.51299,26.010059,26.228,2578908
2012-02-28,26.37888,26.97401,26.3202,26.72255,1538731
2012-02-29,26.97401,27.20033,26.49623,26.82314,2937285
2012-03-01,26.9321,27.23386,26.29505,26.82314,3060403
2012-03-02,26.59682,27.23386,26.59682,27.099749,1941369
2012-03-05,27.074602,27.35122,26.27829,26.52138,2205141
2012-03-06,26.29505,26.52976,24.97066,25.12992,1253366
2012-03-07,24.97904,25.87594,24.97904,25.15507,813030
2012-03-08,25.53227,26.7477,25.35625,26.57167,4290267
2012-03-09,26.44593,26.73931,26.36211,26.68064,764117
2012-03-12,26.7477,27.074602,26.43755,26.75608,4160826
2012-03-13,26.85666,26.87343,26.54652,26.78122,1540879
2012-03-14,26.70578,27.066219,26.026823,26.63873,2253100
2012-03-15,26.73931,26.9321,26.49623,26.58843,1595399
2012-03-16,26.61358,26.90696,26.52138,26.82314,2037644
2012-03-19,26.76446,26.87343,26.38726,26.44593,2542522
2012-03-20,26.11065,26.39564,25.68315,26.10226,2089182
2012-03-21,26.31182,26.6052,26.10226,26.20285,1049482
2012-03-22,26.12741,26.12741,25.8005,25.95976,458589
2012-03-23,25.92624,26.05197,25.4736,25.95976,861585
2012-03-26,26.27829,26.79799,26.043589,26.78961,1472520
2012-03-27,27.015926,27.33445,26.58005,26.7477,1672109
2012-03-28,26.65549,26.87343,25.63286,26.45432,1731759
2012-03-29,27.15842,27.15842,26.3202,26.63034,2174004
2012-03-30,26.89019,26.96563,26.34535,26.48785,12048107
2012-04-02,26.57167,26.62196,26.37888,26.44593,2764539
2012-04-03,26.47108,26.61358,25.98491,26.21123,1436014
2012-04-04,26.035206,26.54652,25.77536,26.51299,2607182
2012-04-05,26.40402,26.82314,26.40402,26.62196,969909
2012-04-09,26.18608,26.4627,26.11065,26.21123,1532647
2012-04-10,26.10226,26.52976,25.63286,25.8508,2411530
2012-04-11,26.12741,26.5549,25.92624,26.39564,2703099
2012-04-12,26.6974,27.11651,26.20285,26.63034,2649295
2012-04-13,26.45432,26.79799,26.35373,26.6974,1161147
2012-04-16,27.091366,27.091366,26.52138,26.81475,5322808
2012-04-17,27.10813,27.52724,26.7477,26.91534,6001029
2012-04-18,26.83152,27.25063,26.78122,26.99078,1377080
2012-04-19,27.041073,27.46857,26.40402,26.70578,1448063
2012-04-20,26.87343,26.94049,26.48785,26.71417,721765
2012-04-23,26.32858,26.73931,26.27829,26.40402,1325662
2012-04-24,26.16932,26.26991,25.27242,25.3311,6778745
2012-04-25,25.5658,25.943,25.5658,25.85918,3206545
2012-04-26,25.93462,25.98491,25.55742,25.66639,2186411
2012-04-27,25.77536,26.093882,25.58257,26.077118,3648194
2012-04-30,26.060352,26.060352,25.53227,25.72506,2592866
2012-05-01,25.80889,26.20285,25.59095,25.86756,2350329
2012-05-02,25.60771,25.83403,25.34786,25.76697,3504080
2012-05-03,25.81727,25.90109,25.43168,25.52389,3326323
2012-05-04,25.46521,25.46521,24.55155,24.61861,1888400
2012-05-07,24.61861,25.054483,24.32523,24.85331,833907
2012-05-08,24.61861,24.64375,23.772,23.88935,4007406
2012-05-09,23.67142,24.33361,23.37804,23.9145,2987033
2012-05-10,24.056999,24.30847,23.95641,24.13244,1129413
2012-05-11,23.8223,24.50964,23.69656,24.073765,1347851
2012-05-14,23.73847,23.92288,23.41157,23.47862,2416422
2012-05-15,23.24392,23.46186,22.94216,23.14334,7642000
2012-05-16,23.57083,24.06538,23.41157,23.45348,6958650
2012-05-17,23.57083,23.57083,22.7829,23.042749,8539494
2012-05-18,23.042749,23.31098,22.58173,22.84996,5358837
2012-05-21,22.95054,23.63789,22.95054,23.47024,4275831
2012-05-22,23.57921,23.79715,23.41995,23.62951,4481982
2012-05-23,23.47024,24.64375,23.067896,23.49539,4554993
2012-05-24,23.6798,23.6798,22.96731,23.21878,3005883
2012-05-25,24.31685,24.31685,23.22716,23.84744,9000827
2012-05-29,24.082146,25.012573,23.96479,25.012573,3942865
2012-05-30,24.71081,24.71081,24.16597,24.18273,4854436
2012-05-31,24.38391,24.56832,23.90612,24.33361,10636907
2012-06-01,23.80553,23.96479,23.4451,23.67142,3372730
2012-06-04,23.66303,23.81392,22.90025,23.24392,4011701
2012-06-05,23.23554,23.93965,23.20201,23.69656,2474163
2012-06-06,23.94803,24.71919,23.93965,24.30847,3969588
2012-06-07,23.98994,24.4342,23.83906,23.9145,3514339
2012-06-08,23.72171,24.16597,23.48701,24.098909,897255
2012-06-11,24.39229,24.39229,23.87259,23.88935,3065056
2012-06-12,23.83068,24.24979,23.66303,24.1995,5003203
2012-06-13,24.1492,24.20788,23.87259,23.97318,2521525
2012-06-14,23.74686,24.21626,23.61274,23.83906,3333719
2012-06-15,23.80553,24.090528,23.66303,23.92288,2147997
2012-06-18,23.73009,24.44258,23.73009,24.23303,2085722
2012-06-19,24.342,25.15507,24.24979,24.39229,5145409
2012-06-20,24.51802,24.60184,23.88097,23.95641,3948472
2012-06-21,23.93965,23.96479,22.98407,23.10981,3927475
2012-06-22,23.29422,23.31936,22.34702,22.64878,18513690
2012-06-25,23.13495,23.13495,21.39145,21.58424,3476879
2012-06-26,21.58424,21.81056,21.32439,21.71836,3180419
2012-06-27,21.58424,21.81056,21.44174,21.57586,2824189
2012-06-28,21.39983,21.43336,20.83822,21.31601,3922465
2012-06-29,21.63453,22.0285,21.12322,21.37469,2895172
2012-07-02,21.45851,21.50042,20.87175,21.19866,1823978
2012-07-03,21.29925,22.13747,21.17351,22.053646,1739155
2012-07-05,21.93629,22.63202,21.85247,22.47276,2773486
2012-07-06,22.22967,22.2632,21.89438,22.12909,1514514
2012-07-09,22.0285,22.38894,21.96982,22.34702,2599905
2012-07-10,22.34702,22.52305,21.97821,22.23805,3891327
2012-07-11,22.16261,22.25482,21.68483,21.90277,1737605
2012-07-12,21.82733,22.21291,21.20704,22.011736,2672081
2012-07-13,21.98659,22.6404,21.96144,22.52305,2076297
2012-07-16,22.39732,22.48114,22.13747,22.32188,802889
2012-07-17,22.38055,22.6404,22.062029,22.63202,1037314
2012-07-18,22.68231,23.1601,22.60687,22.80805,1264580
2012-07-19,22.91702,23.00083733,22.73261,22.79967,2859144
2012-07-20,22.63202,22.70746,22.43085,22.61526,3125779
2012-07-23,22.10394,22.57335,21.91115,22.53982,1655288
2012-07-24,22.62364,22.62364,22.0033531,22.22129,1836266
2012-07-25,22.38055,22.48952,22.28835,22.38894,1295121
2012-07-26,22.67393,22.67393,22.3135,22.59011,2188201
2012-07-27,22.63202,23.3948,22.46438,23.28583,3186145
2012-07-30,23.23554,23.58759,23.13495,23.46186,1802862
2012-07-31,23.47024,24.342,23.47024,23.79715,3961237
2012-08-01,23.81392,24.015087,23.20201,23.45348,1883986
2012-08-02,23.20201,23.47024,23.00083733,23.042749,1668411
2012-08-03,23.4451,23.87259,23.26069,23.74686,1006296
2012-08-06,23.78039,24.47611,23.74686,24.32523,1086346
2012-08-07,23.93965,24.72758,23.93965,24.342,5274014
2012-08-08,24.21626,24.40067,24.02347,24.048616,669273
2012-08-09,23.98994,24.35038,23.83068,24.25817,841065
2012-08-10,24.28332,24.30847,23.72171,23.92288,835339
2012-08-13,23.94803,24.22464,23.83068,24.06538,942947
2012-08-14,24.25817,24.25817,23.89774,23.99832,1053300
2012-08-15,23.97318,24.073765,23.76362,23.87259,1924667
2012-08-16,24.098909,24.73596,23.99832,24.61861,7112785
2012-08-17,24.85331,24.91199,24.69405,24.72758,3837046
2012-08-20,24.73596,24.76111,24.50126,24.63537,6353083
2012-08-21,24.72758,24.72758,24.30847,24.55993,2945278
2012-08-22,24.44258,24.63537,24.35038,24.50964,2478458
2012-08-23,24.41743,24.53479,24.2917,24.41743,1703604
2012-08-24,24.35038,24.50964,24.30008,24.45935,2511862
2012-08-27,24.44258,24.87008,24.35876,24.77787,2155751
2012-08-28,24.67728,25.59095,24.61861,25.59095,4501070
2012-08-29,25.52389,25.58257,25.054483,25.31433,3255339
2012-08-30,25.35625,25.38139,24.76949,24.97066,1979068
2012-08-31,25.24728,25.51551,24.87846,25.38977,16593914
2012-09-04,25.53227,25.54904,25.03772,25.14669,2852105
2012-09-05,25.20536,25.34786,25.088013,25.14669,2137737
2012-09-06,25.38977,25.87594,25.33948,25.86756,6566153
2012-09-07,25.83403,26.16094,25.80889,26.11065,2597638
2012-09-10,25.93462,26.093882,25.80889,25.87594,2039553
2012-09-11,25.87594,26.11065,25.85918,26.068733,2062101
2012-09-12,26.11903,26.37049,25.90109,25.96815,2495756
2012-09-13,25.90109,25.99329,25.3311,25.78374,3003497
2012-09-14,26.47108,26.95725,26.32858,26.67225,7037746
2012-09-17,26.58005,26.63034,26.31182,26.50461,1832687
2012-09-18,26.40402,26.67225,26.19447,26.6052,2789353
2012-09-19,26.51299,26.95725,26.48785,26.8399,2884435
2012-09-20,26.5549,26.95725,26.40402,26.8399,2809754
2012-09-21,26.94049,27.94635,26.52138,26.63873,3578284
