date,open,high,low,close,volume
2006-10-18,98.2,98.75,97.9,98.55,122100
2006-10-19,98.25,99.0,98.25,98.4,112200
2006-10-20,98.65,98.8,97.85,98.5,70800
2006-10-23,98.3,99.55,98.15,99.33,168700
2006-10-24,99.099998,99.25,98.12,98.16,93900
2006-10-25,98.18,99.27,97.6,98.3,254500
2006-10-26,98.4,99.4,98.050003,99.33,91200
2006-10-27,99.28,99.67,97.81,97.98,88600
2006-10-30,97.7,99.38,97.2,99.38,132500
2006-10-31,99.85,99.89,98.14,99.7,216100
2006-11-01,100.0,100.0,97.71,97.83,143200
2006-11-02,97.2,97.49,96.040001,96.35,174200
2006-11-03,96.56,96.89,94.26,95.089996,159300
2006-11-06,95.6,97.43,95.47,96.22,185100
2006-11-07,96.099998,96.49,95.24,95.28,116800
2006-11-08,94.9,95.2,93.8,94.39,208300
2006-11-09,94.5,94.54,93.14,93.8,184000
2006-11-10,94.0,94.53,93.6,94.32,94900
2006-11-13,94.029999,95.4,94.0,95.0,152100
2006-11-14,95.2,97.4,95.099998,97.4,185900
2006-11-15,97.5,99.15,97.11,98.3,205900
2006-11-16,98.8,99.14,98.4,98.9,91200
2006-11-17,98.89,99.12,98.2,98.2,189400
2006-11-20,99.95,101.22,99.95,100.75,196200
2006-11-21,100.85,103.28,100.66,102.95,220900
2006-11-22,102.95,104.0,102.15,102.45,118300
2006-11-24,102.2,103.42,102.14,103.25,59400
2006-11-27,102.6,103.029999,99.52,100.0,201400
2006-11-28,99.8,100.050003,98.75,100.050003,183300
2006-11-29,100.75,102.2,100.62,101.9,102200
2006-11-30,102.099998,103.099998,101.2,103.080002,195800
2006-12-01,103.33,103.6,101.8,103.059998,130800
2006-12-04,102.85,104.96,102.85,104.79,96500
2006-12-05,105.45,105.45,103.2,103.4,138000
2006-12-06,103.089996,103.6,101.43,102.76,132500
2006-12-07,102.7,103.35,101.64,101.8,93400
2006-12-08,101.55,102.6,101.12,101.77,91500
2006-12-11,101.52,103.17,101.16,103.0,131000
2006-12-12,103.0,103.37,102.25,102.8,116400
2006-12-13,103.5,103.7,101.78,102.6,144600
2006-12-14,102.85,103.76,102.78,102.9,202600
2006-12-15,103.099998,103.29,101.55,102.14,295000
2006-12-18,102.050003,102.29,100.27,100.82,181700
2006-12-19,100.14,100.53,98.050003,100.53,228000
2006-12-20,100.68,101.0,99.36,100.019997,212900
2006-12-21,101.92,101.92,98.72,98.85,172700
2006-12-22,98.7,98.99,97.47,97.86,75700
2006-12-26,97.86,99.0,97.32,99.0,92600
2006-12-27,99.0,100.64,98.81,100.64,210600
2006-12-28,99.97,100.7,99.29,100.39,85000
2006-12-29,100.54,101.25,99.5,100.4,113200
2007-01-03,101.11,102.07,99.46,100.86,172100
2007-01-04,100.26,101.36,100.0,100.69,283000
2007-01-05,100.0,100.34,98.48,98.71,238700
2007-01-08,98.55,98.9,97.26,97.77,224900
2007-01-09,97.99,100.61,97.99,100.21,169000
2007-01-10,99.029999,99.099998,97.5,98.3,1332800
2007-01-11,98.25,100.89,98.15,99.95,1197300
2007-01-12,100.2,101.42,100.0,101.42,250200
2007-01-16,102.28,102.78,101.65,102.7,257100
2007-01-17,102.45,103.75,101.54,102.24,184000
2007-01-18,102.42,102.82,101.27,102.0,248600
2007-01-19,101.51,103.78,101.21,103.36,208900
2007-01-22,103.099998,103.68,101.79,101.99,223500
2007-01-23,101.7,102.7,101.61,102.07,192000
2007-01-24,102.029999,103.019997,102.029999,102.47,313400
2007-01-25,102.97,105.32,102.51,102.97,549300
2007-01-26,102.97,105.099998,102.059998,104.74,450500
2007-01-29,104.54,105.94,104.31,105.94,303600
2007-01-30,106.099998,107.24,105.25,106.79,297600
2007-01-31,106.78,109.5,106.13,108.36,333900
2007-02-01,108.96,109.94,108.15,109.57,392600
2007-02-02,109.83,111.040001,109.3,110.67,282500
2007-02-05,110.0,112.24,109.67,111.33,361100
2007-02-06,111.58,112.0,111.019997,112.0,221600
2007-02-07,112.0,113.68,110.7,113.21,425400
2007-02-08,112.95,114.26,112.42,113.41,352000
2007-02-09,113.54,116.23,107.99,112.080002,721900
2007-02-12,111.88,112.23,109.21,110.28,371100
2007-02-13,110.48,112.4,108.75,112.2,294200
2007-02-14,111.2,112.77,110.59,111.18,510500
2007-02-15,111.41,112.98,110.82,112.59,350600
2007-02-16,112.58,112.59,110.010002,112.25,426100
2007-02-20,112.45,113.059998,110.9,112.93,569200
2007-02-21,112.099998,113.0,111.23,112.97,356600
