date,open,high,low,close,volume
2014-05-02,18.15,18.75,18.0,18.6,7698177
2014-05-05,18.44,19.1,18.3,18.6,611341
2014-05-06,18.5,18.65,18.4,18.48,398344
2014-05-07,18.47,18.53,17.36,17.73,748787
2014-05-08,17.6,18.45,17.6,17.83,353244
2014-05-09,17.76,17.87,17.4,17.59,446002
2014-05-12,17.66,17.82,16.81,17.21,899717
2014-05-13,17.21,17.34,16.68,17.2,452776
2014-05-14,17.049999,17.38,16.9,17.15,448936
2014-05-15,17.049999,17.94,17.0,17.54,267771
2014-05-16,17.5,17.87,17.5,17.62,99989
2014-05-19,17.74,18.2,17.6,17.84,333804
2014-05-20,17.81,18.0,17.4,17.94,118997
2014-05-21,17.9,18.12,17.69,17.9,662987
2014-05-22,18.02,18.12,17.82,18.0,162812
2014-05-23,18.1,18.17,17.76,18.17,73577
2014-05-27,18.29,18.45,17.96,18.3,284350
2014-05-28,18.45,18.75,18.31,18.69,145239
2014-05-29,18.65,18.86,18.34,18.8,300028
2014-05-30,18.85,19.1,18.6,19.0,417932
2014-06-02,19.1,19.1,18.59,18.84,60548
2014-06-03,18.81,18.99,18.7,18.71,93862
2014-06-04,18.85,18.99,18.51,18.8,337096
2014-06-05,18.88,18.98,18.07,18.42,173948
2014-06-06,18.31,18.43,18.1,18.4,63875
2014-06-09,18.4,18.7,18.24,18.7,52788
2014-06-10,18.65,18.92,18.48,18.57,160026
2014-06-11,18.96,18.96,18.49,18.76,173819
2014-06-12,18.63,18.79,18.42,18.63,58408
2014-06-13,18.59,18.9,18.35,18.36,52165
2014-06-16,18.44,18.8,18.35,18.6,114230
2014-06-17,18.6,18.77,18.2,18.45,263465
2014-06-18,18.59,18.79,18.45,18.6,273062
2014-06-19,18.36,18.77,18.36,18.64,241486
2014-06-20,18.65,18.75,18.47,18.65,227707
2014-06-23,18.65,18.85,18.51,18.79,85162
2014-06-24,18.68,18.86,18.65,18.71,64943
2014-06-25,18.63,18.75,18.5,18.67,51709
2014-06-26,18.64,18.7,18.54,18.62,31053
2014-06-27,18.7,18.86,18.46,18.86,29797
2014-06-30,18.86,19.19,18.52,19.18,81161
2014-07-01,18.86,19.09,18.75,18.85,59093
2014-07-02,18.7,18.99,18.65,18.79,25963
2014-07-03,18.89,19.0,18.65,18.95,18470
2014-07-07,19.0,19.030001,18.75,18.97,47213
2014-07-08,18.86,19.25,18.57,19.25,95460
2014-07-09,19.21,19.5,18.75,19.2,109606
2014-07-10,19.01,19.19,18.71,19.19,33139
2014-07-11,18.85,19.2,18.85,19.01,51044
2014-07-14,18.92,19.15,18.91,19.15,19575
2014-07-15,19.18,19.23,18.92,19.15,97284
2014-07-16,19.2,19.3,18.91,19.08,34051
2014-07-17,19.27,19.3,19.02,19.02,31711
2014-07-18,19.0,19.37,19.0,19.19,53284
2014-07-21,19.23,19.5,19.1,19.5,27731
2014-07-22,19.21,19.68,19.21,19.62,82013
2014-07-23,19.62,19.75,19.33,19.68,34844
2014-07-24,19.68,20.48,19.53,19.85,414957
2014-07-25,19.75,19.9,19.2,19.85,54885
2014-07-28,19.72,20.049999,19.43,19.43,82180
2014-07-29,19.4,19.85,19.4,19.85,49129
2014-07-30,19.83,19.85,19.5,19.56,419115
2014-07-31,19.48,19.48,19.28,19.43,60096
2014-08-01,19.4,19.61,19.2,19.2,96090
2014-08-04,19.1,19.22,18.36,18.71,69747
2014-08-05,18.75,19.0,18.68,18.69,54227
2014-08-06,18.6,18.67,17.64,17.82,80905
2014-08-07,17.92,18.28,17.79,17.79,75296
2014-08-08,17.97,18.14,17.3,17.58,57993
2014-08-11,17.69,18.1,17.59,17.95,84329
2014-08-12,17.85,18.33,17.77,17.99,72685
2014-08-13,17.99,18.3,17.99,18.19,80120
2014-08-14,18.0,18.16,17.94,17.95,51751
2014-08-15,18.38,18.45,18.0,18.059999,169637
2014-08-18,18.11,18.28,17.57,17.79,49819
2014-08-19,17.75,17.92,17.59,17.8,34030
2014-08-20,17.72,18.0,17.65,17.94,132755
2014-08-21,17.7,17.81,17.51,17.76,27911
2014-08-22,17.69,17.8,17.6,17.77,16732
2014-08-25,18.1,18.45,17.75,18.049999,85311
2014-08-26,18.11,18.28,17.71,17.99,40705
2014-08-27,18.040001,18.040001,17.53,17.97,24510
2014-08-28,17.88,17.95,17.27,17.85,216023
2014-08-29,17.78,17.94,17.5,17.88,35009
2014-09-02,18.17,18.33,17.92,18.11,75848
2014-09-03,18.2,18.2,17.77,18.08,34735
2014-09-04,18.12,18.12,17.52,17.6,36794
2014-09-05,17.63,18.19,17.63,18.09,38400
2014-09-08,18.16,18.34,18.02,18.02,58657
2014-09-09,17.99,18.14,17.65,17.75,33978
2014-09-10,17.82,18.26,17.8,17.94,28587
2014-09-11,17.86,18.08,17.64,17.9,25207
2014-09-12,17.87,18.0,17.6,17.76,53526
2014-09-15,17.82,17.9,17.63,17.78,39032
2014-09-16,17.57,17.82,17.5,17.64,41359
2014-09-17,17.6,17.76,17.31,17.7,82693
2014-09-18,17.7,17.72,17.26,17.7,44037
2014-09-19,17.7,17.95,17.7,17.94,25091
2014-09-22,18.0,18.14,17.62,17.7,39754
2014-09-23,17.53,17.89,17.38,17.66,36829
2014-09-24,17.67,17.88,17.33,17.8,59815
2014-09-25,17.79,17.89,17.51,17.76,37188
2014-09-26,17.82,17.82,17.51,17.68,20263
2014-09-29,17.68,18.0,17.68,17.71,35199
2014-09-30,17.72,17.72,17.5,17.5,22116
2014-10-01,17.42,17.42,17.07,17.32,45634
2014-10-02,17.48,17.55,17.1,17.23,38337
2014-10-03,17.35,17.8,17.35,17.57,28340
2014-10-06,18.0,18.0,17.56,17.66,25036
2014-10-07,17.73,17.73,17.36,17.49,133682
2014-10-08,17.48,17.64,17.26,17.41,20580
2014-10-09,17.45,17.45,16.91,17.09,51474
2014-10-10,16.98,17.08,16.5,16.6,106750
2014-10-13,16.74,16.77,16.1,16.41,59705
2014-10-14,16.59,16.59,16.0,16.33,39781
2014-10-15,16.33,16.66,16.18,16.58,18422
2014-10-16,16.48,16.79,16.35,16.67,287126
2014-10-17,16.83,16.92,16.51,16.78,140136
2014-10-20,16.68,16.8,16.56,16.72,22996
2014-10-21,16.7,16.98,16.69,16.78,49289
2014-10-22,16.71,16.87,16.56,16.56,23593
2014-10-23,16.6,16.6,16.1,16.28,31455
2014-10-24,16.24,16.35,16.1,16.26,45061
2014-10-27,16.29,16.45,16.049999,16.43,82781
2014-10-28,16.41,16.41,15.99,16.35,98676
2014-10-29,16.4,16.4,16.1,16.12,136040
2014-10-30,16.19,16.48,16.030001,16.1,60851
2014-10-31,16.15,16.22,15.71,15.88,94299
2014-11-03,15.96,16.25,15.96,16.1,71759
2014-11-04,16.049999,16.049999,15.71,15.79,54663
2014-11-05,15.88,15.91,15.36,15.62,93583
2014-11-06,15.8,15.8,15.42,15.46,58372
2014-11-07,15.44,15.59,15.3,15.59,45753
2014-11-10,15.69,15.84,15.53,15.6,50266
2014-11-11,15.65,15.74,15.56,15.6,58325
2014-11-12,15.64,16.11,15.61,16.08,24407
2014-11-13,16.1,16.95,16.08,16.57,83164
2014-11-14,16.75,16.96,16.51,16.61,45347
2014-11-17,16.5,16.73,16.4,16.46,33761
2014-11-18,16.48,16.58,16.09,16.1,75349
2014-11-19,16.1,16.15,16.07,16.15,20942
2014-11-20,16.030001,16.32,16.0,16.23,26202
2014-11-21,16.4,16.4,16.049999,16.16,21788
2014-11-24,16.11,16.55,16.11,16.16,43143
2014-11-25,16.16,16.42,16.07,16.42,14401
2014-11-26,16.44,16.44,16.15,16.22,34456
2014-11-28,16.33,16.33,16.1,16.2,11348
2014-12-01,16.23,16.39,16.07,16.26,33067
2014-12-02,16.2,16.28,16.01,16.24,32092
2014-12-03,16.15,16.3,16.12,16.17,67692
2014-12-04,16.16,16.7,16.16,16.59,496129
2014-12-05,16.46,16.88,16.4,16.84,46477
2014-12-08,16.8,16.84,16.61,16.78,26203
2014-12-09,16.79,16.83,16.61,16.83,8733
2014-12-10,16.85,16.87,16.64,16.84,22267
2014-12-11,16.7,16.86,16.61,16.79,80524
2014-12-12,16.61,16.69,16.25,16.5,57004
2014-12-15,16.39,16.66,16.25,16.65,102192
2014-12-16,16.45,16.69,16.36,16.69,35899
2014-12-17,16.69,16.87,16.56,16.86,31437
2014-12-18,17.1,17.43,17.08,17.31,72826
2014-12-19,17.4,17.4,17.0,17.22,695705
2014-12-22,17.18,17.69,17.18,17.44,58155
2014-12-23,17.49,17.65,17.040001,17.15,35076
2014-12-24,16.94,16.94,16.55,16.55,14944
2014-12-26,16.5,16.6,16.5,16.55,21761
2014-12-29,16.62,16.75,16.26,16.55,39084
2014-12-30,16.59,16.85,16.51,16.66,44466
2014-12-31,16.59,17.35,16.59,17.14,70093
2015-01-02,17.13,17.13,16.5,16.79,46218
2015-01-05,16.95,16.95,16.51,16.8,44698
2015-01-06,16.67,16.72,15.88,16.53,151216
2015-01-07,16.53,16.89,16.28,16.84,40689
2015-01-08,16.88,17.65,16.88,17.56,322103
2015-01-09,17.7,17.91,17.51,17.72,96571
2015-01-12,17.93,17.99,17.38,17.45,72863
2015-01-13,17.39,17.95,17.39,17.43,38092
2015-01-14,17.47,17.47,17.31,17.35,535326
2015-01-15,17.51,17.6,17.41,17.56,152773
2015-01-16,17.58,17.87,17.43,17.87,21994
2015-01-20,17.82,18.16,17.81,18.16,45047
2015-01-21,18.1,18.14,17.99,18.12,21550
2015-01-22,18.0,18.26,18.0,18.2,68536
2015-01-23,18.22,18.87,18.22,18.75,260117
2015-01-26,18.79,19.91,18.76,19.61,202350
2015-01-27,19.69,19.73,19.07,19.51,52001
2015-01-28,19.48,20.0,19.24,19.35,55441
2015-01-29,19.5,19.5,19.07,19.18,22599
2015-01-30,19.11,19.19,18.82,18.99,26654
2015-02-02,19.28,19.38,18.62,19.030001,56774
2015-02-03,19.17,19.21,19.01,19.12,36307
