date,open,high,low,close,volume
2006-10-18,62.099998,62.83,62.099998,62.29,227400
2006-10-19,62.2,62.69,62.17,62.69,186300
2006-10-20,62.83,63.84,62.51,63.26,523900
2006-10-23,62.98,63.47,62.96,63.3,234500
2006-10-24,62.5,63.53,61.57,62.17,628400
2006-10-25,62.32,62.56,61.89,62.0,313600
2006-10-26,61.85,62.95,61.85,62.58,377600
2006-10-27,62.4,63.19,62.36,62.87,364400
2006-10-30,62.75,63.47,62.75,63.36,243300
2006-10-31,63.25,63.4,62.84,63.14,332200
2006-11-01,63.5,64.2,63.5,63.78,442000
2006-11-02,63.7,64.45,63.6,64.2,437600
2006-11-03,64.35,64.52,64.029999,64.25,268300
2006-11-06,64.25,64.61,63.75,64.44,391200
2006-11-07,64.53,65.18,64.36,65.0,330500
2006-11-08,65.0,66.059998,64.97,65.86,296300
2006-11-09,65.79,65.92,65.36,65.39,402900
2006-11-10,65.46,66.010002,65.35,65.64,422100
2006-11-13,65.38,66.14,65.29,65.74,256600
2006-11-14,65.7,66.13,65.44,66.13,339400
2006-11-15,66.11,66.49,66.040001,66.16,374900
2006-11-16,65.9,67.019997,65.9,66.79,326700
2006-11-17,66.65,66.99,66.35,66.91,274800
2006-11-20,66.71,67.13,66.46,66.81,207500
2006-11-21,66.65,67.22,66.47,67.099998,268100
2006-11-22,66.84,67.8,66.84,67.51,279000
2006-11-24,67.050003,68.44,67.050003,67.94,213700
2006-11-27,67.88,67.88,66.68,66.76,346900
2006-11-28,66.51,66.89,66.42,66.59,367300
2006-11-29,66.64,67.44,66.6,67.33,216900
2006-11-30,67.41,67.67,67.11,67.47,329600
2006-12-01,67.22,67.62,66.45,66.96,360200
2006-12-04,66.97,67.98,66.91,67.84,282800
2006-12-05,67.64,68.37,67.6,67.87,384400
2006-12-06,67.91,68.21,67.78,67.91,479100
2006-12-07,67.82,67.99,67.6,67.61,417100
2006-12-08,67.45,68.44,67.45,68.25,244800
2006-12-11,68.050003,68.25,67.79,67.87,258700
2006-12-12,67.65,67.73,67.029999,67.42,368400
2006-12-13,67.47,68.089996,67.47,67.92,428000
2006-12-14,67.74,68.5,67.69,68.22,259100
2006-12-15,68.099998,68.15,67.15,67.42,930800
2006-12-18,67.73,68.25,67.52,67.62,368000
2006-12-19,67.5,68.38,67.3,68.12,380200
2006-12-20,68.51,68.78,68.26,68.64,317500
2006-12-21,68.45,69.0,68.16,68.34,269800
2006-12-22,68.15,68.46,67.94,67.94,201800
2006-12-26,67.95,68.78,67.95,68.61,214200
2006-12-27,68.75,69.18,68.61,69.11,311400
2006-12-28,69.2,69.31,68.52,68.52,314700
2006-12-29,68.45,68.73,67.88,67.93,302600
2007-01-03,68.47,69.27,67.94,68.080002,639100
2007-01-04,68.12,68.31,67.55,67.79,492300
2007-01-05,67.8,67.81,67.16,67.32,342900
2007-01-08,67.32,67.84,67.080002,67.67,807700
2007-01-09,67.8,68.22,67.47,68.059998,311800
2007-01-10,67.81,68.35,67.47,68.31,285700
2007-01-11,68.85,69.0,68.6,68.69,472900
2007-01-12,68.7,68.99,68.54,68.69,283200
2007-01-16,68.85,69.040001,68.75,68.87,332700
2007-01-17,68.7,69.21,68.6,68.9,250500
2007-01-18,69.13,69.48,68.07,68.22,416000
2007-01-19,68.35,69.040001,68.25,68.83,293000
2007-01-22,68.78,68.81,68.15,68.47,347900
2007-01-23,69.9,71.35,68.9,69.67,1564600
2007-01-24,69.65,69.99,68.75,68.78,1022400
2007-01-25,68.78,69.0,67.57,67.65,850800
2007-01-26,67.66,68.0,67.11,67.67,654500
2007-01-29,67.74,68.0,67.44,67.74,478100
2007-01-30,67.66,68.040001,67.38,67.98,619300
2007-01-31,67.96,68.54,67.75,68.36,431500
2007-02-01,68.36,69.0,68.25,68.8,1232500
2007-02-02,68.8,69.010002,68.62,68.93,428000
2007-02-05,69.16,69.16,68.15,68.23,528400
2007-02-06,68.3,68.48,67.98,68.0,480300
2007-02-07,68.0,68.31,67.65,67.81,707500
2007-02-08,67.84,68.040001,67.36,67.66,687000
2007-02-09,67.75,67.9,66.98,67.059998,769000
2007-02-12,67.059998,67.33,66.71,66.89,644800
2007-02-13,66.89,67.71,66.79,67.7,385600
2007-02-14,67.8,68.9,67.53,68.67,890900
2007-02-15,68.67,68.98,68.57,68.76,403100
2007-02-16,68.52,68.76,68.0,68.5,268600
2007-02-20,68.7,68.72,68.42,68.49,460900
2007-02-21,68.35,68.71,68.34,68.55,654700
2007-02-22,68.5,68.8,68.099998,68.31,269400
2007-02-23,67.9,68.17,67.7,67.94,311400
2007-02-26,68.64,68.66,67.56,67.61,614500
2007-02-27,67.43,67.55,65.21,66.099998,797800
2007-02-28,66.2,66.8,65.55,66.43,730300
2007-03-01,66.099998,66.61,65.86,66.2,556900
2007-03-02,65.8,65.87,64.92,64.93,502300
2007-03-05,64.28,64.54,63.78,64.32,1270500
2007-03-06,64.66,64.66,63.96,64.2,876400
2007-03-07,63.8,64.2,63.36,63.53,604000
2007-03-08,64.0,64.54,63.9,64.13,617000
2007-03-09,64.45,65.24,64.45,64.85,602400
2007-03-12,64.66,64.95,64.43,64.79,806000
2007-03-13,64.5,64.64,63.25,63.46,778200
2007-03-14,63.46,64.21,62.87,64.040001,594300
2007-03-15,64.040001,64.63,63.87,64.27,321300
2007-03-16,64.4,64.4,63.75,64.07,719500
2007-03-19,64.65,64.82,64.25,64.58,578200
2007-03-20,64.48,64.87,64.3,64.82,523100
2007-03-21,64.82,65.78,64.54,65.71,567300
2007-03-22,64.86,65.79,64.86,65.55,1190900
2007-03-23,65.35,68.24,65.35,66.43,1280600
2007-03-26,66.44,66.5,65.56,66.2,573300
2007-03-27,66.099998,66.14,65.32,65.57,459700
2007-03-28,65.36,65.37,64.5,64.91,536800
2007-03-29,65.34,65.55,64.0,64.43,548300
2007-03-30,64.28,64.75,63.65,64.26,704700
2007-04-02,64.4,64.46,63.96,64.35,391000
2007-04-03,64.45,64.52,64.0,64.07,526300
2007-04-04,64.15,64.43,63.92,64.2,586100
2007-04-05,64.2,64.25,63.85,64.17,325100
2007-04-09,64.26,64.29,63.77,64.27,467900
2007-04-10,64.07,64.59,63.85,64.07,499100
2007-04-11,64.019997,64.12,63.24,63.43,710100
2007-04-12,63.24,63.87,63.02,63.87,730600
2007-04-13,63.98,64.0,63.55,63.95,317500
2007-04-16,65.69,65.69,63.89,64.050003,591200
2007-04-17,64.0,64.16,63.76,64.029999,400700
2007-04-18,63.98,64.28,63.75,64.2,657500
