date,open,high,low,close,volume
2006-10-18,9.68,9.71,9.37,9.39,643600
2006-10-19,9.42,9.59,9.41,9.41,401100
2006-10-20,9.48,9.48,9.15,9.16,683100
2006-10-23,9.25,9.55,9.21,9.4,1090700
2006-10-24,9.32,9.44,9.08,9.2,1158800
2006-10-25,9.9,10.2,9.45,9.45,6501600
2006-10-26,9.5,9.71,9.43,9.61,1409100
2006-10-27,9.61,9.81,9.57,9.62,1188100
2006-10-30,9.6,9.83,9.55,9.67,772600
2006-10-31,9.63,9.7,9.25,9.31,1349700
2006-11-01,9.25,9.29,8.75,8.99,2166200
2006-11-02,8.89,8.97,8.7,8.77,1190900
2006-11-03,8.82,8.97,8.78,8.86,1150000
2006-11-06,8.92,9.44,8.8,9.16,3433600
2006-11-07,9.18,9.31,9.07,9.12,1181000
2006-11-08,9.06,9.22,9.0,9.18,667500
2006-11-09,9.25,9.29,8.98,9.05,744500
2006-11-10,9.07,9.35,9.0,9.22,1059300
2006-11-13,9.25,9.37,9.07,9.25,663500
2006-11-14,9.24,9.28,9.05,9.28,719700
2006-11-15,9.08,9.36,9.08,9.21,609100
2006-11-16,9.25,9.28,9.05,9.07,646900
2006-11-17,9.06,9.11,9.0,9.02,574700
2006-11-20,9.05,9.08,8.94,8.98,592500
2006-11-21,8.97,8.99,8.78,8.81,793400
2006-11-22,8.82,8.86,8.69,8.85,1326600
2006-11-24,8.76,9.05,8.69,8.97,436100
2006-11-27,8.87,8.87,8.5,8.55,934800
2006-11-28,8.52,8.66,8.32,8.46,952200
2006-11-29,8.48,8.57,8.37,8.54,662400
2006-11-30,8.6,8.6,8.38,8.48,638500
2006-12-01,8.59,8.59,8.16,8.28,1360900
2006-12-04,8.23,8.53,8.21,8.43,739000
2006-12-05,8.4,8.6,8.36,8.46,551300
2006-12-06,8.48,8.68,8.46,8.56,623900
2006-12-07,8.56,8.65,8.35,8.36,599200
2006-12-08,8.47,8.54,8.42,8.46,525600
2006-12-11,8.3,8.35,7.88,8.32,1511400
2006-12-12,8.27,8.28,8.05,8.13,884200
2006-12-13,8.14,8.32,7.98,8.04,1521300
2006-12-14,8.02,8.18,7.98,8.0,694400
2006-12-15,8.0,8.13,7.85,7.85,1382000
2006-12-18,7.94,7.95,7.74,7.78,880100
2006-12-19,7.71,7.77,7.58,7.6,1382700
2006-12-20,7.68,7.81,7.66,7.69,930100
2006-12-21,7.66,7.77,7.55,7.6,622000
2006-12-22,7.54,7.62,7.5,7.53,546000
2006-12-26,7.5,7.64,7.42,7.43,926800
2006-12-27,7.4,7.8,7.39,7.5,1541400
2006-12-28,7.6,8.24,7.45,7.81,3604300
2006-12-29,7.91,8.11,7.59,7.61,2702300
2007-01-03,7.95,8.05,7.75,7.9,2169200
