date,open,high,low,close,volume
2006-10-18,110.75,112.25,110.37,111.62,698300
2006-10-19,112.099998,113.16,111.4,112.37,648500
2006-10-20,113.099998,113.28,111.31,112.22,490300
2006-10-23,112.22,114.56,112.019997,114.0,911900
2006-10-24,113.8,114.0,112.66,113.27,532200
2006-10-25,110.010002,111.5,108.37,109.27,1310800
2006-10-26,109.7,112.059998,109.49,111.86,623900
2006-10-27,111.65,111.88,110.6,110.9,562500
2006-10-30,110.65,111.74,109.42,111.43,596000
2006-10-31,111.18,112.34,110.82,112.0,711300
2006-11-01,112.0,112.25,109.91,109.96,729100
2006-11-02,109.96,110.58,108.85,109.92,540400
2006-11-03,109.82,110.78,108.67,109.3,625300
2006-11-06,109.65,111.81,109.65,111.68,349900
2006-11-07,111.66,111.83,110.87,111.54,549200
2006-11-08,111.39,113.56,110.85,113.18,627400
2006-11-09,113.28,113.79,112.07,112.87,468100
2006-11-10,112.25,113.25,112.059998,113.13,376800
2006-11-13,112.75,114.24,112.35,112.59,491700
2006-11-14,113.15,114.15,112.39,114.040001,715000
2006-11-15,113.95,114.24,113.71,113.9,452400
2006-11-16,114.4,114.98,114.059998,114.72,890900
2006-11-17,114.73,114.79,113.089996,114.79,404900
2006-11-20,114.9,115.24,113.92,114.51,448200
2006-11-21,115.050003,115.83,113.34,114.53,700700
2006-11-22,114.98,115.64,114.69,114.94,675000
2006-11-24,115.040001,115.55,113.94,114.92,282600
2006-11-27,114.87,114.87,113.28,113.68,639300
2006-11-28,113.4,113.73,112.62,113.17,666700
2006-11-29,113.32,113.82,112.42,113.11,656400
2006-11-30,113.24,113.96,112.61,113.61,801600
2006-12-01,113.62,114.14,112.39,113.38,466100
2006-12-04,113.95,115.25,113.81,114.47,771300
2006-12-05,117.25,120.36,115.089996,119.29,2491900
2006-12-06,118.75,120.37,117.83,119.41,1036000
2006-12-07,119.85,119.99,117.54,117.65,839300
2006-12-08,117.65,118.29,117.019997,117.73,890600
2006-12-11,117.73,117.99,117.3,117.79,470700
2006-12-12,117.51,117.94,116.45,117.089996,594700
2006-12-13,117.4,117.79,116.73,117.0,471700
2006-12-14,117.0,117.99,116.86,117.5,476100
2006-12-15,118.38,119.5,116.97,116.99,739700
2006-12-18,117.0,117.050003,115.86,116.22,318500
2006-12-19,116.25,117.8,115.36,117.4,759500
2006-12-20,117.5,117.98,116.88,117.050003,523100
2006-12-21,117.2,117.91,116.36,116.6,482700
2006-12-22,116.5,116.81,115.88,116.5,237800
2006-12-26,116.39,116.67,115.68,116.62,349200
2006-12-27,116.69,117.0,116.15,116.79,365900
2006-12-28,116.59,117.2,116.3,116.41,225800
2006-12-29,116.41,117.27,115.42,115.56,339600
2007-01-03,115.94,120.050003,115.94,118.61,1421300
2007-01-04,118.61,120.25,118.35,119.6,726900
2007-01-05,119.3,119.9,118.39,118.83,544300
2007-01-08,118.75,118.99,117.87,118.85,298300
2007-01-09,119.099998,122.21,119.0,121.61,780900
2007-01-10,121.61,121.61,120.17,120.82,475900
2007-01-11,120.94,124.94,120.92,124.86,832700
2007-01-12,124.87,125.32,122.84,124.61,520900
2007-01-16,124.61,125.28,123.39,123.74,443600
2007-01-17,123.35,124.34,123.33,123.56,542200
2007-01-18,123.73,124.23,123.56,123.87,601000
2007-01-19,124.94,125.41,123.2,125.089996,551300
2007-01-22,124.85,125.14,124.17,124.71,519700
2007-01-23,124.7,126.14,124.6,124.95,487100
2007-01-24,125.099998,125.77,124.9,125.52,362900
2007-01-25,125.4,125.4,124.43,124.44,603800
2007-01-26,124.64,125.13,123.94,124.75,431700
2007-01-29,124.85,125.4,124.16,124.52,317700
2007-01-30,124.58,124.78,123.029999,123.39,435500
2007-01-31,123.37,126.0,123.27,125.63,578600
2007-02-01,125.88,126.97,125.34,126.74,438600
2007-02-02,126.99,127.43,126.32,126.85,269900
2007-02-05,126.65,127.31,125.9,126.41,345000
2007-02-06,126.42,127.59,126.15,127.45,234600
2007-02-07,127.5,128.0,126.94,127.35,349900
2007-02-08,127.0,127.0,125.9,126.62,367000
2007-02-09,126.78,127.14,125.28,125.56,242200
2007-02-12,125.6,126.84,125.6,126.7,289900
2007-02-13,126.55,127.7,126.55,127.56,326500
2007-02-14,127.81,127.91,127.24,127.79,315900
2007-02-15,127.61,127.95,127.0,127.49,369200
2007-02-16,127.23,127.6,126.55,126.82,323800
2007-02-20,127.050003,128.070007,126.83,127.96,318400
2007-02-21,127.93,128.58,127.080002,128.27,425800
2007-02-22,129.13,129.91,128.89999,129.83,627200
2007-02-23,130.32001,131.12,129.77,131.0,704900
2007-02-26,131.0099945,132.22,130.87,131.41,1612700
2007-02-27,129.0,129.0,123.17,124.0,1888000
2007-02-28,124.099998,126.48,123.85,125.46,1360900
2007-03-01,124.6,125.39,123.050003,124.8,973300
2007-03-02,124.8,124.94,122.37,122.53,743700
2007-03-05,122.029999,123.0,121.52,121.57,691100
2007-03-06,122.8,123.9,121.76,123.7,711800
2007-03-07,123.7,125.95,123.4,125.67,787900
2007-03-08,126.15,126.94,125.85,126.31,512200
2007-03-09,127.5,127.9,126.57,127.28,489500
2007-03-12,127.0,127.69,126.059998,127.34,297800
2007-03-13,126.8,127.21,125.5,125.58,616400
2007-03-14,125.58,125.76,122.17,124.32,739900
2007-03-15,124.26,125.33,124.25,125.059998,566500
2007-03-16,125.059998,125.14,124.0,124.6,507600
2007-03-19,125.13,126.0,124.82,125.010002,612400
2007-03-20,125.010002,126.55,124.93,126.47,360600
2007-03-21,126.72,127.5,126.56,127.41,687300
2007-03-22,127.5,128.60001,127.37,128.10001,363000
2007-03-23,128.2,129.49001,127.69,129.059998,365200
2007-03-26,129.059998,129.17999,127.9,129.020004,305000
2007-03-27,128.60001,129.14999,128.2,128.67999,377800
2007-03-28,128.44,128.44,127.010002,127.53,567900
2007-03-29,127.55,128.32001,126.92,127.68,704200
2007-03-30,127.7,128.47,126.85,128.14,524100
2007-04-02,128.45,129.3,128.029999,128.98,821800
2007-04-03,129.45,130.60001,129.25,129.34,825700
2007-04-04,128.89999,129.87,128.5,129.38,993600
2007-04-05,129.37,130.10001,129.0099945,129.63,227500
2007-04-09,129.69,130.38,129.5,130.17999,322800
2007-04-10,130.19,131.61,130.19,130.42,543800
2007-04-11,130.42,131.69,129.99001,130.42,593900
2007-04-12,129.64999,131.19,128.53,130.82001,533300
2007-04-13,130.82001,130.83,129.55,130.61,378200
2007-04-16,131.0,132.81,131.0,132.53999,514400
2007-04-17,132.7,132.92,131.050003,131.92999,396100
2007-04-18,131.67999,132.27,130.59,131.64999,445400
2007-04-19,131.3,132.39999,130.92999,132.0099945,349100
2007-04-20,132.95,133.81,132.36,133.73,393500
2007-04-23,133.74001,134.55,133.60001,134.11,284300
2007-04-24,134.24001,134.24001,131.92,133.57001,526700
2007-04-25,136.75,137.66,135.33,135.49001,736700
2007-04-26,134.12,135.72,133.84,133.88,430200
2007-04-27,133.86,133.86,132.96001,133.19,372200
2007-04-30,133.19,134.58,133.039993,133.039993,586400
2007-05-01,133.64999,133.8,131.52,133.5,537100
2007-05-02,133.5,134.35001,132.61,132.71001,629000
2007-05-03,132.72,133.53,131.5,132.98,495100
2007-05-04,132.98,133.21001,131.94,132.3,408300
2007-05-07,132.42,132.84,131.95,132.52,250500
2007-05-08,132.73,132.94,131.8,132.46001,568400
2007-05-09,132.46001,135.39999,132.46001,135.10001,623800
2007-05-10,135.10001,135.74001,133.67,133.67,688700
2007-05-11,133.92,135.31,133.85001,134.8,421200
2007-05-14,134.89999,135.34,133.5,133.69,462700
2007-05-15,132.0,132.63,130.24001,130.25999,1123800
2007-05-16,130.46001,131.96001,130.37,131.67,602800
2007-05-17,131.67,133.31,131.24001,132.85001,538600
2007-05-18,133.39999,134.50999,133.17,134.50999,572800
2007-05-21,134.75,135.75999,133.78999,133.99001,988000
2007-05-22,133.99001,134.12,131.10001,132.11,1264000
2007-05-23,131.12,131.75,126.33,126.33,2402000
2007-05-24,127.14,128.25,125.81,126.010002,1447800
2007-05-25,126.010002,127.18,126.010002,127.029999,837400
2007-05-29,127.099998,127.76,126.73,127.6,901700
2007-05-30,127.6,128.57001,126.88,128.57001,1082700
2007-05-31,128.95,129.37,127.56,128.63,1203000
2007-06-01,128.7,130.089996,128.3,130.089996,883700
2007-06-04,130.089996,131.99001,129.89,131.78999,1145100
2007-06-05,131.78999,132.39999,130.52,132.17,1392700
2007-06-06,132.17,132.17,131.0,131.7,906200
2007-06-07,133.0,133.64999,131.34,131.44,1339400
2007-06-08,131.16,131.91,130.99001,131.67999,933000
2007-06-11,132.17,134.75,131.25,134.42,1097500
2007-06-12,134.42,136.3,133.98,134.21001,1166600
2007-06-13,134.75999,137.74001,134.58,137.74001,989900
2007-06-14,137.25,137.64,136.050003,136.61,847900
2007-06-15,137.25,138.66,136.84,137.39,781300
2007-06-18,138.55,140.2,137.85001,139.31,973000
2007-06-19,139.32001,139.7,137.75,139.2,786000
2007-06-20,139.0,139.14999,137.72,137.72,572500
2007-06-21,137.72,137.86,136.64999,137.0,1036100
2007-06-22,137.089996,138.35001,137.050003,137.089996,828200
2007-06-25,137.13,138.3,136.58,137.039993,610000
2007-06-26,137.12,137.50999,136.0,136.0,673600
2007-06-27,135.89999,137.2,135.50999,137.19,606700
2007-06-28,136.97,137.91,136.53,136.92,459700
2007-06-29,136.98,137.75,135.87,136.62,463500
2007-07-02,137.39999,138.029999,137.020004,137.78,313900
2007-07-03,137.95,138.8,137.95,138.47,205200
2007-07-05,138.48,140.10001,138.089996,140.10001,365600
2007-07-06,140.10001,140.28999,139.020004,139.92,528100
2007-07-09,139.75,139.89,138.050003,138.47,337000
2007-07-10,138.0,138.0,134.96001,134.96001,666000
2007-07-11,134.96001,136.17,134.55,135.5,606700
2007-07-12,133.0,135.5,131.86,134.64999,970600
2007-07-13,134.14999,135.96001,134.039993,135.88,330100
2007-07-16,135.39999,136.14,134.52,135.14999,326200
2007-07-17,134.95,135.63,134.31,135.60001,440800
2007-07-18,134.45,135.22,132.99001,134.42999,675600
2007-07-19,134.95,135.84,134.5,135.66,427700
2007-07-20,135.8,135.8,133.46001,133.72,718100
2007-07-23,134.60001,134.87,133.14999,133.61,405400
2007-07-24,132.95,133.25,131.22,131.31,702300
2007-07-25,131.36,131.42,128.2,129.050003,953700
2007-07-26,128.5,128.95,125.3,127.23,845100
2007-07-27,128.10001,129.41,127.35,127.45,1098100
2007-07-30,127.3,129.86,125.56,129.39,1087300
2007-07-31,129.92,130.12,126.81,126.81,788100
2007-08-01,127.050003,127.79,124.29,126.31,887600
2007-08-02,126.2,128.23,126.2,127.88,722400
2007-08-03,127.3,127.8,121.86,122.040001,1017100
2007-08-06,122.55,124.37,121.0,124.37,781200
2007-08-07,123.7,124.81,121.53,123.74,1061900
2007-08-08,124.11,125.96,121.15,122.28,1128300
2007-08-09,119.86,120.55,116.21,116.69,1791900
2007-08-10,115.52,117.35,111.78,115.88,1288500
2007-08-13,116.65,120.71,116.46,118.81,817700
2007-08-14,118.36,119.25,115.63,115.68,614300
2007-08-15,115.94,117.099998,114.11,114.17,731400
2007-08-16,114.0,114.66,111.46,113.16,1464400
2007-08-17,116.029999,118.72,115.35,118.17,1024300
2007-08-20,118.35,120.37,117.5,118.75,709200
2007-08-21,118.8,120.5,117.85,119.8,428900
2007-08-22,121.2,123.14,120.43,122.76,607800
2007-08-23,123.4,123.52,120.2,120.7,464700
2007-08-24,120.5,123.26,120.27,123.26,365800
2007-08-27,123.23,124.040001,120.95,121.099998,433100
2007-08-28,120.5,120.6,115.59,115.6,789800
2007-08-29,117.8,121.35,116.86,121.35,1068900
2007-08-30,119.7,121.18,119.38,120.23,412600
2007-08-31,121.75,122.42,119.77,121.29,563200
2007-09-04,121.19,121.21,118.69,118.97,833500
2007-09-05,117.85,117.97,114.21,114.57,1391100
2007-09-06,115.050003,115.5,112.97,114.69,841800
2007-09-07,113.3,113.52,111.37,111.49,1013100
2007-09-10,112.0,112.39,109.029999,110.48,1133300
2007-09-11,110.43,111.35,110.07,110.85,852600
2007-09-12,110.5,110.93,108.07,108.36,1141900
2007-09-13,108.45,110.61,108.36,109.12,1004600
2007-09-14,108.52,111.050003,107.6,109.9,772900
2007-09-17,109.25,109.88,107.8,108.62,781600
2007-09-18,107.099998,113.67,107.099998,113.12,1790200
2007-09-19,115.65,117.089996,112.98,114.54,1037700
2007-09-20,114.85,115.72,112.79,114.029999,787300
2007-09-21,113.97,114.22,112.44,113.91,908700
2007-09-24,113.51,115.79,113.51,115.38,693800
2007-09-25,114.8,114.84,112.010002,113.75,747900
2007-09-26,114.059998,115.099998,113.14,114.47,673500
2007-09-27,114.79,116.0,114.65,115.44,710800
2007-09-28,115.8,116.19,115.029999,116.14,766200
2007-10-01,115.9,117.21,115.69,116.52,1023600
2007-10-02,116.9,119.89,116.63,119.31,1239700
2007-10-03,118.65,122.29,118.65,121.85,1183600
2007-10-04,122.019997,122.23,119.77,120.5,662600
2007-10-05,121.85,125.54,121.67,124.59,807300
2007-10-08,124.8,125.17,122.66,123.37,782100
2007-10-09,123.7,123.9,121.82,122.97,735600
2007-10-10,122.77,123.5,121.66,123.31,714600
2007-10-11,123.95,124.68,122.38,123.34,690900
2007-10-12,123.83,125.0,122.82,123.7,486300
2007-10-15,123.88,124.68,121.69,122.14,658000
2007-10-16,122.019997,122.98,120.3,120.99,709600
2007-10-17,121.65,121.93,119.69,121.0,1095200
2007-10-18,120.7,121.95,119.41,121.29,933300
2007-10-19,121.29,121.29,118.54,118.67,1000800
2007-10-22,117.0,120.59,117.0,120.16,680100
2007-10-23,120.6,120.97,118.67,119.66,653300
2007-10-24,119.0,122.49,118.8,122.010002,1059700
2007-10-25,122.029999,124.77,121.0,122.5,912900
2007-10-26,124.099998,124.23,121.61,123.080002,583800
2007-10-29,123.74,125.0,123.24,123.6,454000
2007-10-30,123.27,124.25,123.019997,123.64,367800
2007-10-31,124.2,125.75,122.73,124.41,661100
2007-11-01,123.0,123.65,121.37,121.66,745700
2007-11-02,121.82,122.0,119.96,121.15,570000
2007-11-05,120.89,120.89,118.019997,118.88,694200
