date,open,high,low,close,volume
2006-10-18,55.37659,55.86746,55.077465,55.7831,1207319
2006-10-19,55.7831,55.7831,55.37659,55.46096,1408234
2006-10-20,55.68339,55.68339,54.84737,55.36892,1131698
2006-10-23,55.17717,55.40727,54.87038,55.23853,1071463
2006-10-24,55.26154,55.50698,54.35649,54.67096,1133915
2006-10-25,54.82436,54.85504,53.95766,54.34883,981240
2006-10-26,54.30281,54.50222,53.61252,54.35649,1257906
2006-10-27,54.36417,54.63261,54.10339,54.21844,753727
2006-10-30,53.95766,54.33349,53.91164,54.10339,782802
2006-10-31,54.11106,54.34116,53.53582,53.71223,1545655
2006-11-01,53.76591,53.93465,52.76116,52.7765,2012546
2006-11-02,53.88096,54.11106,53.22902,53.98067,2422852
2006-11-03,54.21844,54.34116,53.98067,54.088051,1389460
2006-11-06,54.87805,55.56834,54.83203,55.53766,1407452
2006-11-07,55.76009,56.75717,55.69106,56.42736,1550088
2006-11-08,56.42736,56.42736,55.29989,55.42261,1435614
2006-11-09,55.45329,55.59135,54.6863,54.74766,1306016
2006-11-10,54.9164,55.13115,54.28747,54.59426,1009663
2006-11-13,54.54824,54.61727,54.34883,54.47155,1119182
2006-11-14,54.52523,54.83203,54.2031,54.57125,1155558
2006-11-15,54.80902,54.96242,54.2031,54.21077,1036521
2006-11-16,54.40252,55.069798,54.37951,54.74766,1442524
2006-11-17,54.5099,54.74766,54.34116,54.64028,1118269
2006-11-20,54.40252,54.72465,54.065041,54.64795,1014878
2006-11-21,54.64795,55.21552,54.54057,55.0084381,1296368
2006-11-22,54.95475,55.41494,54.83203,55.21552,1592461
2006-11-24,55.069798,55.10048,54.43319,54.47155,335859
2006-11-27,54.26446,54.67096,53.81194,53.81194,1281505
2006-11-28,53.81194,54.69397,53.59718,54.42553,1838488
2006-11-29,54.80135,55.54533,54.67096,55.22319,1425575
2006-11-30,55.1465,55.26154,54.69397,55.0084381,1362341
2006-12-01,55.29989,55.44562,54.59426,54.9931,1156471
2006-12-04,55.25387,56.14358,55.18484,55.56834,1140825
2006-12-05,55.52232,55.60669,55.20786,55.3229,1401455
2006-12-06,55.53766,55.7064,55.22319,55.60669,1122702
2006-12-07,55.59135,56.15125,55.56067,56.013191,871069
2006-12-08,55.77542,56.22028,55.52999,55.89814,862333
2006-12-11,55.79844,55.89814,55.58368,55.73708,914094
2006-12-12,55.68339,55.89047,55.52232,55.64504,922438
2006-12-13,55.79844,55.89047,55.52999,55.59902,1130786
2006-12-14,55.58368,55.89047,55.20786,55.85979,1330398
2006-12-15,55.89047,55.89047,55.19251,55.20786,2012155
2006-12-18,55.29222,55.6297,55.016106,55.26154,1157644
2006-12-19,55.26154,55.37659,54.74766,54.97009,1604196
2006-12-20,55.16183,55.16951,54.59426,54.72465,1360906
2006-12-21,54.87038,55.21552,54.50222,54.69397,1254907
2006-12-22,54.8397,54.8397,54.23378,54.37184,638992
2006-12-26,54.32582,54.34883,54.034363,54.10339,1288024
2006-12-27,54.63261,54.80135,53.98067,54.17242,1231178
2006-12-28,54.072712,54.18009,53.71223,54.049702,1021397
2006-12-29,54.11106,54.2031,53.67388,53.80426,1143041
2007-01-03,54.10339,54.54057,53.77359,54.01902,1943835
2007-01-04,53.88096,54.13407,53.49747,53.57417,1907720
2007-01-05,53.42077,53.85795,53.15232,53.68922,1980863
2007-01-08,53.81194,54.23378,53.5665,54.034363,1437048
2007-01-09,54.13407,54.74766,54.088051,54.63261,1797288
2007-01-10,54.63261,55.16183,54.31815,55.039116,1780469
2007-01-11,55.039116,55.56067,55.039116,55.3996,1642397
2007-01-12,55.1465,55.29989,54.89339,55.20018,1029611
2007-01-16,55.1465,55.65271,55.039116,55.63737,1341089
2007-01-17,55.64504,56.22795,55.31523,55.79844,1125962
2007-01-18,57.25571,57.25571,55.7294,56.66513,1298715
2007-01-19,56.91057,57.28639,56.45805,56.7495,1515146
2007-01-22,56.7495,56.93358,56.20494,56.343,1796897
2007-01-23,56.33533,56.75717,56.10523,56.68814,1057773
2007-01-24,56.86455,57.71591,56.72649,57.63921,1655565
2007-01-25,57.63921,57.90765,56.5961,57.22504,2017239
2007-01-26,56.91057,57.28639,56.79552,57.12532,1787249
2007-01-29,56.88756,57.51649,56.81086,57.30173,2490258
2007-01-30,57.52416,59.13484,56.96426,58.94309,2941894
2007-01-31,58.75134,59.28823,58.35251,59.012119,2221284
2007-02-01,59.42629,59.4493,59.012119,59.3726,2239407
2007-02-02,59.042797,59.45697,59.027458,59.15784,1451781
2007-02-05,59.22688,59.46464,59.019787,59.32658,1714888
2007-02-06,59.48765,59.82513,59.2729,59.54134,1661041
2007-02-07,59.46464,59.99386,59.21154,59.78678,1304973
2007-02-08,59.96318,60.46173,59.78678,59.93251,1931971
2007-02-09,60.070564,60.078232,59.31124,59.44163,1299237
2007-02-12,59.4493,59.56435,58.89707,58.90474,1591809
2007-02-13,58.98144,59.10416,58.75134,58.91241,1087500
2007-02-14,59.065807,59.6027,59.0044479,59.33426,1178766
2007-02-15,59.36493,59.46464,59.065807,59.41095,839517
2007-02-16,59.71775,59.97852,59.24221,59.77144,1242130
2007-02-20,59.9095,60.20862,59.31891,59.44163,1547219
2007-02-21,59.13484,59.47998,59.10416,59.3726,1451912
2007-02-22,59.38794,59.49532,59.2729,59.40328,1726231
2007-02-23,59.44163,59.62571,59.34959,59.50299,1273421
2007-02-26,59.51066,59.65639,59.1195,59.2192,1389720
2007-02-27,59.1195,59.24989,57.21737,57.36309,2479697
2007-02-28,57.36309,58.65163,57.36309,58.2528,2307465
2007-03-01,57.66989,58.37552,57.39377,58.15309,1740443
2007-03-02,58.15309,58.15309,57.41678,57.42445,1380724
2007-03-05,57.10232,57.62387,56.72649,56.74183,1516059
2007-03-06,56.92591,57.22504,56.86455,57.15601,1006925
2007-03-07,56.95659,57.19436,56.77251,56.87222,1009923
2007-03-08,57.25571,57.82328,57.079308,57.4628,939779
2007-03-09,57.67756,57.80795,57.29406,57.52416,1019572
2007-03-12,57.14067,57.43979,57.056297,57.14833,1438483
2007-03-13,56.87222,56.89523,56.29698,56.35834,1684379
2007-03-14,56.48872,57.26339,56.21261,57.17902,1666648
2007-03-15,57.048626,57.49348,56.98727,57.17134,1664301
2007-03-16,57.37076,57.42445,56.91824,57.063969,2057136
2007-03-19,57.64688,57.64688,57.16367,57.41678,886323
2007-03-20,57.43979,57.66989,57.14833,57.6162,824002
2007-03-21,57.56251,58.24513,56.94892,58.23746,1136914
2007-03-22,58.1761,58.29115,57.84629,58.18377,906793
2007-03-23,58.06105,58.18377,57.71591,57.80795,689710
2007-03-26,57.74659,57.90765,57.28639,57.78493,863507
2007-03-27,57.52416,58.076393,57.29406,57.77727,787104
2007-03-28,57.67756,58.0073624,57.21737,57.64688,855423
2007-03-29,57.98435,58.46756,57.91533,58.37552,1329615
2007-03-30,58.44455,59.073479,58.31416,58.97377,1843052
2007-04-02,59.05814,59.92484,58.97377,59.74843,2053615
2007-04-03,59.84814,60.69949,59.84814,60.50775,2017500
2007-04-04,60.63047,60.78386,60.30833,60.51542,1297803
2007-04-05,59.87115,60.59211,59.36493,60.14726,1709673
2007-04-09,60.14726,60.21629,59.67173,59.74843,793232
2007-04-10,59.86348,59.95552,59.61037,59.77144,899622
2007-04-11,59.6794,60.20095,59.24989,60.032215,1297803
2007-04-12,60.085903,60.42338,59.88649,60.17794,879543
2007-04-13,60.17794,60.47707,59.92484,60.039883,897536
2007-04-16,60.13959,60.48474,60.047554,60.40037,633386
2007-04-17,60.51542,60.51542,60.27765,60.29299,813832
2007-04-18,60.20862,60.26998,59.6027,59.86348,1120746
2007-04-19,59.59503,60.11658,59.3726,59.84047,829869
2007-04-20,60.43872,60.78386,60.12425,60.63047,1509931
2007-04-23,60.50008,60.66882,60.070564,60.20095,931304
2007-04-24,60.17027,60.18561,59.72542,59.9095,933782
2007-04-25,61.1827,61.3591,60.23163,60.23163,1462994
2007-04-26,59.90182,60.59211,59.44163,59.7561,1489331
2007-04-27,59.47998,60.56144,59.36493,60.33134,1709803
2007-04-30,60.20862,60.58445,60.062893,60.35435,1238480
2007-05-01,60.59211,61.22872,60.51542,61.075317,1933144
2007-05-02,61.12901,62.034054,60.94493,62.026382,1400281
2007-05-03,62.12609,62.18745,61.48182,61.61221,894668
2007-05-04,61.61221,61.73493,60.99862,61.19037,945907
2007-05-07,61.22105,61.55085,61.11367,61.1827,910052
2007-05-08,60.86056,60.97561,60.45406,60.80687,862594
2007-05-09,60.81454,61.06765,60.65347,60.94493,1024135
2007-05-10,60.75318,60.77619,59.87881,59.87881,1209274
2007-05-11,60.070564,60.35435,59.74843,60.039883,959336
2007-05-14,59.84814,59.93251,59.40328,59.51066,1277072
2007-05-15,59.82513,60.23163,59.67173,59.86348,1523099
2007-05-16,59.86348,60.36202,59.6027,60.36202,1205754
2007-05-17,60.20862,60.26998,59.25755,59.39561,1628707
2007-05-18,59.40328,59.66406,59.25755,59.66406,1299367
2007-05-21,59.47231,59.63338,58.84338,59.042797,1577337
2007-05-22,59.16552,59.32658,58.51358,58.98911,1321662
2007-05-23,58.86639,59.34959,58.70532,59.088818,1287633
2007-05-24,59.59503,59.97852,59.1195,59.18085,1674861
2007-05-25,59.25755,59.35726,59.012119,59.15784,862073
2007-05-29,59.44163,59.82513,58.68998,58.736,1142650
2007-05-30,58.66697,58.82804,58.21445,58.62862,1494155
2007-05-31,58.67464,58.80503,58.21445,58.48289,1245259
2007-06-01,58.38319,58.55193,58.091732,58.30649,1279158
2007-06-04,58.49824,58.52892,58.23746,58.36018,1073549
2007-06-05,58.13775,58.55959,57.83096,57.93834,1435353
2007-06-06,57.93834,57.946,57.34775,57.34775,1519188
2007-06-07,57.14067,57.5395,57.017948,57.11766,1680859
2007-06-08,57.010277,57.81562,56.98727,57.81562,1397152
2007-06-11,57.81562,57.81562,57.36309,57.52416,1810326
2007-06-12,57.14067,57.62387,56.75717,57.094646,1361949
2007-06-13,57.25571,57.27872,56.47338,57.010277,2785047
2007-06-14,57.10999,58.57494,57.071636,58.36785,2168350
2007-06-15,58.90474,59.027458,58.28348,58.47523,1570557
2007-06-18,58.1761,58.41387,57.75426,57.81562,769503
2007-06-19,57.8693,57.8693,57.32474,57.78493,1922062
2007-06-20,57.79261,58.06105,57.48581,57.48581,1295716
2007-06-21,57.49348,57.75426,57.37843,57.55484,1089977
2007-06-22,57.40144,57.89231,57.10232,57.66989,2558968
2007-06-25,57.71591,57.90765,56.75717,56.92591,1534573
2007-06-26,57.50115,57.7696,56.5961,56.68047,1641615
2007-06-27,56.52708,56.64979,55.52999,56.48872,2395863
2007-06-28,56.35834,56.87989,56.27397,56.54242,931565
2007-06-29,56.56543,57.20969,56.56543,57.14067,1461821
2007-07-02,57.44746,57.72358,57.11766,57.55484,1586203
2007-07-03,57.63154,57.71591,57.4628,57.57018,444335
2007-07-05,57.63921,57.6929,57.040958,57.44746,634820
2007-07-06,57.21737,57.77727,56.95659,57.64688,755552
2007-07-09,57.75426,57.95367,57.48581,57.86163,871460
2007-07-10,57.40144,57.88464,56.95659,56.96426,1320880
2007-07-11,56.81086,57.43979,56.69581,57.43979,890365
2007-07-12,57.47047,57.96135,57.21737,57.96135,796752
2007-07-13,57.96135,58.41387,57.84629,58.36018,545771
2007-07-16,58.1761,58.2528,57.71591,57.78493,1212664
