date,open,high,low,close,volume
2006-10-18,35.43333,35.66667,34.86667,35.39,2705700
2006-10-19,35.33333,35.34333,34.88333,35.09,2220600
2006-10-20,35.15,35.38333,35.033333,35.24,2047500
2006-10-23,35.066666,36.043331,35.066666,36.029999,4085100
2006-10-24,35.82667,36.13333,35.31333,36.056667,3616500
2006-10-25,36.10333,36.5,35.66667,36.48667,5436300
2006-10-26,37.046665,37.33333,36.76667,37.32333,5360100
2006-10-27,37.16,37.39667,36.81333,36.96667,3158700
2006-10-30,37.056667,38.053333,36.98667,37.82,5225400
2006-10-31,37.95,38.32667,37.82333,37.98667,6177300
2006-11-01,38.22667,38.29333,36.8,36.85,4586400
2006-11-02,36.76667,36.95,36.47333,36.65,4972800
2006-11-03,36.93333,37.083332,35.84667,36.15,3348600
2006-11-06,36.14333,36.78667,36.066666,36.73667,3434400
2006-11-07,36.79667,37.5,36.77667,36.86,2412600
2006-11-08,36.66,37.17,36.64333,36.71333,2042700
2006-11-09,36.51667,36.53333,35.5,35.57333,5149200
2006-11-10,35.72,35.93667,35.48667,35.66667,2487900
2006-11-13,35.66667,35.90333,35.63,35.8,3677700
2006-11-14,36.046665,36.066666,35.56,36.0,3104400
2006-11-15,35.99,36.3,35.88333,36.060001,2544000
2006-11-16,36.30333,36.53,36.23667,36.28333,1520100
2006-11-17,36.15,36.43,35.97333,36.16667,2643000
2006-11-20,36.31333,36.54667,35.98667,36.24333,2367900
2006-11-21,36.40667,36.53333,36.013332,36.12333,2010000
2006-11-22,36.12333,36.43333,36.066666,36.30667,1314000
2006-11-24,35.99667,36.056667,35.71333,35.9,835800
2006-11-27,35.77,35.82,34.59667,34.62333,3628500
2006-11-28,34.66,35.096668,34.47667,34.84,2358000
2006-11-29,34.99667,35.38667,34.90333,35.32,3982200
2006-11-30,35.5,35.78667,35.25667,35.58,4602600
2006-12-01,35.49667,35.65,34.83,35.59667,5773500
2006-12-04,35.96667,36.51667,35.86,36.41,4031100
2006-12-05,36.61,37.076668,36.33,37.0066681,4478700
2006-12-06,37.0,37.42,36.86,37.32333,3429900
2006-12-07,37.63333,37.81,37.19,37.29667,3268500
2006-12-08,37.17333,37.59667,36.97,37.45333,2605800
2006-12-11,37.55,37.55,37.073334,37.21667,2881500
2006-12-12,37.32333,37.66333,37.11,37.46667,3730500
2006-12-13,37.76667,37.83667,37.36667,37.43667,1976400
2006-12-14,37.4,38.14,37.24667,38.0,3214200
2006-12-15,38.0,38.12,37.70333,37.74667,3229200
2006-12-18,37.75,38.23333,37.67667,37.88667,1926600
2006-12-19,37.33333,37.63333,37.13667,37.34333,2883300
2006-12-20,37.33333,37.61,37.23333,37.24,1811700
2006-12-21,37.17333,37.55,37.10667,37.21333,2121000
2006-12-22,37.26667,37.28333,36.56667,36.80667,1906500
2006-12-26,36.70333,36.84333,36.55,36.61667,2001600
2006-12-27,36.83333,37.056667,36.69667,36.98,2589900
2006-12-28,37.16667,37.18667,36.81333,37.016666,1944000
2006-12-29,36.95,36.98667,36.61333,36.72333,1906500
2007-01-03,37.14667,38.099998,37.13,37.79333,3660900
2007-01-04,37.79667,38.12667,37.45333,37.96,2777700
2007-01-05,37.7,37.91,37.19333,37.25667,2013600
2007-01-08,37.34,38.32333,37.10333,38.31333,2851500
2007-01-09,38.33333,39.28,38.32333,38.99,4179900
2007-01-10,38.63333,39.50667,38.41667,39.39667,2876400
