date,open,high,low,close,volume
2006-10-18,59.99,60.0,59.11,59.5,1526700
2006-10-19,60.0,60.0,59.34,59.92,529300
2006-10-20,59.77,59.89,59.38,59.87,435900
2006-10-23,59.09,59.22,57.31,57.85,1972700
2006-10-24,57.85,58.68,57.8,58.37,1518300
2006-10-25,58.060001,58.86,57.74,58.86,1533400
2006-10-26,59.0,63.29,59.0,62.69,3420800
2006-10-27,61.85,62.2,61.5,61.6,1220500
2006-10-30,60.8,62.44,60.75,62.27,1644800
2006-10-31,62.02,64.24,61.8,64.11,2760100
2006-11-01,64.12,65.85,64.12,64.57,1631500
2006-11-02,64.66,64.85,64.099998,64.23,522500
2006-11-03,64.29,64.89,64.24,64.58,715400
2006-11-06,64.74,64.81,64.37,64.75,941200
2006-11-07,64.8,65.62,64.75,65.14,1013400
2006-11-08,65.0,66.57,64.78,65.93,1050300
2006-11-09,67.0,69.7,67.0,68.16,1947800
2006-11-10,68.080002,68.38,66.86,67.61,855000
2006-11-13,67.5,67.59,66.61,67.5,380600
2006-11-14,67.29,67.3,65.67,65.86,2513400
2006-11-15,65.86,66.0,65.35,65.93,3432600
2006-11-16,66.2,66.61,65.88,66.18,1332800
2006-11-17,66.18,66.37,65.79,66.029999,964300
2006-11-20,65.5,66.21,65.29,66.12,535100
2006-11-21,66.2,68.5,66.16,68.5,2157000
2006-11-22,68.0,69.65,68.0,69.029999,1506100
2006-11-24,69.48,69.95,69.24,69.54,379600
2006-11-27,69.42,69.42,67.63,68.099998,1296300
2006-11-28,67.85,67.99,67.13,67.71,972500
2006-11-29,68.25,69.78,68.18,69.78,961400
2006-11-30,69.95,70.89,69.79,70.5,1060600
2006-12-01,70.65,70.9,69.84,69.98,628000
2006-12-04,69.95,71.58,69.91,70.9,971300
2006-12-05,70.6,71.7,70.6,71.43,841600
2006-12-06,70.83,72.2,70.62,72.010002,1727500
2006-12-07,71.95,72.36,71.72,72.0,1363300
2006-12-08,72.15,72.66,72.07,72.6,469800
2006-12-11,72.75,73.25,72.21,73.12,839100
2006-12-12,73.0,73.15,71.88,72.44,1561900
2006-12-13,72.8,72.93,71.9,72.0,817200
2006-12-14,72.39,73.22,71.88,73.17,812800
2006-12-15,73.42,73.46,72.35,72.85,660500
2006-12-18,72.85,72.89,70.52,71.019997,1036400
2006-12-19,70.55,70.71,69.87,70.5,637600
2006-12-20,70.65,70.9,70.050003,70.27,733600
2006-12-21,70.39,71.3,70.059998,70.18,462700
2006-12-22,70.18,71.099998,69.68,70.61,431900
2006-12-26,70.61,71.099998,70.21,71.040001,482800
2006-12-27,71.2,72.6,71.2,72.2,696600
2006-12-28,72.2,73.54,72.2,73.12,820100
2006-12-29,73.0,73.33,72.42,72.51,620300
2007-01-03,72.51,72.51,71.16,71.6,656600
2007-01-04,71.5,72.47,70.95,71.21,1149900
2007-01-05,71.080002,71.089996,69.91,70.13,821400
2007-01-08,71.0,72.31,70.24,71.35,704100
