date,open,high,low,close,volume
2006-10-18,45.87,46.13,45.53,45.95,2384200
2006-10-19,45.71,46.22,45.62,45.92,2351200
2006-10-20,45.63,45.91,44.76,45.0099983,4187300
2006-10-23,44.74,45.53,44.26,45.29,3109200
2006-10-24,45.2,45.33,44.15,44.91,2023400
2006-10-25,44.76,45.12,44.48,44.94,2514400
2006-10-26,44.84,44.98,43.83,44.41,3909100
2006-10-27,44.37,44.58,43.88,44.02,2570200
2006-10-30,44.39,44.42,43.9,43.91,2534800
2006-10-31,46.9,48.5,46.0,47.6,12915800
2006-11-01,47.67,48.32,47.4,47.77,4624300
2006-11-02,47.58,47.87,46.95,47.71,2650100
2006-11-03,47.76,47.87,47.26,47.52,1870800
2006-11-06,47.61,48.5,47.5,48.41,2115400
2006-11-07,48.24,48.95,47.68,48.8,3502600
2006-11-08,48.18,48.92,47.96,48.66,3343100
2006-11-09,48.53,48.82,47.0,47.07,2629500
2006-11-10,47.32,47.91,46.74,47.5,2421000
2006-11-13,47.77,48.37,47.37,48.27,2719500
2006-11-14,48.37,48.5,47.88,48.31,2345300
2006-11-15,48.4,49.25,48.31,48.97,3568500
2006-11-16,49.099998,49.98,49.0,49.95,4318600
2006-11-17,49.9,50.9,49.73,50.79,5574600
2006-11-20,51.18,51.63,50.81,51.27,3056200
2006-11-21,51.45,51.6,50.9,51.0,3219900
2006-11-22,51.060001,52.14,50.98,51.98,3051500
2006-11-24,51.34,51.95,51.060001,51.51,1216800
2006-11-27,51.14,51.69,50.73,51.09,3234700
2006-11-28,50.78,51.5,50.47,51.029999,3093800
2006-11-29,50.97,51.56,50.76,51.51,2666700
2006-11-30,51.51,52.5,51.3,52.26,3891200
2006-12-01,52.5,52.72,51.71,52.16,3272700
2006-12-04,52.36,52.52,51.61,51.78,2708500
2006-12-05,51.66,51.94,51.0,51.5,2474300
2006-12-06,51.51,51.95,51.0,51.89,2813400
2006-12-07,51.89,52.15,51.24,51.36,2556100
2006-12-08,51.26,52.07,50.56,50.67,2822800
2006-12-11,50.099998,51.47,50.060001,51.34,3962900
2006-12-12,51.64,51.64,50.26,50.74,3157100
2006-12-13,50.87,51.0,49.75,50.17,3479400
2006-12-14,50.31,51.76,50.31,51.060001,3886700
2006-12-15,51.39,52.36,50.94,51.36,4747600
2006-12-18,51.37,51.46,50.02,50.23,2535400
2006-12-19,48.5,49.89,48.0,49.52,8178200
2006-12-20,49.51,49.71,49.15,49.34,3421500
2006-12-21,49.3,49.97,49.060001,49.66,3317500
2006-12-22,49.57,49.68,48.91,49.029999,1396100
2006-12-26,48.9,49.52,48.77,48.97,1017000
2006-12-27,49.37,49.67,48.91,49.16,1891300
2006-12-28,49.24,49.58,48.65,49.34,1991800
2006-12-29,49.07,49.51,48.97,49.19,1542500
2007-01-03,49.28,50.25,48.2,49.33,3833500
2007-01-04,49.27,50.099998,48.88,49.75,2884300
2007-01-05,49.99,50.33,49.51,49.76,2230400
2007-01-08,50.0,50.16,48.91,50.02,3160200
2007-01-09,49.88,50.14,49.3,49.5,2816500
2007-01-10,49.23,49.55,48.82,49.28,3161600
2007-01-11,49.34,50.63,49.099998,50.44,2847900
2007-01-12,50.36,51.37,50.36,50.97,3147800
2007-01-16,51.2,51.85,50.5,51.8,2710000
2007-01-17,51.48,52.45,51.41,51.9,3963000
