date,open,high,low,close,volume
2006-10-18,37.26945,37.35425,36.58046,36.89845,2765860
2006-10-19,35.82786,36.47445,35.60526,35.91265,7422294
2006-10-20,36.029255,36.029255,35.29786,35.59466,3875110
2006-10-23,35.36146,35.97626,35.25546,35.69006,3525958
2006-10-24,35.82786,35.92326,35.44626,35.92326,3631430
2006-10-25,35.89146,36.44265,35.82786,36.37906,3768034
2006-10-26,36.36845,36.89845,36.28365,36.68645,2383689
2006-10-27,36.64405,36.73945,36.30486,36.42146,3008786
2006-10-30,36.48505,36.66525,36.40025,36.48505,1596233
2006-10-31,36.51685,36.71825,36.37906,36.43205,2807464
2006-11-01,36.48505,36.56985,35.88086,35.89146,2847653
2006-11-02,35.63706,35.92326,35.50986,35.91265,3645675
2006-11-03,36.14585,36.20945,35.95506,35.96566,4199639
2006-11-06,36.14585,36.54865,36.0080566,36.52745,3387844
2006-11-07,36.46386,36.99385,36.33665,36.83485,2771615
2006-11-08,36.58046,36.83485,36.43205,36.65465,4335112
2006-11-09,36.59105,37.0044518,36.58046,36.78185,5065209
2006-11-10,37.078651,37.13165,36.84545,36.99385,3400674
2006-11-13,37.015053,37.22705,36.86665,36.99385,2383783
2006-11-14,37.13165,37.31185,37.025654,37.20585,3948884
2006-11-15,37.14225,37.49205,37.13165,37.39665,4392282
2006-11-16,37.60865,38.022049,37.49205,37.91605,2985012
2006-11-17,37.84185,38.096249,37.74645,38.011448,3715864
2006-11-20,38.011448,38.43545,37.95845,38.28705,4023790
2006-11-21,38.15985,38.29765,37.75705,37.89485,4296055
2006-11-22,37.90545,38.18105,37.86305,38.043247,2868408
2006-11-24,37.99025,38.064449,37.87365,37.94785,1296043
2006-11-27,37.88425,37.92665,37.41785,37.43905,2909257
2006-11-28,37.28005,37.68285,37.23765,37.59805,3169824
2006-11-29,37.65105,37.95845,37.51325,37.83125,1765384
2006-11-30,37.82065,37.85245,37.43905,37.67225,3843883
2006-12-01,37.71465,37.85245,37.23765,37.60865,3522090
2006-12-04,40.91584,42.20903,40.80984,42.13483,26656427
2006-12-05,42.98283,42.98283,41.94403,42.01823,13508262
2006-12-06,41.81683,42.071232,41.73203,41.88043,6544838
2006-12-07,41.71083,42.19843,41.50943,41.65783,7376633
2006-12-08,41.52003,41.63663,41.39283,41.49883,5398795
2006-12-11,41.33984,41.53064,41.043037,41.52003,5169549
2006-12-12,41.33984,41.63663,41.27623,41.55183,3641524
2006-12-13,41.64723,41.76383,41.45643,41.61543,3482750
2006-12-14,41.47763,41.79563,41.32924,41.76383,4873510
2006-12-15,41.76383,42.060631,41.74263,41.92283,5365116
2006-12-18,41.92283,42.34683,41.86983,41.97583,2444727
2006-12-19,41.76383,42.09243,41.62603,42.01823,2994823
2006-12-20,41.92283,42.20903,41.84863,42.0076332,2085291
2006-12-21,42.12423,42.13483,41.66843,41.93343,3990016
2006-12-22,42.028831,42.039433,41.55183,41.71083,1821611
2006-12-26,41.62603,42.12423,41.59423,42.050034,1031797
2006-12-27,42.18783,42.37863,42.081833,42.32563,1099344
2006-12-28,42.38923,42.39983,42.039433,42.31503,922079
2006-12-29,42.18783,42.28323,41.61543,41.73203,1658686
2007-01-03,42.11363,42.55883,41.98643,42.071232,5236908
2007-01-04,41.97583,42.20903,41.60484,41.98643,5846816
2007-01-05,41.86983,42.33623,41.48824,41.78503,4854359
2007-01-08,41.79563,42.081833,41.44584,41.95463,3788223
2007-01-09,41.89103,42.18783,41.41404,41.77443,4139828
