date,open,high,low,close,volume
2006-10-18,65.76,66.4,65.76,66.18,435000
2006-10-19,66.36,66.64,66.32,66.56,370000
2006-10-20,66.58,66.58,66.14,66.56,540000
2006-10-23,66.56,66.88,66.5,66.66,1065000
2006-10-24,66.76,67.3,66.75,67.099998,1095000
2006-10-25,67.4,68.4,67.0,67.84,1050000
2006-10-26,68.5,69.92,68.44,69.8,1440000
2006-10-27,69.78,70.46,69.14,69.14,1035000
2006-10-30,69.0,70.0,68.9,69.64,785000
2006-10-31,70.2,70.44,69.92,70.3,800000
2006-11-01,70.2,70.42,69.56,69.86,1005000
2006-11-02,69.66,70.019997,68.9,69.46,835000
2006-11-03,69.46,70.099998,69.46,70.019997,880000
2006-11-06,71.28,71.75,70.76,71.74,2005000
2006-11-07,71.2,71.65,71.040001,71.42,1265000
2006-11-08,71.74,71.96,71.36,71.86,855000
2006-11-09,72.2,72.56,71.22,71.32,1285000
2006-11-10,71.72,72.23,71.22,71.4,760000
2006-11-13,71.92,72.0,70.78,70.96,675000
2006-11-14,71.2,71.2,70.44,71.2,585000
2006-11-15,71.2,71.44,70.96,71.4,525000
2006-11-16,71.76,71.82,71.2,71.29,545000
2006-11-17,71.12,71.4,71.040001,71.16,360000
2006-11-20,71.46,71.5,71.18,71.43,630000
2006-11-21,71.86,71.86,71.36,71.62,600000
2006-11-22,71.72,71.9,71.48,71.86,345000
2006-11-24,71.86,71.86,71.5,71.75,185000
2006-11-27,72.059998,72.059998,70.6,71.14,790000
2006-11-28,71.07,71.07,70.23,70.64,940000
2006-11-29,70.52,70.76,70.14,70.38,905000
2006-11-30,70.3,71.43,70.17,71.099998,1150000
2006-12-01,71.099998,71.34,70.4,71.2,720000
2006-12-04,70.92,71.66,70.92,71.44,1135000
2006-12-05,71.3,72.24,71.3,72.080002,1090000
2006-12-06,71.72,73.32,71.56,72.64,955000
2006-12-07,72.4,72.66,71.4,71.66,760000
2006-12-08,71.46,71.83,71.22,71.5,350000
2006-12-11,71.24,72.36,71.24,71.84,800000
2006-12-12,71.9,73.3,71.6,73.3,1095000
2006-12-13,72.8,73.4,72.68,73.26,925000
2006-12-14,73.059998,73.56,73.040001,73.5,1300000
2006-12-15,73.36,76.0,73.24,76.0,2365000
2006-12-18,76.5,76.5,75.54,75.62,1100000
2006-12-19,75.52,75.56,74.9,75.4,930000
2006-12-20,75.56,75.76,74.12,74.42,1295000
2006-12-21,74.099998,74.76,72.84,73.16,980000
2006-12-22,73.32,73.6,72.94,73.19,630000
2006-12-26,73.14,73.24,71.82,73.18,565000
2006-12-27,73.66,73.66,73.16,73.28,450000
2006-12-28,73.64,73.64,73.040001,73.35,525000
2006-12-29,73.2,73.32,72.52,73.32,430000
2007-01-03,73.56,73.72,72.6,72.86,1385000
2007-01-04,72.86,72.94,72.059998,72.2,1070000
2007-01-05,72.66,72.66,71.26,71.56,930000
2007-01-08,71.82,71.9,71.5,71.72,760000
2007-01-09,71.72,73.040001,71.66,73.0,610000
2007-01-10,73.0,73.18,72.3,73.019997,775000
2007-01-11,73.080002,73.4,73.0,73.4,570000
2007-01-12,73.4,73.48,73.099998,73.36,460000
2007-01-16,73.48,73.64,72.32,72.38,800000
2007-01-17,72.38,73.16,72.38,72.41,730000
2007-01-18,72.6,73.0,72.41,72.67,515000
2007-01-19,72.8,73.16,72.62,73.12,420000
2007-01-22,73.3,73.34,72.4,72.8,675000
2007-01-23,72.8,72.8,72.31,72.48,720000
2007-01-24,72.66,72.69,71.32,71.62,1285000
2007-01-25,72.0,72.0,71.4,71.72,560000
2007-01-26,71.78,71.8,70.82,70.91,790000
2007-01-29,71.050003,72.14,71.019997,72.14,730000
2007-01-30,72.040001,72.72,72.019997,72.72,765000
2007-01-31,73.080002,73.43,72.6,73.35,1115000
2007-02-01,73.43,73.8,73.099998,73.62,650000
2007-02-02,73.68,73.72,72.4,72.64,890000
2007-02-05,72.82,72.82,72.099998,72.49,580000
2007-02-06,72.49,72.72,72.019997,72.64,730000
2007-02-07,72.36,72.66,72.28,72.48,735000
2007-02-08,72.080002,72.6,72.080002,72.22,495000
2007-02-09,72.56,72.83,72.35,72.7,715000
2007-02-12,72.94,72.96,72.28,72.48,410000
2007-02-13,72.6,72.72,72.0,72.2,450000
2007-02-14,72.4,72.4,72.0,72.2,795000
2007-02-15,72.099998,72.38,71.040001,71.2,1300000
2007-02-16,71.8,72.44,71.26,72.4,920000
2007-02-20,72.4,72.95,72.2,72.66,475000
2007-02-21,72.48,72.69,71.54,71.74,710000
2007-02-22,71.92,72.18,71.3,71.5,430000
2007-02-23,71.5,71.5,70.94,71.24,840000
2007-02-26,71.46,71.5,70.9,71.16,895000
2007-02-27,70.9,70.9,69.2,69.58,3035000
2007-02-28,70.28,70.85,69.9,70.46,1580000
2007-03-01,70.28,71.46,69.86,71.080002,800000
2007-03-02,71.52,71.8,71.040001,71.24,675000
2007-03-05,71.0,72.019997,70.5,71.24,680000
2007-03-06,71.76,71.84,71.2,71.52,615000
2007-03-07,71.44,71.95,71.44,71.88,440000
2007-03-08,72.080002,72.66,72.040001,72.66,550000
2007-03-09,72.8,73.16,72.66,72.92,530000
2007-03-12,73.080002,73.080002,72.47,72.88,565000
2007-03-13,72.46,72.56,71.72,72.059998,490000
2007-03-14,72.0,72.0,71.0,71.24,1030000
2007-03-15,71.58,71.58,70.96,71.0,425000
2007-03-16,71.0,71.26,70.4,70.64,625000
2007-03-19,70.72,72.11,70.72,71.98,765000
2007-03-20,71.84,72.040001,71.099998,71.98,725000
2007-03-21,72.0,72.88,71.5,72.88,1010000
2007-03-22,72.94,72.98,72.099998,72.18,350000
2007-03-23,71.9,72.54,71.86,72.010002,400000
2007-03-26,72.26,72.26,71.9,72.07,445000
2007-03-27,72.2,72.2,71.41,72.099998,560000
2007-03-28,71.8,72.24,71.53,72.080002,645000
2007-03-29,72.24,72.24,71.76,72.07,375000
2007-03-30,72.14,72.8,71.96,72.8,430000
2007-04-02,72.2,72.38,71.72,72.059998,700000
2007-04-03,72.16,72.79,72.099998,72.36,390000
2007-04-04,72.36,72.58,72.099998,72.58,240000
2007-04-05,72.6,72.76,72.4,72.52,300000
2007-04-09,72.66,72.76,72.42,72.7,565000
2007-04-10,72.74,73.34,72.66,73.3,440000
2007-04-11,73.3,73.3,72.82,73.080002,515000
2007-04-12,72.7,73.2,72.7,73.2,430000
2007-04-13,73.2,73.2,73.040001,73.2,375000
2007-04-16,73.16,73.35,73.010002,73.35,560000
2007-04-17,73.35,73.35,73.019997,73.34,670000
2007-04-18,73.24,73.34,72.88,72.9,830000
2007-04-19,72.98,73.099998,72.5,72.66,560000
2007-04-20,73.059998,73.059998,72.45,72.56,555000
2007-04-23,72.6,73.050003,72.6,72.72,670000
2007-04-24,73.0,73.0,72.3,72.48,790000
2007-04-25,72.7,72.8,72.099998,72.4,780000
2007-04-26,72.5,72.78,72.4,72.56,460000
2007-04-27,72.6,72.72,72.43,72.59,280000
2007-04-30,72.84,72.84,72.32,72.56,430000
2007-05-01,72.68,72.68,71.88,72.12,870000
2007-05-02,72.12,72.42,72.12,72.38,400000
2007-05-03,72.6,72.6,72.0,72.36,600000
2007-05-04,72.5,73.0,72.47,72.62,540000
2007-05-07,73.080002,73.59,72.83,73.58,775000
2007-05-08,73.5,73.5,72.24,72.36,925000
2007-05-09,72.44,72.84,72.44,72.74,990000
2007-05-10,72.9,72.94,72.72,72.74,790000
2007-05-11,72.72,73.48,72.71,73.36,495000
2007-05-14,73.099998,73.26,72.6,72.8,590000
2007-05-15,72.8,73.12,72.62,72.66,360000
2007-05-16,72.7,72.96,72.44,72.6,690000
2007-05-17,72.7,72.7,72.22,72.26,645000
2007-05-18,72.3,72.3,71.8,72.089996,1410000
2007-05-21,72.2,72.62,72.089996,72.62,745000
2007-05-22,72.68,73.2,72.63,72.87,755000
2007-05-23,72.8,72.98,72.57,72.78,345000
2007-05-24,72.66,72.77,72.28,72.45,470000
2007-05-25,72.36,73.2,72.25,73.2,475000
2007-05-29,72.98,72.98,72.46,72.68,400000
2007-05-30,72.5,72.66,72.36,72.56,440000
2007-05-31,72.7,72.74,72.44,72.5,325000
2007-06-01,72.6,73.0,72.4,72.7,935000
2007-06-04,72.62,72.98,72.6,72.89,395000
2007-06-05,72.92,72.92,72.28,72.38,755000
2007-06-06,72.2,72.46,72.080002,72.12,650000
2007-06-07,72.059998,72.54,72.040001,72.54,1070000
2007-06-08,72.4,72.64,72.12,72.24,680000
2007-06-11,72.24,72.63,72.24,72.63,400000
2007-06-12,72.48,72.52,72.3,72.36,630000
2007-06-13,72.4,72.5,72.3,72.5,420000
2007-06-14,72.3,72.5,72.24,72.42,345000
2007-06-15,72.42,72.7,72.42,72.44,625000
2007-06-18,72.5,72.5,72.26,72.28,370000
2007-06-19,72.28,72.58,72.24,72.57,580000
2007-06-20,72.57,72.66,72.2,72.23,555000
2007-06-21,72.26,72.4,71.62,71.88,840000
2007-06-22,71.5,71.79,71.3,71.56,505000
2007-06-25,71.3,71.44,70.8,71.059998,535000
2007-06-26,71.059998,71.48,70.76,70.81,465000
2007-06-27,70.82,71.2,70.78,71.2,310000
2007-06-28,71.6,72.14,71.12,71.84,405000
2007-06-29,71.64,72.099998,71.64,72.099998,485000
2007-07-02,72.3,72.5,72.11,72.49,390000
2007-07-03,72.52,72.8,72.52,72.74,175000
2007-07-05,72.78,73.36,72.74,73.36,585000
2007-07-06,73.46,74.099998,73.36,74.099998,475000
2007-07-09,74.24,74.46,74.040001,74.28,590000
2007-07-10,74.38,74.46,73.86,74.080002,495000
2007-07-11,74.18,74.18,73.42,73.8,305000
2007-07-12,73.76,73.78,73.3,73.55,475000
2007-07-13,73.4,73.55,73.14,73.55,450000
2007-07-16,73.62,73.64,72.94,73.080002,635000
2007-07-17,73.080002,73.38,72.82,73.26,310000
2007-07-18,73.2,73.34,72.86,72.98,750000
2007-07-19,72.94,73.24,72.58,72.76,685000
2007-07-20,72.76,73.059998,72.54,72.85,530000
2007-07-23,72.7,72.84,72.5,72.77,470000
2007-07-24,72.7,72.9,72.51,72.72,500000
2007-07-25,72.98,73.059998,72.56,72.77,540000
2007-07-26,72.77,72.86,71.16,71.91,1795000
2007-07-27,72.2,72.6,71.86,72.3,710000
2007-07-30,72.7,72.7,71.72,71.98,610000
2007-07-31,72.040001,72.14,71.8,72.080002,590000
2007-08-01,71.96,72.28,71.8,71.99,355000
2007-08-02,71.98,72.099998,71.74,71.76,385000
2007-08-03,71.92,72.089996,71.6,71.98,1165000
2007-08-06,72.6,73.57,71.93,73.4,1680000
2007-08-07,73.42,73.84,73.010002,73.84,1165000
2007-08-08,73.98,74.28,73.52,73.74,710000
2007-08-09,73.54,73.54,72.54,72.86,940000
2007-08-10,72.0,72.72,71.8,72.5,1175000
2007-08-13,72.9,73.72,72.78,72.78,430000
2007-08-14,72.78,73.2,72.36,72.57,630000
2007-08-15,72.36,73.62,72.16,73.099998,615000
2007-08-16,73.38,75.94,73.3,75.83,2175000
2007-08-17,75.5,79.0,75.3,78.96,1290000
2007-08-20,79.2,79.4,77.7,79.24,1035000
2007-08-21,79.78,79.98,78.74,79.65,1105000
2007-08-22,80.0,80.0,78.26,78.78,990000
2007-08-23,78.76,79.46,78.4,78.9,560000
2007-08-24,79.0,79.9,78.8,79.9,625000
2007-08-27,80.0,80.0,78.9,79.31,1350000
2007-08-28,79.48,79.52,78.84,79.3,500000
2007-08-29,79.2,79.78,78.94,79.0,475000
2007-08-30,79.2,79.34,78.81,78.96,315000
2007-08-31,79.18,79.3,77.8,77.8,1300000
2007-09-04,77.96,79.62,77.94,79.14,990000
2007-09-05,79.3,79.72,79.080002,79.58,355000
2007-09-06,79.7,80.0,79.4,79.99,465000
2007-09-07,79.72,79.78,79.4,79.59,530000
2007-09-10,79.78,79.78,78.8,78.86,755000
2007-09-11,79.38,79.38,78.74,78.97,450000
2007-09-12,78.98,79.27,78.76,78.97,455000
2007-09-13,78.98,79.3,78.64,79.14,405000
2007-09-14,78.9,79.96,78.4,79.92,755000
2007-09-17,79.9,79.9,78.76,78.95,490000
2007-09-18,78.94,79.25,78.48,79.040001,1070000
2007-09-19,79.46,79.76,78.0,78.0,1145000
2007-09-20,78.2,79.080002,78.18,78.3,790000
2007-09-21,78.24,79.0,77.8,77.8,990000
2007-09-24,77.82,78.44,77.78,78.080002,1165000
2007-09-25,77.64,78.28,77.64,77.89,575000
2007-09-26,77.82,78.2,77.62,77.98,925000
2007-09-27,77.98,78.27,77.85,78.27,730000
2007-09-28,78.24,79.3,77.96,79.040001,760000
2007-10-01,79.4,79.54,78.98,79.18,765000
2007-10-02,79.3,79.93,79.18,79.93,790000
2007-10-03,79.93,79.98,79.32,79.64,630000
2007-10-04,79.8,80.080002,79.4,79.4,925000
2007-10-05,79.2,80.58,79.2,80.58,950000
2007-10-08,80.58,82.52,80.48,82.2,1035000
2007-10-09,81.84,82.48,81.34,81.78,1010000
2007-10-10,81.72,83.2,81.68,83.2,1115000
2007-10-11,83.2,84.2,83.080002,83.9,645000
2007-10-12,84.0,85.8,84.0,84.68,1620000
2007-10-15,85.0,85.14,83.76,84.16,1010000
2007-10-16,84.24,84.94,84.040001,84.64,695000
2007-10-17,85.099998,86.7,85.050003,86.7,1735000
2007-10-18,86.4,86.48,85.5,86.0,865000
2007-10-19,86.099998,86.099998,84.44,84.86,805000
2007-10-22,84.72,84.72,83.92,84.26,555000
2007-10-23,84.26,85.36,84.26,85.12,760000
2007-10-24,85.44,85.46,84.7,84.94,520000
2007-10-25,84.94,85.050003,84.56,85.050003,745000
2007-10-26,84.8,87.83,84.66,84.66,750000
2007-10-29,85.12,85.64,84.86,85.46,600000
2007-10-30,85.54,86.0,85.38,85.8,495000
2007-10-31,85.9,88.28,85.7,88.28,1035000
2007-11-01,88.0,88.72,87.34,87.54,1405000
2007-11-02,87.8,88.34,87.66,88.040001,865000
2007-11-05,89.4,89.44,88.34,88.74,1840000
2007-11-06,88.78,89.7,88.74,89.47,2340000
2007-11-07,89.92,90.21,89.34,90.059998,1065000
2007-11-08,90.059998,90.54,89.2,89.7,1675000
2007-11-09,89.7,89.72,88.0,88.66,1705000
2007-11-12,88.14,89.56,87.48,89.38,1550000
2007-11-13,89.72,90.68,89.56,90.48,1615000
2007-11-14,90.66,91.78,90.2,91.4,2000000
2007-11-15,91.48,92.5,89.6,90.11,1190000
2007-11-16,90.92,90.96,90.36,90.88,895000
2007-11-19,90.88,91.3,90.54,91.3,1005000
2007-11-20,91.26,91.68,90.88,91.029999,1270000
2007-11-21,91.0,91.0,89.3,89.43,1495000
2007-11-23,89.24,89.64,89.24,89.5,525000
2007-11-26,89.6,91.26,89.23,91.26,1490000
2007-11-27,91.48,91.58,91.040001,91.54,975000
2007-11-28,91.48,92.44,91.48,91.5,1600000
2007-11-29,91.4,92.89,91.4,92.76,760000
2007-11-30,93.5,93.96,92.62,93.8,1035000
2007-12-03,94.12,96.3,93.8,95.0,1575000
2007-12-04,95.92,96.46,94.3,96.45,1505000
2007-12-05,97.2,98.6,97.16,98.099998,1645000
2007-12-06,98.6,99.7,98.26,99.019997,1170000
2007-12-07,99.9,100.72,98.96,99.0,1650000
2007-12-10,99.4,99.8,99.3,99.7,1075000
2007-12-11,100.2,101.18,98.44,98.44,1085000
2007-12-12,100.4,100.4,93.4,96.18,1675000
2007-12-13,96.0,96.0,92.52,94.7,1525000
2007-12-14,94.52,95.68,90.9,95.080002,1515000
2007-12-17,93.099998,93.099998,89.2,90.5,1975000
2007-12-18,90.3,91.5,87.3,90.2,2215000
2007-12-19,90.2,90.2,88.64,89.56,595000
2007-12-20,90.2,90.2,87.66,88.82,1190000
2007-12-21,88.4,89.5,87.96,89.5,1385000
2007-12-24,89.66,91.4,89.5,90.8,745000
2007-12-26,91.96,92.76,91.080002,91.4,1190000
2007-12-27,92.16,92.18,91.16,91.46,630000
2007-12-28,92.0,93.9,92.0,93.7,940000
2007-12-31,95.5,95.96,94.26,94.72,1050000
2008-01-02,94.8,94.98,90.66,92.099998,1780000
2008-01-03,92.68,93.86,92.16,93.0,1040000
2008-01-04,92.84,92.84,89.76,91.0,1415000
2008-01-07,90.54,90.96,88.2,88.76,1285000
2008-01-08,88.4,89.56,87.6,88.3,1030000
2008-01-09,87.96,88.2,84.76,86.3,1475000
2008-01-10,86.56,89.9,85.0,89.22,1320000
2008-01-11,89.18,89.26,86.36,87.54,835000
2008-01-14,88.56,88.58,86.2,86.55,545000
2008-01-15,86.2,86.76,85.2,85.32,1075000
2008-01-16,84.5,85.48,83.5,84.5,1140000
2008-01-17,84.62,87.9,84.2,86.96,1455000
2008-01-18,88.32,90.0,87.42,88.099998,1450000
2008-01-22,83.2,91.6,83.0,91.38,1970000
2008-01-23,89.2,92.7,89.0,92.0,1690000
2008-01-24,96.0,96.98,91.52,92.38,2090000
2008-01-25,92.6,93.2,92.2,92.6,1890000
2008-01-28,92.64,93.099998,90.2,90.4,885000
2008-01-29,91.7,93.0,91.5,92.9,940000
2008-01-30,94.0,94.0,91.62,92.32,1175000
2008-01-31,94.2,94.2,91.0,91.0,1460000
2008-02-01,91.2,92.66,90.0,90.46,915000
2008-02-04,91.0,92.13,90.019997,90.019997,700000
2008-02-05,90.040001,91.040001,89.44,90.9,845000
2008-02-06,91.2,91.54,89.62,90.8,605000
2008-02-07,90.6,91.76,89.34,90.76,735000
2008-02-08,91.66,92.22,91.0,91.84,705000
2008-02-11,92.8,92.94,91.3,92.9,820000
2008-02-12,93.099998,93.4,92.84,93.18,1530000
2008-02-13,93.38,96.6,93.22,95.36,2540000
2008-02-14,96.0,96.78,95.0,95.38,1440000
2008-02-15,95.6,95.9,93.56,95.9,770000
2008-02-19,96.8,97.16,94.2,95.8,840000
2008-02-20,95.6,96.059998,95.0,95.5,600000
2008-02-21,96.0,96.0,94.0,94.019997,630000
2008-02-22,94.019997,94.54,92.0,92.96,645000
2008-02-25,93.46,93.96,92.099998,93.12,600000
2008-02-26,92.46,93.2,92.4,92.52,710000
2008-02-27,92.52,93.89,92.42,93.68,545000
2008-02-28,93.66,93.96,92.8,93.2,695000
2008-02-29,93.099998,93.78,92.5,93.49,910000
2008-03-03,92.040001,92.040001,89.040001,90.18,2075000
2008-03-04,90.0,91.5,89.56,91.5,1295000
2008-03-05,92.12,92.4,90.98,92.18,950000
2008-03-06,92.14,92.14,90.059998,90.44,760000
2008-03-07,89.7,90.38,89.0,89.24,1005000
2008-03-10,88.92,89.18,86.86,87.26,1140000
2008-03-11,87.8,88.74,87.0,88.0,1280000
2008-03-12,88.5,88.58,86.8,87.14,910000
2008-03-13,86.66,87.38,86.0,86.68,810000
2008-03-14,86.8,86.8,85.6,86.36,1150000
2008-03-17,84.9,86.36,84.6,84.9,1420000
2008-03-18,84.92,87.0,84.92,86.11,940000
2008-03-19,87.2,87.2,85.2,85.31,1015000
2008-03-20,85.3,87.0,85.019997,86.96,1485000
2008-03-24,87.54,87.94,86.42,86.82,1110000
2008-03-25,87.099998,87.56,86.0,86.0,1160000
2008-03-26,86.3,86.39,85.5,85.64,1005000
2008-03-27,86.0,87.5,85.56,87.4,1010000
2008-03-28,87.4,89.26,87.3,89.040001,905000
2008-03-31,89.58,90.15,89.029999,89.46,1135000
2008-04-01,90.0,90.38,87.6,88.8,1815000
2008-04-02,89.099998,89.099998,87.099998,87.29,1535000
2008-04-03,87.099998,87.7,86.52,86.84,910000
2008-04-04,87.2,87.6,86.8,87.38,820000
2008-04-07,87.92,88.28,86.6,88.099998,740000
2008-04-08,88.6,88.6,87.34,88.3,835000
2008-04-09,88.4,88.6,87.2,87.8,805000
2008-04-10,87.88,88.2,87.0,87.58,720000
2008-04-11,87.3,87.78,86.019997,87.080002,740000
2008-04-14,87.48,87.5,85.55,85.72,1075000
2008-04-15,85.74,86.0,85.22,85.8,765000
2008-04-16,86.0,86.4,85.82,86.4,905000
2008-04-17,86.28,86.29,85.42,85.64,825000
2008-04-18,86.099998,86.099998,85.56,85.76,1115000
2008-04-21,85.86,85.96,85.21,85.5,740000
2008-04-22,85.72,85.72,84.66,84.82,745000
2008-04-23,84.94,85.15,84.44,84.72,700000
2008-04-24,85.34,85.34,84.24,84.5,830000
2008-04-25,84.5,84.76,84.4,84.6,770000
2008-04-28,85.0,85.86,84.8,85.42,1055000
2008-04-29,85.98,87.66,85.7,87.66,880000
2008-04-30,88.12,89.14,87.6,89.14,1345000
2008-05-01,89.18,89.44,88.2,89.2,740000
2008-05-02,90.0,90.040001,88.3,88.96,920000
2008-05-05,88.96,88.96,86.34,86.67,1425000
2008-05-06,87.099998,87.099998,86.099998,86.9,1685000
2008-05-07,87.24,87.24,85.2,85.25,1595000
2008-05-08,85.8,86.080002,85.25,85.6,1085000
2008-05-09,85.62,85.88,83.5,83.58,1840000
2008-05-12,83.34,83.7,81.74,81.9,1945000
2008-05-13,82.2,83.7,82.2,82.96,1135000
2008-05-14,83.49,84.0,82.2,82.39,2000000
2008-05-15,82.8,83.76,80.92,81.3,2045000
2008-05-16,81.4,82.12,80.8,81.54,1570000
2008-05-19,82.099998,82.9,82.099998,82.39,1345000
2008-05-20,83.14,83.34,81.62,82.019997,1390000
2008-05-21,82.0,82.080002,80.7,81.2,1175000
2008-05-22,81.28,82.12,80.8,82.11,1070000
2008-05-23,82.36,83.7,81.62,82.6,1535000
2008-05-27,82.4,85.9,81.7,85.9,3015000
2008-05-28,85.9,86.8,85.46,86.76,2350000
2008-05-29,86.8,88.29,86.43,88.019997,2265000
2008-05-30,89.099998,90.4,87.44,89.96,8935000
2008-06-02,89.68,90.4,86.9,87.8,1850000
2008-06-03,87.8,90.040001,87.42,89.4,1840000
2008-06-04,88.8,89.19,87.0,87.0,1620000
2008-06-05,87.6,87.98,86.64,87.099998,1350000
2008-06-06,86.6,86.84,85.6,85.72,775000
2008-06-09,85.7,85.72,84.0,84.84,1060000
2008-06-10,84.14,85.64,84.0,84.5,835000
2008-06-11,84.82,85.52,84.0,84.4,930000
2008-06-12,84.46,84.9,84.0,84.5,1470000
2008-06-13,84.48,85.0,84.099998,84.94,1010000
2008-06-16,84.6,85.040001,83.76,83.96,775000
2008-06-17,84.28,84.7,83.92,84.14,915000
2008-06-18,84.080002,84.14,82.099998,83.98,1385000
2008-06-19,83.7,83.84,80.2,83.26,590000
2008-06-20,83.26,83.5,82.3,83.080002,910000
2008-06-23,82.98,83.31,81.099998,81.3,950000
2008-06-24,81.3,81.98,80.33,81.84,900000
2008-06-25,81.7,82.9,81.2,81.34,710000
2008-06-26,81.16,81.56,80.059998,80.75,1310000
2008-06-27,80.4,81.6,80.019997,80.33,1200000
2008-06-30,80.040001,80.34,79.6,80.24,1210000
2008-07-01,79.64,80.2,79.3,79.98,1240000
2008-07-02,79.64,80.0,78.81,78.96,1200000
2008-07-03,78.8,78.94,76.029999,77.9,1875000
2008-07-07,78.72,79.8,77.0,78.82,1835000
2008-07-08,78.9,79.62,78.56,79.34,1270000
2008-07-09,79.34,80.0,79.14,79.7,770000
2008-07-10,79.68,81.84,79.12,79.48,610000
2008-07-11,79.48,79.48,77.52,78.18,1030000
2008-07-14,78.099998,78.7,76.7,77.14,1290000
2008-07-15,76.6,77.48,74.6,76.64,2030000
2008-07-16,75.76,76.98,75.0,75.8,1790000
2008-07-17,77.8,78.0,75.58,77.3,1395000
2008-07-18,77.8,78.48,77.32,78.28,1625000
2008-07-21,78.5,79.36,78.2,78.74,1010000
2008-07-22,78.44,79.0,77.24,78.72,1070000
2008-07-23,79.56,79.56,78.16,78.5,2715000
2008-07-24,78.8,78.88,76.74,76.92,1005000
2008-07-25,77.2,77.42,75.0,75.4,1265000
2008-07-28,75.4,75.5,74.019997,74.6,1125000
2008-07-29,75.0,75.0,74.14,74.3,1155000
2008-07-30,74.66,76.099998,74.099998,76.099998,2240000
2008-07-31,75.86,77.6,74.8,76.58,1225000
2008-08-01,76.9,78.099998,76.46,77.74,845000
2008-08-04,77.9,78.16,76.15,76.54,530000
2008-08-05,76.5,77.4,76.32,76.98,1560000
2008-08-06,77.16,77.56,76.34,77.56,800000
