date,open,high,low,close,volume
2006-10-19,15.6,16.09,15.5,16.02,26712200
2006-10-20,16.1,16.5,15.9,16.24,17441700
2006-10-23,16.15,16.2,16.059999,16.14,7049900
2006-10-24,16.01,16.049999,15.57,15.72,13339100
2006-10-25,15.75,15.85,15.64,15.73,6708700
2006-10-26,15.82,16.14,15.56,16.049999,12223400
2006-10-27,16.0,16.18,15.88,16.049999,9714900
2006-10-30,15.98,16.02,15.81,15.85,9847400
2006-10-31,15.9,15.97,15.8,15.91,9808900
2006-11-01,15.99,16.09,15.89,15.97,8748200
2006-11-02,16.0,16.13,15.95,16.02,9635100
2006-11-03,16.14,16.47,16.1,16.4,12620500
2006-11-06,16.49,17.26,16.22,16.89,22696300
2006-11-07,16.91,16.95,16.52,16.64,11126900
2006-11-08,16.5,16.6,16.25,16.31,11301900
2006-11-09,16.28,16.44,16.02,16.059999,10639000
2006-11-10,16.059999,16.14,15.9,16.059999,6253100
2006-11-13,16.01,16.32,15.78,15.86,11616800
2006-11-14,15.51,16.030001,15.32,15.94,21291200
2006-11-15,15.94,16.19,15.9,16.0,9675700
2006-11-16,16.08,16.41,16.049999,16.3,10047100
2006-11-17,15.99,16.33,15.99,16.23,21089800
2006-11-20,16.3,16.33,16.13,16.17,8813400
2006-11-21,16.34,16.57,16.23,16.56,10511800
2006-11-22,16.57,16.67,16.46,16.53,5646300
2006-11-24,16.3,16.53,16.3,16.49,2167100
2006-11-27,16.41,16.44,15.88,15.95,11033500
2006-11-28,15.95,16.16,15.9,16.07,8353100
2006-11-29,16.1,16.11,15.83,15.85,16131100
2006-11-30,15.86,15.99,15.78,15.85,13417700
2006-12-01,15.9,15.94,15.72,15.76,8612200
2006-12-04,15.85,16.059999,15.8,15.94,8205200
2006-12-05,16.22,16.59,16.18,16.56,17857100
2006-12-06,16.78,17.27,16.75,16.99,27879500
2006-12-07,17.23,17.29,16.64,16.94,17934600
2006-12-08,16.95,17.040001,16.49,16.71,12543200
2006-12-11,16.71,16.85,16.45,16.64,8710700
2006-12-12,16.65,16.65,16.35,16.51,10462300
2006-12-13,16.5,16.5,16.24,16.27,7459500
2006-12-14,16.25,16.77,16.25,16.47,11993800
2006-12-15,16.49,16.53,16.25,16.29,10906500
2006-12-18,16.25,16.27,15.98,15.99,9560000
2006-12-19,15.92,16.19,15.67,16.11,12263500
2006-12-20,16.19,16.76,16.11,16.68,15255800
2006-12-21,16.92,16.98,16.49,16.81,16010500
2006-12-22,16.83,16.97,16.71,16.78,9684500
2006-12-26,16.78,16.95,16.7,16.93,6393100
2006-12-27,16.88,17.1,16.83,17.040001,9033900
2006-12-28,17.01,17.2,17.0,17.16,7974400
2006-12-29,17.1,17.35,17.049999,17.18,7788400
2007-01-03,17.28,17.43,16.75,16.91,13130500
2007-01-04,16.74,17.1,16.61,17.059999,11199100
2007-01-05,17.15,17.3,17.01,17.1,14840800
2007-01-08,17.4,18.41,17.14,17.81,15462600
2007-01-09,18.2,18.43,17.56,17.6,48631300
2007-01-10,17.79,17.95,17.58,17.83,18982800
2007-01-11,17.61,18.059999,17.61,18.040001,13905700
2007-01-12,18.049999,18.39,18.01,18.21,14442200
2007-01-16,18.37,18.42,18.040001,18.12,12302800
2007-01-17,18.12,18.34,17.98,18.2,7535000
2007-01-18,18.21,18.33,18.08,18.09,4802800
2007-01-19,18.1,18.22,18.0,18.19,10242300
2007-01-22,18.09,18.15,17.86,18.07,8599200
2007-01-23,17.96,17.99,17.64,17.7,9076700
2007-01-24,17.71,17.88,17.57,17.69,9308600
2007-01-25,17.72,17.75,17.55,17.64,8439400
2007-01-26,17.65,17.65,17.32,17.47,6786000
2007-01-29,17.47,18.040001,17.42,17.97,10992600
2007-01-30,17.95,18.69,17.91,18.59,20481400
2007-01-31,18.59,18.59,18.19,18.45,10418900
2007-02-01,18.15,18.47,18.049999,18.33,14427700
2007-02-02,18.14,18.47,18.049999,18.26,13369100
2007-02-05,18.11,18.24,17.96,18.08,8269100
2007-02-06,18.0,18.040001,17.37,17.5,22318500
2007-02-07,17.6,17.62,17.24,17.36,19115500
2007-02-08,17.25,17.5,17.24,17.49,8160400
2007-02-09,17.47,17.63,17.31,17.37,5934700
2007-02-12,17.2,17.21,16.95,17.040001,8378300
2007-02-13,17.2,17.29,17.01,17.12,7814400
2007-02-14,17.049999,17.32,17.040001,17.21,4276500
2007-02-15,17.29,17.3,16.81,17.059999,11839900
2007-02-16,16.98,17.049999,16.86,17.01,7743100
2007-02-20,17.0,17.02,16.87,16.96,7127900
2007-02-21,16.87,17.13,16.85,17.040001,8374000
2007-02-22,17.11,17.15,17.0,17.1,6056600
