date,open,high,low,close,volume
2006-10-18,104.54,105.0,103.94,104.39,653000
2006-10-19,104.35,105.11,103.62,104.22,580100
2006-10-20,104.43,104.66,103.7,104.52,553400
2006-10-23,104.52,106.15,104.11,105.83,539200
2006-10-24,105.83,105.94,104.099998,104.25,809200
2006-10-25,105.099998,106.16,103.52,104.53,787000
2006-10-26,104.72,105.23,104.18,105.12,563200
2006-10-27,105.12,105.38,104.12,104.36,619200
2006-10-30,104.78,106.26,104.46,106.15,992200
2006-10-31,106.83,107.010002,105.6,106.83,786400
2006-11-01,107.050003,107.49,105.51,105.84,622000
2006-11-02,105.84,106.019997,103.31,104.040001,895300
2006-11-03,104.040001,104.25,101.88,103.35,940100
2006-11-06,103.6,105.13,103.46,104.56,716300
2006-11-07,104.57,104.57,103.37,103.37,587300
2006-11-08,103.42,104.14,102.099998,103.44,579600
2006-11-09,103.59,105.24,103.12,104.5,997700
2006-11-10,104.5,105.92,104.2,105.83,526800
2006-11-13,105.83,106.45,105.31,106.26,401200
2006-11-14,106.58,108.38,106.21,108.11,578900
2006-11-15,108.11,108.69,107.52,108.07,561400
2006-11-16,108.5,109.88,108.089996,109.57,679500
2006-11-17,109.39,109.52,108.42,108.62,600900
2006-11-20,110.25,118.0,110.25,115.55,2637000
2006-11-21,115.75,118.21,115.75,116.87,988500
2006-11-22,116.8,117.77,116.32,117.3,605000
2006-11-24,117.31,118.2,116.81,117.95,153000
2006-11-27,117.95,118.13,113.56,113.73,1387600
2006-11-28,114.25,115.13,113.79,114.5,812100
2006-11-29,114.85,115.89,114.7,115.55,1172000
2006-11-30,115.58,117.42,115.52,117.050003,1151000
2006-12-01,116.8,117.35,116.019997,116.85,1000400
2006-12-04,116.85,118.0,116.51,118.0,969200
2006-12-05,118.050003,118.22,117.080002,117.13,799300
2006-12-06,117.12,117.34,115.4,116.33,615100
2006-12-07,116.7,117.44,116.2,116.65,601000
2006-12-08,116.67,117.73,116.67,117.24,642900
2006-12-11,117.24,117.24,115.64,116.36,642400
2006-12-12,116.44,116.67,115.13,115.45,689100
2006-12-13,115.98,116.29,114.27,115.32,511200
2006-12-14,115.2,116.35,115.2,116.3,740100
2006-12-15,116.47,116.74,115.11,115.17,929300
2006-12-18,116.0,116.49,114.25,114.25,972500
2006-12-19,114.26,114.42,111.94,112.58,1298900
2006-12-20,114.2,115.6,114.15,115.39,954300
2006-12-21,115.24,116.33,113.029999,113.14,976800
2006-12-22,113.0,113.39,111.59,111.87,811700
2006-12-26,112.15,114.28,112.15,112.89,848600
2006-12-27,107.9,109.83,107.52,109.83,1183200
2006-12-28,109.83,111.62,109.45,111.12,863000
2006-12-29,111.2,112.85,110.79,111.88,773700
2007-01-03,112.0,113.099998,110.99,112.089996,1244600
2007-01-04,111.84,112.22,111.25,111.68,1134400
2007-01-05,111.47,111.47,109.45,109.72,567400
2007-01-08,109.53,110.48,109.07,110.35,630900
2007-01-09,110.7,112.099998,110.65,111.75,848200
2007-01-10,111.75,114.089996,111.17,114.059998,670900
2007-01-11,114.3,116.9,114.3,115.21,1094300
2007-01-12,115.050003,116.84,115.010002,115.87,748100
2007-01-16,116.12,118.72,116.12,118.72,786200
2007-01-17,118.72,119.15,116.92,118.52,796900
2007-01-18,118.77,119.4,117.69,117.97,909200
2007-01-19,118.4,119.95,117.79,119.93,681400
2007-01-22,120.35,120.6,119.65,119.82,898100
2007-01-23,119.82,121.11,119.3,120.4,699400
2007-01-24,120.4,121.93,120.099998,121.93,698600
2007-01-25,122.95,124.26,122.27,122.73,1066500
2007-01-26,123.25,123.3,121.59,122.68,755200
2007-01-29,122.78,123.44,122.07,122.45,752100
2007-01-30,122.45,123.8,121.65,123.8,897600
2007-01-31,123.8,126.56,123.59,126.089996,819200
2007-02-01,123.51,126.12,123.14,126.089996,5489900
2007-02-02,126.5,127.080002,125.36,126.88,1995300
2007-02-05,127.0,127.58,126.35,126.42,1506300
2007-02-06,126.95,128.56,126.6,128.38,1673700
2007-02-07,128.44,131.48,127.81,130.75,3003900
2007-02-08,130.75,133.020004,129.0,129.48,3549900
2007-02-09,129.73,130.28999,124.050003,127.040001,3119600
2007-02-12,127.029999,127.029999,122.59,123.5,3085400
2007-02-13,123.52,125.87,121.43,125.8,1807000
2007-02-14,125.37,126.12,124.5,124.99,1326600
2007-02-15,124.99,127.92,124.94,127.099998,1618400
2007-02-16,126.77,127.35,124.43,125.88,2169900
2007-02-20,125.89,127.46,125.059998,127.41,1602800
2007-02-21,127.41,127.41,125.9,126.74,632200
2007-02-22,127.4,127.6,125.5,126.0,1358700
2007-02-23,126.0,126.089996,122.59,122.65,1381200
2007-02-26,122.79,123.88,119.85,121.95,1737100
2007-02-27,121.95,121.95,117.0,118.2,1859800
2007-02-28,118.44,120.81,118.2,120.029999,2119000
2007-03-01,118.0,119.92,115.39,118.72,1837400
2007-03-02,118.47,118.95,116.91,117.029999,1180500
2007-03-05,117.040001,117.040001,113.73,113.73,1456200
2007-03-06,114.63,118.79,114.63,118.16,1435600
2007-03-07,118.18,118.65,116.14,116.44,1012800
2007-03-08,117.0,119.94,117.0,118.97,1587600
2007-03-09,119.65,120.51,119.0,119.7,1012100
2007-03-12,119.52,120.46,118.11,119.7,695200
2007-03-13,119.5,119.5,116.51,117.18,1415400
2007-03-14,117.18,118.19,115.15,117.66,1210800
2007-03-15,117.62,119.099998,117.62,118.17,783000
2007-03-16,118.6,118.71,116.23,116.67,1151800
2007-03-19,117.67,118.2,116.92,118.010002,814000
2007-03-20,117.88,118.11,116.7,117.72,792900
2007-03-21,117.68,119.92,116.63,119.51,841300
2007-03-22,119.75,120.0,118.22,118.91,619600
2007-03-23,119.16,120.49,119.0,119.14,557900
2007-03-26,119.14,119.49,116.71,117.050003,1261200
2007-03-27,117.050003,117.050003,115.010002,115.78,1081600
2007-03-28,114.9,116.24,113.16,115.0,1023500
2007-03-29,115.9,116.089996,114.31,114.65,837000
2007-03-30,115.3,117.5,114.99,117.4,1655600
2007-04-02,117.41,118.9,116.79,118.55,1657000
2007-04-03,119.019997,119.95,118.68,119.47,1046500
2007-04-04,119.69,119.7,117.64,118.57,769500
2007-04-05,118.82,118.85,117.97,118.089996,512700
2007-04-09,118.089996,119.029999,118.0,118.74,411100
2007-04-10,118.86,119.3,117.7,118.07,819500
2007-04-11,116.58,118.49,115.87,116.56,926400
2007-04-12,114.87,116.46,114.87,115.65,691000
2007-04-13,115.4,116.6,114.78,116.32,700700
2007-04-16,116.8,116.95,115.099998,115.87,907300
2007-04-17,116.17,117.74,115.6,117.36,867000
2007-04-18,117.36,117.7,116.47,116.57,668000
2007-04-19,116.57,116.61,115.2,116.16,748500
2007-04-20,117.019997,117.6,116.0,116.35,759800
2007-04-23,116.35,118.15,116.35,117.85,1136300
2007-04-24,118.25,118.25,116.3,116.74,701900
2007-04-25,117.21,118.28,116.059998,117.22,753700
2007-04-26,117.23,118.26,116.8,117.47,533200
2007-04-27,117.94,119.45,117.019997,118.92,921000
2007-04-30,117.47,119.48,117.47,117.56,1006600
2007-05-01,117.71,118.0,115.48,116.61,1093600
2007-05-02,116.16,117.45,115.28,116.92,826700
2007-05-03,117.33,117.69,115.43,117.27,635300
2007-05-04,117.52,117.56,115.21,115.64,603300
2007-05-07,116.92,117.33,115.8,116.21,715000
2007-05-08,116.11,116.33,115.2,115.2,586400
2007-05-09,115.42,117.91,115.33,117.83,892000
2007-05-10,117.0,117.61,116.15,116.22,1078900
2007-05-11,116.45,117.72,116.45,117.11,736300
2007-05-14,117.24,117.95,115.48,116.11,623500
2007-05-15,115.85,116.62,113.15,113.3,1229300
2007-05-16,113.85,114.059998,111.36,112.3,1060800
2007-05-17,111.65,111.85,109.52,109.76,1357800
2007-05-18,110.089996,110.3,107.2,107.3,2107500
2007-05-21,107.25,109.11,107.15,108.28,1444700
2007-05-22,109.15,111.83,108.62,110.97,1800500
2007-05-23,111.22,112.34,110.22,110.22,1053400
2007-05-24,110.040001,110.040001,106.41,107.62,1390200
2007-05-25,107.89,109.39,107.35,107.73,879500
2007-05-29,108.78,111.46,108.78,111.16,1504700
2007-05-30,111.15,115.07,110.99,115.0,2195200
2007-05-31,115.07,115.87,113.85,115.68,1835200
2007-06-01,115.68,117.0,115.36,116.7,1042200
2007-06-04,116.69,118.0,116.28,117.45,904400
2007-06-05,117.2,117.2,115.059998,115.32,1433200
2007-06-06,114.78,115.15,113.89,114.35,768500
2007-06-07,113.81,113.81,110.019997,110.050003,1211300
2007-06-08,108.33,111.26,108.33,111.26,983000
2007-06-11,111.2,111.2,108.5,108.77,1238700
2007-06-12,108.76,108.76,106.45,106.45,1434100
2007-06-13,107.15,109.37,106.68,109.37,1240800
2007-06-14,108.88,109.4,107.53,108.16,910100
2007-06-15,108.71,109.68,108.21,109.44,1504700
2007-06-18,109.44,109.59,107.32,107.82,1121400
2007-06-19,106.86,107.74,106.51,107.74,974100
2007-06-20,107.51,107.68,104.3,104.34,1403400
2007-06-21,104.26,104.34,102.059998,102.79,2000000
2007-06-22,102.0,103.19,100.82,101.59,2288400
2007-06-25,101.59,102.42,99.41,100.099998,1581100
2007-06-26,101.59,101.59,98.55,100.07,1724600
2007-06-27,99.75,103.18,97.94,103.18,1948000
2007-06-28,102.79,104.25,101.88,102.31,1297700
2007-06-29,102.44,104.5,101.019997,102.13,1610600
2007-07-02,102.46,105.010002,101.75,104.92,1239200
2007-07-03,105.080002,105.62,104.16,104.49,545600
2007-07-05,106.19,106.73,105.3,105.91,928500
2007-07-06,105.73,106.64,104.52,106.019997,752900
2007-07-09,106.099998,106.21,104.95,105.58,584100
2007-07-10,104.78,105.44,102.82,103.17,1071400
2007-07-11,102.85,103.68,101.94,103.41,1176400
2007-07-12,103.52,105.84,103.029999,105.84,764700
2007-07-13,106.11,106.63,104.8,106.2,954300
2007-07-16,106.0,108.25,105.050003,105.12,2123600
2007-07-17,105.55,105.97,104.0,104.5,750100
2007-07-18,104.57,104.57,102.53,104.029999,1412200
2007-07-19,104.29,105.47,104.29,104.81,658900
2007-07-20,104.9,105.27,102.93,103.42,1319200
2007-07-23,103.14,103.16,100.78,100.78,1069500
2007-07-24,100.25,100.95,98.23,98.25,1501000
2007-07-25,98.25,100.7,97.050003,98.5,1312500
2007-07-26,98.5,98.5,94.34,96.95,2138800
2007-07-27,95.24,97.28,92.82,92.82,2144300
2007-07-30,94.019997,95.45,92.19,94.98,1548800
2007-07-31,96.050003,97.38,94.11,94.49,1657600
2007-08-01,93.53,94.95,91.25,94.68,2417200
2007-08-02,95.0,98.95,94.53,97.54,1989200
