date,open,high,low,close,volume
2006-10-18,64.91,65.52,64.82,65.0,1124500
2006-10-19,63.099998,65.51,63.040001,65.35,1649400
2006-10-20,65.51,65.78,64.7,65.69,1394600
2006-10-23,65.41,65.99,65.040001,65.82,833900
2006-10-24,65.46,65.62,65.050003,65.61,1800500
2006-10-25,65.8,65.93,64.87,65.18,1424100
2006-10-26,65.019997,65.46,64.77,65.4,1030600
2006-10-27,64.54,65.16,63.95,64.47,1690600
2006-10-30,64.52,65.23,64.42,64.9,1078700
2006-10-31,64.75,65.7,64.65,65.45,1708800
2006-11-01,66.5,66.5,63.92,64.089996,3122100
2006-11-02,63.75,64.81,63.4,64.62,2223000
2006-11-03,64.57,64.84,63.07,63.26,1686600
2006-11-06,63.5,64.53,63.040001,64.18,2012200
2006-11-07,63.96,64.84,63.77,64.040001,1704300
2006-11-08,62.67,63.85,62.67,63.48,2192700
2006-11-09,63.4,63.77,62.88,63.31,2022700
2006-11-10,63.0,63.45,61.84,62.049999,2982000
2006-11-13,61.8,62.45,61.6,62.0099983,1801200
2006-11-14,61.94,63.6,61.94,62.62,2409100
2006-11-15,62.89,63.94,62.72,63.52,1686700
2006-11-16,63.72,63.9,63.18,63.39,1128800
2006-11-17,63.15,63.49,62.39,62.67,1157100
2006-11-20,61.15,62.64,61.15,62.37,858900
2006-11-21,62.29,62.29,61.59,61.88,1839800
2006-11-22,61.77,62.45,61.77,62.16,879700
2006-11-24,61.9,62.41,61.8,62.21,347900
2006-11-27,61.96,62.44,61.59,62.3,1901900
2006-11-28,62.060001,62.81,61.78,62.37,1774400
2006-11-29,62.21,62.21,61.42,61.83,1869100
2006-11-30,64.45,65.14,63.080002,64.62,5724900
2006-12-01,65.62,66.040001,64.94,65.49,4493300
2006-12-04,65.73,66.019997,65.37,65.94,2377900
2006-12-05,65.67,66.29,65.64,65.86,1429300
2006-12-06,65.69,66.099998,65.52,65.67,1897500
2006-12-07,65.99,66.99,65.94,66.35,1845100
2006-12-08,66.099998,66.62,65.56,66.059998,1446500
2006-12-11,65.86,66.41,65.29,65.52,2637900
2006-12-12,65.77,66.22,65.46,65.97,1939600
2006-12-13,65.83,65.97,65.34,65.46,1560300
2006-12-14,65.42,65.72,65.010002,65.25,1364900
2006-12-15,65.25,65.31,64.53,64.95,2071400
2006-12-18,65.18,65.18,64.22,64.62,1695000
2006-12-19,64.47,64.78,64.16,64.65,1980700
2006-12-20,64.54,65.0,64.18,64.73,1369200
2006-12-21,64.75,65.07,64.41,64.79,879500
2006-12-22,64.86,64.86,64.12,64.2,766100
2006-12-26,64.4,64.73,64.07,64.62,554100
2006-12-27,64.71,64.78,64.17,64.37,1636800
2006-12-28,64.19,64.98,64.050003,64.87,2015300
2006-12-29,64.76,64.76,64.18,64.43,938800
2007-01-03,64.18,65.0,63.7,64.019997,2220400
2007-01-04,64.019997,64.36,63.32,63.96,1467700
2007-01-05,63.9,64.23,63.61,63.93,2431100
2007-01-08,63.89,64.26,63.77,64.15,1741500
2007-01-09,64.2,64.44,63.88,64.0,1391600
2007-01-10,63.92,64.63,63.79,64.55,1555400
2007-01-11,64.72,65.52,64.61,65.17,1308200
2007-01-12,65.21,66.98,65.099998,66.92,2217400
2007-01-16,66.91,68.010002,66.7,67.54,2053300
2007-01-17,67.050003,69.22,66.93,69.11,2944400
2007-01-18,69.050003,69.49,68.55,69.11,1992000
2007-01-19,69.29,69.75,69.019997,69.44,2813400
2007-01-22,70.98,70.98,69.16,69.26,2665500
2007-01-23,69.9,69.99,69.21,69.48,2033300
2007-01-24,69.48,70.25,69.48,70.029999,2588700
2007-01-25,71.0,73.34,71.0,72.42,6332000
2007-01-26,71.0,72.33,70.97,71.43,3099000
2007-01-29,71.0,71.13,70.56,70.86,2692100
2007-01-30,70.98,72.0,70.86,71.97,2695500
2007-01-31,71.63,71.63,70.85,71.42,2184500
2007-02-01,71.35,71.76,71.23,71.68,1764600
2007-02-02,71.51,72.2,71.51,71.8,1153400
2007-02-05,71.5,71.94,71.34,71.7,1285500
2007-02-06,71.6,71.74,71.029999,71.28,1601900
2007-02-07,71.15,73.0,70.83,71.099998,1191900
2007-02-08,70.8,71.45,70.75,71.28,1324700
2007-02-09,71.050003,71.83,71.0,71.25,1576500
2007-02-12,70.95,71.27,70.61,70.62,1324300
2007-02-13,70.95,72.36,70.87,72.24,2365300
2007-02-14,72.080002,72.77,72.07,72.45,1509900
2007-02-15,72.54,72.9,72.3,72.72,1227200
2007-02-16,72.4,73.099998,72.37,72.73,1401700
2007-02-20,72.94,72.94,72.0,72.38,1335800
2007-02-21,72.2,72.72,72.12,72.36,1340400
2007-02-22,72.5,72.74,72.099998,72.39,1343200
2007-02-23,72.0,72.59,71.46,72.44,1481800
2007-02-26,72.27,72.5,72.0,72.19,1173300
2007-02-27,72.19,72.19,69.54,70.37,2457800
2007-02-28,69.9,70.7,69.5,70.11,2145600
2007-03-01,69.5,70.78,69.17,70.67,2380300
2007-03-02,70.4,70.6,69.57,69.57,1596300
2007-03-05,69.35,70.3,69.24,69.39,1435300
2007-03-06,70.0,71.059998,69.75,70.98,2075900
2007-03-07,70.6,71.019997,70.52,70.63,1967300
2007-03-08,70.88,72.15,70.75,71.69,3232100
2007-03-09,71.85,72.59,71.85,72.33,2328800
2007-03-12,72.3,72.67,71.78,71.88,1512600
2007-03-13,70.35,71.52,70.019997,70.089996,2496900
2007-03-14,70.4,70.79,69.26,70.0,3253500
2007-03-15,70.0,71.0,69.7,70.17,1876200
2007-03-16,70.21,71.07,70.21,70.86,2547600
2007-03-19,71.34,72.3,71.27,72.080002,1503600
2007-03-20,72.0,72.62,71.81,72.47,1345100
2007-03-21,72.050003,72.87,71.91,72.6,2162600
2007-03-22,72.6,72.71,72.17,72.26,1720200
2007-03-23,72.38,72.88,72.26,72.42,1557300
2007-03-26,72.13,72.87,71.6,72.77,1797100
2007-03-27,72.37,72.73,71.99,72.57,1548900
2007-03-28,72.21,72.5,71.72,71.89,1481400
2007-03-29,72.12,72.71,71.92,72.51,1936300
2007-03-30,72.5,72.99,71.6,72.95,1618000
2007-04-02,72.95,73.3,72.54,73.11,1731700
2007-04-03,73.21,73.94,73.14,73.62,1925000
2007-04-04,73.86,74.0,73.48,74.0,2283400
2007-04-05,73.72,74.61,73.72,74.53,1784700
2007-04-09,74.029999,74.089996,73.15,73.28,1295400
2007-04-10,73.11,73.32,72.35,73.059998,2145000
2007-04-11,73.13,74.19,72.7,73.66,2161700
2007-04-12,73.51,74.35,73.0,74.22,1847900
2007-04-13,76.11,76.11,73.96,74.27,1786400
2007-04-16,74.27,74.59,74.13,74.28,1268900
2007-04-17,74.15,74.84,74.11,74.5,1194800
2007-04-18,74.3,74.52,73.75,74.26,1634400
2007-04-19,73.55,74.7,73.55,74.62,1708700
2007-04-20,74.72,76.080002,74.22,74.66,2215000
2007-04-23,76.15,76.15,74.35,74.87,1166500
2007-04-24,74.88,75.5,74.63,75.28,3752300
2007-04-25,75.26,75.45,74.47,75.080002,2453400
2007-04-26,74.050003,74.76,69.55,71.15,9133800
2007-04-27,70.8,70.99,69.95,70.58,5704000
2007-04-30,70.6,70.66,69.95,69.95,2315100
2007-05-01,70.099998,70.29,69.71,70.19,2032700
2007-05-02,71.5,71.5,70.099998,71.080002,1943000
2007-05-03,71.12,71.42,70.83,70.88,1342300
2007-05-04,70.88,71.37,70.55,70.75,2088200
2007-05-07,70.99,71.46,70.87,70.97,1729200
2007-05-08,70.75,70.81,69.97,70.39,2637200
2007-05-09,69.93,70.95,69.93,70.44,2047500
2007-05-10,70.080002,70.27,69.41,69.43,2666600
2007-05-11,69.3,69.65,68.71,69.07,2673500
2007-05-14,68.5,69.55,68.43,69.19,2175800
2007-05-15,69.42,70.4,69.15,69.7,1801600
2007-05-16,70.2,71.18,70.07,70.81,2016100
2007-05-17,70.55,70.99,70.41,70.87,1302100
2007-05-18,71.059998,71.9,70.87,71.77,2080600
2007-05-21,71.64,71.89,71.4,71.77,1513100
2007-05-22,71.59,72.0,71.33,71.86,1251800
2007-05-23,71.9,72.55,71.88,72.3,1483900
2007-05-24,72.050003,72.48,71.8,71.97,1332300
2007-05-25,72.2,72.79,71.75,72.31,1337200
2007-05-29,72.11,72.97,72.040001,72.66,1432700
2007-05-30,72.5,72.85,72.11,72.74,1936000
2007-05-31,72.8,72.98,72.2,72.46,2502800
2007-06-01,72.58,73.0,72.58,72.94,1452900
2007-06-04,72.35,72.9,72.35,72.67,1275900
2007-06-05,72.55,72.69,71.96,72.45,1568000
2007-06-06,72.050003,72.73,71.97,72.37,1340100
2007-06-07,72.62,73.0,72.22,72.22,2943100
2007-06-08,72.089996,72.43,71.77,72.3,1645300
2007-06-11,72.0,72.49,71.67,71.93,1214400
2007-06-12,71.68,72.059998,71.099998,71.099998,1811400
2007-06-13,71.6,71.77,70.29,70.75,2983900
2007-06-14,70.47,70.79,70.25,70.26,2595500
2007-06-15,70.26,70.93,69.94,69.95,5120500
2007-06-18,70.31,70.53,69.79,70.010002,2342100
2007-06-19,70.040001,70.69,70.010002,70.58,1705800
2007-06-20,70.55,71.080002,70.15,70.15,1672800
2007-06-21,69.7,70.81,69.7,70.74,1683700
2007-06-22,70.51,70.61,69.6,69.62,2171100
2007-06-25,69.37,70.37,69.34,69.56,1707700
2007-06-26,70.15,70.47,69.31,69.43,2245700
2007-06-27,69.63,70.33,69.31,70.26,2218500
2007-06-28,70.5,70.98,70.34,70.64,2105700
2007-06-29,70.87,70.93,70.23,70.64,1920400
2007-07-02,70.64,70.77,69.91,70.040001,2473700
2007-07-03,70.029999,70.22,69.82,69.88,1369100
2007-07-05,69.64,70.010002,69.64,69.94,1625800
2007-07-06,69.81,70.029999,68.87,69.88,1677100
2007-07-09,69.77,70.029999,69.62,69.94,1471500
2007-07-10,69.8,69.85,68.78,68.85,2099200
2007-07-11,68.66,68.95,68.21,68.87,2136100
2007-07-12,68.81,70.4,68.64,70.24,2102400
2007-07-13,70.24,70.53,69.9,70.35,1198700
2007-07-16,70.019997,71.15,70.019997,70.91,1808900
