date,open,high,low,close,volume
2020-03-19,12.0,12.0,12.0,12.0,100
2020-03-20,13.0,13.0,12.0,12.75,2300
2020-03-23,12.75,12.75,11.5,11.54,18700
2020-03-24,12.9,12.9,11.5,11.7,96100
2020-03-25,11.8,13.45,11.8,13.45,19200
2020-03-26,14.0,15.45,14.0,15.45,76400
2020-03-27,15.0,16.0,14.55,14.55,486500
2020-03-30,15.25,16.5,15.25,15.9,210000
2020-03-31,16.39,17.25,14.56,17.25,461500
2020-04-01,16.0,16.0,14.56,15.05,2998900
2020-04-02,15.66,15.9,12.12,13.28,15966300
2020-04-03,13.75,17.0,13.38,16.92,66934300
2020-04-06,17.059999,17.15,14.85,15.44,37138000
2020-04-07,15.2,15.8,14.55,15.25,23486000
2020-04-08,14.5,15.25,13.73,14.26,49372700
2020-04-09,14.0,15.5,13.9,14.78,34992600
2020-04-13,14.5,14.5,13.98,13.99,21497400
2020-04-14,14.0,14.2,13.78,13.87,22350000
2020-04-15,13.53,13.655,12.94,13.36,14990700
2020-04-16,13.15,13.25,12.26,12.89,21745200
2020-04-17,13.3,13.83,12.93,13.74,21336500
2020-04-20,13.5,14.74,13.475,14.45,20032200
2020-04-21,14.22,15.25,14.18,14.69,16235900
2020-04-22,14.95,15.16,14.22,14.79,12539500
2020-04-23,14.7,15.92,14.61,15.72,12226000
2020-04-24,15.6,16.67,15.29,16.25,17390000
2020-04-27,16.17,16.81,15.975,16.8,12186100
2020-04-28,16.88,17.75,16.61,17.0,12983800
2020-04-29,17.46,18.08,17.17,17.64,12523200
2020-04-30,17.22,17.84,16.985,17.71,19094100
2020-05-01,17.33,17.35,16.62,16.77,10727200
2020-05-04,16.15,16.52,15.69,16.4,9700300
2020-05-05,16.68,16.76,15.84,15.97,16298000
2020-05-06,16.0,16.37,15.43,16.29,10647200
2020-05-07,16.21,17.040001,15.88,16.41,12454100
2020-05-08,17.040001,18.4,16.935,18.36,17693300
2020-05-11,18.43,18.75,18.02,18.35,9574600
2020-05-12,18.39,18.4,17.69,17.8,7743200
2020-05-13,17.21,17.437,16.1,16.44,10676300
2020-05-14,16.02,16.715,15.72,16.55,7797200
2020-05-15,16.3,16.965,16.0,16.71,7353800
2020-05-18,17.3,17.72,17.29,17.55,6135000
2020-05-19,17.44,17.92,17.15,17.77,8338100
2020-05-20,18.16,19.049999,18.040001,18.73,11910000
2020-05-21,18.54,19.52,18.5,19.45,9711500
2020-05-22,19.47,19.86,18.95,19.049999,5937100
2020-05-26,19.61,20.6,19.34,19.51,7305400
2020-05-27,19.57,20.13,19.43,19.99,8969700
2020-05-28,20.08,20.46,19.505,19.6,8509200
2020-05-29,18.96,20.98,18.88,20.47,32990600
2020-06-01,20.55,21.95,20.55,21.82,7695700
2020-06-02,21.69,21.829,20.905,21.36,8295600
2020-06-03,21.47,22.58,21.38,22.22,9636300
2020-06-04,22.030001,23.12,22.030001,22.68,6651900
2020-06-05,23.54,24.4,23.38,23.56,7843600
2020-06-08,23.63,24.38,23.31,24.37,8570400
2020-06-09,23.74,23.96,23.21,23.21,6850000
2020-06-10,22.31,23.15,22.040001,22.2,10262100
2020-06-11,20.16,21.8,20.0,21.059999,6834800
2020-06-12,22.0,22.31,21.02,21.54,5212800
2020-06-15,20.72,22.54,20.63,21.97,7735600
2020-06-16,22.96,22.98,21.925,22.07,7287800
2020-06-17,22.17,22.34,21.08,21.26,5737700
2020-06-18,21.0,21.89,21.0,21.25,3618900
2020-06-19,21.76,21.85,21.0,21.45,14451100
2020-06-22,21.52,22.825,21.31,22.74,5995500
2020-06-23,23.12,23.24,22.32,22.39,5961200
2020-06-24,22.1,22.66,21.45,21.82,6825600
2020-06-25,21.62,21.87,21.035,21.52,6141000
2020-06-26,21.52,21.74,20.591,20.97,21346900
2020-06-29,21.08,22.47,21.0,22.12,8086000
2020-06-30,21.81,22.41,21.41,22.22,7082500
2020-07-01,22.32,23.01,21.87,22.61,9181500
2020-07-02,22.99,23.22,22.57,22.91,5667400
2020-07-06,23.13,24.29,23.13,24.21,7145200
2020-07-07,23.76,24.18,23.724,24.01,4671900
2020-07-08,23.88,24.09,23.46,23.99,4692100
2020-07-09,24.0,24.22,23.76,23.91,5470300
2020-07-10,23.84,26.059999,23.72,24.89,12262400
2020-07-13,25.14,25.21,23.26,24.28,8562400
2020-07-14,24.3,25.16,24.23,25.15,7218300
2020-07-15,25.58,26.57,25.54,26.45,5798700
2020-07-16,26.12,26.99,25.92,26.61,4863400
2020-07-17,26.89,26.9,26.33,26.48,3187100
2020-07-20,26.22,26.54,26.065001,26.41,2442800
2020-07-21,26.29,26.8,26.16,26.57,4952700
2020-07-22,26.34,27.059999,26.32,26.6,3503900
2020-07-23,26.66,27.63,26.52,27.35,6245400
2020-07-24,27.25,27.26,26.54,26.58,8293000
2020-07-27,26.5,26.78,26.08,26.25,5734900
2020-07-28,26.07,26.4,25.85,26.07,9895100
2020-07-29,26.11,27.72,26.11,27.18,12657500
2020-07-30,25.85,27.5,25.6,26.9,6742900
2020-07-31,26.85,27.355,26.63,27.24,9261300
2020-08-03,27.24,27.89,27.01,27.62,4115900
2020-08-04,27.4,27.87,27.16,27.77,4382200
2020-08-05,27.66,28.175,27.66,28.11,4177300
2020-08-06,28.02,28.54,27.94,28.27,3648700
2020-08-07,28.72,29.030001,28.44,28.97,3477900
2020-08-10,29.02,29.57,28.91,29.46,3516900
2020-08-11,30.16,30.32,29.44,29.49,5113800
2020-08-12,29.87,30.19,29.62,29.79,3523800
2020-08-13,29.9,30.28,29.37,29.54,3643800
2020-08-14,29.71,30.048,29.28,29.52,5008300
2020-08-17,29.5,30.185,29.143,29.84,4588200
2020-08-18,29.72,30.049999,29.37,29.46,3412900
2020-08-19,29.54,29.69,29.12,29.25,3864000
2020-08-20,29.02,29.41,28.75,29.01,3166800
2020-08-21,29.16,29.82,29.084999,29.52,3112600
2020-08-24,29.76,30.44,29.74,30.38,3117300
2020-08-25,30.5,30.805,30.41,30.47,3233600
2020-08-26,30.51,31.24,30.41,31.030001,3316600
2020-08-27,31.07,31.24,30.16,30.28,4144700
2020-08-28,30.38,30.475,29.955,30.3,3689900
2020-08-31,30.19,30.46,29.83,29.85,3572700
2020-09-01,29.66,30.36,29.17,30.3,2778500
2020-09-02,30.22,30.95,29.84,30.78,3445400
2020-09-03,30.5,30.69,28.96,29.33,5049400
2020-09-04,29.43,30.094999,28.83,30.0,4277400
2020-09-08,29.35,30.25,29.2,29.57,4733300
2020-09-09,29.93,30.345,29.55,30.13,4782000
2020-09-10,29.9,30.01,28.58,29.14,9090300
2020-09-11,29.17,29.645,29.01,29.24,4547300
2020-09-14,29.4,29.44,28.83,29.15,4299400
2020-09-15,29.48,30.040001,29.301,29.69,4052100
2020-09-16,30.16,30.535,29.525,30.25,4884300
2020-09-17,29.77,30.695,29.37,30.66,4735100
2020-09-18,30.5,31.2,30.5,30.79,8061000
2020-09-21,30.29,30.77,29.22,29.51,4516900
2020-09-22,29.51,30.33,29.49,30.26,4719700
2020-09-23,30.4,30.42,29.1,29.11,3348800
2020-09-24,29.12,29.97,28.79,29.88,4269300
2020-09-25,29.4,30.5,29.35,30.49,2845700
2020-09-28,30.75,31.56,30.43,30.74,7027600
2020-09-29,30.51,30.69,30.08,30.5,6851300
2020-09-30,30.61,31.24,30.35,30.54,5066600
2020-10-01,30.72,31.059999,30.55,30.77,3730300
2020-10-02,30.34,31.52,30.26,31.23,2483100
2020-10-05,31.64,32.47,31.64,32.080002,5088600
2020-10-06,32.34,32.39,31.45,31.51,2439400
2020-10-07,31.93,32.29,31.89,32.12,2209700
2020-10-08,32.31,32.467,31.63,31.95,2276400
2020-10-09,31.91,32.55,31.71,32.23,2700800
2020-10-12,32.59,33.16,32.2,33.0,3302600
2020-10-13,33.3,33.47,32.040001,32.49,3534500
2020-10-14,32.68,33.049999,32.43,32.51,3443600
2020-10-15,32.09,32.66,32.0099983,32.6,2691600
2020-10-16,32.92,33.27,32.42,32.76,3723000
2020-10-19,32.8,33.0,32.07,32.32,5529300
2020-10-20,32.45,33.8,32.35,33.23,3944800
2020-10-21,33.060001,33.44,32.9,33.35,2909800
2020-10-22,33.15,34.13,33.15,33.89,3987700
2020-10-23,33.9,34.96,33.86,34.93,5072400
2020-10-26,34.45,34.45,33.27,33.71,5196800
2020-10-27,33.83,33.94,33.11,33.6,4032300
2020-10-28,32.93,33.76,32.76,33.3,6485900
2020-10-29,33.79,34.78,32.93,34.07,11949600
2020-10-30,33.97,34.88,33.0,33.39,6741100
2020-11-02,34.0,35.13,33.87,35.099998,6313000
2020-11-03,35.45,37.0099983,35.43,36.95,6733100
2020-11-04,35.63,37.4,35.5,36.78,9039400
2020-11-05,37.51,38.3,37.38,38.2,5778100
2020-11-06,38.53,39.029999,38.145,38.95,3443000
2020-11-09,40.74,41.3,38.68,38.8,7186400
2020-11-10,39.029999,39.35,37.58,37.81,5588400
2020-11-11,38.49,38.73,37.89,38.060001,4633000
2020-11-12,38.0,38.935,37.785,37.96,8192500
2020-11-13,38.23,38.61,38.14,38.29,5498900
2020-11-16,39.24,40.51,38.48,40.5,6135600
2020-11-17,41.45,41.48,39.86,40.36,6882700
2020-11-18,40.28,40.59,39.37,39.39,5997200
2020-11-19,39.0,39.28,38.51,39.13,8524800
2020-11-20,38.93,39.099998,38.21,38.54,4338700
2020-11-23,39.0,39.14,38.4,38.77,6231700
2020-11-24,38.94,39.565,38.43,39.37,7022300
2020-11-25,39.060001,39.24,38.52,38.61,4280300
2020-11-27,38.69,38.84,37.46,37.81,5923500
2020-11-30,37.75,38.48,37.41,38.07,21169200
2020-12-01,38.64,38.94,37.55,37.6,6595200
2020-12-02,37.19,37.28,36.56,36.83,5578000
2020-12-03,37.19,37.77,36.6,36.69,5411900
2020-12-04,37.27,37.97,37.055,37.7,5534700
2020-12-07,37.55,37.7,36.71,36.84,3825100
2020-12-08,36.64,37.57,36.61,37.3,4022800
2020-12-09,37.41,37.99,37.39,37.84,4134800
2020-12-10,37.67,38.47,37.267,37.54,4095700
2020-12-11,37.16,37.39,36.76,37.16,3102600
2020-12-14,37.5,37.55,36.52,36.62,6301200
2020-12-15,37.099998,37.91,36.52,37.67,4832100
2020-12-16,37.73,38.02,37.34,38.0,3990600
2020-12-17,38.41,38.865,38.25,38.7,4095200
2020-12-18,38.75,38.86,37.61,38.79,9683100
2020-12-21,38.0,38.72,37.931,38.52,2835900
2020-12-22,38.29,38.52,37.86,38.029999,3303800
2020-12-23,38.12,38.4,37.8,38.16,2367600
2020-12-24,37.91,38.24,37.85,37.89,1395100
2020-12-28,38.11,39.43,37.75,37.76,3209700
2020-12-29,38.0,38.18,36.68,37.17,3748700
2020-12-30,37.31,37.8,37.25,37.73,3051000
2020-12-31,37.62,37.81,36.92,37.72,2096800
2021-01-04,38.35,38.38,36.98,37.029999,4584200
2021-01-05,37.0,38.18,36.8,37.94,3701500
2021-01-06,38.32,40.26,38.32,40.049999,6211500
2021-01-07,40.41,41.19,40.0,41.09,7771900
2021-01-08,41.2,41.35,40.0,40.69,6964100
2021-01-11,39.88,41.843,39.85,41.57,3761400
2021-01-12,41.56,41.94,41.049999,41.74,4436100
2021-01-13,41.42,41.89,40.83,41.38,3948600
2021-01-14,41.4,41.59,40.73,40.8,3748900
2021-01-15,40.6,40.6,39.571,40.38,4501100
2021-01-19,40.7,40.98,40.2,40.37,3383000
2021-01-20,40.41,40.41,39.69,40.040001,4654700
2021-01-21,40.4,40.4,39.21,39.74,4647200
2021-01-22,39.2,40.11,39.099998,39.51,2585000
2021-01-25,38.97,39.056999,37.2,38.89,9176800
2021-01-26,38.89,39.049999,37.3,37.32,4945100
2021-01-27,36.6,36.78,34.21,36.23,8138300
2021-01-28,36.81,38.45,36.421,38.2,8108500
2021-01-29,37.89,38.8,37.77,38.5,16346400
2021-02-01,39.2,39.45,38.55,38.66,4731700
2021-02-02,39.12,39.4,38.43,38.48,2902000
2021-02-03,38.3,38.66,37.956,38.15,2987900
2021-02-04,38.37,38.53,37.86,38.33,3439000
2021-02-05,38.0,39.99,38.0,39.15,4409600
2021-02-08,39.53,40.12,39.34,39.7,4544800
2021-02-09,37.099998,38.28,36.95,37.25,12941200
2021-02-10,37.66,37.95,36.8,37.19,7926400
2021-02-11,37.3,37.475,36.63,37.2,11064800
2021-02-12,37.0,37.4,36.76,37.28,5472800
2021-02-16,37.46,37.525,36.775,37.41,4174600
2021-02-17,37.23,37.369,36.7,37.24,3844400
2021-02-18,37.09,37.23,36.362,36.65,3961800
2021-02-19,37.0,37.76,36.96,37.64,3225600
2021-02-22,37.41,37.87,37.27,37.3,3017600
2021-02-23,36.83,37.19,35.82,37.099998,4340100
2021-02-24,36.86,37.51,36.695,37.45,5952400
2021-02-25,37.07,37.27,35.94,36.14,4449900
2021-02-26,36.39,37.0,36.02,36.53,5375200
2021-03-01,36.76,37.565,36.72,37.2,4156800
2021-03-02,37.4,37.42,36.68,37.14,4431900
2021-03-03,36.85,37.578,36.63,37.12,7100100
2021-03-04,36.95,37.21,35.060001,35.52,6859200
2021-03-05,36.12,37.040001,34.75,36.94,7047300
2021-03-08,36.79,37.79,36.3,37.060001,4659800
2021-03-09,37.35,37.71,37.099998,37.12,3643400
2021-03-10,37.61,39.099998,37.48,38.78,6976500
2021-03-11,39.27,39.57,38.61,39.23,5156100
2021-03-12,39.0,39.62,38.92,39.59,2546200
2021-03-15,39.22,39.74,39.099998,39.6,3634300
2021-03-16,39.62,39.65,38.31,38.57,5740800
2021-03-17,38.81,39.36,38.43,39.35,4066000
2021-03-18,39.4,41.6,39.4,41.0,10045200
2021-03-19,41.23,41.31,40.581,40.91,11066100
2021-03-22,40.62,41.69,39.85,41.41,10396900
2021-03-23,40.92,41.49,40.055,40.29,11248200
2021-03-24,40.5,41.23,40.13,40.14,8587400
2021-03-25,40.19,40.475,39.58,40.35,8091900
2021-03-26,40.82,41.14,39.83,41.09,5120300
2021-03-29,42.21,42.98,41.952,42.34,7698800
2021-03-30,42.07,42.92,41.79,42.36,3982200
2021-03-31,43.0,43.48,42.029999,42.22,7297800
2021-04-01,42.23,42.4,41.86,42.02,4759900
2021-04-05,42.39,42.92,42.33,42.58,5731800
2021-04-06,42.64,43.3,42.3,42.81,6692600
2021-04-07,42.56,42.84,42.14,42.69,6117300
2021-04-08,42.58,43.0,42.049999,42.53,5212400
2021-04-09,42.85,43.060001,42.26,42.75,5578100
2021-04-12,42.8,43.0050011,42.48,42.6,5868600
2021-04-13,42.49,43.37,42.24,43.16,7778500
2021-04-14,43.13,43.78,43.060001,43.13,4651100
2021-04-15,43.2,43.77,42.7,43.59,7090900
2021-04-16,43.88,44.28,43.44,43.88,5575700
2021-04-19,44.0,44.645,43.67,43.87,10654900
2021-04-20,43.58,43.67,42.0099983,42.52,6545400
2021-04-21,42.5,43.125,42.2,43.060001,4288100
2021-04-22,43.24,43.71,42.85,43.09,6473400
