date,open,high,low,close,volume
2006-10-18,24.23,24.5,23.85,24.059999,331300
2006-10-19,23.94,24.37,23.51,23.97,290800
2006-10-20,24.12,24.12,23.74,24.040001,151100
2006-10-23,23.88,24.2,23.64,23.97,225600
2006-10-24,23.94,23.94,23.5,23.54,295100
2006-10-25,23.58,24.15,23.58,24.11,227200
2006-10-26,24.18,24.68,23.82,24.6,272800
2006-10-27,24.43,24.43,23.99,24.11,190300
2006-10-30,23.85,24.43,23.85,24.25,250700
2006-10-31,24.23,24.39,24.09,24.27,192900
2006-11-01,24.32,24.32,23.78,23.85,247100
2006-11-02,23.8,24.059999,23.6,23.71,183600
2006-11-03,23.79,23.88,23.27,23.47,155200
2006-11-06,23.65,23.94,23.43,23.68,133800
2006-11-07,23.69,24.52,23.68,23.8,219900
2006-11-08,23.65,24.11,23.54,23.95,214200
2006-11-09,24.02,24.33,23.65,23.95,202000
2006-11-10,23.94,24.32,23.89,24.24,84600
2006-11-13,24.26,24.58,24.14,24.52,196600
2006-11-14,24.53,25.0,24.22,25.0,145300
2006-11-15,24.97,25.17,24.81,24.99,187600
2006-11-16,25.16,25.2,23.46,23.73,397300
2006-11-17,23.7,24.42,23.29,24.1,291000
2006-11-20,24.040001,24.3,23.74,24.22,176700
2006-11-21,24.29,24.63,23.97,24.55,229600
2006-11-22,24.65,24.93,24.32,24.86,160100
2006-11-24,24.73,24.92,24.62,24.78,108800
2006-11-27,24.49,24.66,23.78,23.9,403800
2006-11-28,23.79,24.3,23.63,24.17,178800
2006-11-29,24.36,24.98,24.27,24.72,169600
2006-11-30,24.6,25.049999,24.57,24.89,228700
2006-12-01,24.83,25.7,24.78,25.49,517400
2006-12-04,25.58,26.0,25.0,25.95,378500
2006-12-05,25.82,26.0,24.5,24.59,519500
2006-12-06,24.51,24.59,23.87,23.92,456100
2006-12-07,23.93,25.71,23.25,25.01,758000
2006-12-08,24.15,24.88,24.15,24.6,587100
2006-12-11,24.54,24.68,23.94,24.02,432300
2006-12-12,24.059999,24.12,23.67,23.74,302700
2006-12-13,23.82,24.12,23.41,23.65,377700
2006-12-14,24.48,24.65,24.16,24.27,375000
2006-12-15,24.34,25.14,24.16,24.46,638400
2006-12-18,24.48,24.75,23.75,23.86,436800
2006-12-19,23.7,24.08,23.69,23.91,316100
2006-12-20,23.86,24.21,23.85,23.95,238900
2006-12-21,24.02,24.23,23.66,23.77,317100
2006-12-22,23.61,24.059999,23.6,23.95,244100
2006-12-26,23.84,24.17,23.84,24.059999,181200
2006-12-27,24.030001,24.55,24.030001,24.34,172000
2006-12-28,24.27,24.28,23.8,23.83,171700
2006-12-29,23.8,23.9,23.49,23.55,261400
2007-01-03,23.65,24.14,23.49,23.84,276700
2007-01-04,23.84,24.13,23.5,24.13,271000
2007-01-05,23.97,24.21,23.83,24.049999,307600
2007-01-08,23.99,23.99,23.51,23.77,269300
2007-01-09,23.68,24.08,23.49,24.0,204600
2007-01-10,23.82,24.23,23.75,24.21,191000
2007-01-11,24.23,24.92,24.22,24.81,305200
2007-01-12,24.8,25.16,24.8,25.13,176700
2007-01-16,25.25,25.35,24.6,24.72,246500
2007-01-17,24.61,24.75,24.22,24.31,261300
2007-01-18,24.21,24.79,23.99,24.61,248500
2007-01-19,24.66,25.26,24.52,25.09,286500
2007-01-22,25.059999,25.14,24.5,24.85,230700
2007-01-23,24.82,25.31,24.66,25.13,220700
2007-01-24,25.22,25.5,25.13,25.48,163000
2007-01-25,25.41,25.5,24.91,25.030001,270300
2007-01-26,25.030001,25.21,24.91,25.12,169000
2007-01-29,25.030001,25.5,25.01,25.45,161100
2007-01-30,25.43,25.52,25.1,25.49,149400
2007-01-31,25.45,25.56,25.22,25.52,203500
2007-02-01,25.58,25.69,25.38,25.58,228300
2007-02-02,25.59,25.86,25.39,25.83,191500
2007-02-05,25.74,25.91,25.5,25.83,221500
2007-02-06,25.85,26.17,25.63,26.02,165500
2007-02-07,26.0,26.46,25.82,26.29,160900
2007-02-08,26.2,26.68,26.2,26.61,182500
2007-02-09,26.54,26.7,26.0,26.1,161700
2007-02-12,26.16,26.29,25.8,25.92,128500
2007-02-13,26.030001,26.15,25.86,26.13,125300
2007-02-14,26.1,26.59,26.030001,26.07,104300
2007-02-15,26.030001,26.36,25.72,26.040001,158800
2007-02-16,26.040001,26.42,25.98,26.31,213100
2007-02-20,26.21,26.56,25.88,26.07,264300
2007-02-21,26.030001,26.37,26.02,26.26,210300
2007-02-22,26.23,26.44,25.76,26.11,266900
2007-02-23,26.02,26.35,25.79,26.16,181100
2007-02-26,26.15,26.36,25.39,25.78,183400
2007-02-27,25.6,25.73,24.41,24.79,426500
2007-02-28,24.8,25.31,24.66,25.01,312500
2007-03-01,24.59,25.42,24.52,25.01,208300
2007-03-02,24.76,24.98,24.3,24.3,256000
2007-03-05,24.29,24.36,23.59,23.59,314500
2007-03-06,23.8,24.69,23.61,24.47,284500
2007-03-07,24.61,24.9,24.07,24.49,248700
2007-03-08,24.53,24.99,23.85,24.049999,225700
2007-03-09,24.29,24.43,23.83,23.98,349700
2007-03-12,23.89,24.27,23.56,24.21,309600
2007-03-13,24.19,24.6,23.93,24.16,495600
2007-03-14,24.11,24.61,23.72,24.4,396400
2007-03-15,24.44,24.78,24.44,24.6,190200
2007-03-16,24.59,24.59,23.61,24.07,792600
2007-03-19,24.25,24.58,24.24,24.4,347000
2007-03-20,24.43,24.78,24.32,24.77,161800
2007-03-21,24.8,25.34,24.61,25.3,171100
2007-03-22,25.37,25.5,25.15,25.2,188400
2007-03-23,25.14,25.64,25.14,25.57,148100
2007-03-26,25.49,25.75,25.15,25.47,184400
2007-03-27,25.31,25.39,24.83,25.11,139700
2007-03-28,24.99,25.41,24.89,25.01,129800
2007-03-29,25.18,25.4,24.49,25.09,154500
2007-03-30,25.09,25.32,24.76,25.01,259100
2007-04-02,25.11,25.34,24.9,25.23,115200
2007-04-03,25.3,26.040001,25.059999,25.81,252400
2007-04-04,25.75,25.75,25.27,25.32,153700
2007-04-05,25.31,25.61,25.26,25.53,164700
2007-04-09,25.5,25.62,24.93,25.48,139300
2007-04-10,25.41,25.83,25.35,25.7,162200
2007-04-11,25.76,25.81,25.17,25.65,284500
2007-04-12,25.58,26.049999,25.27,26.01,275500
2007-04-13,25.97,26.11,25.59,25.85,433900
2007-04-16,26.02,26.41,25.87,26.35,147100
2007-04-17,26.33,26.69,25.95,26.59,244200
2007-04-18,26.48,26.57,26.1,26.14,147900
2007-04-19,26.0,26.16,25.56,25.95,164900
2007-04-20,26.23,26.4,25.82,26.22,173100
2007-04-23,26.12,26.54,26.12,26.37,122000
2007-04-24,26.33,26.37,25.8,26.07,109400
2007-04-25,26.23,26.72,26.030001,26.57,207400
2007-04-26,26.5,26.53,26.1,26.34,193500
2007-04-27,26.21,26.24,25.89,25.99,127700
2007-04-30,26.08,26.08,25.12,25.15,207500
2007-05-01,25.22,25.25,24.86,25.2,187700
2007-05-02,25.29,25.83,25.16,25.66,147200
2007-05-03,25.59,25.78,25.35,25.54,208500
2007-05-04,25.65,25.68,24.97,25.3,230400
2007-05-07,25.23,25.59,25.23,25.57,243100
2007-05-08,25.41,25.5,24.95,25.5,236200
2007-05-09,25.33,25.86,25.33,25.56,188100
2007-05-10,25.34,25.48,25.07,25.1,247300
2007-05-11,25.37,25.97,25.26,25.84,154200
2007-05-14,25.75,26.1,25.44,25.54,244500
2007-05-15,25.47,25.69,25.11,25.41,306700
2007-05-16,25.54,25.9,25.49,25.74,234800
2007-05-17,25.73,25.74,25.39,25.55,339100
2007-05-18,25.56,25.94,25.45,25.93,223200
2007-05-21,25.84,26.63,25.76,26.14,293900
2007-05-22,26.07,26.59,26.07,26.51,229600
2007-05-23,26.5,26.89,26.29,26.38,207100
2007-05-24,26.29,26.7,26.02,26.18,300700
2007-05-25,26.24,26.55,26.2,26.34,190200
2007-05-29,26.38,27.0,26.3,27.0,309800
2007-05-30,26.72,27.059999,26.55,27.02,231700
2007-05-31,26.98,27.24,26.79,27.01,253900
2007-06-01,27.19,27.94,27.12,27.83,249800
2007-06-04,27.74,28.27,27.74,28.24,462500
2007-06-05,28.09,28.24,27.47,27.75,295600
2007-06-06,27.48,27.61,26.94,27.13,176400
2007-06-07,26.94,27.28,26.36,26.69,354100
2007-06-08,26.62,27.17,26.5,27.11,268900
2007-06-11,26.98,27.040001,26.61,26.8,371800
2007-06-12,26.61,26.81,26.23,26.5,190400
2007-06-13,26.58,27.040001,26.39,26.67,306400
2007-06-14,27.92,29.46,27.71,28.030001,1642900
2007-06-15,28.45,28.45,27.6,28.21,860500
2007-06-18,28.23,28.23,27.6,28.059999,462200
2007-06-19,27.86,28.32,27.8,28.09,361600
2007-06-20,28.11,28.38,27.59,27.64,396600
2007-06-21,27.48,27.71,27.02,27.44,231800
2007-06-22,27.4,27.42,26.59,27.08,705500
2007-06-25,27.02,27.37,26.58,26.92,316500
2007-06-26,26.95,27.17,26.71,27.049999,454600
2007-06-27,26.83,27.49,26.5,27.29,479700
2007-06-28,27.29,27.84,27.25,27.7,569400
2007-06-29,27.98,28.0,27.01,27.26,748200
2007-07-02,27.44,27.62,27.24,27.59,366000
2007-07-03,27.57,27.75,27.42,27.73,97300
2007-07-05,27.75,27.75,26.97,27.32,403700
2007-07-06,27.25,27.7,27.14,27.5,283600
2007-07-09,27.47,27.47,27.15,27.31,267300
2007-07-10,27.02,27.02,26.11,26.37,531500
2007-07-11,26.31,26.78,26.09,26.42,270000
2007-07-12,26.74,27.26,26.64,27.23,361400
2007-07-13,27.2,27.55,27.040001,27.41,290100
2007-07-16,27.29,27.67,27.28,27.51,641000
2007-07-17,27.65,27.79,27.5,27.6,456600
2007-07-18,27.5,27.7,26.72,27.02,295000
2007-07-19,27.18,27.29,26.77,26.84,180700
2007-07-20,26.78,26.78,26.13,26.23,413200
2007-07-23,26.2,26.63,26.11,26.11,325800
2007-07-24,26.1,26.34,25.29,25.32,439400
2007-07-25,25.53,26.02,25.07,25.86,448300
2007-07-26,25.35,25.82,25.0,25.2,513300
2007-07-27,25.08,25.42,24.33,24.41,428000
2007-07-30,24.3,24.38,23.02,24.0,968200
2007-07-31,24.67,25.79,24.67,24.93,654000
2007-08-01,24.85,25.36,24.17,25.18,432600
2007-08-02,25.23,25.79,25.02,25.77,547900
2007-08-03,25.74,26.45,25.049999,25.52,719500
2007-08-06,25.46,26.73,25.29,26.26,695400
2007-08-07,26.059999,27.6,25.41,27.37,680200
2007-08-08,27.6,28.14,26.59,27.19,862600
2007-08-09,26.73,29.24,26.24,27.75,1433000
2007-08-10,27.24,29.059999,26.25,28.030001,788800
2007-08-13,27.8,28.49,26.55,27.059999,601700
2007-08-14,27.12,27.37,26.15,26.52,354400
2007-08-15,26.45,27.1,25.98,26.030001,398800
2007-08-16,26.36,27.44,26.049999,27.37,600300
2007-08-17,28.48,29.08,27.37,28.51,547100
2007-08-20,28.69,28.96,27.88,28.24,203800
2007-08-21,28.48,28.79,28.0,28.26,213900
2007-08-22,28.59,29.15,28.33,29.040001,262400
2007-08-23,29.15,29.16,28.47,28.65,241800
2007-08-24,28.61,29.15,28.6,29.0,572000
2007-08-27,28.97,29.07,28.7,28.73,288300
2007-08-28,28.6,28.94,27.84,27.91,292300
2007-08-29,28.07,28.75,27.81,28.69,224900
2007-08-30,28.35,29.0,28.0,28.34,163900
2007-08-31,28.81,29.0,28.3,28.36,227900
2007-09-04,28.3,28.92,28.24,28.59,223500
2007-09-05,28.6,28.75,27.76,27.98,415500
2007-09-06,29.87,29.88,28.59,28.86,929000
2007-09-07,28.5,29.02,27.79,27.85,549400
2007-09-10,27.93,28.4,27.0,27.82,558900
2007-09-11,27.91,28.8,27.8,28.69,469100
2007-09-12,28.64,28.85,28.0,28.39,261100
2007-09-13,28.59,29.13,28.56,28.58,408700
2007-09-14,28.42,28.42,27.84,28.08,470100
2007-09-17,27.96,28.22,27.59,28.02,702100
2007-09-18,28.13,29.47,27.97,29.29,864500
2007-09-19,29.29,29.73,29.16,29.33,585400
2007-09-20,29.31,29.63,29.09,29.53,315600
2007-09-21,29.77,29.77,28.45,28.87,662800
2007-09-24,28.97,29.47,28.36,28.66,296600
2007-09-25,28.44,28.45,27.55,28.18,407400
2007-09-26,28.37,28.72,28.27,28.5,257300
2007-09-27,28.51,28.6,27.91,28.41,335400
2007-09-28,28.44,28.57,27.63,27.7,381300
2007-10-01,27.75,28.5,27.56,28.42,317400
2007-10-02,28.51,28.7,28.2,28.45,222000
2007-10-03,28.23,28.87,28.22,28.56,216800
2007-10-04,28.65,28.99,28.47,28.99,228700
2007-10-05,29.36,29.44,28.71,29.37,304500
2007-10-08,29.13,29.4,28.57,28.9,325300
2007-10-09,28.83,29.32,28.73,29.2,394700
2007-10-10,29.12,29.69,28.82,29.3,311200
2007-10-11,29.65,29.95,28.82,28.82,440000
2007-10-12,28.81,29.09,28.54,28.9,315400
2007-10-15,28.86,28.86,28.16,28.46,445400
2007-10-16,28.34,28.64,28.0,28.030001,422300
2007-10-17,28.35,28.85,28.13,28.56,406900
2007-10-18,28.45,28.89,28.25,28.66,340200
2007-10-19,28.66,28.7,27.43,27.45,403700
2007-10-22,27.3,28.31,27.0,27.99,305900
2007-10-23,28.27,28.27,27.31,28.22,311500
2007-10-24,27.97,28.08,27.4,27.82,386200
2007-10-25,27.86,28.42,27.46,27.88,245500
2007-10-26,28.2,28.49,27.68,28.49,233100
2007-10-29,28.6,28.74,27.85,28.09,216300
2007-10-30,27.91,28.35,27.69,28.07,169900
2007-10-31,28.24,28.62,27.7,28.5,334500
2007-11-01,28.01,28.5,27.31,27.44,489500
2007-11-02,27.76,28.0,27.07,27.8,267000
2007-11-05,27.47,28.17,27.23,27.9,279600
2007-11-06,27.95,28.76,27.76,28.73,353300
2007-11-07,28.34,28.49,27.3,27.31,386800
2007-11-08,27.57,28.22,27.18,28.1,356200
2007-11-09,27.8,28.0,27.11,27.17,310400
2007-11-12,27.2,28.29,27.15,28.01,521700
2007-11-13,28.14,29.54,28.059999,29.47,397500
2007-11-14,29.62,29.92,29.16,29.36,306300
2007-11-15,29.18,29.51,28.35,28.76,257700
2007-11-16,28.83,29.75,28.44,29.16,523700
2007-11-19,28.69,29.35,28.5,29.16,516900
2007-11-20,29.1,29.84,28.56,29.040001,435800
2007-11-21,28.83,29.37,28.07,28.09,652000
2007-11-23,28.37,29.32,28.27,29.049999,150800
2007-11-26,27.82,27.98,27.0,27.16,644600
2007-11-27,27.19,28.35,27.18,28.01,508600
2007-11-28,28.049999,28.5,28.040001,28.32,504200
2007-11-29,28.31,28.69,28.22,28.63,326500
2007-11-30,28.79,29.39,28.78,29.0,566800
2007-12-03,29.16,29.16,28.6,28.65,282000
2007-12-04,28.66,28.66,27.73,27.77,364300
2007-12-05,28.25,28.89,27.9,28.45,283000
2007-12-06,29.99,30.0,28.75,28.86,1166000
2007-12-07,29.0,29.0,28.58,28.64,589200
2007-12-10,28.56,29.38,28.51,29.29,770800
2007-12-11,29.29,29.42,28.45,28.53,642100
2007-12-12,29.39,29.43,28.24,28.65,381400
2007-12-13,28.47,28.97,28.049999,28.88,341100
2007-12-14,28.57,28.85,28.18,28.2,263200
2007-12-17,28.049999,28.36,27.81,27.81,325100
2007-12-18,28.1,28.87,27.75,28.78,444800
2007-12-19,28.78,28.84,28.26,28.37,365200
2007-12-20,28.65,29.61,28.41,29.61,420600
2007-12-21,29.97,30.71,29.7,30.71,1279300
2007-12-24,30.71,31.39,30.64,31.39,221700
2007-12-26,31.040001,31.25,30.51,30.75,411300
2007-12-27,30.85,31.21,29.99,30.040001,279800
2007-12-28,30.38,30.43,29.8,29.8,196100
2007-12-31,29.75,30.19,29.32,29.61,228600
2008-01-02,29.5,29.65,28.74,28.94,363000
2008-01-03,29.059999,29.31,28.23,28.24,325700
2008-01-04,27.81,28.36,27.48,27.83,436200
2008-01-07,28.31,28.61,27.62,28.29,516200
2008-01-08,29.46,29.46,28.7,28.8,1046400
2008-01-09,28.85,29.1,28.1,28.82,908600
2008-01-10,28.54,29.15,28.39,28.8,491600
2008-01-11,28.66,29.13,28.23,28.4,664200
2008-01-14,28.64,28.81,27.76,28.040001,388200
2008-01-15,27.96,28.41,27.5,28.09,519500
2008-01-16,27.96,28.23,27.12,27.2,1027200
2008-01-17,27.25,27.7,26.87,26.97,776700
2008-01-18,26.96,27.52,26.4,27.0,909400
2008-01-22,26.27,26.65,22.44,26.08,1004800
2008-01-23,25.14,27.38,24.59,27.22,873100
2008-01-24,27.040001,27.39,25.54,25.73,581800
2008-01-25,26.049999,26.22,25.040001,25.48,468900
2008-01-28,25.37,26.17,25.0,25.89,558000
2008-01-29,25.97,26.17,25.18,25.62,440400
2008-01-30,25.48,25.74,24.84,24.99,694700
2008-01-31,24.54,26.32,24.48,26.0,626500
2008-02-01,26.08,26.73,25.85,26.52,623400
2008-02-04,26.43,26.43,25.46,25.61,503400
2008-02-05,25.040001,25.23,24.57,24.7,592300
2008-02-06,24.95,25.67,24.66,25.23,509800
2008-02-07,25.040001,26.2,24.97,25.85,578100
2008-02-08,25.74,26.059999,25.13,25.71,302200
2008-02-11,25.71,26.22,25.16,25.64,637700
2008-02-12,25.67,25.96,25.25,25.56,581000
2008-02-13,25.78,26.25,25.68,26.049999,510400
2008-02-14,26.54,26.54,25.43,25.55,516300
2008-02-15,25.33,26.33,25.12,26.27,746400
2008-02-19,26.57,26.7,25.76,26.01,508600
2008-02-20,25.88,26.94,25.85,26.84,422300
2008-02-21,26.98,27.29,25.9,26.059999,483600
2008-02-22,26.049999,26.15,25.28,25.52,450000
2008-02-25,25.57,26.09,25.1,25.86,472000
2008-02-26,25.73,26.08,25.48,25.9,702000
2008-02-27,25.6,25.97,25.16,25.69,678600
2008-02-28,25.53,25.76,25.21,25.58,706400
2008-02-29,25.22,25.75,24.84,25.049999,432900
2008-03-03,25.12,25.27,24.61,25.14,428100
2008-03-04,24.93,25.65,24.53,25.44,438300
2008-03-05,25.61,26.07,25.26,26.0,577400
2008-03-06,25.62,25.72,24.85,24.93,1501100
2008-03-07,23.26,23.32,21.69,23.0,3090000
2008-03-10,22.26,22.45,21.91,22.25,1531000
2008-03-11,23.0,23.93,22.030001,22.98,1929700
2008-03-12,22.74,23.37,22.33,22.79,632100
2008-03-13,22.44,23.23,22.25,23.09,496100
2008-03-14,23.2,23.42,22.49,22.88,684300
2008-03-17,22.13,22.85,21.82,22.15,871000
2008-03-18,22.66,22.97,22.13,22.84,690500
2008-03-19,23.02,23.35,22.1,22.11,780200
2008-03-20,22.34,22.67,21.76,22.44,1591400
