date,open,high,low,close,volume
2006-10-18,70.76,70.92,68.7,69.080002,6577300
2006-10-19,68.69,69.15,68.089996,69.019997,4933800
2006-10-20,61.96,62.28,58.82,59.0,67780400
2006-10-23,60.0,60.63,59.16,60.42,22097200
2006-10-24,61.3,61.8,60.73,60.93,11647100
2006-10-25,61.24,62.09,60.78,61.91,11557400
2006-10-26,62.7,62.78,62.11,62.35,10545200
2006-10-27,62.35,62.35,61.22,61.27,9043700
2006-10-30,61.17,61.19,60.49,60.76,5365800
2006-10-31,61.0,61.13,60.34,60.71,6959600
2006-11-01,60.71,61.02,60.060001,60.5,9107300
2006-11-02,60.5,61.12,60.25,60.56,7879900
2006-11-03,60.63,60.93,60.25,60.43,6511800
2006-11-06,60.4,60.59,59.68,59.85,9579000
2006-11-07,59.97,60.4,59.86,59.92,7659600
2006-11-08,59.92,60.4,59.54,60.099998,11509700
2006-11-09,60.31,60.4,59.0,59.2,7779700
2006-11-10,59.45,59.69,58.99,59.6,5966900
2006-11-13,59.26,60.21,59.24,59.52,5139300
2006-11-14,59.9,60.44,59.66,60.36,6206800
2006-11-15,60.5,61.66,60.37,61.45,8616700
2006-11-16,61.65,62.11,61.31,61.37,4834000
2006-11-17,61.37,61.37,60.45,60.94,7929600
2006-11-20,60.51,61.080002,60.5,60.91,3759100
2006-11-21,60.55,62.4,60.2,62.19,9020900
2006-11-22,62.93,63.099998,61.88,62.79,7005400
2006-11-24,62.45,63.33,62.12,62.87,2965800
2006-11-27,62.6,63.19,61.85,61.97,5817900
2006-11-28,61.75,61.96,60.6,61.6,6687500
2006-11-29,62.049999,62.46,61.7,62.060001,3592400
2006-11-30,62.15,62.7,61.61,62.029999,3997000
2006-12-01,62.44,62.44,60.3,61.19,7193700
2006-12-04,61.39,61.79,60.95,61.49,4950300
2006-12-05,61.5,62.5,61.39,62.15,4508600
2006-12-06,62.3,63.099998,62.040001,63.049999,6066400
2006-12-07,63.25,63.95,62.75,63.0,5392600
2006-12-08,63.0,63.88,63.0,63.4,4098700
2006-12-11,63.6,63.66,62.66,63.07,4699700
2006-12-12,63.0,63.3,61.56,62.28,6677100
2006-12-13,62.48,62.5,61.29,61.49,5110000
2006-12-14,61.69,62.47,61.51,62.12,5352400
2006-12-15,62.64,62.74,61.75,61.82,5763700
2006-12-18,62.17,62.59,61.66,61.92,5306900
2006-12-19,61.47,62.0,61.15,61.52,4304900
2006-12-20,61.4,61.89,60.9,61.37,5575900
2006-12-21,61.15,61.53,60.38,60.81,3249100
2006-12-22,60.81,60.89,60.35,60.59,2788000
2006-12-26,60.5,61.13,60.49,60.9,1933100
2006-12-27,61.0,61.58,60.9,61.47,2773800
2006-12-28,61.38,61.85,61.27,61.31,2402400
2006-12-29,61.12,61.65,61.060001,61.33,2363600
2007-01-03,61.71,62.31,60.7,61.16,6134800
2007-01-04,61.25,61.28,60.34,61.0,4058900
2007-01-05,60.77,60.92,59.95,60.22,6267100
