date,open,high,low,close,volume
2006-10-18,33.85,33.96,33.31,33.31,1066700
2006-10-19,33.26,33.59,33.25,33.35,1618400
2006-10-20,33.67,33.67,33.080002,33.13,1704100
2006-10-23,33.14,33.42,33.12,33.2,1127500
2006-10-24,33.15,33.19,32.68,32.92,865100
2006-10-25,32.8,33.14,32.79,33.02,1627100
2006-10-26,33.5,34.98,33.5,34.6,2792000
2006-10-27,34.45,34.53,34.0099983,34.0099983,893400
2006-10-30,34.31,34.31,33.53,33.78,1043100
2006-10-31,33.8,33.82,33.35,33.65,955700
2006-11-01,33.73,33.86,33.060001,33.2,727100
2006-11-02,33.21,33.56,33.02,33.53,904700
2006-11-03,33.79,33.79,33.21,33.45,629200
2006-11-06,33.55,33.95,33.3,33.62,847100
2006-11-07,33.55,34.049999,33.5,33.72,1131500
2006-11-08,32.31,33.7,32.31,33.11,1567000
2006-11-09,33.29,33.43,32.8,33.07,1075200
2006-11-10,32.88,32.92,32.41,32.78,842600
2006-11-13,32.71,32.95,32.67,32.77,1321900
2006-11-14,32.94,33.09,32.84,33.040001,767700
2006-11-15,33.18,33.42,33.040001,33.35,1111500
2006-11-16,33.53,34.39,33.53,34.2,1544100
2006-11-17,34.75,34.88,34.33,34.55,1202500
2006-11-20,34.37,34.66,34.28,34.53,754100
2006-11-21,34.46,34.83,34.46,34.83,1178300
2006-11-22,34.77,34.97,34.74,34.93,707700
2006-11-24,34.65,35.0,34.58,34.93,195800
2006-11-27,35.0,35.0,34.7,34.8,1055800
2006-11-28,34.8,34.8,34.26,34.4,1057100
2006-11-29,34.46,35.080002,34.4,34.8,1713700
2006-11-30,34.98,35.29,34.46,34.46,1920200
2006-12-01,34.55,34.85,34.09,34.19,728900
2006-12-04,34.049999,34.26,33.95,34.080002,1078500
2006-12-05,34.16,34.3,33.67,33.8,1178200
2006-12-06,34.099998,34.92,34.099998,34.65,1525900
2006-12-07,34.62,34.89,34.3,34.43,981000
2006-12-08,34.52,34.6,34.029999,34.26,577400
2006-12-11,34.21,34.61,34.02,34.28,763900
2006-12-12,34.18,34.42,33.63,33.67,789200
2006-12-13,33.8,33.8,33.09,33.3,1153200
2006-12-14,33.23,33.67,33.23,33.58,886300
2006-12-15,33.7,33.92,33.48,33.8,1233400
2006-12-18,33.8,34.0,33.21,33.32,623500
2006-12-19,33.3,33.43,32.84,33.18,803600
2006-12-20,33.32,33.66,33.07,33.14,710100
2006-12-21,33.16,33.33,32.86,33.09,742300
2006-12-22,33.099998,33.14,32.099998,32.22,1616900
2006-12-26,32.21,32.27,31.92,31.93,588000
2006-12-27,31.92,32.26,31.84,32.21,703000
2006-12-28,32.21,32.5,32.15,32.25,715000
2006-12-29,32.26,32.54,32.09,32.3,580300
2007-01-03,32.49,32.86,31.14,31.56,2342300
2007-01-04,31.7,32.28,31.7,32.049999,3002700
2007-01-05,32.099998,32.5,31.75,32.09,2028200
2007-01-08,32.09,32.63,31.87,32.41,1247100
2007-01-09,32.42,33.66,32.15,32.75,1881400
2007-01-10,32.75,33.52,32.65,33.43,1807700
2007-01-11,33.51,34.07,33.41,33.9,1990800
2007-01-12,33.52,34.44,33.51,34.38,2069000
2007-01-16,34.45,34.65,33.96,34.17,1848600
2007-01-17,34.37,34.54,33.96,34.16,2422400
2007-01-18,34.16,34.73,34.16,34.46,2182000
2007-01-19,34.6,37.32,34.6,36.21,5550400
2007-01-22,36.21,36.43,35.63,35.95,1905700
2007-01-23,35.95,35.95,35.18,35.22,2082900
2007-01-24,35.23,35.44,34.94,35.24,1749500
2007-01-25,35.24,35.49,34.83,34.9,1121900
2007-01-26,34.9,35.65,34.9,35.41,2557100
2007-01-29,35.3,35.87,34.8,34.89,1207900
2007-01-30,35.0,35.25,34.93,35.11,940100
2007-01-31,34.93,35.16,34.52,35.16,754000
2007-02-01,35.19,35.19,34.48,34.84,1176300
2007-02-02,34.9,35.17,34.81,35.14,1193400
2007-02-05,35.0,35.0,34.49,34.73,1320000
2007-02-06,34.57,34.65,34.29,34.5,1744000
2007-02-07,34.51,35.37,34.46,35.02,1967300
2007-02-08,34.71,35.21,34.71,35.15,1690100
2007-02-09,35.15,35.8,34.47,34.85,1841800
2007-02-12,34.75,34.75,33.96,34.12,1324800
2007-02-13,34.4,34.67,34.099998,34.22,1625800
2007-02-14,34.75,35.44,34.7,35.27,1547600
2007-02-15,35.33,35.55,35.15,35.39,1047900
2007-02-16,35.2,35.45,34.77,34.88,1016000
2007-02-20,34.88,35.13,34.64,34.84,1814400
2007-02-21,34.86,34.9,34.38,34.55,1156600
2007-02-22,34.65,35.0,34.41,34.5,1044000
2007-02-23,34.32,34.76,34.040001,34.45,1227100
2007-02-26,34.67,35.0099983,34.31,34.9,1623000
2007-02-27,34.4,34.76,33.15,33.28,1308900
2007-02-28,33.14,33.4,32.29,32.71,3578800
2007-03-01,32.2,32.58,31.71,32.080002,2495500
2007-03-02,32.09,32.25,31.11,31.48,2821800
2007-03-05,31.1,31.38,30.42,30.66,2354400
2007-03-06,30.91,31.55,30.71,31.38,2844700
2007-03-07,31.21,31.68,31.11,31.59,1556900
2007-03-08,31.69,32.3,31.59,32.2,2921700
2007-03-09,32.55,32.6,32.3,32.47,1556700
2007-03-12,32.27,33.44,32.2,33.36,2408100
2007-03-13,33.11,33.35,32.39,32.56,2391600
2007-03-14,32.42,32.53,31.72,32.41,3150100
2007-03-15,32.41,32.76,32.23,32.74,1262600
2007-03-16,32.7,33.21,32.56,33.02,1244300
2007-03-19,33.15,33.37,33.049999,33.28,1120600
2007-03-20,33.15,33.3,32.81,33.099998,1518000
2007-03-21,33.23,33.87,32.98,33.69,1420400
2007-03-22,34.58,34.58,33.33,33.46,1194300
2007-03-23,33.53,33.74,33.39,33.47,545600
2007-03-26,33.27,33.35,32.86,33.16,945200
2007-03-27,33.099998,33.099998,32.6,32.79,1482600
2007-03-28,32.57,32.66,32.37,32.46,1089200
2007-03-29,32.5,32.67,32.0,32.23,1207200
2007-03-30,32.14,32.47,31.85,32.13,1011900
2007-04-02,32.11,32.44,32.029999,32.3,1034500
2007-04-03,32.39,32.71,32.29,32.49,1081700
2007-04-04,32.56,32.63,32.0,32.3,1036000
2007-04-05,32.3,32.38,32.0099983,32.26,1113000
2007-04-09,32.28,32.86,32.16,32.82,1783200
2007-04-10,32.87,33.32,32.79,33.060001,1042700
2007-04-11,33.060001,33.060001,32.52,32.98,1612100
2007-04-12,33.0,33.78,32.85,33.72,2107300
2007-04-13,33.72,34.47,33.48,34.15,1254200
2007-04-16,34.35,34.91,34.2,34.51,2323100
2007-04-17,35.02,35.02,34.0099983,34.65,2903100
2007-04-18,34.65,34.92,34.42,34.8,908700
2007-04-19,35.0,35.0,34.39,34.78,1163600
2007-04-20,34.86,35.09,33.97,34.93,1601100
2007-04-23,34.99,34.99,34.64,34.81,1239900
2007-04-24,34.99,34.99,34.6,34.69,694200
2007-04-25,34.76,35.35,34.74,35.16,1806700
2007-04-26,35.09,35.32,34.76,35.11,904500
2007-04-27,34.89,35.040001,34.49,35.0,1302100
2007-04-30,34.92,34.96,34.2,34.34,1892900
2007-05-01,34.38,34.67,34.15,34.67,1149900
2007-05-02,34.5,35.69,34.47,35.19,1632600
2007-05-03,35.24,35.24,33.68,34.17,2575800
2007-05-04,34.17,34.47,33.66,34.3,1850200
2007-05-07,34.24,34.41,34.0,34.029999,2230300
2007-05-08,34.0,34.25,33.52,34.17,1761700
2007-05-09,33.98,35.12,33.91,35.02,2700300
2007-05-10,34.67,34.9,34.27,34.5,2337900
2007-05-11,34.44,35.049999,34.3,34.95,1319300
2007-05-14,34.93,35.8,34.85,35.56,2335700
2007-05-15,35.51,36.0,35.31,35.52,1812500
2007-05-16,35.75,36.0,35.45,35.96,1249600
2007-05-17,35.86,35.92,35.59,35.59,1228600
2007-05-18,35.64,35.91,35.46,35.63,1175700
2007-05-21,35.82,36.33,35.77,36.31,1051200
2007-05-22,36.14,36.23,35.75,35.87,700900
2007-05-23,35.99,36.25,35.95,36.080002,585800
2007-05-24,35.87,36.09,35.029999,35.29,1296800
2007-05-25,35.5,35.7,35.32,35.44,556100
2007-05-29,35.39,35.86,35.29,35.78,803400
2007-05-30,35.51,36.44,35.44,36.41,1534300
2007-05-31,36.49,37.0,36.36,36.82,1258200
2007-06-01,36.99,37.32,36.86,37.32,984400
2007-06-04,37.3,37.46,37.24,37.35,1516400
2007-06-05,37.12,37.69,37.12,37.47,2397200
2007-06-06,37.26,37.27,36.61,36.73,912700
2007-06-07,36.59,36.7,35.68,35.84,1264200
2007-06-08,35.48,35.78,35.2,35.63,1135000
2007-06-11,35.63,35.81,35.33,35.5,4993300
2007-06-12,35.46,35.5,35.19,35.24,1656900
2007-06-13,35.27,35.45,35.0,35.099998,1320100
2007-06-14,35.0,35.48,34.91,35.16,1146600
2007-06-15,35.19,35.61,35.099998,35.35,1405300
2007-06-18,36.0,36.78,35.99,36.37,2241200
2007-06-19,36.19,36.37,35.81,35.96,1324600
2007-06-20,35.82,36.19,35.32,35.32,1485000
2007-06-21,35.099998,35.13,34.82,34.95,1725800
2007-06-22,34.86,35.14,34.56,34.93,7486400
2007-06-25,34.82,34.87,34.34,34.43,1333100
2007-06-26,34.43,34.44,33.95,34.080002,1053600
2007-06-27,33.96,35.0,33.74,35.0,3476200
2007-06-28,34.85,36.13,34.75,35.83,7543100
2007-06-29,36.15,36.5,35.6,36.27,6817100
2007-07-02,36.3,37.0,36.29,36.9,3530600
2007-07-03,37.0,37.33,36.83,36.99,1711000
2007-07-05,36.9,37.049999,36.72,36.87,1902900
2007-07-06,36.66,37.44,36.66,37.35,1797600
2007-07-09,37.27,37.48,36.96,37.2,1750300
2007-07-10,36.84,37.19,36.79,36.87,2203000
2007-07-11,36.87,37.48,36.69,37.4,4317800
2007-07-12,37.72,38.080002,37.45,38.049999,2069900
2007-07-13,38.22,38.22,37.82,37.99,1485800
