date,open,high,low,close,volume
2006-10-18,47.54,48.4,47.54,48.14,3386900
2006-10-19,48.02,48.22,47.72,48.0099983,1503400
2006-10-20,48.25,48.29,47.9,48.080002,1605000
2006-10-23,47.85,48.43,47.72,48.4,1436200
2006-10-24,48.099998,48.32,47.83,48.13,1852200
2006-10-25,48.19,48.49,47.79,48.43,3317400
2006-10-26,48.45,49.58,48.28,49.46,3104200
2006-10-27,48.9,49.2,48.53,48.81,1612000
2006-10-30,48.82,49.46,48.46,49.29,2039200
2006-10-31,49.49,49.63,48.78,48.82,1992000
2006-11-01,48.88,49.25,48.86,48.96,1893300
2006-11-02,48.51,48.51,48.029999,48.19,2600000
2006-11-03,48.28,48.28,47.32,47.37,2724600
2006-11-06,47.67,48.39,47.56,48.14,1637700
2006-11-07,48.14,48.59,47.84,48.36,1410800
2006-11-08,48.36,49.09,48.23,48.89,1375200
2006-11-09,49.09,49.09,48.049999,48.17,1643500
2006-11-10,48.6,48.6,47.94,48.28,1941800
2006-11-13,48.29,48.97,47.98,48.73,3361900
2006-11-14,49.0,49.38,48.89,49.16,2363000
2006-11-15,49.060001,49.71,49.060001,49.69,2120900
2006-11-16,49.73,49.99,49.56,49.9,1994600
2006-11-17,49.91,50.029999,49.7,49.86,1236200
2006-11-20,50.2,50.45,49.87,49.91,2146900
2006-11-21,50.15,50.49,50.099998,50.37,1812800
2006-11-22,50.3,50.72,50.3,50.58,1384500
2006-11-24,50.16,50.99,50.16,50.51,663200
2006-11-27,50.73,50.92,49.09,49.67,2742300
2006-11-28,49.61,49.63,48.79,48.88,2841600
2006-11-29,48.99,49.060001,48.44,48.67,2753500
2006-11-30,48.46,49.26,48.12,48.99,2083000
2006-12-01,48.25,48.29,46.81,47.09,4723300
2006-12-04,47.48,47.97,47.3,47.55,4051700
2006-12-05,47.52,48.040001,47.36,47.69,2402400
2006-12-06,47.81,48.080002,47.64,48.02,1877800
2006-12-07,47.42,47.82,47.26,47.38,1981800
2006-12-08,47.33,47.66,47.16,47.29,1320200
2006-12-11,47.46,47.73,47.2,47.55,1654600
2006-12-12,47.45,47.8,47.09,47.45,2099900
2006-12-13,47.7,47.8,47.26,47.74,1478500
2006-12-14,47.88,48.33,47.76,47.8,1764700
2006-12-15,47.8,47.9,47.66,47.69,2938800
2006-12-18,47.86,48.37,47.51,48.07,1323500
2006-12-19,48.33,48.33,47.58,48.09,2106300
2006-12-20,47.95,48.37,47.81,48.049999,2054000
2006-12-21,48.5,49.28,47.78,49.060001,3647300
2006-12-22,49.66,49.91,48.62,48.87,1740200
2006-12-26,48.8,49.15,48.62,48.8,581900
2006-12-27,49.76,50.31,49.72,49.92,1955600
2006-12-28,49.93,50.07,49.35,49.66,1123100
2006-12-29,49.66,49.85,48.98,49.049999,1107700
2007-01-03,50.53,51.2,50.35,50.95,4324900
2007-01-04,51.049999,51.32,50.57,50.87,2776100
2007-01-05,50.63,50.63,49.75,49.88,2033200
2007-01-08,50.11,50.44,49.69,49.86,2703100
2007-01-09,50.3,50.66,50.15,50.43,2225700
2007-01-10,50.24,50.55,50.099998,50.25,2236800
2007-01-11,51.099998,51.25,50.57,50.8,4420300
2007-01-12,51.12,51.28,50.6,50.91,2209200
2007-01-16,51.27,51.6,50.87,50.95,2896400
2007-01-17,51.4,51.69,50.83,51.33,3421400
2007-01-18,52.4,52.5,51.48,51.95,3622300
2007-01-19,52.47,52.73,52.049999,52.39,4195600
2007-01-22,52.36,52.55,51.85,52.18,2305000
2007-01-23,52.15,52.35,51.55,51.99,2659200
2007-01-24,52.0,52.42,51.83,52.26,3507700
2007-01-25,52.049999,52.29,51.31,51.68,3394000
2007-01-26,52.12,52.22,51.65,51.96,3142100
2007-01-29,52.0099983,52.099998,51.75,51.99,1892600
2007-01-30,52.049999,52.2,51.96,52.15,1762100
2007-01-31,51.49,51.69,51.22,51.56,4057600
2007-02-01,52.09,52.21,51.6,52.15,2741900
2007-02-02,52.0099983,52.41,51.69,51.77,3375800
2007-02-05,51.0,51.25,50.27,50.78,3342300
2007-02-06,50.15,50.15,48.87,49.27,5755900
2007-02-07,49.44,50.34,49.040001,49.89,5271000
2007-02-08,49.46,49.79,49.19,49.57,2091600
2007-02-09,49.55,49.74,48.25,48.45,2538500
2007-02-12,48.94,49.099998,48.51,48.66,1632100
2007-02-13,48.72,49.15,48.56,48.76,2622000
2007-02-14,48.72,49.02,48.58,48.93,2145700
2007-02-15,48.83,48.92,48.46,48.66,1736000
2007-02-16,48.18,48.45,48.029999,48.36,2056500
2007-02-20,48.66,48.95,48.15,48.9,2020000
2007-02-21,48.9,48.9,48.040001,48.66,1859900
2007-02-22,48.53,48.98,48.39,48.63,1633200
2007-02-23,48.16,48.33,47.61,47.61,2828600
2007-02-26,47.77,47.91,47.18,47.35,2264000
2007-02-27,46.51,47.029999,45.85,46.23,5079900
2007-02-28,45.92,46.55,45.75,46.44,3356300
2007-03-01,45.94,46.55,45.4,46.09,3910100
2007-03-02,45.54,46.18,45.54,45.7,3974500
2007-03-05,45.0,45.41,44.91,44.99,3966700
2007-03-06,45.17,46.14,45.14,45.97,2831700
2007-03-07,45.97,46.029999,45.21,45.46,2526600
2007-03-08,45.93,47.029999,45.9,46.25,3192200
2007-03-09,46.48,46.71,46.02,46.26,1833300
2007-03-12,46.28,46.84,46.26,46.4,1859000
2007-03-13,46.31,46.57,45.26,45.29,3061600
2007-03-14,45.029999,45.34,44.39,45.14,4186900
2007-03-15,45.23,45.88,45.0,45.61,4127400
2007-03-16,46.040001,46.47,45.45,45.55,5001900
2007-03-19,45.72,45.95,45.24,45.92,2237900
2007-03-20,45.6,46.25,45.49,45.93,3174300
2007-03-21,46.31,47.69,46.16,47.6,3463500
2007-03-22,47.35,48.040001,47.35,47.84,3215500
2007-03-23,47.94,48.28,47.7,48.12,2364700
2007-03-26,48.13,48.2,47.41,48.060001,2694000
2007-03-27,47.6,47.65,47.16,47.38,2726400
2007-03-28,46.94,46.94,46.32,46.43,2520600
2007-03-29,46.65,47.099998,46.62,46.89,3304600
2007-03-30,47.02,47.25,46.69,46.86,1908900
2007-04-02,47.15,47.37,46.82,47.19,1733900
2007-04-03,47.35,47.77,47.34,47.42,1782900
2007-04-04,47.51,47.6,46.95,47.0,2332700
2007-04-05,46.95,47.18,46.67,46.75,1886300
2007-04-09,46.74,46.84,46.44,46.49,1940200
2007-04-10,46.77,46.89,46.02,46.040001,3108600
2007-04-11,46.0,46.099998,45.049999,45.11,4255500
2007-04-12,45.23,45.47,45.080002,45.34,4298100
2007-04-13,45.7,45.7,45.099998,45.25,3047900
2007-04-16,45.54,46.93,45.54,46.78,4314700
2007-04-17,46.78,46.91,46.43,46.7,2697600
2007-04-18,46.43,46.77,46.23,46.41,2763600
2007-04-19,46.11,46.68,45.95,46.55,2529000
2007-04-20,46.61,47.45,46.61,47.2,4890600
2007-04-23,47.29,47.62,47.29,47.42,3373200
2007-04-24,47.99,48.049999,47.53,47.72,2919000
2007-04-25,48.060001,48.65,48.060001,48.55,2347700
2007-04-26,48.0,48.64,48.0,48.47,2880200
2007-04-27,48.71,48.8,48.19,48.68,2176000
2007-04-30,48.64,49.18,48.42,48.89,4120700
2007-05-01,48.8,48.9,48.049999,48.5,4318700
2007-05-02,48.66,49.049999,48.43,48.9,2018000
2007-05-03,48.91,48.92,47.95,48.15,2332900
2007-05-04,48.17,48.59,47.81,47.95,1654600
2007-05-07,47.95,47.96,47.53,47.72,1149800
2007-05-08,47.72,47.75,47.2,47.3,2104800
2007-05-09,47.42,48.34,47.42,48.19,1708500
2007-05-10,48.2,48.97,47.9,48.13,3820700
2007-05-11,48.25,48.84,47.91,48.79,2337200
2007-05-14,48.59,48.65,47.91,48.2,1512900
2007-05-15,48.029999,48.6,47.84,47.9,2143000
2007-05-16,47.86,48.09,47.56,47.89,1360900
2007-05-17,47.42,47.61,47.18,47.46,2452800
2007-05-18,47.72,49.25,47.6,49.18,4368100
2007-05-21,48.91,49.5,48.57,49.42,3989300
2007-05-22,49.53,50.099998,49.36,49.88,3086200
2007-05-23,49.92,50.2,49.7,49.73,2356000
2007-05-24,49.94,50.19,49.36,49.57,2201700
2007-05-25,49.94,50.02,49.56,49.95,1073900
2007-05-29,51.35,51.35,50.099998,50.38,2340100
2007-05-30,50.0,50.45,49.78,50.42,2136300
2007-05-31,50.6,50.66,50.029999,50.44,2114900
2007-06-01,50.69,50.76,50.18,50.54,1801900
2007-06-04,50.7,50.99,50.38,50.73,2571800
2007-06-05,51.0,51.85,51.0,51.26,4301200
2007-06-06,50.37,50.77,50.099998,50.18,3083400
2007-06-07,49.91,50.12,48.93,48.93,3708500
2007-06-08,49.0099983,49.099998,48.6,49.0,3314900
2007-06-11,49.0,49.44,48.7,48.92,3480400
2007-06-12,48.92,50.65,48.92,49.7,4712500
2007-06-13,49.63,49.9,49.41,49.88,3475900
2007-06-14,49.76,49.9,49.51,49.78,2893700
2007-06-15,49.78,49.86,49.52,49.71,3796400
2007-06-18,49.62,49.94,49.25,49.66,4882700
2007-06-19,48.71,50.46,48.71,49.71,5301600
