date,open,high,low,close,volume
2006-10-18,17.84,17.94,17.64,17.71,1242300
2006-10-19,17.62,17.74,17.51,17.68,864000
2006-10-20,17.74,17.75,17.43,17.58,1287600
2006-10-23,17.44,17.96,17.42,17.92,1209500
2006-10-24,17.82,17.88,17.59,17.71,926500
2006-10-25,17.64,17.87,17.53,17.67,1183400
2006-10-26,17.63,18.02,17.41,17.8,2564300
2006-10-27,17.8,17.92,17.66,17.75,2613600
2006-10-30,17.67,17.82,17.63,17.79,2052100
2006-10-31,17.69,17.97,17.61,17.86,1811400
2006-11-01,17.97,18.049999,17.8,17.84,2261300
2006-11-02,17.8,18.22,17.79,18.15,2461900
2006-11-03,18.08,18.2,17.94,17.95,3791700
2006-11-06,18.01,18.42,18.01,18.38,2034800
2006-11-07,18.39,18.5,18.33,18.43,2679700
2006-11-08,18.3,18.63,18.29,18.62,2106300
2006-11-09,18.62,18.65,18.29,18.37,3407500
2006-11-10,18.47,18.87,18.47,18.81,3331800
2006-11-13,18.27,18.85,18.25,18.68,2400400
2006-11-14,18.63,18.78,18.61,18.76,2625700
2006-11-15,18.8,18.95,18.74,18.85,2260600
2006-11-16,18.98,18.99,18.71,18.83,2248600
2006-11-17,18.8,18.85,18.62,18.7,2253000
2006-11-20,18.6,18.78,18.58,18.74,1680400
2006-11-21,18.67,18.8,18.55,18.64,1887000
2006-11-22,18.57,18.7,18.34,18.69,1672300
2006-11-24,18.63,18.63,18.44,18.6,1046000
2006-11-27,18.59,18.59,18.02,18.08,2430000
2006-11-28,18.1,18.44,17.9,18.39,2598200
2006-11-29,18.45,18.55,18.17,18.4,1266500
2006-11-30,18.48,18.69,18.29,18.38,2069800
2006-12-01,18.38,18.41,17.94,18.16,2390500
2006-12-04,18.14,18.54,17.92,18.48,2166500
2006-12-05,18.5,18.5,18.040001,18.11,2359900
2006-12-06,18.040001,18.2,17.88,18.0,1996000
2006-12-07,18.040001,18.14,17.55,17.67,2751400
2006-12-08,17.6,17.96,17.45,17.69,2799600
2006-12-11,17.65,17.99,17.63,17.86,2318800
2006-12-12,17.78,17.89,17.42,17.59,2740400
2006-12-13,17.98,18.0,17.76,18.0,6580700
2006-12-14,17.94,18.75,17.94,18.41,29121100
2006-12-15,18.56,18.75,18.53,18.66,7699900
2006-12-18,18.67,18.74,18.09,18.29,3863500
2006-12-19,18.13,18.45,17.83,18.25,6185500
2006-12-20,18.46,18.62,18.12,18.14,3486500
2006-12-21,18.15,18.38,18.059999,18.15,1686300
2006-12-22,18.2,18.25,17.9,17.93,1463900
2006-12-26,17.93,18.0,17.83,17.95,962900
2006-12-27,17.95,18.21,17.82,18.19,2821300
2006-12-28,18.1,18.11,17.79,17.83,2025500
2006-12-29,17.78,18.12,17.73,17.91,2553600
2007-01-03,17.99,18.41,17.65,18.15,5240400
2007-01-04,18.17,18.17,17.73,18.02,4729800
2007-01-05,18.049999,18.19,17.89,18.059999,2881600
