date,open,high,low,close,volume
2006-10-18,42.17,42.63,39.93,40.7,2971300
2006-10-19,39.88,43.23,39.88,43.14,2973600
2006-10-20,43.34,43.86,43.17,43.46,2171400
2006-10-23,43.0099983,43.75,42.12,42.72,2225200
2006-10-24,42.43,42.84,42.11,42.56,1948100
2006-10-25,44.25,45.46,43.0,43.87,3674200
2006-10-26,43.37,44.33,43.0,43.72,1355500
2006-10-27,43.32,43.46,42.74,42.76,1375400
2006-10-30,42.89,43.2,42.21,42.96,1625300
2006-10-31,43.0099983,43.23,41.5,41.74,2748900
2006-11-01,42.2,42.4,41.36,41.48,2794800
2006-11-02,41.24,41.88,40.6,41.26,2544200
2006-11-03,41.6,41.9,41.07,41.21,1049500
2006-11-06,41.7,42.83,41.69,42.02,1297200
2006-11-07,41.69,42.95,41.53,42.21,1132000
2006-11-08,41.46,42.18,41.38,41.81,959000
2006-11-09,41.66,41.87,40.87,41.0,1032000
2006-11-10,41.07,41.89,41.0099983,41.61,741100
2006-11-13,41.36,42.66,41.36,42.66,1883200
2006-11-14,42.38,42.6,41.62,42.45,1668200
2006-11-15,42.32,43.15,42.25,42.9,910300
2006-11-16,43.23,44.07,43.22,44.049999,1630900
2006-11-17,44.0099983,44.47,43.0099983,43.59,1478700
2006-11-20,42.13,43.13,42.13,42.75,1765000
2006-11-21,42.5,42.82,42.43,42.82,1487300
2006-11-22,42.67,42.85,42.0,42.7,828800
2006-11-24,42.22,42.95,42.22,42.62,271400
2006-11-27,42.22,44.44,42.15,44.18,3098600
2006-11-28,43.75,44.43,43.12,44.27,2055200
2006-11-29,44.55,45.18,43.71,44.23,1646000
2006-11-30,43.99,44.35,43.56,44.0099983,1169400
2006-12-01,43.72,44.4,42.94,43.47,1841500
2006-12-04,44.0,44.36,42.84,43.0,2915100
2006-12-05,43.13,43.34,42.28,42.99,1509100
2006-12-06,42.94,43.0099983,42.73,42.88,877000
2006-12-07,42.93,43.17,42.22,42.47,1363300
2006-12-08,42.32,42.86,41.93,42.080002,1072800
2006-12-11,42.049999,43.0,41.83,42.53,1408100
2006-12-12,42.22,42.65,42.0,42.64,1611700
2006-12-13,42.89,42.89,41.94,42.2,1569900
2006-12-14,42.38,43.71,42.26,43.37,1217900
2006-12-15,43.46,44.0099983,42.91,42.97,1924400
2006-12-18,43.0099983,43.3,41.41,41.55,2158400
2006-12-19,41.35,41.4,40.41,41.0,1926200
2006-12-20,40.9,41.27,40.42,41.029999,1541100
2006-12-21,41.02,41.51,40.35,40.7,1023600
2006-12-22,40.53,40.8,39.44,39.44,1802000
2006-12-26,39.6,40.53,39.6,40.51,1391700
2006-12-27,40.8,41.33,40.48,40.78,768400
2006-12-28,40.54,41.09,40.32,40.92,1033600
2006-12-29,40.94,41.54,40.68,40.89,1084300
2007-01-03,42.25,43.78,42.11,43.3,3399800
2007-01-04,43.0099983,43.81,42.62,43.49,2719500
2007-01-05,43.62,43.71,42.96,43.049999,1436800
2007-01-08,43.0,43.64,42.85,43.31,1522400
2007-01-09,43.25,43.85,42.95,43.44,1912900
2007-01-10,43.07,43.42,42.63,43.2,1668400
2007-01-11,43.41,44.09,43.34,44.049999,1280200
2007-01-12,44.099998,44.7,44.049999,44.6,953300
2007-01-16,44.51,45.28,43.95,44.41,1286000
2007-01-17,44.23,44.89,44.099998,44.18,1012300
2007-01-18,44.38,45.19,44.060001,44.07,1197900
2007-01-19,43.99,44.75,43.91,44.53,937600
2007-01-22,44.79,44.86,43.22,43.67,1789300
2007-01-23,43.37,44.029999,43.07,43.5,1082500
2007-01-24,43.56,44.22,43.42,43.82,966300
2007-01-25,43.58,43.66,42.51,42.89,1498000
2007-01-26,42.95,43.16,42.53,42.94,1028800
2007-01-29,42.59,43.54,42.53,43.07,1163900
2007-01-30,42.96,43.77,42.96,43.76,1123800
2007-01-31,47.39,53.5,47.29,53.2,15298300
2007-02-01,52.040001,52.84,51.25,52.6,4677600
2007-02-02,52.51,53.11,51.95,52.89,1329600
2007-02-05,52.72,52.77,51.85,52.15,1305100
2007-02-06,52.15,52.39,51.5,51.98,1226200
2007-02-07,51.76,53.38,51.67,52.85,1872800
2007-02-08,52.9,53.0,52.36,52.5,1090600
2007-02-09,52.55,52.91,51.42,51.79,1194100
2007-02-12,51.48,52.13,51.099998,51.42,976100
2007-02-13,50.72,51.74,50.26,51.67,1485800
2007-02-14,51.76,53.21,51.61,53.12,1318900
2007-02-15,53.0,53.16,52.22,52.53,849000
2007-02-16,52.65,53.24,52.37,52.71,677000
2007-02-20,53.33,54.35,52.56,54.029999,1332600
2007-02-21,53.97,54.67,53.48,54.38,1235400
2007-02-22,54.6,54.64,53.33,53.99,710600
2007-02-23,54.0099983,54.52,53.48,53.91,687200
2007-02-26,53.98,54.16,51.89,52.4,1138300
2007-02-27,53.02,53.17,51.37,51.65,3146300
2007-02-28,51.52,51.71,50.79,50.96,2340600
2007-03-01,50.2,51.61,49.25,50.97,24014000
2007-03-02,50.65,51.57,49.97,49.97,2650700
2007-03-05,49.9,50.58,48.75,49.97,1692200
2007-03-06,50.27,50.6,49.57,50.46,2143900
2007-03-07,50.02,50.74,49.93,50.57,1828200
2007-03-08,51.0,51.33,50.51,51.09,1408100
2007-03-09,50.099998,50.25,48.0,48.62,3401200
2007-03-12,48.6,49.12,48.2,48.44,1282800
2007-03-13,48.18,48.43,46.51,46.74,2391900
2007-03-14,46.87,47.22,46.13,47.11,2389000
2007-03-15,47.21,47.76,47.09,47.54,1410100
2007-03-16,47.3,47.75,46.98,47.48,1954000
2007-03-19,47.57,47.83,47.099998,47.6,1384600
2007-03-20,47.6,48.23,47.3,47.7,1122500
2007-03-21,47.81,49.16,47.11,49.15,1425300
2007-03-22,49.35,49.69,48.27,48.58,1419600
2007-03-23,48.76,49.67,48.76,49.37,972300
2007-03-26,49.55,49.55,48.15,48.96,937200
2007-03-27,48.65,48.9,48.16,48.37,990100
2007-03-28,48.049999,48.44,47.31,47.66,1137500
2007-03-29,47.57,47.83,46.85,47.58,1442000
2007-03-30,47.49,48.4,47.23,48.049999,1071200
2007-04-02,48.0,48.0,47.39,47.5,1444200
2007-04-03,47.65,49.24,47.61,49.12,1383900
2007-04-04,49.24,49.34,48.56,49.0,996600
2007-04-05,48.7,48.89,48.41,48.84,578400
2007-04-09,49.0,49.67,48.71,48.75,945900
2007-04-10,48.52,49.0,48.35,48.69,959900
2007-04-11,48.56,48.92,47.8,47.85,975600
2007-04-12,47.87,49.12,47.39,49.099998,1204800
2007-04-13,49.2,49.87,49.11,49.83,864500
2007-04-16,49.84,51.53,49.76,51.5,1353200
2007-04-17,51.51,51.56,50.58,50.82,1067000
2007-04-18,50.79,51.57,50.66,51.11,1302700
2007-04-19,50.4,51.36,49.87,51.31,1018800
2007-04-20,52.98,53.98,51.61,51.85,2006000
2007-04-23,51.7,52.84,51.42,51.76,1484700
2007-04-24,51.8,51.86,50.3,51.15,1421100
2007-04-25,56.49,58.19,56.36,56.76,5327800
2007-04-26,57.2,57.2,55.27,55.52,2238700
2007-04-27,55.34,55.67,54.86,55.21,1643100
2007-04-30,55.060001,55.3,53.34,53.46,1366300
2007-05-01,53.64,54.54,53.35,53.9,1540600
2007-05-02,55.0,55.84,54.080002,55.26,1457700
2007-05-03,55.6,56.16,55.12,55.57,1033200
2007-05-04,55.91,56.0,54.86,55.31,674700
2007-05-07,55.94,56.36,55.31,55.75,878200
2007-05-08,55.48,56.52,55.060001,56.31,1201100
2007-05-09,55.96,56.32,55.39,55.76,1206100
2007-05-10,55.66,55.76,53.35,53.63,1162300
2007-05-11,53.44,54.0099983,52.77,53.6,952200
2007-05-14,53.58,54.12,52.51,53.13,815400
2007-05-15,53.21,53.61,52.51,52.73,778300
2007-05-16,53.060001,53.41,52.35,53.099998,947700
2007-05-17,52.88,53.0099983,52.099998,52.13,794300
2007-05-18,52.25,52.75,51.8,52.36,1560300
2007-05-21,52.3,52.66,51.85,52.46,878100
2007-05-22,52.16,52.92,51.92,52.09,923700
2007-05-23,52.29,53.07,52.12,52.15,1506800
2007-05-24,52.31,52.81,50.6,51.0,1337500
2007-05-25,51.07,51.58,50.94,51.09,633600
2007-05-29,51.049999,51.77,51.0,51.63,935200
2007-05-30,51.55,52.42,51.18,52.42,1270800
2007-05-31,52.44,54.36,52.44,54.18,2315700
2007-06-01,54.16,54.98,53.88,54.28,1321900
2007-06-04,54.22,54.25,53.3,53.65,1277100
2007-06-05,53.65,53.75,52.3,52.64,1140600
2007-06-06,52.49,52.73,51.0,51.73,1075400
2007-06-07,51.8,52.22,51.22,51.3,1661300
2007-06-08,51.4,52.46,50.84,52.4,1395800
2007-06-11,52.23,52.98,51.64,52.67,1156700
2007-06-12,52.26,52.83,51.48,51.5,1052800
2007-06-13,51.54,53.049999,51.24,53.02,1128500
2007-06-14,53.029999,54.34,52.73,54.080002,1223900
2007-06-15,54.7,55.02,54.13,54.76,2026400
2007-06-18,54.14,54.43,53.099998,53.33,1322700
2007-06-19,53.33,53.81,52.9,53.56,741900
2007-06-20,53.77,54.32,52.9,53.040001,903800
2007-06-21,53.0,54.0,52.82,53.99,836600
2007-06-22,53.51,53.83,52.78,53.32,1395200
2007-06-25,53.36,54.19,52.93,53.09,912400
2007-06-26,53.56,53.57,52.73,53.099998,1028100
2007-06-27,52.64,53.45,52.13,53.26,896700
2007-06-28,53.26,53.69,52.79,53.16,794500
2007-06-29,53.17,53.38,52.31,52.52,1132600
2007-07-02,52.76,53.31,52.35,52.63,974100
2007-07-03,52.78,53.25,52.21,53.25,550100
2007-07-05,53.43,53.43,51.57,52.0,1566200
2007-07-06,52.0,52.17,51.52,52.0,1260400
2007-07-09,51.93,52.099998,51.58,51.87,1889900
2007-07-10,51.9,52.4,51.15,51.38,2402300
2007-07-11,51.2,52.080002,51.13,52.049999,1735200
2007-07-12,52.11,52.4,51.67,52.25,1629700
2007-07-13,52.07,52.4,51.85,52.28,637800
2007-07-16,52.42,54.19,52.36,53.27,1481200
2007-07-17,53.35,53.72,52.74,53.55,1170400
2007-07-18,53.5,54.33,53.12,53.72,1163600
2007-07-19,53.91,54.66,53.68,54.53,981900
2007-07-20,54.73,54.77,53.65,54.02,1565900
2007-07-23,54.31,54.65,53.13,53.86,1193600
2007-07-24,53.98,54.51,52.12,52.51,1386300
2007-07-25,52.52,52.73,47.55,50.029999,3764800
2007-07-26,49.49,50.42,48.51,49.7,2872200
2007-07-27,50.48,50.63,49.25,49.29,1481200
2007-07-30,49.35,50.54,48.93,50.2,1536400
2007-07-31,50.029999,50.57,48.61,48.65,1742400
2007-08-01,48.51,49.46,48.13,49.16,1661500
2007-08-02,49.28,49.55,48.32,49.54,1374300
2007-08-03,49.33,49.57,47.02,47.040001,1729300
2007-08-06,47.42,49.19,46.86,49.14,1814900
2007-08-07,48.74,50.09,48.15,49.5,2165300
2007-08-08,49.33,51.75,49.17,51.42,1868700
2007-08-09,50.59,54.96,50.17,51.6,2144900
2007-08-10,51.61,52.82,49.0099983,49.72,1904800
2007-08-13,50.060001,50.060001,48.15,49.13,1238900
2007-08-14,49.33,49.36,47.37,47.37,1096600
2007-08-15,47.54,48.5,46.52,46.65,1011800
2007-08-16,46.97,47.39,45.54,47.09,1470600
2007-08-17,48.27,49.16,46.58,48.27,2182500
2007-08-20,48.09,48.77,47.63,48.21,1092900
2007-08-21,47.95,48.5,47.2,47.56,584100
2007-08-22,47.73,49.3,47.56,49.18,818500
2007-08-23,49.39,49.63,48.25,48.8,632000
2007-08-24,48.77,49.61,48.6,49.59,482600
2007-08-27,49.6,49.69,48.78,48.8,563600
2007-08-28,48.66,49.19,47.57,47.59,995300
2007-08-29,47.89,48.78,47.44,48.77,685800
2007-08-30,48.6,49.029999,47.89,48.36,565900
2007-08-31,48.8,49.33,47.8,49.040001,715600
2007-09-04,49.12,50.67,48.41,50.099998,910300
2007-09-05,49.82,50.16,48.95,49.35,857300
2007-09-06,49.7,50.23,49.2,50.13,957000
2007-09-07,49.55,49.91,47.89,48.15,1014000
2007-09-10,48.48,49.14,47.83,48.7,1371100
2007-09-11,49.049999,50.54,48.62,50.53,1256000
2007-09-12,50.51,50.77,49.57,50.2,1156800
2007-09-13,50.71,50.83,49.7,50.61,985800
2007-09-14,50.14,51.89,50.11,51.75,948400
2007-09-17,51.35,52.0,50.71,50.76,721000
2007-09-18,51.0099983,53.29,50.57,53.19,1037700
2007-09-19,53.44,54.12,52.37,54.0,1336600
2007-09-20,53.58,53.8,52.55,53.09,1459600
2007-09-21,53.49,54.18,52.91,53.95,2293000
2007-09-24,53.81,54.88,53.12,53.97,1098500
2007-09-25,53.64,55.3,53.63,55.3,1208700
2007-09-26,55.3,55.5,54.48,55.14,1118300
2007-09-27,55.53,55.53,54.62,55.32,671600
2007-09-28,55.44,55.57,54.029999,54.29,1627700
2007-10-01,54.4,55.040001,54.34,55.029999,1133300
2007-10-02,54.86,55.5,54.54,55.33,917900
2007-10-03,55.17,55.33,53.33,53.66,1887800
2007-10-04,53.69,53.97,52.66,53.080002,1024600
2007-10-05,53.36,55.13,53.27,54.25,1066200
2007-10-08,54.060001,54.36,52.93,53.09,889800
2007-10-09,53.49,53.71,52.37,53.51,1263400
2007-10-10,53.39,53.39,51.77,52.13,1203100
2007-10-11,52.12,52.81,51.72,51.96,1031000
2007-10-12,52.22,53.89,51.9,53.72,956000
2007-10-15,53.56,53.99,52.96,53.44,989600
2007-10-16,53.29,54.0,52.73,52.9,1002500
2007-10-17,53.49,54.69,52.71,53.24,1165600
2007-10-18,53.15,54.24,52.73,54.09,787900
2007-10-19,54.0099983,54.48,51.72,51.76,1706700
2007-10-22,51.75,53.67,51.36,53.080002,1273200
2007-10-23,53.0099983,53.48,51.67,51.84,1604200
2007-10-24,51.7,52.099998,49.07,51.16,1994800
2007-10-25,51.17,51.81,50.13,50.99,1513000
2007-10-26,51.62,51.72,49.34,50.54,1047200
2007-10-29,50.53,50.94,49.16,49.4,1641900
2007-10-30,49.18,50.11,48.98,49.080002,1733200
2007-10-31,49.2,49.92,48.44,49.92,1638200
2007-11-01,49.13,49.91,47.34,47.48,1762600
2007-11-02,47.96,48.29,47.07,47.44,1995400
2007-11-05,47.33,47.72,46.35,47.33,1589700
2007-11-06,47.15,47.62,46.68,47.36,1553300
2007-11-07,47.060001,47.22,46.4,46.4,3104300
2007-11-08,46.4,47.62,46.31,47.49,3461800
2007-11-09,46.07,47.68,46.0,46.0,2970100
2007-11-12,45.92,46.39,45.0099983,45.17,2420900
2007-11-13,45.5,46.59,45.17,46.4,1845800
2007-11-14,46.15,46.8,46.0,46.52,1912400
2007-11-15,46.45,47.25,46.45,46.77,1441700
2007-11-16,46.7,47.2,46.080002,46.62,2925800
2007-11-19,46.33,46.42,45.64,45.85,2207100
2007-11-20,45.85,46.51,45.02,45.91,1646600
2007-11-21,45.53,47.049999,45.24,46.4,2119400
2007-11-23,46.54,46.94,46.02,46.89,582200
2007-11-26,46.56,47.41,46.39,46.44,1905600
2007-11-27,46.79,48.26,46.46,48.19,1818900
2007-11-28,48.44,50.62,48.23,50.58,1591900
2007-11-29,50.41,50.67,49.5,50.27,1043200
2007-11-30,50.060001,51.63,50.060001,51.55,2831400
2007-12-03,51.63,51.63,50.67,51.22,1743400
2007-12-04,50.7,53.33,50.7,53.029999,2458600
2007-12-05,52.79,53.48,52.35,53.46,1608200
2007-12-06,53.4,53.4,52.2,53.040001,1544700
2007-12-07,53.31,54.07,52.86,53.88,1394800
