date,open,high,low,close,volume
2010-01-05,35.0,35.0,35.0,35.0,10000
2010-01-06,35.0,35.0,35.0,35.0,0
2010-01-07,35.25,35.5,35.0,35.0,9800
2010-01-08,34.55,34.55,33.5,33.5,32200
2010-01-11,33.5,33.5,33.5,33.5,3700
2010-01-12,33.5,33.55,33.5,33.5,5100
2010-01-13,33.0099983,33.0099983,32.5,32.75,226300
2010-01-14,32.75,32.75,32.75,32.75,150500
2010-01-15,32.5,32.5,32.25,32.25,45500
2010-01-19,32.25,32.25,31.75,32.0,19400
2010-01-20,31.5,31.75,31.5,31.75,600
2010-01-21,31.5,31.6,31.5,31.6,600
2010-01-22,31.5,31.5,31.5,31.5,200
2010-01-25,31.1,31.25,31.0,31.25,1300
2010-01-26,31.0,31.0,30.75,30.75,300
2010-01-27,30.55,31.0,30.55,30.75,77000
2010-01-28,31.0,31.0,30.75,30.75,10400
2010-01-29,30.85,30.85,30.5,30.63,30700
2010-02-01,30.25,30.5,30.25,30.5,3500
2010-02-02,30.5,30.5,30.5,30.5,600
2010-02-03,30.1,30.1,29.75,29.75,5200
2010-02-04,30.0,30.25,30.0,30.25,29400
2010-02-05,30.48,30.5,30.0,30.5,1800
2010-02-08,30.0,30.0,29.75,29.85,47400
2010-02-09,29.1,29.8,29.1,29.8,29700
2010-02-10,29.4,29.85,29.4,29.75,107600
2010-02-11,29.74,29.74,29.5,29.74,10000
2010-02-12,29.74,29.74,29.74,29.74,100
2010-02-16,29.74,29.74,29.74,29.74,0
2010-02-17,29.74,29.74,29.74,29.74,0
2010-02-18,29.1,29.7,29.1,29.7,1700
2010-02-19,29.7,29.7,29.7,29.7,0
2010-02-22,29.1,29.72,29.1,29.7,19700
2010-02-23,29.7,29.7,29.7,29.7,0
2010-02-24,29.7,29.7,29.7,29.7,0
2010-02-25,29.5,29.7,29.5,29.5,2800
2010-02-26,29.25,29.75,29.25,29.75,2700
2010-03-01,29.75,30.1,29.75,30.1,24800
2010-03-02,30.1,30.4,30.0,30.4,29100
2010-03-03,30.5,30.75,30.5,30.75,131800
2010-03-04,31.0,31.5,30.75,31.02,17000
2010-03-05,31.25,31.75,31.25,31.75,48900
2010-03-08,31.5,31.75,31.5,31.75,49100
2010-03-09,32.0,32.75,31.98,32.75,134900
2010-03-10,32.95,33.0,32.0,33.0,111000
2010-03-11,33.0,33.0,32.5,32.5,33100
2010-03-12,33.0,33.0,32.5,32.5,207600
2010-03-15,33.0,33.5,32.5,33.0,247100
2010-03-16,32.25,33.0,32.25,32.75,16500
2010-03-17,33.0,34.0,33.0,34.0,115000
2010-03-18,34.0,34.75,34.0,34.75,15400
2010-03-19,34.75,34.75,34.5,34.75,1300
2010-03-22,34.75,34.75,34.25,34.43,6000
2010-03-23,34.25,35.25,34.25,35.0,53700
2010-03-24,35.0,35.0,35.0,35.0,1400
2010-03-25,34.75,35.0,34.5,34.5,91000
2010-03-26,35.0,35.0,34.75,34.75,57800
2010-03-29,34.5,35.0,34.4,34.5,205600
2010-03-30,34.5,34.52,34.45,34.45,44000
2010-03-31,34.5,34.5,34.25,34.5,91700
2010-04-01,34.5,35.0,34.35,35.0,59600
2010-04-05,34.5,35.0,34.5,35.0,45500
2010-04-06,35.0,35.0,34.55,34.55,1300
2010-04-07,34.55,35.0,34.55,34.55,51800
2010-04-08,34.55,34.55,34.55,34.55,0
2010-04-09,34.55,34.7,34.55,34.7,50500
2010-04-12,34.75,35.25,34.75,35.0,190400
2010-04-13,35.0,35.0,35.0,35.0,0
2010-04-14,35.25,35.75,35.25,35.25,35000
2010-04-15,35.45,36.0,35.3,36.0,11700
2010-04-16,36.099998,36.099998,36.099998,36.099998,900
2010-04-19,36.0,36.049999,36.0,36.0099983,36600
2010-04-20,36.0099983,36.0099983,36.0099983,36.0099983,0
2010-04-21,35.51,35.51,35.51,35.51,100
2010-04-22,36.0,36.0,35.95,36.0,16400
2010-04-23,36.25,36.25,36.25,36.25,2700
2010-04-26,36.27,36.5,36.27,36.5,3700
2010-04-27,36.5,36.5,36.5,36.5,1700
2010-04-28,36.5,36.5,36.33,36.5,16800
2010-04-29,36.5,37.25,36.5,37.25,50400
2010-04-30,37.5,38.0,37.25,37.9,130400
2010-05-03,38.5,39.5,38.5,39.5,26600
