date,open,high,low,close,volume
2006-10-18,39.053333,39.61667,38.76,39.51667,2980200
2006-10-19,39.7,39.93333,39.36667,39.77667,2256900
2006-10-20,39.89333,40.060001,39.79,39.96667,2137500
2006-10-23,39.90333,40.39333,39.68333,39.95667,1951800
2006-10-24,39.75,39.87,38.91667,39.22333,2844600
2006-10-25,39.15667,39.17667,38.38,38.75667,2758800
2006-10-26,39.66667,39.91667,39.26,39.51333,3104400
2006-10-27,39.43333,39.83333,39.14333,39.4,2137500
2006-10-30,39.32,39.69333,38.96,39.09,3745500
2006-10-31,39.32333,39.43,38.70667,38.99333,2953200
2006-11-01,41.66333,41.94667,38.60333,39.65667,10056900
2006-11-02,39.32333,40.75333,39.3,40.55,4383300
2006-11-03,40.56667,40.56667,39.93,40.22667,2244000
2006-11-06,40.23,41.029999,40.0066681,40.88667,2697000
2006-11-07,40.74667,41.049999,40.46667,40.75333,2703600
2006-11-08,40.23333,40.31,39.4,39.80667,4947000
2006-11-09,39.80667,40.11667,39.080002,39.23,3739500
2006-11-10,39.43,39.81667,39.4,39.71667,2674500
2006-11-13,39.61667,40.21667,39.61333,40.0,1833900
2006-11-14,40.22333,40.58,40.11,40.49,3093900
2006-11-15,40.25,40.66667,40.046665,40.36667,4940100
2006-11-16,40.60333,40.82333,40.29333,40.30333,2514900
2006-11-17,40.18333,40.54,40.026669,40.49667,1857900
2006-11-20,40.26667,41.22333,40.26667,41.029999,2954100
2006-11-21,41.28333,41.83667,41.16,41.36,3397500
2006-11-22,41.27667,41.7,41.27667,41.6,1309500
2006-11-24,41.4,41.75,41.26333,41.56333,628200
2006-11-27,41.38333,41.71333,40.87,40.87,2197500
2006-11-28,40.64,41.44333,40.6,40.82667,2848500
2006-11-29,40.91,41.52667,40.82667,40.99,3843900
2006-11-30,41.099998,42.11,41.099998,42.016666,4013400
2006-12-01,42.016666,42.28333,41.37333,41.79667,2048100
2006-12-04,42.0,42.66333,41.97667,42.40667,2640600
2006-12-05,42.38333,42.6,42.16,42.40667,1545900
2006-12-06,42.33333,42.88667,42.17667,42.60667,1873800
2006-12-07,42.81667,42.96,42.47333,42.64,1369500
2006-12-08,42.78667,42.87333,42.34,42.67,1302600
2006-12-11,42.81667,43.02,42.63667,42.92333,1261800
2006-12-12,43.029999,43.29,42.75333,43.09,1814700
2006-12-13,43.15,43.21667,42.48667,42.79333,2375100
2006-12-14,43.12667,43.36,42.34667,43.22,2378700
2006-12-15,43.30333,43.52,43.083332,43.21667,2361300
2006-12-18,43.099998,43.53333,42.83333,43.25333,1457700
2006-12-19,42.85333,44.063332,42.84,43.86,2620800
2006-12-20,43.76667,44.13,43.73333,43.96667,1809900
2006-12-21,43.97,44.16333,43.67,43.98,1756800
2006-12-22,43.95,43.95,43.29,43.45,1526700
2006-12-26,43.5,43.85,43.4,43.6,1329300
2006-12-27,43.68333,44.003334,43.67,43.93667,1222800
2006-12-28,43.98667,44.19667,43.78667,44.036667,938100
2006-12-29,43.95333,44.21667,43.85667,43.85667,1128300
2007-01-03,44.27667,44.33,43.52333,43.93,2210400
2007-01-04,43.92667,43.92667,42.93333,43.099998,3039600
2007-01-05,42.9,42.97333,42.4,42.79667,2873100
