date,open,high,low,close,volume
2006-10-18,25.5,25.87,24.8,24.92,1070500
2006-10-19,24.75,25.13,24.68,24.96,853900
2006-10-20,25.12,25.23,24.56,24.88,1045400
2006-10-23,24.72,25.6,24.68,24.94,1892600
2006-10-24,24.86,24.9,23.12,23.46,3248300
2006-10-25,23.33,23.58,23.08,23.29,2514600
2006-10-26,23.16,24.15,23.09,24.059999,1758900
2006-10-27,24.14,24.14,23.49,23.59,2303900
2006-10-30,23.48,23.97,23.31,23.63,2481500
2006-10-31,23.61,23.86,23.31,23.51,1695400
2006-11-01,23.53,23.58,22.14,22.17,2347300
2006-11-02,22.15,22.53,22.040001,22.13,1650700
2006-11-03,22.45,23.09,22.42,22.61,2109100
2006-11-06,22.75,23.63,22.64,23.34,1772700
2006-11-07,23.59,23.82,23.35,23.41,1196600
2006-11-08,23.42,23.45,22.7,22.84,1530800
2006-11-09,23.42,23.93,22.68,22.71,3120300
2006-11-10,22.9,23.18,22.63,22.96,2221900
2006-11-13,23.01,23.16,22.76,22.92,1772500
2006-11-14,22.84,23.59,22.79,23.46,2243600
2006-11-15,23.56,23.92,23.38,23.5,2432800
2006-11-16,23.79,24.76,23.56,24.68,4148100
2006-11-17,24.43,24.88,24.35,24.85,2267800
2006-11-20,24.71,25.08,24.4,24.84,1548700
2006-11-21,24.93,25.12,24.76,24.81,1420200
2006-11-22,24.76,26.38,24.65,26.11,2613000
2006-11-24,26.030001,26.25,25.6,25.88,1479700
2006-11-27,25.71,26.17,25.02,25.19,1914300
2006-11-28,25.0,25.52,24.91,25.38,2079000
2006-11-29,25.6,26.0,25.2,25.31,1803900
2006-11-30,25.26,25.55,24.94,25.14,2306500
2006-12-01,25.17,25.31,24.41,24.87,1175100
2006-12-04,24.82,24.96,24.39,24.69,1783200
2006-12-05,24.92,25.52,24.88,24.95,1302600
2006-12-06,25.07,27.14,25.07,26.63,6415500
2006-12-07,26.5,26.7,25.33,25.51,3677900
2006-12-08,25.65,25.68,25.040001,25.37,1756100
2006-12-11,25.21,25.87,25.19,25.28,1780400
2006-12-12,25.33,25.45,24.56,24.74,1763900
2006-12-13,24.5,25.57,24.5,24.96,2679300
2006-12-14,27.23,28.15,26.63,27.83,12532600
2006-12-15,27.87,29.73,27.87,28.81,8569800
2006-12-18,28.93,29.040001,27.66,27.88,3307100
2006-12-19,27.88,28.23,27.38,27.69,2402900
2006-12-20,28.02,29.01,28.0,28.55,3095400
2006-12-21,28.48,28.64,28.0,28.14,1958500
2006-12-22,28.14,28.29,27.56,27.64,939800
2006-12-26,27.54,28.09,27.36,27.6,944800
2006-12-27,27.62,28.21,27.62,28.14,1649300
2006-12-28,28.23,28.57,28.12,28.32,1341100
2006-12-29,28.49,28.74,27.71,27.71,1475400
2007-01-03,28.02,28.74,27.08,27.65,2901300
2007-01-04,27.65,28.98,27.22,28.85,2779400
2007-01-05,28.39,29.87,28.01,29.29,4636500
2007-01-08,30.0,30.0,28.49,28.66,3451800
2007-01-09,28.87,29.47,28.56,29.27,3419600
2007-01-10,29.030001,29.19,28.6,28.84,2174100
2007-01-11,28.91,29.53,28.69,29.51,2084700
2007-01-12,29.55,29.89,29.34,29.78,1973200
2007-01-16,29.71,30.45,29.4,30.22,3463900
2007-01-17,30.24,30.56,29.65,29.8,3943700
2007-01-18,29.71,29.77,28.25,28.42,3176900
2007-01-19,28.62,28.84,28.26,28.41,2456800
2007-01-22,28.6,28.6,27.85,28.17,2094900
2007-01-23,28.0,28.64,27.69,28.11,2425800
2007-01-24,28.18,28.58,27.94,28.36,1929700
2007-01-25,28.36,28.63,27.9,28.0,1324500
2007-01-26,28.0,28.86,27.91,28.78,2302400
2007-01-29,28.74,28.78,27.33,28.059999,4085000
2007-01-30,28.11,28.75,28.09,28.63,2009500
2007-01-31,28.44,28.47,27.75,28.09,1967600
2007-02-01,28.1,28.18,27.11,27.4,4009400
2007-02-02,27.41,28.0,27.33,27.52,2183600
2007-02-05,27.45,27.7,26.73,26.82,3624800
2007-02-06,26.7,26.7,26.08,26.5,4189800
2007-02-07,27.01,27.32,26.95,27.26,3187200
2007-02-08,27.2,28.81,26.96,28.71,4876700
2007-02-09,28.82,28.82,28.0,28.29,3839400
2007-02-12,28.8,29.2,28.28,28.5,4504400
2007-02-13,28.68,28.82,28.2,28.68,2119400
2007-02-14,29.25,30.72,29.24,30.07,5738600
2007-02-15,30.29,31.23,30.1,31.14,4498000
2007-02-16,30.97,31.65,30.84,31.57,2844800
2007-02-20,31.68,32.17,31.32,32.040001,3202100
2007-02-21,31.92,32.029999,31.64,31.78,2144000
2007-02-22,31.8,32.0099983,31.54,31.78,1939000
2007-02-23,31.57,32.63,31.57,32.5,2688700
2007-02-26,32.71,32.8,30.86,31.34,3535500
2007-02-27,30.46,30.83,29.63,30.15,3067400
2007-02-28,30.7,31.73,30.38,31.47,6006100
2007-03-01,28.16,29.3,27.69,28.28,13973700
2007-03-02,28.31,28.53,26.9,27.1,6008800
2007-03-05,26.69,26.91,25.89,25.98,5070100
2007-03-06,26.25,27.42,26.01,26.25,4256400
2007-03-07,26.15,26.95,25.88,26.56,4924400
2007-03-08,27.0,27.1,26.19,26.3,3408400
2007-03-09,26.62,26.67,26.049999,26.5,2096800
2007-03-12,26.34,26.79,26.34,26.41,1976200
2007-03-13,26.32,26.36,25.37,25.4,3189200
2007-03-14,25.35,25.77,24.75,25.65,4864800
2007-03-15,25.53,25.72,25.13,25.4,2456300
2007-03-16,25.46,25.52,24.95,25.059999,1762000
2007-03-19,25.2,25.82,25.2,25.5,2346800
2007-03-20,25.3,25.76,25.2,25.43,2090500
2007-03-21,25.47,26.5,25.26,26.46,3023100
2007-03-22,26.49,26.49,26.049999,26.4,3055500
2007-03-23,26.31,26.89,26.3,26.69,2317100
2007-03-26,26.68,27.8,26.5,27.78,5835800
2007-03-27,27.63,28.38,27.42,27.65,3907400
2007-03-28,27.6,28.45,27.42,28.19,4324300
2007-03-29,28.34,28.47,27.29,27.77,3618400
2007-03-30,27.59,28.11,27.54,27.95,2015600
2007-04-02,28.15,28.93,28.0,28.75,3355400
2007-04-03,28.88,29.1,28.57,28.61,3971100
2007-04-04,28.61,28.95,28.16,28.67,2919100
2007-04-05,28.74,28.99,28.5,28.85,1468200
2007-04-09,28.99,29.02,28.23,28.29,1966500
2007-04-10,28.22,28.75,28.22,28.68,2087500
2007-04-11,28.53,28.8,28.25,28.45,2382800
2007-04-12,28.44,28.83,28.12,28.69,2256700
2007-04-13,28.82,29.040001,28.33,28.71,1877600
2007-04-16,28.52,28.88,28.52,28.71,1258700
2007-04-17,28.76,28.8,27.99,28.02,2870900
2007-04-18,27.97,28.42,27.66,28.18,1966300
2007-04-19,27.94,28.15,27.66,27.74,2050600
2007-04-20,28.38,28.56,27.79,28.4,4417500
2007-04-23,28.5,28.59,27.83,28.4,2381800
2007-04-24,28.33,29.13,28.28,28.9,3449600
2007-04-25,29.2,30.37,29.2,30.22,4841900
2007-04-26,30.21,30.84,29.8,30.47,2654600
2007-04-27,30.5,30.83,29.93,30.19,2295600
2007-04-30,30.95,30.95,29.059999,29.16,3488400
2007-05-01,29.36,29.64,29.18,29.44,2529600
2007-05-02,29.61,30.16,29.6,30.049999,2732600
2007-05-03,29.89,30.4,29.35,30.21,3285700
2007-05-04,30.31,30.34,29.78,29.93,1523200
2007-05-07,29.85,30.3,29.75,30.11,1403500
2007-05-08,29.95,30.22,29.56,30.1,1286500
2007-05-09,29.94,29.94,29.44,29.66,1855600
2007-05-10,29.5,29.89,29.02,29.28,2156200
2007-05-11,29.27,29.95,29.11,29.86,1959300
2007-05-14,29.76,30.02,29.18,29.53,1667100
2007-05-15,29.53,29.67,28.22,28.77,3997600
2007-05-16,28.83,29.15,28.48,29.1,1748900
2007-05-17,28.91,28.94,28.61,28.77,1421500
2007-05-18,28.9,29.46,28.81,29.36,2217200
2007-05-21,29.49,30.39,29.1,29.72,3100100
2007-05-22,29.7,30.3,29.55,30.23,2144800
2007-05-23,30.36,30.45,29.64,29.69,2565100
2007-05-24,29.89,30.14,28.88,29.01,2709600
2007-05-25,29.28,30.01,29.2,30.0,2705900
2007-05-29,30.01,30.41,29.78,30.01,2597100
2007-05-30,29.7,29.99,28.99,29.28,4833400
2007-05-31,32.33,34.47,32.33,34.32,22066900
2007-06-01,34.18,35.23,34.099998,34.92,6692600
2007-06-04,34.34,35.15,34.15,34.86,3644300
2007-06-05,33.5,33.86,32.98,33.17,13918300
2007-06-06,32.97,33.6,32.88,33.48,12618400
2007-06-07,33.45,33.86,33.26,33.46,6977900
2007-06-08,33.65,34.72,33.51,34.57,4909000
2007-06-11,34.41,34.64,34.049999,34.2,2765700
2007-06-12,33.88,34.57,33.85,34.3,3033400
2007-06-13,34.46,34.65,34.060001,34.64,3150100
2007-06-14,34.77,35.54,34.52,34.6,5118600
2007-06-15,34.94,35.09,34.34,34.36,3360200
2007-06-18,34.55,34.8,33.85,34.0099983,3141100
2007-06-19,33.99,35.0099983,33.6,34.74,2643100
2007-06-20,34.81,35.35,34.16,34.21,1972000
2007-06-21,34.38,36.59,34.27,36.45,6715400
2007-06-22,36.49,36.8,35.080002,35.71,5585700
2007-06-25,35.71,36.13,34.92,35.029999,3117600
2007-06-26,35.14,35.72,34.8,35.0099983,2652800
2007-06-27,34.84,35.84,34.84,35.82,2978500
2007-06-28,36.0,37.2,36.0,36.39,5410100
2007-06-29,36.51,36.65,35.82,36.13,3236300
2007-07-02,36.59,37.25,36.51,37.14,3270300
2007-07-03,37.25,37.79,37.19,37.52,1563500
2007-07-05,37.71,37.71,37.17,37.33,1500100
2007-07-06,37.23,37.34,36.84,36.96,2131700
2007-07-09,36.99,37.28,36.41,37.19,2847700
2007-07-10,36.96,37.44,36.41,36.41,2344000
2007-07-11,36.41,37.21,36.41,37.099998,2594700
2007-07-12,37.17,38.26,37.099998,38.18,2780200
2007-07-13,38.0099983,38.72,37.84,38.7,2464300
2007-07-16,38.53,39.19,38.53,38.67,2240800
2007-07-17,38.62,39.099998,38.17,38.47,1155200
2007-07-18,38.18,38.56,37.82,38.27,1692400
2007-07-19,38.79,40.0,38.79,39.7,3487200
2007-07-20,39.62,39.65,38.73,38.73,2535200
2007-07-23,39.12,41.13,39.07,40.42,5644200
