date,open,high,low,close,volume
2006-10-18,48.93,49.19,48.83,49.07,293200
2006-10-19,49.12,49.12,48.64,48.78,383200
2006-10-20,49.02,49.07,48.6,48.76,344600
2006-10-23,48.8,49.15,48.62,49.0,328400
2006-10-24,47.5,47.84,46.76,46.9,1152900
2006-10-25,46.95,46.95,45.95,46.33,880800
2006-10-26,46.22,47.15,45.83,47.07,886600
2006-10-27,46.79,46.96,46.02,46.060001,591100
2006-10-30,46.07,46.24,45.84,46.060001,557200
2006-10-31,45.85,46.22,45.56,45.65,824100
2006-11-01,45.78,46.09,45.39,45.5,675700
2006-11-02,45.28,46.39,45.28,45.48,614400
2006-11-03,45.54,45.62,45.25,45.42,447000
2006-11-06,45.29,45.65,45.29,45.57,386700
2006-11-07,45.45,45.63,45.34,45.49,471700
2006-11-08,45.5,45.72,45.39,45.48,292300
2006-11-09,45.5,45.5,44.9,45.2,735200
2006-11-10,45.17,45.36,45.099998,45.27,332700
2006-11-13,45.27,45.58,45.24,45.5,427600
2006-11-14,45.5,45.65,45.36,45.47,561200
2006-11-15,45.54,45.55,45.29,45.32,521700
2006-11-16,45.24,45.88,45.24,45.71,382200
2006-11-17,45.57,45.75,45.36,45.39,442300
2006-11-20,45.040001,45.39,44.92,45.31,442300
2006-11-21,45.41,45.41,45.14,45.25,510900
2006-11-22,45.060001,45.45,45.060001,45.24,194400
2006-11-24,45.12,45.23,45.02,45.07,101900
2006-11-27,44.92,45.07,44.29,44.36,446600
2006-11-28,44.22,44.72,44.2,44.37,474100
2006-11-29,44.35,44.81,44.33,44.58,356100
2006-11-30,44.5,44.73,44.25,44.28,647500
2006-12-01,43.97,44.66,43.8,44.25,738100
2006-12-04,44.93,45.080002,44.61,44.95,681500
2006-12-05,44.89,45.48,44.86,45.37,359700
2006-12-06,45.22,46.02,45.22,45.7,564200
2006-12-07,45.85,45.85,45.46,45.63,484100
2006-12-08,45.5,45.87,45.48,45.78,298800
2006-12-11,45.98,46.24,45.79,46.040001,274000
2006-12-12,45.92,46.23,45.92,46.23,392000
2006-12-13,46.19,46.43,46.09,46.2,419700
2006-12-14,46.3,46.46,46.080002,46.38,688300
2006-12-15,46.42,46.75,46.34,46.68,942100
2006-12-18,46.89,46.89,45.96,46.029999,639100
2006-12-19,46.09,46.34,46.0,46.17,756200
2006-12-20,46.02,46.2,45.71,45.82,405000
2006-12-21,45.74,46.19,45.54,45.56,370100
2006-12-22,45.54,45.85,45.38,45.39,356300
2006-12-26,45.23,45.66,45.16,45.5,553700
2006-12-27,45.69,46.040001,45.56,45.8,451300
2006-12-28,45.67,45.98,45.57,45.69,300000
2006-12-29,45.84,45.84,45.080002,45.31,487900
2007-01-03,45.35,46.0,45.22,45.82,557400
2007-01-04,45.66,45.85,45.32,45.6,472900
2007-01-05,45.48,45.5,45.040001,45.28,483800
2007-01-08,45.2,45.39,44.89,45.36,543500
2007-01-09,45.36,45.55,44.93,45.060001,454900
2007-01-10,44.94,45.29,44.83,45.02,532700
2007-01-11,45.13,45.3,44.98,45.12,353600
2007-01-12,45.0,45.48,45.0,45.36,463100
