date,open,high,low,close,volume
2006-10-18,30.0,30.355,29.97,30.21,5037400
2006-10-19,30.175,30.34,30.11,30.115,5113200
2006-10-20,30.15,30.43,30.09,30.37,6463000
2006-10-23,30.34,30.36,30.075001,30.155,4678000
2006-10-24,30.075001,30.34,30.0,30.235,5002800
2006-10-25,30.875,31.36,30.765,31.084999,8936600
2006-10-26,31.4,31.495,31.0049992,31.39,6323200
2006-10-27,31.39,31.785,31.365,31.655,5045200
2006-10-30,31.61,31.94,31.585,31.9,3681800
2006-10-31,31.745,32.035,31.66,31.985,4976200
2006-11-01,32.11,32.115,31.83,32.0050011,3078400
2006-11-02,31.95,32.040001,31.66,31.78,3334200
2006-11-03,31.835,31.985,31.66,31.835,2985400
2006-11-06,31.9,32.099998,31.855,32.029999,3409400
2006-11-07,32.099998,32.5,32.025002,32.5,4441600
2006-11-08,32.5,32.535,32.32,32.5,5107400
2006-11-09,32.6,32.6,32.265,32.525,2806600
2006-11-10,32.61,32.675,32.405,32.62,2165200
2006-11-13,32.56,32.61,32.335,32.435,2800400
2006-11-14,32.5,32.555,32.15,32.365,4229000
2006-11-15,32.26,32.375,32.044998,32.16,5195000
2006-11-16,32.275,32.9,32.225,32.825,3948800
2006-11-17,32.735,33.0050011,32.645,33.0050011,3835400
2006-11-20,33.41,33.46,32.705,32.99,5786600
2006-11-21,32.925,33.54,32.925,33.415,5692800
2006-11-22,33.12,33.4,33.040001,33.37,3224800
2006-11-24,33.15,33.26,32.75,32.985,1955400
2006-11-27,32.815,32.86,32.37,32.505,4282600
2006-11-28,32.79,32.79,32.255,32.54,3142000
2006-11-29,32.5,32.605,32.255,32.57,2505800
2006-11-30,32.675,32.735,32.415,32.525,3165200
2006-12-01,32.6,32.7,32.325,32.68,3178600
2006-12-04,32.75,33.12,32.745,33.12,2777200
2006-12-05,33.14,33.24,32.755,32.79,3185200
2006-12-06,32.795,32.96,32.755,32.93,2638400
2006-12-07,32.85,33.07,32.765,32.815,1676600
2006-12-08,32.825,32.85,32.525,32.8,1798800
2006-12-11,32.83,32.955,32.735,32.945,2108800
2006-12-12,32.99,32.995,32.76,32.845,3156800
2006-12-13,32.99,33.064999,32.585,32.78,2518400
2006-12-14,32.89,33.0099983,32.745,32.85,3119200
2006-12-15,32.725,32.81,32.65,32.665,4455600
2006-12-18,32.545,32.7,32.505,32.595,2514200
2006-12-19,32.55,32.64,32.415,32.545,4122000
2006-12-20,32.595,32.72,32.53,32.585,3989800
2006-12-21,32.575,32.685,32.205,32.345,3882400
2006-12-22,32.26,32.4,32.080002,32.295,2563800
2006-12-26,32.325,32.56,32.27,32.5,1923200
2006-12-27,32.625,32.66,32.375,32.52,2289200
2006-12-28,32.615,32.89,32.54,32.855,1816600
