date,open,high,low,close,volume
2006-10-18,65.15,65.72,65.019997,65.33,973200
2006-10-19,65.13,65.34,64.7,65.21,1039100
2006-10-20,65.38,65.54,64.95,65.44,905100
2006-10-23,65.44,65.44,64.78,65.059998,912700
2006-10-24,64.8,64.89,64.58,64.77,878700
2006-10-25,64.88,65.33,64.67,64.95,677800
2006-10-26,64.74,65.27,64.16,65.26,692400
2006-10-27,64.72,64.83,64.21,64.28,655300
2006-10-30,64.29,64.43,64.050003,64.28,599300
2006-10-31,63.95,64.77,63.9,64.56,902100
2006-11-01,64.15,65.25,63.75,64.21,1970900
2006-11-02,64.0,64.55,63.68,64.39,963100
2006-11-03,64.59,64.61,63.36,63.43,1062000
2006-11-06,63.6,64.080002,63.55,63.91,562600
2006-11-07,63.91,64.49,63.72,63.73,542700
2006-11-08,63.48,64.72,63.42,64.44,903100
2006-11-09,64.39,64.53,63.81,64.18,943900
2006-11-10,64.25,64.61,63.92,64.11,698500
2006-11-13,64.019997,64.19,63.92,64.010002,532800
2006-11-14,64.16,64.42,63.58,64.28,582400
2006-11-15,64.29,64.97,64.24,64.9,778100
2006-11-16,64.9,65.5,64.81,65.33,873900
2006-11-17,65.14,65.46,64.81,65.41,815600
2006-11-20,65.38,65.7,64.89,65.059998,1069700
2006-11-21,64.8,65.21,64.61,64.77,491900
2006-11-22,64.77,64.93,64.39,64.57,467400
2006-11-24,64.35,64.66,64.3,64.5,136700
2006-11-27,64.56,64.61,63.87,64.32,1002100
2006-11-28,64.13,64.45,63.77,63.99,618700
2006-11-29,63.95,63.99,63.2,63.8,882000
2006-11-30,63.71,64.14,63.52,64.0,841600
2006-12-01,63.8,63.9,63.21,63.76,792200
2006-12-04,64.0,64.63,63.9,64.44,606500
2006-12-05,64.44,64.75,64.3,64.52,691100
2006-12-06,64.55,64.9,64.31,64.5,780600
2006-12-07,64.51,64.82,64.24,64.33,810400
2006-12-08,64.33,64.41,63.98,64.040001,836200
2006-12-11,64.040001,64.18,63.72,63.97,668500
2006-12-12,63.85,64.019997,63.57,63.98,697900
2006-12-13,64.23,64.49,63.48,63.57,745900
2006-12-14,63.39,63.93,63.39,63.48,709600
2006-12-15,63.52,63.86,63.52,63.72,576300
2006-12-18,63.72,63.81,63.3,63.59,550600
2006-12-19,63.49,63.83,63.45,63.61,729700
2006-12-20,63.65,64.17,63.58,64.16,546800
2006-12-21,64.17,64.6,63.94,64.28,1076400
2006-12-22,64.35,64.35,63.77,64.14,439000
2006-12-26,64.089996,64.31,63.83,64.3,307400
2006-12-27,64.53,64.78,63.96,64.45,508300
2006-12-28,64.55,64.76,64.44,64.61,348400
2006-12-29,64.61,64.75,64.07,64.15,344400
2007-01-03,64.3,64.3,63.95,64.080002,976000
2007-01-04,64.2,64.33,63.48,64.040001,843000
2007-01-05,63.79,64.41,63.74,63.89,727000
2007-01-08,63.7,63.71,63.24,63.3,1028200
2007-01-09,63.31,63.82,62.84,63.38,1174700
2007-01-10,63.37,63.77,63.040001,63.64,614500
2007-01-11,63.89,64.059998,63.67,64.0,441400
2007-01-12,64.040001,64.69,63.64,64.35,813600
2007-01-16,64.55,64.63,64.089996,64.25,480500
2007-01-17,64.16,64.59,63.36,63.98,597100
2007-01-18,63.85,64.089996,63.56,63.97,709100
2007-01-19,64.31,64.55,64.029999,64.42,716800
2007-01-22,65.72,66.040001,64.87,65.48,1410600
2007-01-23,65.59,66.2,64.91,65.59,1030500
2007-01-24,65.56,65.82,65.29,65.54,702600
2007-01-25,65.39,65.45,64.77,64.84,738400
2007-01-26,64.77,65.31,64.63,64.95,846300
2007-01-29,64.72,65.37,64.72,64.89,712600
2007-01-30,64.8,64.81,64.16,64.62,784100
2007-01-31,64.49,65.62,64.31,65.42,850100
2007-02-01,66.07,67.080002,65.89,66.82,1733900
2007-02-02,66.83,67.5,66.67,67.34,1200700
2007-02-05,67.14,67.3,66.56,66.64,1258900
2007-02-06,66.55,66.84,66.19,66.37,965500
2007-02-07,66.23,66.48,65.49,65.5,883600
2007-02-08,65.54,65.87,65.35,65.52,772700
2007-02-09,65.69,65.8,64.87,65.010002,638300
2007-02-12,65.099998,65.5,64.91,65.35,487171
2007-02-13,65.58,65.97,65.42,65.89,736748
2007-02-14,65.9,66.63,65.81,66.45,779434
2007-02-15,66.25,66.8,66.15,66.59,579100
2007-02-16,66.51,66.78,66.0,66.16,2307000
2007-02-20,66.38,66.8,65.72,66.66,931600
2007-02-21,66.66,66.66,65.55,65.84,710900
2007-02-22,66.0,66.15,65.25,65.5,776100
2007-02-23,65.35,65.41,64.93,65.11,539000
2007-02-26,65.2,65.52,64.77,65.18,568677
2007-02-27,65.050003,65.44,62.5,63.6,1011000
2007-02-28,63.7,64.07,63.31,63.39,1589100
2007-03-01,63.0,63.73,62.38,63.51,1704334
2007-03-02,63.45,63.65,62.8,62.9,875600
2007-03-05,62.5,62.94,62.29,62.32,871600
2007-03-06,62.52,63.19,62.33,63.049999,978900
2007-03-07,62.98,63.18,62.62,62.66,1064500
2007-03-08,62.89,63.22,62.61,62.91,773200
2007-03-09,63.13,63.41,62.89,62.94,1022800
2007-03-12,62.9,63.25,62.9,63.0,714800
2007-03-13,63.0,63.3,61.77,61.81,993200
2007-03-14,62.66,62.66,60.96,61.71,1304400
2007-03-15,61.8,62.67,61.79,62.55,1127900
2007-03-16,62.76,62.76,62.14,62.23,1238500
2007-03-19,62.35,63.07,62.24,62.39,913800
2007-03-20,62.36,62.93,61.65,62.89,1178415
2007-03-21,63.8,64.69,63.48,64.68,1495490
2007-03-22,64.55,64.73,64.25,64.35,824300
2007-03-23,64.34,64.55,63.91,64.24,601900
2007-03-26,64.2,64.21,63.59,64.050003,2145300
2007-03-27,63.95,64.22,63.76,64.18,1245400
2007-03-28,63.78,63.86,63.46,63.66,1196293
2007-03-29,64.25,64.34,63.63,64.059998,868740
2007-03-30,64.16,64.24,63.21,63.69,988199
2007-04-02,63.68,64.089996,63.49,63.84,1226500
2007-04-03,63.98,64.11,63.66,63.91,884100
2007-04-04,64.0,64.0,63.53,63.73,809600
2007-04-05,63.6,63.85,63.58,63.73,557272
2007-04-09,63.73,64.36,63.5,64.28,1042500
2007-04-10,64.32,64.49,63.99,64.099998,537200
2007-04-11,64.0,64.16,63.58,64.080002,1149300
2007-04-12,64.010002,64.45,63.72,64.41,1046000
2007-04-13,64.4,64.63,64.13,64.42,951000
2007-04-16,64.9,65.37,64.43,64.67,989900
2007-04-17,64.64,65.07,64.54,64.9,963891
2007-04-18,64.9,65.3,64.75,65.25,1258600
2007-04-19,65.25,65.95,64.98,65.93,2101004
2007-04-20,66.6,66.6,65.9,66.45,2007100
