date,open,high,low,close,volume
2006-10-18,81.6,81.6,79.029999,80.11,3640300
2006-10-19,81.0,82.83,79.51,81.9,4278200
2006-10-20,82.15,82.3,80.69,81.24,2640700
2006-10-23,81.099998,82.11,80.72,80.92,1515400
2006-10-24,81.48,81.48,80.53,80.65,1652500
2006-10-25,80.32,82.52,80.3,82.42,2400000
2006-10-26,82.5,83.0,81.6,82.72,1881700
2006-10-27,82.15,82.52,81.53,81.66,2346700
2006-10-30,81.72,81.74,80.5,81.21,1944600
2006-10-31,81.25,81.25,78.85,79.33,4801400
2006-11-01,79.95,79.96,76.4,76.86,5051700
2006-11-02,76.86,77.19,75.8,76.66,2293900
2006-11-03,77.5,78.029999,76.35,76.56,2204600
2006-11-06,77.050003,78.77,76.89,78.68,2418200
2006-11-07,78.5,78.8,77.46,77.57,1950000
2006-11-08,77.25,77.56,76.72,77.5,1271400
2006-11-09,77.75,77.83,76.22,76.42,2830000
2006-11-10,76.67,77.64,76.65,77.52,1739400
2006-11-13,77.5,78.27,77.3,77.5,1182700
2006-11-14,77.5,77.77,76.33,77.050003,2334500
2006-11-15,77.0,77.25,76.51,77.089996,2313700
2006-11-16,77.19,77.52,75.22,75.6,4028000
2006-11-17,75.2,76.059998,74.0,75.5,3219000
2006-11-20,75.5,76.15,74.89,74.97,1883900
2006-11-21,75.099998,75.65,74.76,74.98,1673200
2006-11-22,75.45,75.62,75.010002,75.62,1618700
2006-11-24,75.050003,75.55,74.87,75.4,561100
2006-11-27,75.65,75.65,74.4,75.18,3269100
2006-11-28,74.52,75.5,74.24,75.41,3241000
2006-11-29,76.98,78.0,76.47,77.32,5028000
2006-11-30,77.8,78.0,76.91,77.88,7468100
2006-12-01,77.88,78.12,77.0,77.64,2782200
2006-12-04,78.0,78.74,77.95,78.16,3467100
2006-12-05,78.010002,78.16,77.11,77.92,5530700
2006-12-06,77.76,77.89,76.56,77.58,4167800
2006-12-07,77.56,78.35,76.5,76.56,4124000
2006-12-08,76.5,76.58,75.75,76.18,2923900
2006-12-11,76.19,76.85,76.050003,76.52,3231700
