date,open,high,low,close,volume
2006-10-18,13.975,14.095,13.055,13.2,799200
2006-10-19,13.225,13.225,12.16,12.22,1442800
2006-10-20,12.22,12.25,12.03,12.085,1041000
2006-10-23,12.1,12.57,12.05,12.25,666800
2006-10-24,11.46,12.11,10.43,12.11,2592000
2006-10-25,12.14,12.465,11.88,12.465,802800
2006-10-26,12.5,12.635,12.08,12.58,547600
2006-10-27,12.595,12.595,12.055,12.225,469600
2006-10-30,12.2,12.515,12.18,12.405,364800
2006-10-31,12.625,12.625,12.125,12.24,293800
2006-11-01,12.2,12.455,12.14,12.17,361000
2006-11-02,12.165,12.32,12.025,12.035,287400
2006-11-03,12.01,12.185,11.815,12.145,278200
2006-11-06,12.235,12.535,12.2,12.35,408200
2006-11-07,12.445,12.805,12.36,12.46,409400
2006-11-08,12.455,12.82,12.375,12.655,297400
2006-11-09,12.79,12.79,12.185,12.37,395000
2006-11-10,12.455,12.8,12.395,12.77,413200
2006-11-13,12.875,13.215,12.775,13.05,566600
2006-11-14,13.14,13.395,12.905,13.385,352400
2006-11-15,13.385,13.455,13.2,13.455,349600
2006-11-16,13.455,13.455,13.205,13.325,240800
2006-11-17,13.35,13.35,13.035,13.16,195200
2006-11-20,13.26,13.43,13.065,13.26,215200
2006-11-21,13.285,13.415,12.96,13.12,230200
2006-11-22,13.15,13.355,13.07,13.285,170800
2006-11-24,13.345,13.475,13.21,13.25,108000
2006-11-27,13.325,13.34,12.99,13.075,293600
2006-11-28,13.055,13.225,12.91,13.13,434200
2006-11-29,13.235,13.49,13.04,13.25,656600
2006-11-30,13.29,13.29,12.795,12.91,570600
2006-12-01,12.93,12.93,12.375,12.465,464400
2006-12-04,12.54,13.045,12.54,13.0050001,320400
2006-12-05,13.05,13.09,12.675,12.955,359800
2006-12-06,12.99,13.0,12.73,12.875,206200
2006-12-07,12.935,12.96,12.605,12.755,240000
2006-12-08,12.7,13.05,12.665,12.955,283800
2006-12-11,12.98,13.01,12.74,12.825,153600
2006-12-12,12.855,12.895,12.54,12.78,229600
2006-12-13,12.805,12.92,12.785,12.905,323000
2006-12-14,12.975,13.46,12.95,13.37,589200
2006-12-15,13.38,13.46,13.175,13.28,464200
2006-12-18,13.36,13.745,13.36,13.715,618600
2006-12-19,13.625,13.64,13.155,13.555,326000
2006-12-20,13.6,13.755,13.575,13.685,259000
2006-12-21,13.75,13.875,13.535,13.625,182200
2006-12-22,13.665,13.705,13.475,13.555,159800
2006-12-26,13.51,13.83,13.51,13.83,174400
2006-12-27,13.865,13.88,13.75,13.88,147600
2006-12-28,13.84,14.5,13.84,14.265,464400
2006-12-29,14.24,14.24,13.86,13.97,259200
2007-01-03,14.04,14.64,14.04,14.62,947200
2007-01-04,14.665,14.72,14.335,14.7,370000
2007-01-05,14.61,14.645,14.345,14.38,377200
2007-01-08,14.935,14.935,14.485,14.645,448400
2007-01-09,14.71,14.71,14.5,14.5,471400
2007-01-10,14.36,14.625,14.355,14.555,610600
2007-01-11,14.61,14.675,14.555,14.63,318400
2007-01-12,14.51,14.625,14.51,14.605,216600
2007-01-16,14.645,14.645,14.33,14.39,486600
