date,open,high,low,close,volume
2021-04-14,381.0,429.54001,310.0,328.28,81065700
2021-04-15,348.89999,349.20001,317.26999,322.75,39777900
2021-04-16,327.5,345.98999,321.029999,342.0,22654500
2021-04-19,337.26001,341.01001,326.79001,333.0,11405600
2021-04-20,333.42999,334.82999,312.019989,320.82001,18082300
2021-04-21,312.51999,327.47,302.10001,311.92001,10103900
2021-04-22,305.76001,313.5,287.20001,293.45001,14991900
2021-04-23,282.75,303.0,282.070007,291.60001,9853800
2021-04-26,304.29001,306.10001,296.89999,304.54001,6330200
2021-04-27,306.70001,306.70001,299.5,302.0,3902000
2021-04-28,301.01001,302.89999,298.049988,298.049988,2746100
2021-04-29,298.45001,300.0,292.10001,294.76999,2845800
2021-04-30,293.0,302.73999,291.0,297.64001,3997400
2021-05-03,304.0,305.029999,293.94,294.20999,3333800
2021-05-04,292.059998,292.19,275.60999,280.66,5707700
2021-05-05,284.95001,289.14999,269.0,273.0,5074600
2021-05-06,271.14999,272.14001,250.50999,256.76001,8342000
2021-05-07,261.14999,267.070007,258.38,263.70001,4243700
2021-05-10,266.39999,297.5,259.37,293.45001,10268600
2021-05-11,281.049988,303.32001,276.51001,303.0,7456000
2021-05-12,299.54001,306.98001,280.79001,283.60999,7214200
2021-05-13,276.45999,285.0,252.25999,265.10001,11226800
2021-05-14,280.37,280.64001,256.35001,258.37,11751800
2021-05-17,250.0,250.25,238.25,248.24001,8828100
2021-05-18,238.83,252.17,238.5,239.0,7852100
2021-05-19,212.92999,229.0,208.0,224.8,16766000
2021-05-20,236.10001,238.8,226.25999,233.39999,10386900
2021-05-21,235.97,238.97,223.89999,224.35001,7554900
2021-05-24,227.28,231.0,224.039993,225.3,10185600
2021-05-25,230.0,243.99001,228.0,242.41,11827800
2021-05-26,247.5,249.39,239.37,241.52,6602800
2021-05-27,245.21001,247.24001,240.32001,247.089996,5083300
2021-05-28,243.57001,244.63,236.53999,236.53999,5091500
2021-06-01,238.50999,244.71001,238.10001,238.92999,3962700
2021-06-02,242.8,243.89999,238.71001,240.48,3383800
2021-06-03,241.39,241.5,233.5,233.66,3091100
2021-06-04,229.99001,233.36,227.5,228.78999,3775100
2021-06-07,229.92,232.56,226.5,231.45,2658300
2021-06-08,227.16,229.33,217.39999,220.66,6015800
2021-06-09,222.8,229.78999,217.39999,224.32001,6865900
2021-06-10,226.22,229.78999,221.47,221.85001,3955300
2021-06-11,223.5,225.74001,221.96001,223.92,2383500
2021-06-14,231.27,239.75999,229.75999,239.10001,6151700
2021-06-15,236.23,237.67,230.96001,232.21001,3007900
2021-06-16,231.39999,234.67999,226.28,228.050003,2874800
2021-06-17,226.88,233.23,226.35001,230.66,2589600
2021-06-18,226.92,232.69,226.5,229.28999,3265200
2021-06-21,223.14,224.99001,218.77,222.60001,4687600
2021-06-22,216.25,223.14999,210.77,222.47,6206100
2021-06-23,225.53999,230.52,224.5,226.0099945,3394700
2021-06-24,228.46001,230.039993,226.67,229.92999,2857700
2021-06-25,226.97,227.82001,223.22,224.53999,2507000
2021-06-28,227.64,248.059998,226.13,246.69,7449000
2021-06-29,250.2,261.14999,250.0099945,254.89999,7867600
2021-06-30,248.3,254.67,247.0,253.3,4143500
2021-07-01,251.089996,255.14999,240.53,241.44,3611300
2021-07-02,242.0,246.8,238.88,240.72,2325000
2021-07-06,243.0,243.0,234.020004,235.41,2212600
2021-07-07,238.96001,252.99001,232.34,251.97,4804400
2021-07-08,239.0,246.60001,233.61,244.28999,4350000
2021-07-09,245.0,256.98999,244.21001,253.88,4457400
2021-07-12,254.0,254.89,246.83,247.67,2222100
2021-07-13,245.50999,249.14999,242.92999,243.31,3308000
2021-07-14,244.89999,247.45,229.16,229.94,4808400
2021-07-15,229.94,234.47,220.37,224.63,3635900
2021-07-16,227.2,231.3,220.66,225.0099945,3373100
2021-07-19,216.92,221.89,213.22,220.61,3149300
2021-07-20,216.71001,226.89,213.23,224.96001,3104800
2021-07-21,231.7,237.14999,229.19,230.87,3677400
2021-07-22,232.0,232.32001,224.5,226.080002,2551700
2021-07-23,226.22,227.35001,222.73,224.92,1574700
