date,open,high,low,close,volume
2006-10-18,14.0625,14.175,14.0,14.0625,1184000
2006-10-19,14.05,14.49,14.025,14.44,2700800
2006-10-20,14.4375,14.595,14.3675,14.5625,3644400
2006-10-23,14.5625,14.735,14.5125,14.6375,1651600
2006-10-24,14.6375,14.68,14.425,14.4875,1512400
2006-10-25,14.47,14.675,14.4125,14.6375,1168800
2006-10-26,14.575,14.73,14.5125,14.6775,1207200
2006-10-27,14.6525,14.6525,14.4625,14.4625,744400
2006-10-30,14.4375,14.49,14.35,14.4525,1451200
2006-10-31,14.45,14.465,14.3625,14.4075,819600
2006-11-01,14.4,14.5675,14.3675,14.4075,2167600
2006-11-02,14.3825,14.3825,14.155,14.1975,3021200
2006-11-03,14.1625,14.1975,13.71,13.7725,3958800
2006-11-06,13.75,13.8775,13.3875,13.8375,1434800
2006-11-07,13.775,13.795,13.5875,13.6425,2244800
2006-11-08,13.6,13.675,13.46,13.4725,1974000
2006-11-09,13.45,13.595,13.3875,13.465,2116400
2006-11-10,13.4375,14.4175,13.28,13.355,3204000
2006-11-13,13.2875,13.425,13.225,13.4175,2249600
2006-11-14,13.445,13.5375,13.325,13.4625,1599200
2006-11-15,13.4575,13.495,13.415,13.455,1902800
2006-11-16,13.475,13.5225,13.4225,13.505,1099200
2006-11-17,13.4625,13.5,13.405,13.4125,1296800
2006-11-20,13.375,13.43,13.325,13.39,806000
2006-11-21,13.3775,13.4275,13.3575,13.395,851200
2006-11-22,13.4,13.525,13.395,13.495,653600
2006-11-24,13.45,13.5,13.4125,13.45,169600
2006-11-27,13.425,13.5,13.4,13.465,1432800
2006-11-28,13.4125,13.4625,13.295,13.4,1491200
2006-11-29,13.5,13.55,13.4375,13.4925,1052400
2006-11-30,13.495,13.535,13.4375,13.4925,1318000
2006-12-01,13.4925,13.5725,13.475,13.5325,1410800
2006-12-04,13.5325,13.615,13.5,13.5375,1322400
2006-12-05,13.5,13.5125,13.2725,13.2875,2867600
2006-12-06,13.25,13.53,13.2125,13.4325,2360800
2006-12-07,13.4125,13.6525,13.375,13.435,1589200
2006-12-08,13.4625,13.51,13.385,13.3975,2540400
2006-12-11,13.45,13.45,13.1325,13.1675,3423600
2006-12-12,12.7625,12.875,12.2375,12.3625,15281600
2006-12-13,10.775,11.225,10.6875,11.1475,34665200
2006-12-14,11.15,11.2075,11.0325,11.0475,6377200
2006-12-15,11.15,11.2325,11.1,11.21,4712800
2006-12-18,11.025,11.1425,10.985,11.0050001,6102800
2006-12-19,10.975,11.285,10.975,11.255,4774800
2006-12-20,11.265,11.4125,11.1875,11.375,3592000
2006-12-21,11.4,11.44,11.1975,11.365,3318400
2006-12-22,11.4075,11.41,11.19,11.2675,1733600
2006-12-26,11.28,11.4025,11.135,11.3575,1296400
2006-12-27,11.3175,11.3175,11.2125,11.25,1922000
2006-12-28,11.25,11.2525,11.12,11.1425,2076800
2006-12-29,11.1375,11.21,11.105,11.125,2018800
2007-01-03,10.9775,11.05,10.88,10.9475,3044400
2007-01-04,11.0050001,11.7225,11.0050001,11.4025,14148400
2007-01-05,11.2725,11.8775,11.2725,11.7525,8536400
2007-01-08,11.715,11.9075,11.4925,11.6875,4836400
2007-01-09,11.6575,11.6575,11.485,11.565,2253200
2007-01-10,11.5875,12.995,11.4975,12.8475,21937200
2007-01-11,13.015,13.25,12.7575,12.86,11499200
2007-01-12,12.875,13.0125,12.8275,12.91,3238400
2007-01-16,12.865,12.9525,12.7175,12.87,4499600
2007-01-17,12.87,12.875,12.4875,12.6625,5353200
2007-01-18,12.6375,12.6375,12.3675,12.5475,3862800
2007-01-19,12.65,12.675,12.4975,12.52,3483600
2007-01-22,11.375,11.91,11.3725,11.7075,11230800
2007-01-23,11.7475,11.955,11.625,11.9,4946000
2007-01-24,11.9125,11.9175,11.7925,11.9025,2539600
2007-01-25,11.905,12.0675,11.8175,11.9775,4224000
2007-01-26,11.935,11.9625,11.7625,11.7925,2818000
2007-01-29,11.8175,11.8325,11.565,11.685,2828800
2007-01-30,11.765,11.7725,11.6075,11.67,2008400
2007-01-31,11.66,11.94,11.6225,11.925,3529200
2007-02-01,12.0,12.25,11.975,12.075,3091200
2007-02-02,12.03,12.185,11.995,12.09,2395200
2007-02-05,12.0275,12.075,11.835,11.9375,3087600
2007-02-06,11.9375,11.9875,11.6225,11.8025,3706800
2007-02-07,11.79,11.825,11.52,11.5825,4154400
2007-02-08,11.595,11.715,11.5325,11.665,2446800
2007-02-09,11.6825,11.755,11.5825,11.5875,1513600
2007-02-12,11.59,11.6,11.465,11.5125,2498000
2007-02-13,11.5125,11.5775,11.435,11.52,2432000
2007-02-14,11.52,11.69,11.4875,11.535,4584000
2007-02-15,11.5475,11.6375,11.4625,11.6025,4489200
2007-02-16,11.6,11.6625,11.3875,11.6625,5265600
2007-02-20,11.655,11.8,11.4775,11.725,4586800
2007-02-21,11.7225,11.9375,11.7125,11.8525,4110000
2007-02-22,11.9175,11.97,11.6525,11.7775,1905600
2007-02-23,11.7775,11.8625,11.625,11.795,2614000
2007-02-26,11.8125,11.8325,11.6075,11.6175,3586800
2007-02-27,11.6,11.61,11.3625,11.5,2544400
2007-02-28,11.4675,11.615,11.3,11.4775,2546000
2007-03-01,11.4725,11.9525,11.335,11.4925,2461600
