date,open,high,low,close,volume
2006-10-18,22.54,22.73,22.43,22.49,1431800
2006-10-19,22.49,22.77,22.45,22.56,1228800
2006-10-20,22.62,22.7,22.51,22.65,1059200
2006-10-23,22.6,23.030001,22.56,22.99,1288200
2006-10-24,22.95,23.0,22.79,22.99,1273200
2006-10-25,23.040001,23.11,22.52,22.56,3445600
2006-10-26,22.56,22.73,22.49,22.56,2047400
2006-10-27,22.51,22.68,22.25,22.67,2075400
2006-10-30,22.67,22.84,22.53,22.72,1484600
2006-10-31,22.69,22.97,22.64,22.9,2735000
2006-11-01,22.92,23.09,22.73,22.87,6078400
2006-11-02,23.049999,23.29,21.98,22.45,7535600
2006-11-03,22.45,22.52,21.92,22.040001,4449600
2006-11-06,22.030001,22.42,21.96,22.22,4641600
2006-11-07,22.32,22.49,22.14,22.25,2288600
2006-11-08,21.78,22.22,21.78,22.15,3217400
2006-11-09,22.25,22.37,21.76,21.78,3160400
2006-11-10,21.85,22.049999,21.76,21.9,3243000
2006-11-13,21.83,21.88,21.65,21.82,2540600
2006-11-14,21.83,22.6,21.83,22.48,5244800
2006-11-15,22.48,22.89,22.46,22.79,3623000
2006-11-16,22.86,23.040001,22.82,22.98,2527800
2006-11-17,22.98,23.09,22.5,22.79,3378000
2006-11-20,22.73,22.76,22.3,22.44,2666400
2006-11-21,22.42,22.45,22.08,22.22,3160600
2006-11-22,22.21,22.36,22.12,22.24,1974000
2006-11-24,22.25,22.28,21.93,21.94,755800
2006-11-27,21.87,21.98,21.75,21.8,3801400
2006-11-28,21.81,22.16,21.81,21.94,2538200
2006-11-29,22.049999,22.14,21.91,22.040001,1600600
2006-11-30,22.23,22.41,22.1,22.31,2846200
2006-12-01,22.43,22.43,22.049999,22.19,2831800
2006-12-04,22.25,22.7,22.17,22.67,3715600
2006-12-05,22.77,22.8,22.48,22.58,2799600
2006-12-06,22.57,22.63,22.35,22.52,2365000
2006-12-07,22.54,22.67,22.44,22.5,2099400
2006-12-08,22.51,22.53,22.22,22.32,2727600
2006-12-11,22.34,22.43,22.23,22.36,3256400
2006-12-12,22.43,22.63,22.4,22.59,2748800
2006-12-13,23.29,23.3,22.73,22.95,3230200
2006-12-14,22.93,23.040001,22.38,22.39,4030000
2006-12-15,22.49,22.67,22.39,22.53,4150000
2006-12-18,22.51,22.54,22.14,22.16,4416600
2006-12-19,22.13,22.38,21.86,22.02,5310000
2006-12-20,22.09,22.2,22.0,22.02,4324200
2006-12-21,22.08,22.4,21.85,21.9,3518200
2006-12-22,21.84,21.91,21.49,21.67,3968000
2006-12-26,21.66,21.9,21.57,21.58,3367600
2006-12-27,21.73,21.93,21.68,21.85,2259600
2006-12-28,21.92,21.94,21.78,21.85,1769000
2006-12-29,21.81,21.9,21.79,21.81,2397000
2007-01-03,21.87,22.39,21.87,22.37,5471400
2007-01-04,22.43,22.52,22.15,22.46,2780400
2007-01-05,22.37,22.51,22.1,22.19,4010600
2007-01-08,22.42,22.61,22.27,22.54,3688800
2007-01-09,22.61,22.7,22.42,22.46,4130600
2007-01-10,22.46,22.64,22.42,22.57,1671200
2007-01-11,22.61,23.059999,22.59,22.93,2689000
2007-01-12,22.81,23.08,22.67,22.98,2202000
2007-01-16,23.08,23.2,22.96,23.12,1763000
2007-01-17,23.07,23.48,22.98,23.47,2451000
2007-01-18,23.48,23.68,23.27,23.33,2425400
2007-01-19,23.41,23.46,23.21,23.29,3140000
2007-01-22,23.29,23.43,23.01,23.059999,3074600
2007-01-23,23.040001,23.4,23.0,23.32,2230600
2007-01-24,24.31,25.35,24.14,25.21,10118600
2007-01-25,25.18,26.39,25.18,25.72,7620200
2007-01-26,25.7,25.81,25.43,25.63,3924200
2007-01-29,25.58,25.61,25.01,25.14,4524800
2007-01-30,25.25,25.42,25.09,25.39,3067000
2007-01-31,25.21,25.45,25.13,25.41,2236800
2007-02-01,25.42,25.49,25.25,25.41,3314600
2007-02-02,25.44,25.66,25.37,25.39,2064000
2007-02-05,25.37,25.53,25.3,25.47,1708600
2007-02-06,25.48,25.48,25.26,25.43,2001800
2007-02-07,25.46,25.51,25.33,25.48,1370800
2007-02-08,25.48,25.68,25.35,25.55,1366000
2007-02-09,25.6,25.98,25.57,25.96,3145800
2007-02-12,25.96,25.98,25.74,25.97,2541368
2007-02-13,25.96,26.25,25.84,26.25,2280830
2007-02-14,26.39,26.53,26.14,26.2,1660058
2007-02-15,26.29,26.94,26.26,26.84,3367800
2007-02-16,26.72,26.8,26.58,26.64,1985400
2007-02-20,26.63,26.78,26.59,26.71,1251000
2007-02-21,26.58,26.66,26.52,26.61,1434800
2007-02-22,26.61,26.68,26.53,26.61,1377200
2007-02-23,26.59,26.75,26.42,26.69,1542800
2007-02-26,26.64,26.66,26.0,26.21,2418548
2007-02-27,26.09,26.18,25.23,25.37,2853400
2007-02-28,25.37,25.75,25.2,25.52,2868800
2007-03-01,25.08,25.67,24.76,25.44,2595956
2007-03-02,25.39,25.49,25.049999,25.07,1586000
2007-03-05,24.76,25.17,24.74,24.76,1896800
2007-03-06,24.77,25.48,24.77,25.45,2497200
2007-03-07,25.45,25.53,25.049999,25.08,3363646
2007-03-08,25.33,25.73,25.19,25.55,2502310
2007-03-09,25.67,25.85,25.57,25.76,1870400
2007-03-12,25.65,25.95,25.43,25.44,2071000
2007-03-13,25.28,25.5,24.74,24.8,4348400
2007-03-14,24.37,25.57,24.37,25.17,3814600
2007-03-15,25.23,25.35,25.030001,25.35,1722200
2007-03-16,25.42,25.59,24.92,25.16,2323200
2007-03-19,25.28,25.9,25.23,25.86,2307600
2007-03-20,25.81,25.86,25.51,25.62,2013000
2007-03-21,25.68,25.69,25.23,25.68,3448906
2007-03-22,25.62,25.9,25.53,25.85,1998574
2007-03-23,26.28,26.28,25.81,26.15,1575800
2007-03-26,26.16,26.16,25.89,26.11,1874480
2007-03-27,25.96,26.049999,25.71,25.86,1798818
2007-03-28,25.67,26.0,25.56,25.94,4668800
2007-03-29,25.25,26.15,25.25,25.94,2440696
2007-03-30,25.84,25.93,25.37,25.59,2579630
2007-04-02,25.77,25.97,25.59,25.85,2443372
2007-04-03,25.95,26.32,25.9,26.18,2222200
2007-04-04,26.23,26.23,25.9,26.07,1323400
2007-04-05,26.12,26.29,26.0,26.2,1157912
2007-04-09,26.21,26.3,25.88,26.08,1893000
2007-04-10,26.01,26.18,25.91,26.15,1708600
2007-04-11,26.15,26.22,26.01,26.01,1692978
