date,open,high,low,close,volume
2006-10-18,52.74,53.099998,52.0,52.14,4050100
2006-10-19,52.0,52.4,51.43,51.66,4684400
2006-10-20,51.84,51.85,51.07,51.69,3501900
2006-10-23,51.43,52.84,51.43,52.69,5242200
2006-10-24,52.62,52.83,52.2,52.49,3122300
2006-10-25,52.52,53.17,52.02,52.57,5140600
2006-10-26,52.75,53.85,52.5,53.49,3552800
2006-10-27,53.52,53.53,52.88,53.0099983,2771600
2006-10-30,52.71,53.4,52.62,53.099998,2582600
2006-10-31,53.060001,53.8,52.92,53.38,4106500
2006-11-01,53.55,53.93,52.5,52.91,4389300
2006-11-02,52.0,53.42,51.5,53.0,6367600
2006-11-03,53.25,53.25,51.4,51.82,4497500
2006-11-06,51.98,52.86,51.9,52.41,2240900
2006-11-07,52.51,53.25,52.25,52.58,2582400
2006-11-08,52.45,52.76,51.95,52.47,3169400
2006-11-09,52.38,52.57,51.66,51.74,2963200
2006-11-10,51.97,53.0,51.72,52.9,2618300
2006-11-13,53.0099983,53.42,52.049999,52.13,2620600
2006-11-14,52.64,53.11,52.3,52.43,5091300
2006-11-15,52.36,53.36,52.36,53.0099983,2861600
2006-11-16,53.39,53.44,52.53,53.42,2528700
2006-11-17,53.07,53.62,52.88,53.4,3939500
2006-11-20,53.55,54.77,53.52,53.79,4546500
2006-11-21,53.61,54.0,53.44,53.72,1825600
2006-11-22,53.99,54.0,53.23,53.76,1516400
2006-11-24,53.46,53.97,53.3,53.51,962300
2006-11-27,53.86,54.39,53.16,53.39,2570900
2006-11-28,53.36,53.47,52.55,52.9,2676500
2006-11-29,52.9,53.4,52.83,53.3,2369500
2006-11-30,52.8,52.92,52.0099983,52.3,4309500
2006-12-01,52.28,52.66,51.73,52.2,3211200
2006-12-04,52.11,53.78,52.11,53.39,2902400
2006-12-05,53.68,54.48,53.15,54.4,2989000
2006-12-06,54.5,54.7,53.97,54.43,2030100
2006-12-07,54.43,54.69,53.6,53.68,2161400
2006-12-08,53.74,54.31,53.5,53.69,1853000
2006-12-11,53.75,54.42,53.41,54.060001,2076600
2006-12-12,53.71,54.09,52.99,53.24,3710100
2006-12-13,53.62,53.64,52.71,53.14,3097400
2006-12-14,54.55,55.12,53.83,54.11,9833100
2006-12-15,54.5,54.57,53.64,53.73,5623200
2006-12-18,53.95,54.19,53.65,53.81,3932000
2006-12-19,53.66,53.7,52.95,53.28,4069300
2006-12-20,53.2,53.45,52.84,52.93,2327200
2006-12-21,53.09,53.3,52.16,52.33,2168600
2006-12-22,52.27,52.58,51.95,52.2,1749800
2006-12-26,52.51,52.89,52.2,52.69,1794600
2006-12-27,53.0,53.55,52.75,53.4,3185900
2006-12-28,53.17,53.41,52.98,53.099998,1632400
2006-12-29,52.78,53.39,52.66,52.87,1573100
