date,open,high,low,close,volume
2006-10-18,1.81187,1.81875,1.79313,1.79562,8432000
2006-10-19,1.79688,1.8175,1.775,1.8,12248000
2006-10-20,1.795,1.80625,1.77375,1.78125,5614400
2006-10-23,1.76562,1.78937,1.76562,1.78125,6604800
2006-10-24,1.76562,1.79625,1.76562,1.78125,5472000
2006-10-25,1.78625,1.79813,1.77188,1.78375,6790400
2006-10-26,1.78125,1.80375,1.77625,1.79375,8411200
2006-10-27,1.78188,1.79375,1.77625,1.77813,5809600
2006-10-30,1.76937,1.81187,1.75812,1.80187,6489600
2006-10-31,1.8075,1.83375,1.79938,1.80813,8272000
2006-11-01,1.82187,1.84687,1.79875,1.80187,6468800
2006-11-02,1.7925,1.80875,1.7825,1.79875,4192000
2006-11-03,1.80062,1.8075,1.78437,1.79688,3646400
2006-11-06,1.80313,1.82562,1.80062,1.80813,5219200
2006-11-07,1.81313,1.82313,1.80187,1.81875,4291200
2006-11-08,1.81125,1.85625,1.80187,1.83438,5700800
2006-11-09,1.83563,1.85563,1.81625,1.84125,3945600
2006-11-10,1.8475,1.85875,1.84438,1.85125,2558400
2006-11-13,1.855,1.8775,1.84812,1.87125,6083200
2006-11-14,1.87188,1.88,1.85312,1.87312,3625600
2006-11-15,1.87,1.8825,1.86563,1.88063,3044800
2006-11-16,1.88,1.89125,1.87937,1.88688,2644800
2006-11-17,1.88312,1.88812,1.85687,1.875,3913600
2006-11-20,1.87688,1.87688,1.8525,1.86188,2931200
2006-11-21,1.85625,1.86188,1.84625,1.84938,3884800
2006-11-22,1.84563,1.86812,1.84563,1.86563,1718400
2006-11-24,1.86188,1.86937,1.85312,1.86,10801600
2006-11-27,1.875,1.87563,1.86125,1.86625,7569600
2006-11-28,1.86375,1.86437,1.83812,1.85812,8326400
2006-11-29,1.85938,1.89313,1.85812,1.87812,5312000
2006-11-30,1.87188,1.895,1.87,1.88812,5060800
2006-12-01,1.88812,1.89313,1.83812,1.8625,4337600
2006-12-04,1.86937,1.90375,1.86563,1.89125,3897600
2006-12-05,1.89688,1.9125,1.88188,1.905,5995200
2006-12-06,1.83063,1.9,1.78688,1.85375,34185600
