date,open,high,low,close,volume
2006-10-19,81.040001,81.3,80.39,80.7,121200
2006-10-20,80.6,80.7,79.93,80.099998,163500
2006-10-23,80.019997,80.95,79.64,80.95,194300
2006-10-24,80.8,81.17,80.44,80.59,171600
2006-10-25,80.3,81.0,80.14,80.85,188300
2006-10-26,80.75,80.82,80.18,80.55,247800
2006-10-27,80.4,80.55,79.59,79.86,532500
2006-10-30,79.86,80.56,79.5,80.4,259200
2006-10-31,80.65,81.0,80.080002,80.72,300700
2006-11-01,80.76,80.85,80.19,80.48,214300
2006-11-02,80.23,80.23,77.94,78.28,282800
2006-11-03,78.28,78.87,75.4,76.029999,707000
2006-11-06,76.28,76.61,75.95,76.25,402500
2006-11-07,76.5,76.55,75.21,75.5,395500
2006-11-08,75.5,75.5,74.33,75.099998,434900
2006-11-09,75.029999,75.3,74.42,74.75,447000
2006-11-10,74.75,74.76,74.089996,74.31,294700
2006-11-13,73.85,74.4,73.5,73.61,442000
2006-11-14,73.73,74.5,73.38,74.39,452000
2006-11-15,74.29,74.3,73.38,73.65,428300
2006-11-16,73.5,74.4,73.44,74.35,373100
2006-11-17,74.15,74.37,74.019997,74.099998,214900
2006-11-20,74.11,76.48,74.11,76.27,686200
2006-11-21,76.27,78.0,76.13,78.0,407300
2006-11-22,78.15,78.81,77.43,78.010002,427400
2006-11-24,77.5,78.72,77.5,78.6,131100
2006-11-27,78.59,78.6,76.4,76.44,434100
2006-11-28,76.68,76.76,75.9,76.73,307600
2006-11-29,76.98,78.57,76.98,78.56,605600
2006-11-30,78.7,80.25,78.5,79.73,1347400
2006-12-01,79.9,80.07,79.4,79.76,464500
2006-12-04,79.56,80.23,79.56,80.0,478800
2006-12-05,80.0,80.019997,78.9,79.18,431100
2006-12-06,78.95,79.18,77.57,78.31,385100
2006-12-07,78.16,78.33,77.6,77.79,325200
2006-12-08,77.79,78.089996,77.44,77.71,165800
2006-12-11,77.7,77.75,77.15,77.5,492800
2006-12-12,77.5,77.64,76.8,76.83,305300
2006-12-13,76.9,76.95,75.74,76.059998,394100
2006-12-14,76.29,76.48,75.74,75.84,214900
2006-12-15,75.87,75.9,75.089996,75.12,296500
2006-12-18,75.12,75.51,74.5,74.75,270300
2006-12-19,74.5,74.5,72.87,73.35,392400
2006-12-20,72.8,74.62,72.8,73.34,674900
2006-12-21,73.38,73.65,72.07,72.23,342800
2006-12-22,71.3,72.040001,70.75,71.4,321400
2006-12-26,71.6,72.51,71.52,72.32,140800
2006-12-27,72.5,72.86,72.24,72.46,205200
2006-12-28,72.48,73.099998,71.93,72.77,321600
2006-12-29,72.8,74.12,72.78,73.85,554600
2007-01-03,73.98,74.099998,72.34,73.32,565000
2007-01-04,73.2,73.64,72.72,72.83,471100
2007-01-05,72.58,72.8,69.38,71.72,340900
2007-01-08,71.5,71.9,70.55,71.089996,700600
2007-01-09,72.48,74.32,71.65,73.88,707000
2007-01-10,73.47,75.07,73.23,74.83,386200
2007-01-11,75.3,77.37,75.3,76.69,703300
2007-01-12,76.7,77.29,76.56,76.86,475600
2007-01-16,76.95,77.56,76.95,77.37,332100
2007-01-17,77.37,77.55,76.32,76.99,242800
2007-01-18,77.0,77.54,76.75,77.22,239200
2007-01-19,77.22,78.18,76.68,78.16,197400
2007-01-22,77.9,78.0,77.15,77.37,256000
2007-01-23,77.13,78.18,76.86,77.56,314300
2007-01-24,77.86,79.0,77.66,78.7,261300
2007-01-25,79.48,79.99,78.82,79.26,449100
2007-01-26,79.5,79.57,78.44,78.85,213700
2007-01-29,78.85,79.0,78.089996,78.59,272800
2007-01-30,78.59,78.59,78.17,78.32,269300
2007-01-31,78.31,78.79,77.9,78.4,389900
2007-02-01,78.6,78.6,77.71,77.95,470700
2007-02-02,78.0,78.099998,77.47,77.86,393800
2007-02-05,77.95,78.62,77.28,77.44,328900
2007-02-06,77.3,78.050003,77.21,78.0,480100
2007-02-07,78.0,78.77,76.89,78.73,505000
2007-02-08,78.73,79.85,77.61,78.2,443000
2007-02-09,76.4,76.94,74.010002,75.99,1112600
2007-02-12,75.99,76.42,74.36,76.13,875800
2007-02-13,76.13,77.78,75.019997,77.23,1033500
2007-02-14,77.0,77.64,76.019997,76.43,759900
2007-02-15,76.4,77.48,76.26,76.86,473800
2007-02-16,76.87,77.4,76.25,77.15,478600
2007-02-20,77.4,77.72,75.61,77.53,357300
2007-02-21,77.53,77.53,76.68,77.040001,307000
2007-02-22,77.099998,77.21,75.81,76.059998,297700
2007-02-23,75.92,75.97,74.48,74.67,370900
2007-02-26,72.77,75.13,72.77,74.5,404300
2007-02-27,74.3,74.31,71.37,71.75,421100
2007-02-28,71.98,72.82,70.88,71.98,780500
2007-03-01,71.65,71.99,68.66,71.21,553700
2007-03-02,71.21,71.35,70.37,70.8,716300
2007-03-05,70.25,70.3,68.029999,68.089996,508000
2007-03-06,69.0,70.25,68.65,69.35,656900
2007-03-07,70.2,70.35,69.12,69.72,907000
2007-03-08,70.25,75.029999,70.2,71.040001,654200
2007-03-09,71.3,72.33,71.19,72.010002,403900
2007-03-12,72.87,73.5,72.24,73.050003,572000
2007-03-13,72.65,72.65,70.93,71.19,723000
2007-03-14,71.3,73.019997,69.77,71.38,350100
2007-03-15,71.38,72.21,71.27,72.0,392500
2007-03-16,72.0,72.07,71.18,71.25,339200
2007-03-19,71.65,72.56,71.53,72.4,329300
2007-03-20,72.25,73.4,71.84,73.3,561800
2007-03-21,73.25,74.35,72.47,74.13,450700
2007-03-22,74.16,74.62,73.65,74.26,579200
2007-03-23,74.099998,74.77,73.65,74.3,390000
2007-03-26,74.15,74.19,71.83,72.24,700100
2007-03-27,71.99,71.99,70.34,70.89,569600
2007-03-28,69.8,70.75,68.4,69.07,818500
2007-03-29,70.2,70.2,68.93,69.56,581800
2007-03-30,69.61,70.37,68.99,70.31,795400
2007-04-02,70.2,71.24,70.0,70.93,375300
2007-04-03,71.2,72.25,71.2,71.87,544400
2007-04-04,71.94,72.12,71.22,71.5,631400
2007-04-05,71.5,71.89,71.21,71.89,402400
2007-04-09,72.0,72.099998,71.68,71.94,372300
2007-04-10,72.3,72.42,71.62,72.14,381000
2007-04-11,72.5,72.52,70.52,70.68,318000
2007-04-12,70.4,71.07,69.83,70.79,489800
2007-04-13,70.72,71.46,70.36,71.14,482700
2007-04-16,71.25,71.77,70.59,71.46,390200
2007-04-17,71.65,72.37,71.22,71.8,370400
2007-04-18,71.81,72.21,71.2,71.33,529200
2007-04-19,71.33,71.4,70.55,71.3,594500
2007-04-20,71.81,71.91,71.24,71.46,331900
