date,open,high,low,close,volume
2006-10-18,34.95,35.23,34.73,35.18,16700
2006-10-19,35.029999,35.61,35.0,35.49,25000
2006-10-20,34.95,35.36,34.45,35.0,47400
2006-10-23,34.25,35.2,34.13,34.76,33800
2006-10-24,34.099998,34.69,34.02,34.5,25300
2006-10-25,34.74,35.25,34.65,35.12,23800
2006-10-26,35.060001,35.21,34.79,35.18,84200
2006-10-27,35.4,35.57,35.3,35.57,23900
2006-10-30,34.86,35.2,34.86,35.17,16000
2006-10-31,35.52,35.97,35.38,35.79,32000
2006-11-01,35.85,36.6,35.65,35.92,52200
2006-11-02,35.58,35.85,34.85,35.52,115700
2006-11-03,35.48,35.65,34.75,35.48,150600
2006-11-06,35.54,36.0,35.47,35.86,29000
2006-11-07,35.73,36.28,35.71,35.96,32500
2006-11-08,35.61,36.17,35.57,36.040001,31600
2006-11-09,35.67,36.0,35.34,35.59,21700
2006-11-10,35.66,35.95,35.35,35.95,21700
2006-11-13,35.7,35.92,35.64,35.75,16000
2006-11-14,35.81,36.11,35.55,35.92,19700
2006-11-15,36.060001,36.5,36.060001,36.43,42200
2006-11-16,36.53,36.82,36.46,36.58,17800
2006-11-17,36.85,37.39,36.79,37.26,27400
2006-11-20,37.34,37.44,37.080002,37.25,19900
2006-11-21,37.59,38.13,37.59,38.12,24700
2006-11-22,38.37,39.0,38.37,38.74,12100
2006-11-24,38.3,38.68,38.27,38.68,5300
2006-11-27,37.96,37.96,37.74,37.94,24600
2006-11-28,37.43,37.6,37.3,37.5,11500
2006-11-29,38.040001,38.35,37.74,38.19,19700
2006-11-30,37.85,38.48,37.85,38.4,13900
2006-12-01,38.36,38.36,37.6,37.85,16700
2006-12-04,37.67,38.58,37.47,38.0,9700
2006-12-05,37.99,38.54,37.99,38.4,12900
2006-12-06,38.5,38.95,38.5,38.83,11700
2006-12-07,38.9,39.25,38.66,39.14,13500
2006-12-08,38.9,39.099998,38.51,38.8,18800
2006-12-11,38.55,39.5,38.55,39.099998,21800
2006-12-12,39.22,39.99,39.18,39.55,9900
2006-12-13,39.4,40.13,39.0,39.45,20000
2006-12-14,39.55,39.99,39.36,39.61,9400
2006-12-15,39.9,45.8,39.81,41.3,22600
2006-12-18,40.18,40.22,39.6,40.029999,24300
2006-12-19,40.2,41.75,40.2,41.75,52500
2006-12-20,41.47,41.99,41.16,41.37,23800
2006-12-21,41.15,41.75,40.85,41.42,19600
2006-12-22,41.27,41.5,40.55,41.35,25600
2006-12-26,41.55,41.55,40.35,40.96,19000
2006-12-27,41.3,42.0,41.17,41.95,12400
2006-12-28,42.2,43.41,42.099998,42.43,23700
2006-12-29,42.4,42.8,41.82,42.5,83000
2007-01-03,42.4,42.4,41.3,41.57,56800
2007-01-04,41.0099983,41.5,40.75,41.5,112200
2007-01-05,40.8,40.8,40.15,40.4,57200
2007-01-08,40.78,41.28,40.11,40.17,17300
2007-01-09,40.25,40.57,39.43,40.47,22500
2007-01-10,39.75,41.51,39.49,41.18,173200
2007-01-11,39.71,40.099998,39.5,39.91,75500
2007-01-12,39.66,40.0,39.66,39.85,19100
2007-01-16,39.71,39.9,39.32,39.5,19500
2007-01-17,39.25,40.24,39.17,39.49,30900
2007-01-18,39.67,39.75,38.15,39.34,25900
2007-01-19,39.42,40.88,39.25,40.26,52800
2007-01-22,40.13,40.65,39.7,40.28,40000
2007-01-23,39.86,40.45,39.86,40.33,40000
2007-01-24,40.4,40.87,40.35,40.7,28300
2007-01-25,40.54,41.7,40.38,40.55,93000
2007-01-26,40.21,40.55,39.9,40.53,25500
2007-01-29,40.29,40.96,40.12,40.54,29800
2007-01-30,40.2,40.2,39.07,39.77,48300
2007-01-31,39.71,40.2,39.61,39.87,52000
2007-02-01,40.080002,40.99,40.080002,40.79,27100
