date,open,high,low,close,volume
2006-10-18,44.0,44.25,43.76,43.83,324700
2006-10-19,43.9,43.97,43.5,43.8,423700
2006-10-20,43.81,44.099998,43.59,43.95,321900
2006-10-23,43.96,44.21,43.74,44.0099983,456300
2006-10-24,43.76,44.099998,43.76,43.95,450100
2006-10-25,43.85,44.099998,43.85,44.029999,292500
2006-10-26,44.099998,44.26,43.73,44.0,274500
2006-10-27,43.9,44.4,43.43,43.45,361700
2006-10-30,43.099998,43.66,42.79,43.46,340300
2006-10-31,43.32,43.55,42.69,42.92,393100
2006-11-01,42.91,43.02,42.24,42.37,597200
2006-11-02,42.14,42.91,42.02,42.84,329000
2006-11-03,43.029999,43.43,42.49,43.0,250800
2006-11-06,42.9,43.32,42.53,42.6,363400
2006-11-07,42.65,44.61,42.65,44.07,741600
2006-11-08,43.9,44.59,43.46,44.41,620500
2006-11-09,44.36,44.36,43.049999,43.28,344000
2006-11-10,43.25,44.33,43.25,44.2,616000
2006-11-13,44.2,44.8,43.89,43.99,790800
2006-11-14,43.91,44.09,43.55,43.7,1047800
2006-11-15,43.55,43.66,43.35,43.43,539700
2006-11-16,42.9,42.95,41.99,42.39,1112100
2006-11-17,42.4,42.79,42.25,42.37,437100
2006-11-20,41.85,42.64,41.85,42.57,493200
2006-11-21,42.45,42.56,42.099998,42.22,690000
2006-11-22,42.2,43.21,42.2,42.9,546800
2006-11-24,42.71,42.77,42.36,42.49,61700
2006-11-27,42.65,42.65,41.0099983,41.27,653100
2006-11-28,41.3,41.64,41.0,41.22,431900
2006-11-29,41.53,42.09,41.45,41.76,629400
2006-11-30,41.74,42.28,41.69,41.75,467500
2006-12-01,41.8,42.26,41.68,42.22,1033800
2006-12-04,42.4,43.22,42.4,42.74,597000
2006-12-05,42.75,43.23,42.68,43.13,280500
2006-12-06,43.13,43.44,43.07,43.12,335900
2006-12-07,43.02,43.19,42.77,42.93,425800
2006-12-08,42.96,43.2,42.8,43.029999,351600
2006-12-11,43.029999,43.22,42.7,43.02,650600
2006-12-12,42.92,42.92,42.15,42.27,467600
2006-12-13,42.47,42.48,41.35,41.89,657100
2006-12-14,42.75,44.46,42.7,44.0099983,1607700
2006-12-15,43.98,44.8,43.81,44.48,1057800
2006-12-18,44.69,45.34,44.45,44.55,886300
2006-12-19,44.4,44.6,43.97,44.25,471700
2006-12-20,44.22,44.92,44.2,44.55,373800
2006-12-21,44.56,44.61,43.66,43.91,361300
2006-12-22,43.83,44.049999,43.5,43.62,188600
2006-12-26,43.66,44.14,43.53,43.92,136100
2006-12-27,44.029999,44.4,43.89,43.97,154600
2006-12-28,43.9,43.9,43.5,43.63,243500
2006-12-29,43.55,43.74,43.07,43.25,188500
2007-01-03,43.47,43.93,42.71,43.24,406700
2007-01-04,43.15,44.18,42.88,43.86,515100
2007-01-05,43.75,43.8,42.9,43.75,343500
2007-01-08,43.75,44.36,43.55,44.049999,451800
2007-01-09,44.17,44.47,43.93,44.22,356100
2007-01-10,44.099998,44.54,43.93,44.27,857800
2007-01-11,44.33,45.060001,44.33,44.95,450600
2007-01-12,44.85,45.25,44.7,44.79,403200
2007-01-16,44.86,45.19,44.41,44.61,508100
2007-01-17,44.6,44.84,44.53,44.66,229100
2007-01-18,44.65,44.97,44.57,44.72,365900
2007-01-19,44.72,44.91,44.51,44.87,161400
2007-01-22,44.8,44.81,44.55,44.65,154300
2007-01-23,44.73,45.080002,44.61,44.92,227900
2007-01-24,45.0,45.54,44.97,45.26,615600
2007-01-25,45.26,45.36,44.96,45.12,385300
2007-01-26,45.15,45.15,44.53,44.72,235500
2007-01-29,44.65,44.95,44.6,44.85,321900
2007-01-30,45.0,45.099998,44.8,45.060001,175600
2007-01-31,45.0,45.17,44.65,45.0,156300
2007-02-01,45.09,45.65,45.029999,45.65,327600
2007-02-02,45.7,46.22,45.62,45.96,465100
2007-02-05,45.84,45.85,45.36,45.55,317300
2007-02-06,45.29,45.9,45.02,45.75,286300
2007-02-07,45.97,46.33,45.89,46.13,642600
2007-02-08,46.14,46.25,45.74,46.049999,373500
2007-02-09,46.07,46.49,46.07,46.46,693200
2007-02-12,46.45,46.55,45.33,45.95,587700
2007-02-13,45.95,46.099998,44.26,45.15,816600
2007-02-14,45.2,46.71,45.2,46.32,743400
2007-02-15,47.5,47.64,46.75,47.3,819100
2007-02-16,47.12,47.24,46.91,47.14,298800
2007-02-20,47.09,47.39,46.97,47.17,501900
2007-02-21,46.99,47.09,46.4,46.87,418700
2007-02-22,46.83,46.99,46.39,46.69,296100
2007-02-23,46.62,46.73,46.39,46.6,314900
2007-02-26,46.65,46.75,46.15,46.35,320600
2007-02-27,45.94,46.12,45.26,45.62,630700
2007-02-28,45.63,46.17,45.4,45.87,753100
2007-03-01,45.5,45.95,45.060001,45.69,463900
2007-03-02,45.69,45.83,45.080002,45.13,384200
2007-03-05,44.89,45.42,44.51,44.55,791600
2007-03-06,44.85,44.85,44.2,44.63,491100
2007-03-07,44.53,44.85,44.36,44.76,294400
2007-03-08,44.9,45.16,44.62,44.81,307300
2007-03-09,44.97,45.0,44.5,44.61,309700
2007-03-12,44.69,44.73,44.14,44.73,332000
2007-03-13,44.43,44.43,43.55,43.76,638100
2007-03-14,43.62,44.0,43.4,43.83,451800
2007-03-15,43.83,43.98,43.64,43.9,319000
2007-03-16,43.95,43.98,43.66,43.77,228200
2007-03-19,43.95,44.080002,43.68,43.93,320100
2007-03-20,44.2,44.63,44.07,44.57,327400
2007-03-21,44.69,45.61,44.53,45.39,388500
2007-03-22,47.27,47.27,45.3,45.66,408100
2007-03-23,45.62,46.09,45.53,45.98,377700
2007-03-26,45.9,45.95,45.56,45.83,499400
2007-03-27,45.68,46.19,45.68,46.049999,247800
2007-03-28,45.95,46.37,45.77,46.29,310700
2007-03-29,46.38,46.38,45.58,46.17,504300
2007-03-30,46.24,46.5,46.14,46.26,309700
2007-04-02,46.45,46.47,46.0,46.12,324200
2007-04-03,46.33,46.62,46.21,46.45,182600
2007-04-04,46.42,46.55,46.27,46.43,229100
2007-04-05,46.45,46.73,46.31,46.44,172500
2007-04-09,46.41,47.52,46.25,47.37,510000
2007-04-10,47.27,47.65,47.099998,47.42,369700
2007-04-11,47.45,47.58,47.029999,47.4,345100
2007-04-12,47.35,47.73,47.15,47.6,308400
2007-04-13,47.74,48.29,47.64,48.12,561900
2007-04-16,48.26,48.68,47.96,48.099998,228200
2007-04-17,48.17,48.65,48.12,48.24,328600
2007-04-18,48.16,48.45,47.83,48.07,202700
2007-04-19,49.95,49.95,47.54,47.81,150400
2007-04-20,47.94,48.049999,47.53,47.9,141100
2007-04-23,47.91,47.92,47.45,47.65,190300
2007-04-24,47.66,48.07,47.66,47.89,430400
2007-04-25,47.91,48.0,47.68,47.72,244000
2007-04-26,47.82,48.029999,47.43,47.75,329800
2007-04-27,47.6,48.09,47.59,47.68,227000
2007-04-30,47.67,47.83,47.36,47.36,188900
2007-05-01,47.36,47.99,47.35,47.74,518100
2007-05-02,49.7,49.95,48.32,48.68,1985800
2007-05-03,48.83,49.0,47.98,48.46,510100
2007-05-04,48.5,48.6,48.25,48.5,740900
2007-05-07,48.31,48.62,48.29,48.57,486200
2007-05-08,48.46,48.55,47.95,48.35,461800
2007-05-09,50.0,52.3,50.0,50.72,2511600
2007-05-10,50.41,50.62,50.26,50.5,557800
2007-05-11,50.4,50.66,50.28,50.4,559800
2007-05-14,50.9,51.96,50.9,51.46,913700
2007-05-15,51.4,52.25,51.36,51.62,529700
2007-05-16,51.7,51.95,51.5,51.66,286000
2007-05-17,51.48,51.77,51.02,51.39,449300
2007-05-18,51.5,51.57,50.93,51.07,318500
2007-05-21,51.14,51.15,50.53,50.93,510100
2007-05-22,50.81,51.7,50.72,51.5,456700
2007-05-23,51.5,52.040001,51.41,51.53,576100
2007-05-24,51.53,51.91,51.26,51.28,354000
2007-05-25,51.35,51.55,51.15,51.36,261600
2007-05-29,51.5,52.16,51.48,52.029999,366800
2007-05-30,51.86,52.87,51.76,52.81,515400
2007-05-31,53.0,53.17,52.0,53.17,760500
2007-06-01,53.24,54.0,53.049999,53.48,596700
2007-06-04,53.25,53.6,53.099998,53.5,474600
2007-06-05,53.42,53.93,53.28,53.83,425400
2007-06-06,53.73,53.78,53.32,53.54,606300
2007-06-07,53.2,53.56,52.75,52.88,747300
2007-06-08,52.8,53.080002,52.080002,52.94,518400
2007-06-11,52.89,52.99,52.57,52.95,327600
2007-06-12,52.75,52.85,52.33,52.49,359400
2007-06-13,52.59,53.07,52.32,52.78,250700
2007-06-14,52.88,53.33,52.8,52.99,466000
2007-06-15,53.029999,54.0,52.9,53.87,519800
2007-06-18,53.89,54.040001,53.45,53.87,528600
2007-06-19,53.75,53.75,53.29,53.53,1018100
2007-06-20,53.53,53.66,53.09,53.17,703200
2007-06-21,52.85,53.27,52.69,53.029999,519100
2007-06-22,52.9,52.9,51.84,52.13,709200
2007-06-25,52.029999,52.4,51.6,51.79,405300
2007-06-26,51.9,52.0,50.75,51.47,586400
2007-06-27,51.15,52.66,51.07,52.58,877600
2007-06-28,51.65,51.94,45.3,51.5,984300
2007-06-29,51.6,51.79,51.2,51.62,927300
2007-07-02,51.66,52.2,51.65,51.9,375200
2007-07-03,51.84,51.97,51.58,51.85,424000
2007-07-05,51.81,52.5,51.66,52.44,330200
2007-07-06,52.45,52.66,52.28,52.54,431700
2007-07-09,52.5,52.62,52.07,52.61,496500
2007-07-10,52.36,52.95,51.9,52.56,751000
2007-07-11,52.4,52.91,52.4,52.91,374700
2007-07-12,52.91,53.33,52.75,53.23,349100
2007-07-13,52.0,52.53,51.63,52.11,598900
2007-07-16,52.07,52.35,51.73,51.9,576800
