date,open,high,low,close,volume
2019-06-12,15.875,16.75,14.0,14.5,77796800
2019-06-13,15.965,17.4175,15.4,16.89,43695600
2019-06-14,17.445,17.6975,15.755,16.040001,25056800
2019-06-17,16.1875,17.5025,15.5,17.5025,12990000
2019-06-18,18.25,19.675,17.875,19.125,26450400
2019-06-19,19.6875,19.9475,18.38875,19.305,13276400
2019-06-20,19.5,19.555,17.6725,18.7125,13718400
2019-06-21,18.115,18.482,17.075001,18.057501,10630000
2019-06-24,17.7625,18.0975,16.27,16.9925,9792000
2019-06-25,16.775,17.2475,15.2925,15.38,9920800
2019-06-26,15.825,16.23,15.50125,15.6625,6502000
2019-06-27,15.8475,16.24875,15.64275,15.82,3658000
2019-06-28,16.09,17.094999,15.825,17.0725,5897200
2019-07-01,17.275,17.43225,15.4525,15.8,10683600
2019-07-02,15.825,16.2575,15.43025,16.13,6942400
2019-07-03,16.17,16.87,16.13,16.81,6256400
2019-07-05,16.7875,16.8125,16.21,16.8025,3219600
2019-07-08,17.065001,17.92875,16.725,16.7275,18268800
2019-07-09,16.855,17.3,16.72,17.1125,7130800
2019-07-10,17.5,18.625,17.375,18.585,10877200
2019-07-11,18.625,18.745,17.625,17.72,9407200
2019-07-12,17.9,18.8,17.625,18.375,7353200
2019-07-15,18.5,18.57375,17.85,17.9,5300400
2019-07-16,17.9825,18.27175,17.25,17.385,6329200
2019-07-17,17.5,17.89,17.3975,17.75,4148000
2019-07-18,17.75,18.5475,17.5375,18.1875,11119600
2019-07-19,21.29,21.4625,20.1875,20.88,54676000
2019-07-22,20.5675,22.125,20.52,21.92,21430800
2019-07-23,22.08,22.36,21.1225,21.685,10119200
2019-07-24,21.6975,21.9625,21.375,21.865,5002800
2019-07-25,21.875,23.33475,21.75,23.07,13081600
2019-07-26,23.26,23.875,22.9775,23.22,8212000
2019-07-29,23.4225,23.475,20.6625,21.8075,13271200
2019-07-30,21.5,24.047501,21.0,23.5,12508800
2019-07-31,23.4875,23.70025,21.70425,22.2675,9904000
2019-08-01,22.5175,23.58,22.35975,22.8825,8952800
2019-08-02,22.885,23.195,21.7275,22.0025005,7204000
2019-08-05,20.835,21.73,20.5625,21.37,8785600
2019-08-06,21.8,22.44,20.6775,21.31,5429600
2019-08-07,20.9225,21.6125,20.7,21.055,3961600
2019-08-08,21.3725,22.965,21.3725,22.9125,6769200
2019-08-09,22.5625,24.5,22.5,23.725,12248800
2019-08-12,23.5625,24.55,22.8825,23.2525,7582400
2019-08-13,23.21,25.125,23.21,24.9125,12098400
2019-08-14,24.13,24.4325,22.9,23.505,11291600
2019-08-15,23.9975,24.285,22.8425,23.415,6052400
2019-08-16,23.75,24.525,23.35,24.012501,6071200
2019-08-19,24.7,25.37,23.9,24.8475,11130800
2019-08-20,24.8075,25.47,24.315,24.79,5755200
2019-08-21,25.1475,25.24,24.067499,24.145,7135600
2019-08-22,24.0725,24.145,23.2,23.2425,7056000
2019-08-23,22.8425,22.89,21.5,22.1075,12164000
2019-08-26,22.56,22.71,21.5325,22.22,5849600
2019-08-27,22.32,22.4875,20.8085,21.02,7286400
2019-08-28,21.0,21.881,20.6535,21.7475,7677200
2019-08-29,22.075001,22.3365,20.8225,20.955,7148000
2019-08-30,21.0049992,21.235,19.7225,20.32,7629200
2019-09-03,20.2125,20.95,20.063,20.94,7310800
2019-09-04,21.25,21.9425,20.7225,21.3275,9572400
2019-09-05,21.5625,21.7975,20.625,21.7125,15674400
2019-09-06,19.925,20.375,18.82625,18.995,34689200
2019-09-09,19.026251,19.029499,16.084999,16.775,34392800
2019-09-10,16.425,17.95,16.425,17.9125,18690000
2019-09-11,17.3025,17.7325,16.8,17.2775,12456000
2019-09-12,17.42,18.1,17.265,17.415,11694000
2019-09-13,17.465,17.5775,16.1775,16.215,16665200
2019-09-16,15.9275,17.215,15.875,16.965,11218000
2019-09-17,17.16,17.8335,17.032499,17.76,11242000
2019-09-18,17.53,17.96975,17.2,17.7125,7996800
2019-09-19,17.875,17.9675,16.91,17.2325,6736000
2019-09-20,17.2375,17.3645,16.5475,16.7425,13430000
2019-09-23,16.78,17.1425,16.635,16.7275,3303600
2019-09-24,16.755,16.8425,15.5,15.63,10422800
2019-09-25,15.5,15.8475,15.0275,15.505,9853600
2019-09-26,15.5125,15.59,14.415,14.575,11540400
2019-09-27,14.5675,14.5825,13.21,13.365,17797600
2019-09-30,13.375,14.6625,12.9025,14.5775,16083200
2019-10-01,14.575,14.8775,13.9125,14.4725,11340800
2019-10-02,14.20125,14.415,13.5175,14.1575,6244000
2019-10-03,14.87,15.6,14.1885,15.535,20289200
2019-10-04,15.5,16.115,15.3875,15.96,8615600
2019-10-07,15.84,17.425,15.68,17.195,14457200
2019-10-08,16.85,17.1075,16.12,16.325,11040000
2019-10-09,16.5875,16.6075,15.625,15.77,8786400
2019-10-10,15.65,15.9025,15.1,15.3525,9153200
2019-10-11,14.6925,15.37,14.3175,15.0675,13326400
2019-10-14,13.95,14.4625,13.3,13.63,17781600
2019-10-15,13.7525,14.1025,13.5075,13.8025,7921200
2019-10-16,13.3925,13.9425,12.95,13.0074997,10356400
2019-10-17,12.94,13.2875,12.5825,12.61,11124000
2019-10-18,12.5,12.58,11.615,11.76,14676400
2019-10-21,11.7325,12.2425,11.555,11.85,9616800
2019-10-22,11.8125,12.12,11.14525,11.55,10782400
2019-10-23,11.75,12.6075,11.5075,11.9675,14744400
2019-10-24,12.15,13.045,12.0275,12.96,8187200
2019-10-25,12.72,13.0175,12.3525,12.5275,6113200
2019-10-28,12.565,12.828,11.9275,11.9875,11032800
2019-10-29,11.8575,12.0925,11.5525,11.95,6956800
2019-10-30,11.93,13.12,11.695,12.86125,8870400
2019-10-31,12.8,12.91,12.025,12.4775,4184000
2019-11-01,12.485,12.71175,11.9375,12.125,5754800
2019-11-04,12.2875,12.62075,12.0024996,12.4125,5205200
2019-11-05,12.545,12.65,11.9425,12.175,5828800
2019-11-06,12.14,12.1775,11.725,11.9575,4114400
2019-11-07,12.065,12.125,11.345,11.375,6660000
2019-11-08,11.255,11.8025,11.2,11.8025,7909200
2019-11-11,11.625,11.75,11.365,11.55,5147600
2019-11-12,11.875,11.9625,11.5275,11.7625,6963200
2019-11-13,11.7075,13.11,11.6625,13.0,11440000
2019-11-14,12.8275,13.73,12.66075,13.1825,11283600
2019-11-15,13.25,14.9975,13.25,14.9375,16017200
2019-11-18,15.0,15.0,13.88,14.2675,8957600
2019-11-19,14.3625,14.389,13.44,14.0,6364800
2019-11-20,13.81,14.5775,13.3475,13.72,9027600
2019-11-21,13.865,13.865,13.213,13.4425,3837600
2019-11-22,13.5475,13.825,13.4375,13.55,4113600
2019-11-25,13.83,14.0425,13.71375,13.96,7372400
2019-11-26,14.125,14.505,13.565,13.895,7987200
2019-11-27,14.0925,14.1675,13.8075,14.0725,3946000
2019-11-29,14.24,14.875,14.08,14.5,4977600
2019-12-02,14.625,14.65,13.13525,13.7525,11700400
2019-12-03,13.3225,14.3975,13.2525,14.3425,5583600
2019-12-04,14.1525,14.25,13.575,13.745,6428000
2019-12-05,13.75,13.8025,12.9025,13.2375,13449600
2019-12-06,13.5,13.775,12.625,12.7225,32116000
2019-12-09,12.285,12.74,12.1025,12.25,55174000
2019-12-10,12.48,12.505,11.805,11.8875,23004400
2019-12-11,11.7525,12.2,11.5825,11.9325,37454000
2019-12-12,11.9875,12.125,11.58,11.825,22839200
2019-12-13,11.875,12.465,11.675,12.3525,25456800
2019-12-16,12.5,12.5275,12.0375,12.3625,20138400
2019-12-17,12.335,12.36,11.88,12.0975,18969200
2019-12-18,12.24,12.575,12.15,12.535,22613200
2019-12-19,12.6125,12.6125,12.3,12.3675,12179200
2019-12-20,12.4775,12.5,12.145,12.3725,12478400
2019-12-23,12.3125,12.325,11.9025,11.9625,18352000
2019-12-24,12.0,12.18,11.7875,11.9375,6033600
2019-12-26,12.1025,12.515,12.0225,12.5075,19116800
2019-12-27,12.575,12.595,12.05,12.23,14040000
2019-12-30,12.5,12.64,12.09775,12.5075,22824400
2019-12-31,12.335,12.585,12.225,12.4675,13154000
2020-01-02,12.5075,12.6875,12.3125,12.36,17713200
2020-01-03,12.23,12.9975,12.1975,12.6875,44662400
2020-01-06,12.9625,14.0425,12.7575,13.7775,86901600
2020-01-07,13.6375,14.125,13.625,13.6875,50014000
2020-01-08,13.55,13.965,13.325,13.915,30046400
2020-01-09,14.2375,14.3125,13.775,13.985,26068800
2020-01-10,14.1225,14.575,14.0,14.3,32602800
2020-01-13,14.34,14.935,14.25,14.7425,28154800
2020-01-14,14.8075,15.165,14.375,14.81,31146000
2020-01-15,14.8075,15.4925,14.8075,15.0625,31893200
2020-01-16,15.375,15.6875,15.25,15.56,24638000
2020-01-17,15.7625,15.925,15.515,15.8625,25023600
2020-01-21,15.755,15.8475,15.315,15.56,24346800
2020-01-22,15.75,16.01,15.575,15.6425,17031200
2020-01-23,15.6425,15.665,15.1775,15.3875,16286800
2020-01-24,15.5,15.7625,14.46,14.8125,26320800
2020-01-27,14.145,14.54,13.8275,14.515,17703600
2020-01-28,14.665,14.91,14.5325,14.7675,12296000
2020-01-29,15.0,15.445,14.935,15.065,13921600
2020-01-30,15.0,15.64,14.735,15.6125,16651200
2020-01-31,15.625,15.75,15.0625,15.2725,16248800
2020-02-03,15.2825,15.365,14.9125,15.27,14822000
2020-02-04,15.48,16.0825,15.2875,15.88875,18476000
2020-02-05,16.0525,16.2,15.015,15.45375,15994400
2020-02-06,15.4,15.745,15.045,15.5475,9037600
2020-02-07,15.5,15.93,15.455,15.5225,12222800
2020-02-10,15.5825,15.965,15.3625,15.825,15510000
2020-02-11,16.5,16.71,15.91375,16.2975,31912800
2020-02-12,16.2975,16.375,15.68,16.27,21793200
2020-02-13,16.0625,16.55,16.032499,16.3275,16498000
2020-02-14,16.4525,16.4575,15.9675,16.2125,16810000
