date,open,high,low,close,volume
2006-10-18,24.43,24.64,24.1,24.18,36313200
2006-10-19,24.01,24.24,23.73,24.16,48336400
2006-10-20,24.2,24.58,23.95,24.55,48070200
2006-10-23,24.45,24.64,24.27,24.43,48564000
2006-10-24,24.37,24.54,24.16,24.34,29854800
2006-10-25,24.23,24.42,24.09,24.29,38940300
2006-10-26,24.34,24.36,23.96,24.19,34273600
2006-10-27,24.11,24.19,23.63,23.72,43007600
2006-10-30,23.52,24.030001,23.27,23.9,43630700
2006-10-31,24.16,24.39,24.02,24.13,45209900
2006-11-01,24.34,24.45,23.95,24.1,50207200
2006-11-02,23.98,24.14,23.9,24.049999,38778500
2006-11-03,24.01,24.030001,23.56,23.77,39342200
2006-11-06,24.14,24.85,24.12,24.68,74537100
2006-11-07,24.82,25.01,24.57,24.84,76090900
2006-11-08,24.67,25.39,24.5,25.1,124079100
2006-11-09,27.44,27.44,26.65,26.71,198731600
2006-11-10,26.67,26.98,26.56,26.74,59171800
2006-11-13,26.75,26.8,26.52,26.68,49334500
2006-11-14,26.7,26.74,26.41,26.64,48229900
2006-11-15,26.62,26.75,26.5,26.6,47325100
2006-11-16,26.75,27.32,26.73,27.15,65702600
2006-11-17,26.99,27.059999,26.79,26.93,44484400
2006-11-20,26.98,27.14,26.72,27.11,42390600
2006-11-21,27.17,27.18,26.73,26.8,45030100
2006-11-22,26.93,26.99,26.75,26.91,27148000
2006-11-24,26.7,26.88,26.24,26.84,13474600
2006-11-27,26.76,26.89,25.73,25.8,63803200
2006-11-28,25.62,27.13,25.59,27.030001,108606500
2006-11-29,27.049999,27.3,26.9,27.08,68137400
2006-11-30,27.02,27.049999,26.8,26.91,45935300
2006-12-01,26.95,27.08,26.45,26.69,47014700
2006-12-04,26.94,27.57,26.86,27.25,68450100
2006-12-05,27.4,27.44,27.0,27.040001,43080300
2006-12-06,27.12,27.27,26.95,27.09,34092600
2006-12-07,27.2,27.3,26.88,26.88,31417900
2006-12-08,26.88,27.15,26.75,26.98,29495600
2006-12-11,26.9,27.48,26.85,27.11,43035200
2006-12-12,27.12,27.4,26.76,27.08,43065500
2006-12-13,27.34,27.35,26.93,27.25,43170100
2006-12-14,27.22,27.44,27.18,27.31,39441600
2006-12-15,27.43,27.77,27.33,27.56,66987100
2006-12-18,27.6,27.96,27.43,27.61,46255800
2006-12-19,27.47,27.76,27.3,27.63,38603100
2006-12-20,27.68,27.7,27.38,27.39,31825400
2006-12-21,27.5,27.6,27.22,27.29,32398900
2006-12-22,27.34,27.42,26.93,26.93,27400500
2006-12-26,27.040001,27.33,26.85,27.19,18185700
2006-12-27,27.3,27.5,26.83,27.3,25675600
2006-12-28,27.29,27.58,27.25,27.42,34817800
2006-12-29,27.33,27.63,27.29,27.33,27125900
2007-01-03,27.46,27.98,27.33,27.73,64226000
2007-01-04,27.68,28.49,27.54,28.46,73012100
2007-01-05,28.44,28.57,28.049999,28.47,62647800
2007-01-08,28.54,28.74,28.32,28.63,47936500
2007-01-09,28.72,28.75,28.31,28.47,50488300
2007-01-10,28.27,28.73,28.21,28.68,50632400
2007-01-11,28.77,28.99,28.61,28.69,54602200
2007-01-12,28.54,28.97,28.45,28.92,54588000
2007-01-16,28.59,28.59,28.0,28.040001,75551500
2007-01-17,27.86,28.0,26.89,26.98,108858000
2007-01-18,27.13,27.15,26.27,26.45,80498300
2007-01-19,26.45,26.85,26.42,26.7,62266800
2007-01-22,26.75,26.8,26.15,26.53,69421400
2007-01-23,26.37,26.72,26.030001,26.040001,67695900
2007-01-24,26.23,26.95,26.19,26.89,63817000
2007-01-25,26.93,26.95,26.16,26.22,55317400
2007-01-26,26.16,26.54,25.76,26.35,64449600
2007-01-29,26.29,26.47,26.0,26.21,51536100
2007-01-30,26.29,26.34,26.030001,26.25,45030400
2007-01-31,26.19,26.81,26.049999,26.62,60517900
2007-02-01,26.67,26.99,26.36,26.59,55597200
2007-02-02,26.91,27.18,26.6,27.14,59427500
2007-02-05,27.42,27.67,27.23,27.51,61115800
2007-02-06,27.75,27.78,27.12,27.28,105179400
2007-02-07,28.62,28.85,28.08,28.09,128470500
2007-02-08,27.9,28.35,27.8,28.14,55285200
2007-02-09,28.059999,28.15,27.48,27.71,50559800
2007-02-12,27.62,27.75,27.42,27.54,39247500
2007-02-13,27.66,27.73,27.01,27.18,59367700
2007-02-14,27.26,27.65,27.15,27.46,48659900
2007-02-15,27.59,27.81,27.45,27.56,36506000
2007-02-16,27.48,27.55,27.36,27.52,34920100
2007-02-20,27.56,28.0,27.28,27.66,40816100
2007-02-21,27.32,27.61,27.3,27.38,35555600
2007-02-22,27.52,27.61,27.22,27.4,40347700
2007-02-23,27.35,27.67,27.35,27.51,40647000
2007-02-26,27.64,27.7,27.02,27.24,37742200
2007-02-27,26.75,26.95,25.44,25.71,78613400
2007-02-28,25.8,26.25,25.75,25.94,63725500
2007-03-01,25.4,26.25,25.07,25.85,70349100
2007-03-02,25.69,25.97,25.15,25.3,68604200
2007-03-05,25.02,25.75,24.82,25.46,60022300
2007-03-06,25.79,26.07,25.7,25.96,51801300
2007-03-07,25.91,26.12,25.58,25.87,65487300
2007-03-08,26.17,26.43,26.07,26.15,43868500
2007-03-09,26.42,26.49,25.94,26.08,39302700
2007-03-12,25.98,26.25,25.89,26.17,29173700
2007-03-13,26.0,26.23,25.47,25.5,58047500
2007-03-14,25.5,25.88,25.26,25.85,53373200
2007-03-15,25.7,25.93,25.62,25.81,38348800
2007-03-16,25.79,26.07,25.73,25.99,49897100
2007-03-19,26.19,26.37,26.0,26.3,37540300
2007-03-20,26.33,26.48,26.1,26.34,43996700
2007-03-21,26.4,26.79,26.059999,26.79,44297700
2007-03-22,26.76,26.79,26.36,26.37,37075400
2007-03-23,26.45,26.58,26.19,26.19,31198200
2007-03-26,26.23,26.35,25.81,26.34,44659700
2007-03-27,26.15,26.24,25.85,25.93,39229400
2007-03-28,25.79,27.0,25.57,25.7,42165000
2007-03-29,25.92,25.97,25.16,25.43,56818400
2007-03-30,25.43,25.65,25.11,25.53,38922900
2007-04-02,25.67,25.73,25.31,25.4,33519000
