date,open,high,low,close,volume
2006-10-18,4.614,4.662,4.576,4.594,968000
2006-10-19,4.599,4.665,4.552,4.589,709000
2006-10-20,4.615,4.615,4.499,4.53,801000
2006-10-23,4.495,4.774,4.493,4.638,1391000
2006-10-24,4.61,4.632,4.417,4.436,1400000
2006-10-25,4.443,4.555,4.361,4.535,1639000
2006-10-26,4.515,4.881,4.439,4.595,3404000
2006-10-27,4.573,4.713,4.572,4.699,1551000
2006-10-30,4.672,4.832,4.612,4.815,1177000
2006-10-31,4.834,4.879,4.676,4.735,1465000
2006-11-01,4.76,4.812,4.67,4.675,711000
2006-11-02,4.666,4.711,4.666,4.695,441000
2006-11-03,4.717,4.81,4.684,4.722,856000
2006-11-06,4.765,4.893,4.713,4.858,719000
2006-11-07,4.842,4.92,4.812,4.817,614000
2006-11-08,4.819,4.84,4.748,4.75,1536000
2006-11-09,4.745,4.751,4.661,4.686,981000
2006-11-10,4.676,4.824,4.676,4.755,786000
2006-11-13,4.739,4.784,4.738,4.774,711000
2006-11-14,4.774,4.959,4.769,4.959,554000
2006-11-15,4.953,5.114,4.905,5.105,889000
2006-11-16,5.099,5.132,5.05,5.062,737000
2006-11-17,5.0019999,5.08,5.0019999,5.065,688000
2006-11-20,5.032,5.079,5.0029998,5.047,875000
2006-11-21,5.057,5.081,4.989,5.019,714000
2006-11-22,5.039,5.039,4.971,4.997,384000
2006-11-24,4.958,5.017,4.956,4.986,158000
2006-11-27,4.959,4.959,4.819,4.878,1557000
2006-11-28,4.846,4.911,4.841,4.863,861000
2006-11-29,4.908,4.945,4.845,4.868,486000
2006-11-30,4.879,4.956,4.873,4.931,458000
2006-12-01,4.93,4.945,4.802,4.878,729000
2006-12-04,4.903,5.071,4.865,5.01,969000
2006-12-05,5.035,5.06,5.007,5.027,721000
2006-12-06,5.013,5.037,4.954,5.01,724000
2006-12-07,4.988,5.172,4.967,5.07,1358000
2006-12-08,5.067,5.146,4.99,5.117,611000
2006-12-11,5.103,5.169,5.084,5.141,664000
2006-12-12,5.157,5.267,5.102,5.192,837000
2006-12-13,5.24,5.264,5.126,5.261,1426000
2006-12-14,5.273,5.49,5.25,5.461,1693000
2006-12-15,5.466,5.488,5.402,5.42,3636000
2006-12-18,5.443,5.491,5.352,5.393,1197000
2006-12-19,5.358,5.413,5.286,5.38,599000
2006-12-20,5.399,5.492,5.316,5.461,1004000
2006-12-21,5.456,5.529,5.373,5.463,1310000
2006-12-22,5.4,5.45,5.364,5.382,954000
2006-12-26,5.356,5.391,5.337,5.388,515000
2006-12-27,5.372,5.537,5.372,5.52,497000
2006-12-28,5.527,5.562,5.457,5.491,631000
2006-12-29,5.478,5.565,5.35,5.356,1241000
2007-01-03,5.398,5.425,5.149,5.215,2779000
2007-01-04,5.186,5.237,5.083,5.194,1529000
2007-01-05,5.16,5.196,5.06,5.067,1803000
2007-01-08,5.058,5.07,5.031,5.058,1771000
2007-01-09,5.079,5.079,4.984,4.999,2040000
2007-01-10,4.974,5.07,4.963,5.041,1318000
2007-01-11,5.026,5.12,5.026,5.086,579000
2007-01-12,5.074,5.188,5.074,5.176,724000
2007-01-16,5.195,5.228,5.096,5.126,1371000
2007-01-17,5.105,5.169,5.062,5.067,1448000
2007-01-18,5.062,5.099,5.0,5.0,875000
2007-01-19,4.993,5.032,4.959,5.025,3022000
2007-01-22,5.02,5.09,4.94,4.943,709000
2007-01-23,4.945,5.007,4.89,4.936,572000
2007-01-24,4.934,4.974,4.911,4.957,1069000
2007-01-25,4.977,4.977,4.805,4.837,1077000
2007-01-26,4.878,4.878,4.774,4.826,1126000
2007-01-29,4.85,4.852,4.801,4.825,747000
2007-01-30,4.815,4.823,4.767,4.784,1326000
2007-01-31,4.786,4.806,4.745,4.747,715000
2007-02-01,4.77,4.835,4.743,4.792,1330000
2007-02-02,4.811,4.85,4.793,4.811,460000
2007-02-05,4.813,4.844,4.733,4.754,1563000
2007-02-06,4.778,4.85,4.756,4.848,1038000
2007-02-07,4.85,4.85,4.797,4.842,627000
2007-02-08,4.821,4.852,4.799,4.852,666000
2007-02-09,4.84,4.84,4.728,4.782,913000
2007-02-12,4.779,4.811,4.748,4.774,585000
2007-02-13,4.775,4.775,4.721,4.749,617000
2007-02-14,4.75,4.75,4.686,4.687,1252000
2007-02-15,4.709,4.709,4.652,4.657,1188000
