date,open,high,low,close,volume
2006-10-18,10.5,10.51,10.2725,10.3975,3046000
2006-10-19,10.3525,10.4675,10.2675,10.3675,2050800
2006-10-20,10.375,10.3825,10.1925,10.325,4072400
2006-10-23,10.265,10.37,10.2175,10.32,3372000
2006-10-24,10.305,10.3575,10.1575,10.2725,4868800
2006-10-25,10.2175,10.315,10.14,10.3,4040400
2006-10-26,10.2725,10.3625,10.1825,10.3425,2206800
2006-10-27,10.3475,10.375,10.22,10.2875,2505200
2006-10-30,10.3,10.4725,10.2875,10.4275,3206400
2006-10-31,10.4675,10.4675,10.2475,10.35,2350000
2006-11-01,10.365,10.4225,10.18,10.24,2710400
2006-11-02,10.245,10.39,10.21,10.3075,3097200
2006-11-03,10.38,10.385,10.1475,10.2175,3104000
2006-11-06,10.265,10.4575,10.1625,10.3325,2549200
2006-11-07,10.285,10.45,10.2125,10.3475,1907200
2006-11-08,10.2725,10.4925,10.2725,10.4275,2368800
2006-11-09,10.425,10.425,10.3,10.38,2424400
2006-11-10,10.4075,10.62,10.4075,10.61,3755600
2006-11-13,10.5825,10.75,10.5275,10.7075,2446800
2006-11-14,10.6575,10.78,10.61,10.7675,2823200
2006-11-15,10.78,10.9325,10.7525,10.8575,2859200
2006-11-16,10.9325,10.9575,10.8125,10.9075,1623200
2006-11-17,10.87,10.9575,10.825,10.8675,2437600
2006-11-20,10.8825,10.8975,10.7225,10.7875,2564800
2006-11-21,10.81,10.81,10.7025,10.7775,2249600
2006-11-22,10.7425,10.8025,10.605,10.685,3462000
2006-11-24,10.5925,10.64,10.58,10.6025,972800
2006-11-27,10.6125,10.6225,10.3875,10.5475,3720000
2006-11-28,10.515,10.6075,10.4775,10.525,2018000
2006-11-29,10.525,10.645,10.4975,10.615,2231600
2006-11-30,10.56,10.595,10.46,10.55,2824400
2006-12-01,10.55,10.635,10.4075,10.565,2964000
2006-12-04,10.6375,10.7675,10.555,10.6625,3232000
2006-12-05,10.655,10.6925,10.5875,10.6325,1696400
2006-12-06,10.6675,10.6675,10.555,10.635,1869200
2006-12-07,10.6725,10.69,10.5175,10.6025,2063600
2006-12-08,10.64,10.8025,10.5625,10.665,2246400
2006-12-11,10.5975,10.7275,10.575,10.655,2088400
2006-12-12,10.6125,10.6375,10.4875,10.57,2418000
2006-12-13,10.555,10.61,10.4625,10.515,2408000
