date,open,high,low,close,volume
2006-10-19,30.78,31.25,30.5,31.15,9485900
2006-10-20,31.15,31.15,30.55,30.69,6445400
2006-10-23,30.6,31.45,30.6,31.3,7013400
2006-10-24,31.32,32.029999,31.1,31.43,6085200
2006-10-25,31.31,31.67,30.62,30.87,8082500
2006-10-26,30.82,31.37,30.46,31.35,6279500
2006-10-27,31.35,31.5,31.059999,31.2,4558600
2006-10-30,31.37,31.87,31.28,31.73,5235600
2006-10-31,31.92,31.98,31.35,31.38,8092300
2006-11-01,29.52,29.75,28.63,29.059999,64361400
2006-11-02,29.3,29.5,28.61,28.86,37238600
2006-11-03,29.1,29.3,28.68,28.79,19903500
2006-11-06,28.89,29.89,28.85,29.84,22548700
2006-11-07,29.88,30.030001,29.71,29.93,16042600
2006-11-08,30.1,30.11,29.5,29.62,26340300
2006-11-09,29.75,29.75,28.53,28.61,31285000
2006-11-10,28.68,29.16,28.63,28.96,15497800
2006-11-13,28.97,29.31,28.92,28.99,16092400
2006-11-14,29.24,29.42,28.9,28.92,23216400
2006-11-15,29.049999,29.51,29.0,29.42,20777900
2006-11-16,29.46,29.71,29.39,29.61,15067700
2006-11-17,29.61,29.61,28.77,29.07,20292400
2006-11-20,29.0,29.01,28.01,28.45,25871100
2006-11-21,28.46,28.5,27.76,28.08,18975900
2006-11-22,28.049999,28.16,27.87,28.0,13472400
2006-11-24,27.8,28.02,27.77,27.97,3985000
2006-11-27,27.97,27.97,27.16,27.19,21356200
2006-11-28,27.11,27.58,27.09,27.57,17961100
2006-11-29,27.82,28.55,27.7,28.53,21818600
2006-11-30,28.92,28.98,28.39,28.77,15800900
2006-12-01,28.63,28.93,28.47,28.67,12664500
2006-12-04,28.66,29.31,28.66,29.26,14305200
2006-12-05,29.37,29.7,29.3,29.61,10580500
2006-12-06,29.88,30.53,29.66,30.040001,16233100
2006-12-07,30.2,30.49,29.98,30.01,9626700
2006-12-08,29.95,30.31,29.9,30.23,5698300
2006-12-11,30.25,30.35,29.92,30.11,9171800
2006-12-12,30.3,30.44,29.93,30.13,9886800
2006-12-13,30.25,30.49,30.049999,30.31,6897600
2006-12-14,30.37,31.030001,30.32,30.72,12150500
2006-12-15,30.75,31.44,30.5,30.52,13860700
2006-12-18,30.6,30.67,29.6,30.01,42400300
2006-12-19,30.08,30.08,29.44,29.98,19909800
2006-12-20,29.88,30.2,29.75,29.91,11590400
2006-12-21,30.23,31.18,29.96,30.92,14099600
2006-12-22,31.59,31.83,31.08,31.25,8898400
2006-12-26,31.19,31.45,31.01,31.18,4750500
2006-12-27,31.3,31.4,31.0,31.22,5242600
2006-12-28,31.24,31.32,30.97,31.25,4733500
2006-12-29,31.19,31.39,30.76,30.91,4279900
2007-01-03,30.95,31.39,30.46,30.84,10397300
2007-01-04,31.21,31.23,30.66,31.0,9468700
2007-01-05,31.01,31.25,30.69,31.17,10817200
2007-01-08,31.51,31.57,30.75,31.35,14189000
2007-01-09,31.33,31.47,30.75,31.01,14052700
2007-01-10,31.0,31.37,30.64,31.32,10273900
2007-01-11,31.24,31.57,30.94,31.51,10508100
2007-01-12,31.52,31.99,31.28,31.94,10058900
2007-01-16,31.8,32.12,31.63,31.79,14243100
2007-01-17,32.0,32.62,31.91,32.48,21121400
2007-01-18,32.62,32.64,32.18,32.61,18427600
2007-01-19,32.77,33.38,32.55,33.28,27239600
2007-01-22,33.0,33.25,32.85,33.029999,14622700
2007-01-23,32.8,33.38,32.72,33.25,12634400
2007-01-24,33.25,33.57,32.83,32.86,15805900
2007-01-25,32.86,33.07,32.68,32.75,12844400
2007-01-26,32.76,33.099998,32.53,32.97,12250500
2007-01-29,32.91,33.02,32.63,32.69,5456600
2007-01-30,32.9,33.33,32.85,33.049999,8482800
2007-01-31,33.17,33.72,33.049999,33.65,14175000
2007-02-01,33.5,33.58,33.0,33.29,16662700
2007-02-02,33.55,33.55,33.049999,33.19,13774300
2007-02-05,33.2,33.37,33.0,33.3,7390400
2007-02-06,33.33,33.35,32.97,33.23,7569900
2007-02-07,33.2,33.37,32.74,33.24,6957600
2007-02-08,33.33,33.38,32.85,33.12,8755500
2007-02-09,33.17,33.25,32.78,32.91,10765400
2007-02-12,32.8,32.91,32.39,32.49,13175642
