date,open,high,low,close,volume
2006-10-18,39.175,39.365,39.099998,39.215,3016400
2006-10-19,39.215,39.925,39.11,39.8,2175200
2006-10-20,39.915,40.155,39.75,40.080002,2339000
2006-10-23,39.95,40.48,39.745,40.445,2398000
2006-10-24,40.4,40.405,40.12,40.4,2049800
2006-10-25,40.5,40.92,40.335,40.745,2284400
2006-10-26,40.745,40.955,40.51,40.69,2041000
2006-10-27,40.55,40.78,40.305,40.32,1994800
2006-10-30,40.425,40.59,40.2,40.29,1805600
2006-10-31,40.415,40.57,40.265,40.495,2132600
2006-11-01,40.5,42.22,40.5,41.805,10204200
2006-11-02,41.4,41.405,40.275,40.495,10282200
2006-11-03,40.495,40.7,40.27,40.335,4012600
2006-11-06,40.26,40.365,39.81,39.88,4807200
2006-11-07,39.88,40.060001,39.82,40.060001,2845200
2006-11-08,40.060001,40.645,39.985,40.37,2617600
2006-11-09,40.37,40.62,40.29,40.525,3998800
2006-11-10,40.5,40.635,40.46,40.61,3575600
2006-11-13,40.525,40.695,40.525,40.6,1591400
2006-11-14,40.5,40.615,40.145,40.24,3111400
2006-11-15,40.0,40.29,39.84,40.175,4117600
2006-11-16,40.425,40.62,40.17,40.2,3171800
2006-11-17,40.075001,40.615,40.075001,40.44,1999600
2006-11-20,40.25,40.6,39.965,40.45,1854800
2006-11-21,40.4,40.52,40.31,40.44,2360600
2006-11-22,40.385,40.595,40.375,40.525,3006000
2006-11-24,40.38,40.64,40.38,40.5,805800
2006-11-27,40.475,40.555,40.17,40.36,2812400
2006-11-28,40.325,40.66,40.195,40.445,3309600
2006-11-29,40.25,40.455,40.095001,40.375,3597000
2006-11-30,40.41,40.415,40.3,40.37,3429200
2006-12-01,40.325,40.44,40.195,40.44,3234400
2006-12-04,40.44,40.53,40.405,40.515,3432600
2006-12-05,40.55,40.675,40.47,40.595,4754400
2006-12-06,40.595,40.67,40.505,40.575,3427600
2006-12-07,40.625,40.725,40.505,40.565,2845200
2006-12-08,40.565,40.705,40.4,40.565,2712000
2006-12-11,40.595,40.685,40.45,40.59,2172800
2006-12-12,40.59,40.87,40.57,40.8,2653600
2006-12-13,40.83,41.365,40.83,41.32,2955400
2006-12-14,41.25,41.495,41.165,41.39,2006400
2006-12-15,41.39,41.49,41.27,41.45,3119000
2006-12-18,41.45,41.5,41.13,41.205,3039400
2006-12-19,41.145,41.67,40.98,41.66,2520400
2006-12-20,41.75,41.77,41.21,41.215,3161000
2006-12-21,41.375,41.51,40.885,41.11,2685400
2006-12-22,41.15,41.235,40.75,41.18,2214800
2006-12-26,41.11,41.53,40.875,41.495,1959800
2006-12-27,41.51,42.0,41.51,41.98,2691800
2006-12-28,41.905,42.15,41.9,42.0099983,3569800
2006-12-29,41.97,42.0,41.615,41.92,2298800
2007-01-03,41.85,42.0,41.455,41.825,4715800
2007-01-04,41.735,41.935,41.475,41.72,3465400
2007-01-05,41.72,41.72,40.965,41.12,5550400
2007-01-08,41.099998,41.3,40.895,40.935,3898200
2007-01-09,40.935,40.95,40.53,40.865,4338400
2007-01-10,40.8,40.85,40.595,40.75,3687200
2007-01-11,40.75,40.795,40.28,40.435,5489800
2007-01-12,40.375,40.48,39.835,40.0,6217600
2007-01-16,40.049999,40.265,40.0,40.025002,3196400
2007-01-17,40.025002,40.155,39.88,40.049999,2753600
2007-01-18,40.099998,40.235,40.0,40.165,3436000
2007-01-19,40.255,40.415,40.115,40.38,2151400
2007-01-22,40.33,40.5,40.049999,40.26,2823000
2007-01-23,40.26,40.455,40.15,40.425,3921800
2007-01-24,41.315,41.435,40.92,41.02,8005600
2007-01-25,40.925,41.34,40.85,40.94,2904400
2007-01-26,40.55,41.13,40.55,41.035,2156000
2007-01-29,41.14,41.14,40.86,40.96,2854000
2007-01-30,41.0050011,41.21,40.905,41.2,2190600
2007-01-31,41.0050011,41.64,40.91,41.48,4313400
2007-02-01,41.75,42.3,41.485,42.095001,4451200
2007-02-02,42.895,43.545,42.46,43.27,10591800
2007-02-05,43.215,43.675,43.095001,43.26,4763400
2007-02-06,43.41,43.67,43.215,43.57,4545200
2007-02-07,43.575,43.65,43.39,43.495,2950600
2007-02-08,43.565,43.825,43.52,43.74,3167600
2007-02-09,43.745,43.945,43.61,43.73,3955800
2007-02-12,43.74,43.995,43.67,43.775,2140400
2007-02-13,43.945,44.0,42.35,43.41,14863400
2007-02-14,43.5,43.78,43.35,43.405,4267200
2007-02-15,43.45,43.525,43.21,43.4,2154000
2007-02-16,43.28,43.405,43.18,43.28,3020000
2007-02-20,43.18,43.185,42.9,43.15,4359800
2007-02-21,42.61,42.885,42.5,42.695,4193000
2007-02-22,42.575,42.8,42.4,42.675,2478400
2007-02-23,42.65,42.965,42.585,42.84,2359400
2007-02-26,43.49,44.15,43.21,43.695,7160800
2007-02-27,43.5,43.65,42.29,42.585,5644200
2007-02-28,42.585,43.044998,42.37,42.765,5921600
2007-03-01,42.76,43.014999,42.37,42.795,3770800
2007-03-02,42.725,42.84,42.5,42.5,3302400
2007-03-05,42.365,42.5,41.855,41.91,6127400
2007-03-06,42.060001,42.375,41.995,42.34,3985200
2007-03-07,42.099998,42.655,42.044998,42.425,3382600
2007-03-08,42.56,42.6,42.18,42.245,3799600
2007-03-09,42.41,42.495,42.044998,42.295,3048800
2007-03-12,42.25,42.885,42.080002,42.865,2529400
2007-03-13,42.765,43.080002,42.24,42.37,4003600
2007-03-14,42.385,42.54,41.825,42.35,4418600
2007-03-15,42.35,42.775,42.15,42.71,3841200
2007-03-16,42.83,43.060001,42.45,42.485,4449200
2007-03-19,42.7,43.235,42.65,43.105,3756800
2007-03-20,43.15,43.825,42.875,43.825,4108800
2007-03-21,43.845,44.485,43.61,44.33,4442600
2007-03-22,44.33,44.385,44.0099983,44.3,2649600
2007-03-23,44.31,44.5,44.064999,44.455,2664800
2007-03-26,44.425,44.71,43.97,44.665,2999800
2007-03-27,44.525,44.625,44.33,44.56,2667400
2007-03-28,44.435,44.57,44.2,44.285,3834000
2007-03-29,44.485,44.58,44.22,44.565,3020600
2007-03-30,44.565,44.59,43.775,44.385,3850600
2007-04-02,44.385,45.125,44.365,45.0,3552200
2007-04-03,45.0099983,45.099998,44.715,44.99,2481000
2007-04-04,45.029999,45.325,44.75,44.785,2149600
2007-04-05,44.79,45.125,44.715,45.07,2398200
2007-04-09,45.029999,45.415,45.029999,45.099998,1916800
2007-04-10,45.0,45.235,44.78,45.21,2143000
2007-04-11,44.99,45.295,44.905,44.935,3143200
2007-04-12,44.95,45.040001,44.405,44.77,2093400
2007-04-13,45.195,45.195,44.41,44.57,1872600
2007-04-16,44.57,44.77,44.325,44.75,3807800
2007-04-17,44.575,44.675,44.395,44.625,2910400
2007-04-18,44.575,44.575,44.12,44.37,4250000
2007-04-19,44.79,44.79,44.099998,44.54,4099000
2007-04-20,44.965,45.54,44.855,45.43,7391400
2007-04-23,45.435,45.965,45.42,45.815,4347000
