date,open,high,low,close,volume
2006-10-18,2.74222,2.75278,2.69722,2.72889,3036600
2006-10-19,2.73056,2.76778,2.715,2.75556,4527000
2006-10-20,2.76833,2.77222,2.73889,2.74,4527000
2006-10-23,2.73611,2.78333,2.72111,2.77278,4406400
2006-10-24,2.77278,2.79444,2.75722,2.79278,4892400
2006-10-25,2.79611,2.80389,2.74722,2.775,4554000
2006-10-26,2.76833,3.0,2.67667,2.74556,17425800
2006-10-27,2.93167,3.055556,2.90944,2.99278,29725200
2006-10-30,2.99444,3.00055599,2.95611,2.98333,9336600
2006-10-31,2.99167,2.99667,2.86111,2.95389,12738600
2006-11-01,2.97056,2.97722,2.88111,2.905,6863400
2006-11-02,2.87667,2.90333,2.85111,2.86889,5362200
2006-11-03,2.87778,2.89556,2.83333,2.84944,5311800
2006-11-06,2.86889,2.92722,2.85,2.89333,3681000
2006-11-07,2.90278,2.95556,2.90111,2.94278,5832000
2006-11-08,2.92444,2.985,2.91667,2.96278,4060800
2006-11-09,2.95833,2.97111,2.885,2.90056,3619800
2006-11-10,2.91444,2.94833,2.88,2.94,4334400
2006-11-13,2.94222,3.034444,2.94,3.008889,8123400
2006-11-14,3.03,3.068889,3.008333,3.067778,5038200
2006-11-15,3.052222,3.13111,3.049444,3.069444,5101200
2006-11-16,3.080556,3.089444,2.99278,3.05,4041000
2006-11-17,3.036667,3.048889,2.99222,3.03,4456800
2006-11-20,3.035,3.067778,3.008889,3.013333,4395600
2006-11-21,3.033333,3.075556,3.001111,3.038333,3477600
2006-11-22,3.047778,3.054444,3.015556,3.048333,1531800
2006-11-24,3.023333,3.055556,3.015556,3.022778,1018800
2006-11-27,3.021111,3.029444,2.93944,3.0027781,7903800
2006-11-28,2.99944,3.051667,2.94722,3.051667,6525000
2006-11-29,3.059444,3.11556,3.041111,3.071111,4482000
2006-11-30,3.055,3.10778,3.028333,3.097222,6672600
2006-12-01,3.088889,3.14944,3.055556,3.14611,8217000
2006-12-04,3.15056,3.205,3.14,3.15556,5011200
2006-12-05,3.16667,3.24333,3.14722,3.23333,6501600
2006-12-06,3.22278,3.24611,3.17611,3.19389,4572000
2006-12-07,3.18389,3.20667,3.14444,3.17222,3931200
2006-12-08,3.18056,3.20056,3.11111,3.19778,5927400
2006-12-11,3.20889,3.24278,3.20611,3.23333,4658400
2006-12-12,3.23833,3.23833,3.11111,3.18722,5432400
2006-12-13,3.18889,3.21222,3.12056,3.15778,4069800
2006-12-14,3.15333,3.19444,3.14444,3.17,2210400
2006-12-15,3.18611,3.23611,3.17167,3.20222,6224400
2006-12-18,3.21944,3.22222,3.16389,3.16667,3560400
2006-12-19,3.16556,3.21111,3.13944,3.20167,4332600
2006-12-20,3.21667,3.33056,3.19611,3.27556,6604200
2006-12-21,3.28722,3.29611,3.21389,3.23333,3200400
2006-12-22,3.23111,3.26944,3.16278,3.25056,2610000
2006-12-26,3.26056,3.33833,3.24778,3.32833,3396600
2006-12-27,3.34111,3.36444,3.29556,3.35056,2840400
2006-12-28,3.35167,3.35167,3.30278,3.30611,3740400
2006-12-29,3.29389,3.33333,3.28333,3.33056,3799800
2007-01-03,3.32389,3.33,3.25889,3.27778,11320200
