date,open,high,low,close,volume
2006-10-18,49.98,50.44,49.64,50.0,3679100
2006-10-19,50.95,51.31,50.25,51.29,3109300
2006-10-20,51.5,51.94,51.42,51.44,2067800
2006-10-23,51.42,51.5,50.77,50.83,1470500
2006-10-24,50.8,50.83,50.28,50.47,1868400
2006-10-25,50.47,50.52,49.32,49.63,2659400
2006-10-26,49.52,49.81,49.0099983,49.25,2639200
2006-10-27,48.85,49.89,48.77,49.7,2063600
2006-10-30,49.85,50.2,49.5,49.52,1373400
2006-10-31,49.52,50.0099983,49.52,49.74,1585100
2006-11-01,49.74,50.2,49.25,49.55,1904900
2006-11-02,49.78,50.14,49.5,49.61,2172700
2006-11-03,49.8,49.98,49.52,49.56,1933300
2006-11-06,49.6,50.27,49.6,50.11,1361600
2006-11-07,50.15,51.099998,50.15,51.080002,2288900
2006-11-08,51.080002,51.080002,50.14,50.9,1869700
2006-11-09,50.9,51.53,50.16,50.29,1900700
2006-11-10,50.35,50.6,50.14,50.32,1014800
2006-11-13,50.5,51.3,50.43,51.22,1227100
2006-11-14,51.43,52.49,51.43,52.47,2897500
2006-11-15,52.5,53.4,52.29,53.19,1919100
2006-11-16,53.6,53.66,53.19,53.56,1574300
2006-11-17,53.35,53.43,52.75,53.36,1171700
2006-11-20,53.32,53.47,52.22,52.8,1646700
2006-11-21,52.81,52.87,51.82,52.0,1500000
2006-11-22,52.16,52.99,52.12,52.61,1496800
2006-11-24,52.61,52.63,52.19,52.24,328400
2006-11-27,52.2,52.25,51.11,51.35,2188300
2006-11-28,51.35,51.36,50.54,50.77,1925300
2006-11-29,50.94,51.53,50.85,51.39,1308100
2006-11-30,51.59,53.23,51.55,53.17,1935600
2006-12-01,53.18,53.19,52.5,52.79,1090700
2006-12-04,52.77,53.4,52.77,53.060001,768800
2006-12-05,53.45,53.45,52.87,53.29,659100
2006-12-06,53.29,53.74,53.25,53.63,949700
2006-12-07,53.53,54.029999,53.13,53.13,827500
2006-12-08,53.13,53.41,52.55,53.29,918200
2006-12-11,53.2,54.0,52.93,53.79,1161600
2006-12-12,53.89,54.2,53.0,53.4,1236100
2006-12-13,53.47,53.59,52.38,52.54,1229500
2006-12-14,52.69,53.37,52.44,52.46,1175200
2006-12-15,52.46,52.76,51.82,52.26,1567900
2006-12-18,52.47,52.72,51.62,51.88,1123700
2006-12-19,51.8,52.16,51.34,51.78,1132600
2006-12-20,51.8,52.86,51.6,52.6,911600
2006-12-21,53.0,53.42,52.96,53.07,836400
2006-12-22,53.080002,53.37,52.9,53.07,724100
2006-12-26,53.07,53.34,53.0,53.21,402900
2006-12-27,53.31,53.7,53.31,53.58,568900
2006-12-28,53.36,53.45,53.0,53.33,630900
2006-12-29,53.47,53.51,52.91,53.0,501900
2007-01-03,52.8,52.84,50.49,51.49,2677600
2007-01-04,51.5,51.91,51.35,51.84,907300
2007-01-05,51.73,51.74,51.25,51.34,1280900
2007-01-08,51.25,51.79,51.060001,51.7,836400
2007-01-09,51.6,51.71,51.38,51.6,1219800
2007-01-10,51.4,51.69,51.17,51.24,1069500
2007-01-11,51.24,51.62,50.42,50.78,2051900
2007-01-12,50.53,50.89,50.099998,50.14,2999800
2007-01-16,50.0,50.2,49.51,49.78,2242700
2007-01-17,49.51,49.9,48.82,49.02,4375000
2007-01-18,49.5,50.27,49.19,50.11,2601800
