date,open,high,low,close,volume
2006-10-18,33.5,33.69,33.46,33.51,212700
2006-10-19,33.5,33.77,33.5,33.71,173900
2006-10-20,33.71,33.71,33.41,33.61,316700
2006-10-23,33.59,33.82,33.36,33.74,168900
2006-10-24,33.65,33.67,33.29,33.52,134800
2006-10-25,33.46,33.79,33.15,33.54,160900
2006-10-26,33.64,33.8,32.81,33.26,889900
2006-10-27,33.14,33.62,33.060001,33.26,314400
2006-10-30,33.26,33.47,32.89,33.18,283100
2006-10-31,33.26,33.55,33.0099983,33.39,581500
2006-11-01,33.58,33.67,33.029999,33.17,281900
2006-11-02,32.96,33.13,32.6,33.07,286000
2006-11-03,33.2,33.36,32.42,32.93,350800
2006-11-06,32.93,34.080002,32.92,33.83,406700
2006-11-07,33.78,33.89,33.49,33.8,244600
2006-11-08,33.38,33.93,33.32,33.61,161100
2006-11-09,33.59,33.98,33.45,33.87,290800
2006-11-10,33.8,34.049999,33.64,34.049999,355300
2006-11-13,34.029999,34.63,33.9,34.59,243400
2006-11-14,34.59,35.09,34.45,35.049999,891700
2006-11-15,35.3,35.61,35.2,35.52,279600
2006-11-16,35.43,35.52,34.85,35.099998,162800
2006-11-17,35.17,35.22,34.43,34.45,195500
2006-11-20,34.47,35.47,34.47,35.27,461300
2006-11-21,35.23,36.75,35.12,36.73,487600
2006-11-22,36.7,36.8,36.28,36.8,248000
2006-11-24,36.6,37.31,36.4,37.22,323600
2006-11-27,37.22,37.31,36.48,36.55,364300
2006-11-28,36.0,36.0099983,35.16,35.48,333200
2006-11-29,35.5,35.93,35.3,35.77,276500
2006-11-30,35.77,36.44,35.5,36.44,376700
2006-12-01,36.44,36.54,35.88,36.42,458400
2006-12-04,36.42,36.82,36.2,36.79,310700
2006-12-05,36.89,37.12,36.8,37.12,322900
2006-12-06,37.0,37.0,35.91,36.21,452000
2006-12-07,36.3,36.35,35.6,35.67,187800
2006-12-08,35.52,36.0099983,35.36,35.64,217200
2006-12-11,35.61,35.81,34.73,35.25,607700
2006-12-12,35.32,36.18,35.32,35.76,467800
2006-12-13,35.8,35.86,35.16,35.59,197400
2006-12-14,35.59,36.21,35.58,36.040001,253100
2006-12-15,35.94,36.32,35.14,35.73,662800
2006-12-18,35.6,35.79,35.099998,35.21,252100
2006-12-19,35.099998,35.099998,34.31,34.64,314300
2006-12-20,34.69,34.93,34.57,34.91,183100
2006-12-21,34.88,35.25,34.5,34.7,205100
2006-12-22,34.7,34.76,34.3,34.54,265000
2006-12-26,34.6,34.96,34.6,34.82,114000
2006-12-27,34.53,34.76,34.2,34.45,186500
2006-12-28,34.27,34.5,34.099998,34.2,95500
2006-12-29,34.26,34.36,34.0,34.23,158900
2007-01-03,34.48,35.36,34.080002,34.57,302500
2007-01-04,34.63,35.5,34.45,35.099998,473600
2007-01-05,34.95,35.029999,34.3,34.48,230200
2007-01-08,34.42,34.42,33.76,34.060001,94400
2007-01-09,34.02,34.049999,33.89,34.040001,215000
2007-01-10,33.8,34.58,33.8,34.5,337000
2007-01-11,34.46,34.62,34.32,34.42,231500
2007-01-12,34.46,35.42,34.44,35.35,610000
2007-01-16,35.35,36.23,35.2,35.75,537400
2007-01-17,35.75,35.75,35.32,35.4,567100
2007-01-18,35.41,36.12,35.32,35.46,498100
2007-01-19,35.45,35.6,35.17,35.55,239600
2007-01-22,35.63,35.78,35.17,35.25,298400
2007-01-23,35.26,35.65,35.21,35.48,449900
2007-01-24,35.66,35.72,35.47,35.55,507400
2007-01-25,35.6,36.13,35.41,35.6,644100
2007-01-26,35.85,35.91,35.45,35.57,265000
2007-01-29,35.55,36.0,35.34,35.75,165200
2007-01-30,35.9,36.029999,35.7,35.85,414600
2007-01-31,35.92,36.09,35.74,35.94,547300
2007-02-01,36.099998,36.87,35.95,36.59,1037200
2007-02-02,36.65,37.41,36.65,37.18,764300
2007-02-05,37.24,37.74,37.2,37.35,300000
