date,open,high,low,close,volume
2006-10-18,10.43667,10.51667,10.29333,10.37667,2392200
2006-10-19,10.32,10.49,10.32,10.42333,2525100
2006-10-20,10.42,10.46333,10.3,10.34667,1712400
2006-10-23,10.3,10.58,10.25,10.41,1706400
2006-10-24,10.41333,10.51667,10.35,10.37667,1440000
2006-10-25,10.34667,10.41667,10.20333,10.25667,2270400
2006-10-26,10.31667,10.35667,10.19,10.34667,1877700
2006-10-27,10.29,10.36333,10.22667,10.25667,1836900
2006-10-30,10.19667,10.49667,10.16,10.43333,3373200
2006-10-31,10.47,10.55667,10.27667,10.36333,2411700
2006-11-01,10.42,10.42333,10.17,10.18,2095200
2006-11-02,10.14,10.28333,10.016667,10.10667,2313600
2006-11-03,10.10333,10.27,10.046667,10.15667,2262600
2006-11-06,10.23333,10.39,10.22667,10.36,2061900
2006-11-07,10.36,10.57,10.33,10.37333,1510500
2006-11-08,10.31,10.43,10.26667,10.36333,2667600
2006-11-09,10.39333,10.41333,10.21667,10.24667,1725900
2006-11-10,10.27333,10.49667,10.24333,10.47,1890600
2006-11-13,10.44333,10.59667,10.40333,10.43333,1369500
2006-11-14,10.40667,10.5,10.35,10.47333,1544400
2006-11-15,10.53,10.66667,10.48333,10.52,2352900
2006-11-16,10.61,10.66667,10.51,10.66667,2439300
2006-11-17,10.65667,10.65667,10.42333,10.51,1867800
2006-11-20,10.44667,10.7,10.44667,10.58333,3424800
2006-11-21,10.66,10.66667,10.31,10.43667,3262500
2006-11-22,10.42333,10.49,10.26,10.33667,3957600
2006-11-24,10.29,10.39333,10.25,10.31667,1047600
2006-11-27,10.3,10.31667,10.04,10.073333,3681600
2006-11-28,10.036667,10.17333,10.013333,10.11667,5273100
2006-11-29,10.13667,10.25,10.10333,10.11667,2301000
2006-11-30,10.1,10.13,9.97,10.0033331,3215700
2006-12-01,10.0,10.083333,9.78333,9.87667,4810500
2006-12-04,9.93,10.13333,9.9,10.09,2922300
2006-12-05,10.013333,10.13333,9.98333,10.083333,2809800
2006-12-06,10.083333,10.24333,10.083333,10.19333,2948100
2006-12-07,10.18333,10.26,10.05,10.066667,3066000
2006-12-08,10.0066671,10.14333,10.0066671,10.063333,2398800
2006-12-11,10.31667,10.37,10.073333,10.10333,3541200
2006-12-12,10.096667,10.14333,9.93667,10.0066671,3150000
2006-12-13,10.066667,10.1,9.98,10.023333,2456400
2006-12-14,10.06,10.15667,10.043333,10.14,2558700
2006-12-15,10.21333,10.22333,10.076667,10.10333,3652200
2006-12-18,10.10333,10.22333,10.05,10.076667,2011500
2006-12-19,10.023333,10.023333,9.78,9.95,2697000
2006-12-20,9.95667,10.043333,9.95,9.99333,1912800
2006-12-21,10.013333,10.046667,9.9,9.93667,2270700
2006-12-22,9.93667,10.06,9.93667,10.02,1880400
2006-12-26,9.98667,10.036667,9.97,10.023333,1506300
2006-12-27,10.033333,10.19667,10.016667,10.18333,2415000
2006-12-28,10.14667,10.19,10.043333,10.05,1539900
2006-12-29,10.033333,10.13667,10.016667,10.033333,1862100
2007-01-03,10.12333,10.34667,10.11667,10.23,4521300
2007-01-04,10.25,10.34333,10.0033331,10.21667,4615800
2007-01-05,10.20333,10.92667,10.20333,10.67667,12265500
2007-01-08,10.69667,10.80667,10.54,10.67,8189100
2007-01-09,10.74333,10.76667,10.58333,10.65333,3730500
2007-01-10,10.65333,10.70667,10.58,10.67,2441100
2007-01-11,10.72,10.77667,10.63667,10.69667,2887200
2007-01-12,10.70667,10.76667,10.59667,10.7,4113300
2007-01-16,10.71333,10.84333,10.62333,10.66667,3107100
2007-01-17,10.68,10.69333,10.52,10.54333,1709700
2007-01-18,10.57333,10.65,10.46667,10.57667,2697900
2007-01-19,10.57,10.59333,10.41667,10.53333,2831400
2007-01-22,10.55667,10.65,10.38667,10.5,2077500
2007-01-23,10.52,10.54667,10.43,10.47,1797300
